Market,Store,Mobile Calling,
14,1605,TBD,
14,1620,TBD,
14,2533,6/24/25,
14,990,#N/A,
14,1174,6/24/25,
14,2739,TBD,
14,3484,6/24/25,
14,3785,TBD,
14,7247,TBD,
14,1493,6/24/25,
14,2760,6/24/25,
15,818,TBD,
15,1362,6/24/25,
15,3119,TBD,
15,5872,TBD,
15,1032,TBD,
15,1207,6/24/25,
15,3075,TBD,
15,3439,TBD,
15,919,#N/A,
15,944,TBD,
15,5845,6/24/25,
16,932,6/24/25,
16,1112,6/24/25,
16,1284,6/24/25,
16,3461,TBD,
16,494,TBD,
16,614,6/24/25,
16,1311,TBD,
16,4200,6/24/25,
16,1338,6/24/25,
16,4283,TBD,
16,5363,6/24/25,
18,515,6/24/25,
18,2513,6/24/25,
18,2753,TBD,
18,4616,6/24/25,
18,1070,TBD,
18,1122,TBD,
18,3485,6/24/25,
18,7185,6/24/25,
18,1403,6/24/25,
18,3874,6/24/25,
18,5786,6/24/25,
18,5812,TBD,
19,3402,6/24/25,
19,594,TBD,
19,745,6/24/25,
19,787,6/24/25,
19,3201,TBD,
19,5709,TBD,
19,3609,TBD,
20,855,6/24/25,
20,1047,6/24/25,
20,3401,TBD,
20,3709,TBD,
20,3710,6/24/25,
20,6998,6/24/25,
20,3118,6/24/25,
21,3,TBD,
21,510,6/24/25,
21,520,TBD,
21,1400,6/24/25,
21,1121,6/24/25,
21,1363,6/24/25,
21,1701,6/24/25,
21,2811,6/24/25,
21,780,TBD,
21,1111,TBD,
21,3627,TBD,
21,5482,6/24/25,
22,615,TBD,
22,722,TBD,
22,3741,TBD,
22,856,6/24/25,
22,1488,6/24/25,
22,2732,6/24/25,
22,3205,6/24/25,
22,727,6/24/25,
22,4409,TBD,
23,2360,#N/A,
23,2584,6/24/25,
23,1184,6/24/25,
23,1373,TBD,
23,3067,TBD,
23,3188,TBD,
23,3621,TBD,
24,4436,6/24/25,
24,878,6/24/25,
24,1314,6/24/25,
24,1766,TBD,
24,2941,6/24/25,
24,1578,6/24/25,
24,2154,6/24/25,
24,3462,TBD,
24,518,6/24/25,
24,4185,TBD,
24,5814,TBD,
25,3388,6/24/25,
25,459,6/24/25,
25,1340,6/24/25,
25,1720,6/24/25,
25,4558,6/24/25,
25,5252,TBD,
25,3389,6/24/25,
25,3786,6/24/25,
25,4472,TBD,
25,548,6/24/25,
25,2475,TBD,
26,5275,TBD,
26,3403,TBD,
26,575,#N/A,
26,3471,6/24/25,
26,3611,TBD,
26,1181,#N/A,
26,1586,TBD,
26,3748,6/24/25,
26,618,#N/A,
26,937,#N/A,
26,5390,TBD,
27,1006,6/24/25,
27,889,6/24/25,
27,952,TBD,
27,1072,TBD,
27,7245,6/24/25,
27,588,TBD,
27,843,6/24/25,
27,899,6/24/25,
27,2615,TBD,
27,5797,TBD,
27,7194,TBD,
28,593,TBD,
28,639,6/24/25,
28,836,6/24/25,
28,864,6/24/25,
28,556,6/24/25,
28,686,6/24/25,
28,862,TBD,
28,2630,TBD,
28,1018,TBD,
28,1061,6/24/25,
28,5392,6/24/25,
29,635,TBD,
29,605,6/12/25,
29,728,6/12/25,
29,1383,TBD,
29,2860,6/12/25,
29,1011,TBD,
29,2832,6/12/25,
29,4556,6/12/25,
29,606,6/12/25,
29,6395,TBD,
29,7181,6/12/25,
30,3570,TBD,
30,754,6/24/25,
30,1227,TBD,
30,4144,TBD,
30,1024,6/24/25,
30,1293,6/24/25,
30,2754,TBD,
30,5735,6/24/25,
