Store Number,Tracking Number,Ship date ,Delivered date,Scheduled delivery date ,Service type 
7162,391047305218,N/A,N/A,N/A,FedEx Ground
7307,391047305310,N/A,N/A,N/A,FedEx Ground
7298,391047305321,N/A,N/A,N/A,FedEx Ground
4233,391047305332,N/A,N/A,N/A,FedEx Ground
5371,391047305413,N/A,N/A,N/A,FedEx Ground
5464,391047305446,N/A,N/A,N/A,FedEx Ground
3315,391047305516,N/A,N/A,N/A,FedEx Ground
2919,391047305744,N/A,N/A,N/A,FedEx Ground
4178,391047305917,N/A,N/A,N/A,FedEx Ground
5366,391047306177,N/A,N/A,N/A,FedEx Ground
4625,391047306269,N/A,N/A,N/A,FedEx Ground
7206,391047318620,N/A,N/A,N/A,FedEx Ground
5365,391047318744,N/A,N/A,N/A,FedEx Ground
3127,391047320479,N/A,N/A,N/A,FedEx Ground
5098,391047322883,N/A,N/A,N/A,FedEx Ground
3844,391047323890,N/A,N/A,N/A,FedEx Ground
4519,391047324084,N/A,N/A,N/A,FedEx Ground
4145,391047325058,N/A,N/A,N/A,FedEx Ground
5780,391047325654,N/A,N/A,N/A,FedEx Ground
3449,391047325698,N/A,N/A,N/A,FedEx Ground
3743,391047325735,N/A,N/A,N/A,FedEx Ground
5829,391047325919,N/A,N/A,N/A,FedEx Ground
3090,391047325974,N/A,N/A,N/A,FedEx Ground
5608,391047328013,N/A,N/A,N/A,FedEx Ground
4560,391047329009,N/A,N/A,N/A,FedEx Ground
6165,391047330734,N/A,N/A,N/A,FedEx Ground
4466,391047331351,N/A,N/A,N/A,FedEx Ground
5408,391047332759,N/A,N/A,N/A,FedEx Ground
5279,391047332829,N/A,N/A,N/A,FedEx Ground
3846,391047332998,N/A,N/A,N/A,FedEx Ground
3959,391047333078,N/A,N/A,N/A,FedEx Ground
5774,391047333744,N/A,N/A,N/A,FedEx Ground
3646,391047334155,N/A,N/A,N/A,FedEx Ground
5702,391047334340,N/A,N/A,N/A,FedEx Ground
2590,391047336191,N/A,N/A,N/A,FedEx Ground
7299,391047336640,N/A,N/A,N/A,FedEx Ground
4582,391047336754,N/A,N/A,N/A,FedEx Ground
5776,391047338334,N/A,N/A,N/A,FedEx Ground
5700,391047340448,N/A,N/A,N/A,FedEx Ground
5634,391047341960,N/A,N/A,N/A,FedEx Ground
5383,391047342668,N/A,N/A,N/A,FedEx Ground
8958,391047345222,N/A,N/A,N/A,FedEx Ground
5182,391047346663,N/A,N/A,N/A,FedEx Ground
5611,391047346788,N/A,N/A,N/A,FedEx Ground
4826,391047348552,N/A,N/A,N/A,FedEx Ground
4674,391047348840,N/A,N/A,N/A,FedEx Ground
3542,391047348850,N/A,N/A,N/A,FedEx Ground
2944,391047348910,N/A,N/A,N/A,FedEx Ground
5328,391047349022,N/A,N/A,N/A,FedEx Ground
3579,391047349066,N/A,N/A,N/A,FedEx Ground
2870,391047349147,N/A,N/A,N/A,FedEx Ground
4759,391047349423,N/A,N/A,N/A,FedEx Ground
2396,391047350059,N/A,N/A,N/A,FedEx Ground
3456,391047350070,N/A,N/A,N/A,FedEx Ground
5378,391047350140,N/A,N/A,N/A,FedEx Ground
4563,391047350380,N/A,N/A,N/A,FedEx Ground
7311,391047351066,N/A,N/A,N/A,FedEx Ground
4056,391047351240,N/A,N/A,N/A,FedEx Ground
3629,391047351570,N/A,N/A,N/A,FedEx Ground
5923,391047351776,N/A,N/A,N/A,FedEx Ground
4147,391047351824,N/A,N/A,N/A,FedEx Ground
5719,391047352187,N/A,N/A,N/A,FedEx Ground
4546,391047352555,N/A,N/A,N/A,FedEx Ground
5310,391047353047,N/A,N/A,N/A,FedEx Ground
3746,391047353161,N/A,N/A,N/A,FedEx Ground
4528,391047400414,N/A,N/A,N/A,FedEx Ground
7168,391047400583,N/A,N/A,N/A,FedEx Ground
5221,391047401395,N/A,N/A,N/A,FedEx Ground
3066,391047401796,N/A,N/A,N/A,FedEx Ground
3414,391047401866,N/A,N/A,N/A,FedEx Ground
5818,391047401888,N/A,N/A,N/A,FedEx Ground
7320,391047402542,N/A,N/A,N/A,FedEx Ground
3359,391047402564,N/A,N/A,N/A,FedEx Ground
7062,391047403207,N/A,N/A,N/A,FedEx Ground
4148,391047403479,N/A,N/A,N/A,FedEx Ground
3377,391047403505,N/A,N/A,N/A,FedEx Ground
6968,391047403711,N/A,N/A,N/A,FedEx Ground
7329,391047403755,N/A,N/A,N/A,FedEx Ground
2840,391047403825,N/A,N/A,N/A,FedEx Ground
5602,391047404008,N/A,N/A,N/A,FedEx Ground
3140,391047404096,N/A,N/A,N/A,FedEx Ground
3144,391047404269,N/A,N/A,N/A,FedEx Ground
5258,391047404339,N/A,N/A,N/A,FedEx Ground
3338,391047404420,N/A,N/A,N/A,FedEx Ground
4517,391047404660,N/A,N/A,N/A,FedEx Ground
840,391047404740,N/A,N/A,N/A,FedEx Ground
5691,391047404795,N/A,N/A,N/A,FedEx Ground
6587,391047404843,N/A,N/A,N/A,FedEx Ground
6586,391047404913,N/A,N/A,N/A,FedEx Ground
6828,391047405026,N/A,N/A,N/A,FedEx Ground
4561,391047405416,N/A,N/A,N/A,FedEx Ground
5453,391047405541,N/A,N/A,N/A,FedEx Ground
4431,391047405552,N/A,N/A,N/A,FedEx Ground
4494,391047405596,N/A,N/A,N/A,FedEx Ground
5993,391047405703,N/A,N/A,N/A,FedEx Ground
3074,391047405770,N/A,N/A,N/A,FedEx Ground
3023,391047405840,N/A,N/A,N/A,FedEx Ground
4595,391047406066,N/A,N/A,N/A,FedEx Ground
5603,391047406088,N/A,N/A,N/A,FedEx Ground
4218,391047406170,N/A,N/A,N/A,FedEx Ground
3817,391047406342,N/A,N/A,N/A,FedEx Ground
6967,391047406490,N/A,N/A,N/A,FedEx Ground
4339,391047406629,N/A,N/A,N/A,FedEx Ground
5875,391047406732,N/A,N/A,N/A,FedEx Ground
2731,391047406813,N/A,N/A,N/A,FedEx Ground
4211,391047406835,N/A,N/A,N/A,FedEx Ground
6264,391047406868,N/A,N/A,N/A,FedEx Ground
3132,391047406890,N/A,N/A,N/A,FedEx Ground
4105,391047407474,N/A,N/A,N/A,FedEx Ground
3504,391047408140,N/A,N/A,N/A,FedEx Ground
2983,391047408323,N/A,N/A,N/A,FedEx Ground
6398,391047408390,N/A,N/A,N/A,FedEx Ground
2858,391047408481,N/A,N/A,N/A,FedEx Ground
4264,391047408562,N/A,N/A,N/A,FedEx Ground
5257,391047408621,N/A,N/A,N/A,FedEx Ground
4434,391047408757,N/A,N/A,N/A,FedEx Ground
4324,391047409205,N/A,N/A,N/A,FedEx Ground
5604,391047409569,N/A,N/A,N/A,FedEx Ground
5661,391047409672,N/A,N/A,N/A,FedEx Ground
6548,391047409694,N/A,N/A,N/A,FedEx Ground
5393,391047409731,N/A,N/A,N/A,FedEx Ground
5758,391047409753,N/A,N/A,N/A,FedEx Ground
4380,391047410003,N/A,N/A,N/A,FedEx Ground
3022,391047410117,N/A,N/A,N/A,FedEx Ground
6894,391047410253,N/A,N/A,N/A,FedEx Ground
2887,391047410264,N/A,N/A,N/A,FedEx Ground
5643,391047410893,N/A,N/A,N/A,FedEx Ground
3355,391047411180,N/A,N/A,N/A,FedEx Ground
5658,391047411330,N/A,N/A,N/A,FedEx Ground
3101,391047426105,N/A,N/A,N/A,FedEx Ground
3161,391047426469,N/A,N/A,N/A,FedEx Ground
4357,391047427513,N/A,N/A,N/A,FedEx Ground
5255,391047427903,N/A,N/A,N/A,FedEx Ground
5205,391047427914,N/A,N/A,N/A,FedEx Ground
7334,391047428120,N/A,N/A,N/A,FedEx Ground
3899,391047428233,N/A,N/A,N/A,FedEx Ground
4159,391047428748,N/A,N/A,N/A,FedEx Ground
4421,391047428921,N/A,N/A,N/A,FedEx Ground
7146,391047429343,N/A,N/A,N/A,FedEx Ground
5267,391047431078,N/A,N/A,N/A,FedEx Ground
5005,391047431516,N/A,N/A,N/A,FedEx Ground
3141,391047432497,N/A,N/A,N/A,FedEx Ground
5259,391047433596,N/A,N/A,N/A,FedEx Ground
6174,391047433986,N/A,N/A,N/A,FedEx Ground
7304,391047434228,N/A,N/A,N/A,FedEx Ground
4366,391047434445,N/A,N/A,N/A,FedEx Ground
6941,391047434743,N/A,N/A,N/A,FedEx Ground
4848,391047434890,N/A,N/A,N/A,FedEx Ground
5609,391047436161,N/A,N/A,N/A,FedEx Ground
4180,391047437694,N/A,N/A,N/A,FedEx Ground
4169,391047437959,N/A,N/A,N/A,FedEx Ground
3070,391047438006,N/A,N/A,N/A,FedEx Ground
3099,391047439057,N/A,N/A,N/A,FedEx Ground
5198,391047439388,N/A,N/A,N/A,FedEx Ground
5876,391047439506,N/A,N/A,N/A,FedEx Ground
5994,391047439826,N/A,N/A,N/A,FedEx Ground
4354,391047439860,N/A,N/A,N/A,FedEx Ground
5633,391047440197,N/A,N/A,N/A,FedEx Ground
2468,391047440223,N/A,N/A,N/A,FedEx Ground
5601,391047440543,N/A,N/A,N/A,FedEx Ground
3314,391047441208,N/A,N/A,N/A,FedEx Ground
4565,391047441241,N/A,N/A,N/A,FedEx Ground
3011,391047441333,N/A,N/A,N/A,FedEx Ground
3356,391047441610,N/A,N/A,N/A,FedEx Ground
920,391047442178,N/A,N/A,N/A,FedEx Ground
5304,391047442502,N/A,N/A,N/A,FedEx Ground
3146,391047442936,N/A,N/A,N/A,FedEx Ground
6813,391047443152,N/A,N/A,N/A,FedEx Ground
7180,391047443233,N/A,N/A,N/A,FedEx Ground
3724,391047443369,N/A,N/A,N/A,FedEx Ground
3179,391047444090,N/A,N/A,N/A,FedEx Ground
4473,391047445475,N/A,N/A,N/A,FedEx Ground
4617,391047445578,N/A,N/A,N/A,FedEx Ground
6814,391047445913,N/A,N/A,N/A,FedEx Ground
4498,391047446118,N/A,N/A,N/A,FedEx Ground
5988,391047446129,N/A,N/A,N/A,FedEx Ground
2465,391047446520,N/A,N/A,N/A,FedEx Ground
5815,391047446791,N/A,N/A,N/A,FedEx Ground
3049,391047446920,N/A,N/A,N/A,FedEx Ground
7004,391047446975,N/A,N/A,N/A,FedEx Ground
2499,391047447114,N/A,N/A,N/A,FedEx Ground
5265,391047447283,N/A,N/A,N/A,FedEx Ground
5306,391047447560,N/A,N/A,N/A,FedEx Ground
4174,391047447662,N/A,N/A,N/A,FedEx Ground
4142,391047447813,N/A,N/A,N/A,FedEx Ground
4425,391047447835,N/A,N/A,N/A,FedEx Ground
5831,391047448496,N/A,N/A,N/A,FedEx Ground
7315,391047448706,N/A,N/A,N/A,FedEx Ground
6176,391047448820,N/A,N/A,N/A,FedEx Ground
3026,391047448886,N/A,N/A,N/A,FedEx Ground
5659,391047449404,N/A,N/A,N/A,FedEx Ground
4275,391047449507,N/A,N/A,N/A,FedEx Ground
5623,391047449595,N/A,N/A,N/A,FedEx Ground
4426,391047459997,N/A,N/A,N/A,FedEx Ground
7340,391047460486,N/A,N/A,N/A,FedEx Ground
6531,391047460556,N/A,N/A,N/A,FedEx Ground
3138,391047461151,N/A,N/A,N/A,FedEx Ground
5654,391047461655,N/A,N/A,N/A,FedEx Ground
5816,391047461850,N/A,N/A,N/A,FedEx Ground
4706,391047462136,N/A,N/A,N/A,FedEx Ground
6207,391047462434,N/A,N/A,N/A,FedEx Ground
7601,391047462721,N/A,N/A,N/A,FedEx Ground
2328,391047463018,N/A,N/A,N/A,FedEx Ground
7205,391047463235,N/A,N/A,N/A,FedEx Ground
525,391047463772,N/A,N/A,N/A,FedEx Ground
5291,391047463875,N/A,N/A,N/A,FedEx Ground
5664,391047463934,N/A,N/A,N/A,FedEx Ground
6233,391047463956,N/A,N/A,N/A,FedEx Ground
5269,391047464231,N/A,N/A,N/A,FedEx Ground
4443,391047464757,N/A,N/A,N/A,FedEx Ground
2414,391047466680,N/A,N/A,N/A,FedEx Ground
5635,391047468281,N/A,N/A,N/A,FedEx Ground
2826,391047470605,N/A,N/A,N/A,FedEx Ground
5321,391047470811,N/A,N/A,N/A,FedEx Ground
4667,391047471370,N/A,N/A,N/A,FedEx Ground
3635,391047471900,N/A,N/A,N/A,FedEx Ground
3084,391047472685,N/A,N/A,N/A,FedEx Ground
4415,391047473019,N/A,N/A,N/A,FedEx Ground
5813,391047477882,N/A,N/A,N/A,FedEx Ground
5132,391047478032,N/A,N/A,N/A,FedEx Ground
4545,391047478503,N/A,N/A,N/A,FedEx Ground
3147,391047478606,N/A,N/A,N/A,FedEx Ground
4527,391047478764,N/A,N/A,N/A,FedEx Ground
4490,391047479201,N/A,N/A,N/A,FedEx Ground
5610,391047479679,N/A,N/A,N/A,FedEx Ground
4140,391047480812,N/A,N/A,N/A,FedEx Ground
7235,391047480970,N/A,N/A,N/A,FedEx Ground
7218,391047481164,N/A,N/A,N/A,FedEx Ground
3178,391047481565,N/A,N/A,N/A,FedEx Ground
3655,391047481944,N/A,N/A,N/A,FedEx Ground
5982,391047482540,N/A,N/A,N/A,FedEx Ground
2998,391047483031,N/A,N/A,N/A,FedEx Ground
4160,391047483373,N/A,N/A,N/A,FedEx Ground
5826,391047483557,N/A,N/A,N/A,FedEx Ground
2226,391047483730,N/A,N/A,N/A,FedEx Ground
6962,391047483785,N/A,N/A,N/A,FedEx Ground
5689,391047484255,N/A,N/A,N/A,FedEx Ground
3411,391047484428,N/A,N/A,N/A,FedEx Ground
5332,391047484689,N/A,N/A,N/A,FedEx Ground
3143,391047484965,N/A,N/A,N/A,FedEx Ground
4184,391047485115,N/A,N/A,N/A,FedEx Ground
5179,391047485126,N/A,N/A,N/A,FedEx Ground
3606,391047485170,N/A,N/A,N/A,FedEx Ground
7229,391047485273,N/A,N/A,N/A,FedEx Ground
5663,391047485652,N/A,N/A,N/A,FedEx Ground
8861,391047485700,N/A,N/A,N/A,FedEx Ground
3845,391047485799,N/A,N/A,N/A,FedEx Ground
6149,391047485836,N/A,N/A,N/A,FedEx Ground
2391,391047485983,N/A,N/A,N/A,FedEx Ground
5013,391047486214,N/A,N/A,N/A,FedEx Ground
7222,391047486523,N/A,N/A,N/A,FedEx Ground
3162,391047486545,N/A,N/A,N/A,FedEx Ground
3071,391047486626,N/A,N/A,N/A,FedEx Ground
2632,391047486843,N/A,N/A,N/A,FedEx Ground
3862,391047486946,N/A,N/A,N/A,FedEx Ground
4525,391047487460,N/A,N/A,N/A,FedEx Ground
6937,391047487828,N/A,N/A,N/A,FedEx Ground
3013,391047495918,N/A,N/A,N/A,FedEx Ground
3442,391047496524,N/A,N/A,N/A,FedEx Ground
5014,391047496568,N/A,N/A,N/A,FedEx Ground
5907,391047496682,N/A,N/A,N/A,FedEx Ground
3139,391047496888,N/A,N/A,N/A,FedEx Ground
5760,391047497130,N/A,N/A,N/A,FedEx Ground
4206,391047499100,N/A,N/A,N/A,FedEx Ground
5817,391047499420,N/A,N/A,N/A,FedEx Ground
2930,391047500185,N/A,N/A,N/A,FedEx Ground
5423,391047500288,N/A,N/A,N/A,FedEx Ground
4700,391047500303,N/A,N/A,N/A,FedEx Ground
7209,391047500483,N/A,N/A,N/A,FedEx Ground
3661,391047500586,N/A,N/A,N/A,FedEx Ground
5981,391047501089,N/A,N/A,N/A,FedEx Ground
6243,391047501160,N/A,N/A,N/A,FedEx Ground
5606,391047501527,N/A,N/A,N/A,FedEx Ground
3638,391047501906,N/A,N/A,N/A,FedEx Ground
5759,391047502968,N/A,N/A,N/A,FedEx Ground
4157,391047504467,N/A,N/A,N/A,FedEx Ground
2689,391047509517,N/A,N/A,N/A,FedEx Ground
5670,391047509940,N/A,N/A,N/A,FedEx Ground
4762,391047510337,N/A,N/A,N/A,FedEx Ground
5819,391047510543,N/A,N/A,N/A,FedEx Ground
2699,391047511160,N/A,N/A,N/A,FedEx Ground
3094,391047513288,N/A,N/A,N/A,FedEx Ground
5108,391047513314,N/A,N/A,N/A,FedEx Ground
5725,391047516195,N/A,N/A,N/A,FedEx Ground
3123,391047517310,N/A,N/A,N/A,FedEx Ground
7098,391047517630,N/A,N/A,N/A,FedEx Ground
5622,391047518728,N/A,N/A,N/A,FedEx Ground
6263,391047519530,N/A,N/A,N/A,FedEx Ground
2801,391047519724,N/A,N/A,N/A,FedEx Ground
3600,391047520393,N/A,N/A,N/A,FedEx Ground
2773,391047521242,N/A,N/A,N/A,FedEx Ground
5820,391047521702,N/A,N/A,N/A,FedEx Ground
3628,391047521735,N/A,N/A,N/A,FedEx Ground
5110,391047521816,N/A,N/A,N/A,FedEx Ground
2392,391047522135,N/A,N/A,N/A,FedEx Ground
7221,391047522180,N/A,N/A,N/A,FedEx Ground
2486,391047522190,N/A,N/A,N/A,FedEx Ground
3354,391047522878,N/A,N/A,N/A,FedEx Ground
3788,391047522890,N/A,N/A,N/A,FedEx Ground
6732,391047523462,N/A,N/A,N/A,FedEx Ground
5637,391047523495,N/A,N/A,N/A,FedEx Ground
5451,391047523554,N/A,N/A,N/A,FedEx Ground
5627,391047523613,N/A,N/A,N/A,FedEx Ground
4134,391047523749,N/A,N/A,N/A,FedEx Ground
5349,391047523852,N/A,N/A,N/A,FedEx Ground
3604,391047523911,N/A,N/A,N/A,FedEx Ground
4197,391047524013,N/A,N/A,N/A,FedEx Ground
4293,391047524057,N/A,N/A,N/A,FedEx Ground
3617,391047524127,N/A,N/A,N/A,FedEx Ground
7337,391047524296,N/A,N/A,N/A,FedEx Ground
5741,391047524491,N/A,N/A,N/A,FedEx Ground
3047,391047524723,N/A,N/A,N/A,FedEx Ground
4530,391047524859,N/A,N/A,N/A,FedEx Ground
5605,391047525156,N/A,N/A,N/A,FedEx Ground
3050,391047525215,N/A,N/A,N/A,FedEx Ground
5106,391047525248,N/A,N/A,N/A,FedEx Ground
3183,391047525329,N/A,N/A,N/A,FedEx Ground
5684,391047525546,N/A,N/A,N/A,FedEx Ground
3357,391047525660,N/A,N/A,N/A,FedEx Ground
7296,391047525719,N/A,N/A,N/A,FedEx Ground
2406,391047528865,N/A,N/A,N/A,FedEx Ground
7043,391047532526,N/A,N/A,N/A,FedEx Ground
3880,391047533485,N/A,N/A,N/A,FedEx Ground
3145,391047534209,N/A,N/A,N/A,FedEx Ground
6798,391047534595,N/A,N/A,N/A,FedEx Ground
7177,391047534600,N/A,N/A,N/A,FedEx Ground
3156,391047534768,N/A,N/A,N/A,FedEx Ground
5754,391047535547,N/A,N/A,N/A,FedEx Ground
3299,391047537907,N/A,N/A,N/A,FedEx Ground
5206,391047540443,N/A,N/A,N/A,FedEx Ground
3605,391047540535,N/A,N/A,N/A,FedEx Ground
7174,391047540605,N/A,N/A,N/A,FedEx Ground
3098,391047541623,N/A,N/A,N/A,FedEx Ground
6936,391047542207,N/A,N/A,N/A,FedEx Ground
3614,391047542376,N/A,N/A,N/A,FedEx Ground
3988,391047543902,N/A,N/A,N/A,FedEx Ground
3330,391047544210,N/A,N/A,N/A,FedEx Ground
3157,391047544335,N/A,N/A,N/A,FedEx Ground
6226,391047544909,N/A,N/A,N/A,FedEx Ground
4757,391047545103,N/A,N/A,N/A,FedEx Ground
5109,391047545949,N/A,N/A,N/A,FedEx Ground
3603,391047546647,N/A,N/A,N/A,FedEx Ground
3622,391047547091,N/A,N/A,N/A,FedEx Ground
4388,391047547231,N/A,N/A,N/A,FedEx Ground
5755,391047547632,N/A,N/A,N/A,FedEx Ground
5678,391047548606,N/A,N/A,N/A,FedEx Ground
5125,391047588780,N/A,N/A,N/A,FedEx Ground
7233,391047589812,N/A,N/A,N/A,FedEx Ground
5421,391047590297,N/A,N/A,N/A,FedEx Ground
5903,391047590470,N/A,N/A,N/A,FedEx Ground
4648,391047590632,N/A,N/A,N/A,FedEx Ground
5183,391047590985,N/A,N/A,N/A,FedEx Ground
4589,391047592197,N/A,N/A,N/A,FedEx Ground
4464,391047592337,N/A,N/A,N/A,FedEx Ground
4580,391047592429,N/A,N/A,N/A,FedEx Ground
3745,391047592598,N/A,N/A,N/A,FedEx Ground
4672,391047593079,N/A,N/A,N/A,FedEx Ground
3184,391047593138,N/A,N/A,N/A,FedEx Ground
3176,391047593241,N/A,N/A,N/A,FedEx Ground
5722,391047593826,N/A,N/A,N/A,FedEx Ground
5767,391047594204,N/A,N/A,N/A,FedEx Ground
6975,391047594260,N/A,N/A,N/A,FedEx Ground
3512,391047594833,N/A,N/A,N/A,FedEx Ground
4504,391047594958,N/A,N/A,N/A,FedEx Ground
2451,391047595200,N/A,N/A,N/A,FedEx Ground
5204,391047595233,N/A,N/A,N/A,FedEx Ground
5782,391047595288,N/A,N/A,N/A,FedEx Ground
2425,391047596858,N/A,N/A,N/A,FedEx Ground
6577,391047597074,N/A,N/A,N/A,FedEx Ground
2743,391047597545,N/A,N/A,N/A,FedEx Ground
6166,391047597924,N/A,N/A,N/A,FedEx Ground
5459,391047597979,N/A,N/A,N/A,FedEx Ground
5188,391047598151,N/A,N/A,N/A,FedEx Ground
5804,391047598552,N/A,N/A,N/A,FedEx Ground
5769,391047598725,N/A,N/A,N/A,FedEx Ground
6590,391047599401,N/A,N/A,N/A,FedEx Ground
4756,391047599743,N/A,N/A,N/A,FedEx Ground
5790,391047599787,N/A,N/A,N/A,FedEx Ground
5925,391047600041,N/A,N/A,N/A,FedEx Ground
5043,391047600350,N/A,N/A,N/A,FedEx Ground
4114,391047600383,N/A,N/A,N/A,FedEx Ground
7309,391047600556,N/A,N/A,N/A,FedEx Ground
3619,391047600604,N/A,N/A,N/A,FedEx Ground
4747,391047601081,N/A,N/A,N/A,FedEx Ground
6459,391047601195,N/A,N/A,N/A,FedEx Ground
3082,391047601232,N/A,N/A,N/A,FedEx Ground
7072,391047601633,N/A,N/A,N/A,FedEx Ground
5119,391047602103,N/A,N/A,N/A,FedEx Ground
3727,391047602136,N/A,N/A,N/A,FedEx Ground
4524,391047602191,N/A,N/A,N/A,FedEx Ground
2500,391047619153,N/A,N/A,N/A,FedEx Ground
3736,391047620569,N/A,N/A,N/A,FedEx Ground
5427,391047620890,N/A,N/A,N/A,FedEx Ground
7317,391047621006,N/A,N/A,N/A,FedEx Ground
4657,391047621315,N/A,N/A,N/A,FedEx Ground
4691,391047621473,N/A,N/A,N/A,FedEx Ground
7262,391047621576,N/A,N/A,N/A,FedEx Ground
4413,391047623650,N/A,N/A,N/A,FedEx Ground
1328,391049212724,N/A,N/A,N/A,FedEx Ground
4643,391049212805,N/A,N/A,N/A,FedEx Ground
515,391049213514,N/A,N/A,N/A,FedEx Ground
5162,391049213797,N/A,N/A,N/A,FedEx Ground
1956,391049214142,N/A,N/A,N/A,FedEx Ground
1981,391049214212,N/A,N/A,N/A,FedEx Ground
5326,391049215090,N/A,N/A,N/A,FedEx Ground
5270,391049215447,N/A,N/A,N/A,FedEx Ground
2201,391049216580,N/A,N/A,N/A,FedEx Ground
2016,391049216671,N/A,N/A,N/A,FedEx Ground
3408,391049218490,N/A,N/A,N/A,FedEx Ground
4451,391049218516,N/A,N/A,N/A,FedEx Ground
2295,391049218685,N/A,N/A,N/A,FedEx Ground
2664,391049218799,N/A,N/A,N/A,FedEx Ground
5039,391049219041,N/A,N/A,N/A,FedEx Ground
2908,391049219177,N/A,N/A,N/A,FedEx Ground
1960,391049228296,N/A,N/A,N/A,FedEx Ground
2860,391049228870,N/A,N/A,N/A,FedEx Ground
5629,391049229134,N/A,N/A,N/A,FedEx Ground
4557,391049229796,N/A,N/A,N/A,FedEx Ground
937,391049230220,N/A,N/A,N/A,FedEx Ground
615,391049231395,N/A,N/A,N/A,FedEx Ground
3475,391049233126,N/A,N/A,N/A,FedEx Ground
5922,391049234604,N/A,N/A,N/A,FedEx Ground
3207,391049234729,N/A,N/A,N/A,FedEx Ground
5731,391049235493,N/A,N/A,N/A,FedEx Ground
6789,391049235633,N/A,N/A,N/A,FedEx Ground
4444,391049235699,N/A,N/A,N/A,FedEx Ground
3379,391049236103,N/A,N/A,N/A,FedEx Ground
3709,391049236607,N/A,N/A,N/A,FedEx Ground
942,391049236662,N/A,N/A,N/A,FedEx Ground
5841,391049236879,N/A,N/A,N/A,FedEx Ground
586,391049237029,N/A,N/A,N/A,FedEx Ground
1541,391049237280,N/A,N/A,N/A,FedEx Ground
4558,391049237408,N/A,N/A,N/A,FedEx Ground
2280,391049237599,N/A,N/A,N/A,FedEx Ground
2252,391049239639,N/A,N/A,N/A,FedEx Ground
1862,391049239753,N/A,N/A,N/A,FedEx Ground
3208,391049239801,N/A,N/A,N/A,FedEx Ground
3861,391049240459,N/A,N/A,N/A,FedEx Ground
6998,391049240481,N/A,N/A,N/A,FedEx Ground
2772,391049240676,N/A,N/A,N/A,FedEx Ground
2077,391049241834,N/A,N/A,N/A,FedEx Ground
2265,391049242131,N/A,N/A,N/A,FedEx Ground
2503,391049242175,N/A,N/A,N/A,FedEx Ground
5772,391049242223,N/A,N/A,N/A,FedEx Ground
959,391049242874,N/A,N/A,N/A,FedEx Ground
2424,391049242955,N/A,N/A,N/A,FedEx Ground
4564,391049243470,N/A,N/A,N/A,FedEx Ground
2272,391049243572,N/A,N/A,N/A,FedEx Ground
1579,391049243583,N/A,N/A,N/A,FedEx Ground
2948,391049243723,N/A,N/A,N/A,FedEx Ground
2135,391049243984,N/A,N/A,N/A,FedEx Ground
1833,391049244270,N/A,N/A,N/A,FedEx Ground
4272,391049244671,N/A,N/A,N/A,FedEx Ground
2084,391049244833,N/A,N/A,N/A,FedEx Ground
1513,391049245152,N/A,N/A,N/A,FedEx Ground
