STORE_NBR,DEPT_NBR,PRIME_ITEM_NBR,ITEM1_DESC,OH
2240,7,651706231,PR SWING SET,15
2423,7,651706231,PR SWING SET,15
3693,7,651706231,PR SWING SET,15
1854,7,651706231,PR SWING SET,15
2501,7,651706231,PR SWING SET,15
3716,7,651706231,PR SWING SET,14
2449,7,651706231,PR SWING SET,14
5802,7,651706231,PR SWING SET,14
2302,7,651706231,PR SWING SET,13
2072,7,651706231,PR SWING SET,12
2026,7,651706231,PR SWING SET,12
5803,7,651706231,PR SWING SET,12
12,9,554028354,SD SCOUT 14 SS CANOE,18
1180,74,650841151,10.5G SLIM - WHITE,37
3625,74,650841151,10.5G SLIM - WHITE,28
5823,74,650841152,10.5G SLIM - GRAY,24
1554,74,650841152,10.5G SLIM - GRAY,23
2721,74,650841151,10.5G SLIM - WHITE,22
2492,74,650841151,10.5G SLIM - WHITE,22
3896,74,650841152,10.5G SLIM - GRAY,22
2072,74,650841151,10.5G SLIM - WHITE,20
927,74,650841151,10.5G SLIM - WHITE,20
1854,74,650841151,10.5G SLIM - WHITE,19
2562,74,650841151,10.5G SLIM - WHITE,18
2072,74,650841152,10.5G SLIM - GRAY,18
3169,74,650841152,10.5G SLIM - GRAY,18
1803,74,650841151,10.5G SLIM - WHITE,16
869,74,650841151,10.5G SLIM - WHITE,16
467,74,650841151,10.5G SLIM - WHITE,16
2753,74,650841152,10.5G SLIM - GRAY,16
2721,74,650841152,10.5G SLIM - GRAY,16
467,74,650841152,10.5G SLIM - GRAY,16
2501,74,650841151,10.5G SLIM - WHITE,15
4520,74,650841151,10.5G SLIM - WHITE,15
1301,74,650841152,10.5G SLIM - GRAY,15
2026,71,596566289,PR GAMING DESK,29
5803,71,596566289,PR GAMING DESK,21
1854,71,596566289,PR GAMING DESK,20
2528,9,597308264,KOKANEE KAYAK,30
5261,9,597398564,CATCH CLASSIC 100,35
2188,9,586315018,SABER 100XP,31
2199,9,597398570,SABER 100XP,25
2441,7,551224953,LITTLE TIKES TURTLE,40
816,7,551224953,LITTLE TIKES TURTLE,33
5261,9,578512199,LIFETIME SOT ANGLER,31
396,7,568100101,24V GRAVE DIGGER,28
2722,9,597308265,TUNDRA KAYAK,103
4474,9,597308265,TUNDRA KAYAK,101
2074,9,597308265,TUNDRA KAYAK,68
2071,9,597308265,TUNDRA KAYAK,47
2188,9,597308265,TUNDRA KAYAK,37
508,9,597308265,TUNDRA KAYAK,32
1123,9,597308265,TUNDRA KAYAK,30
986,9,587412990,TAHOMA KAYAK,60
1608,9,587412990,TAHOMA KAYAK,37
3537,9,587412990,TAHOMA KAYAK,32
1565,9,587412990,TAHOMA KAYAK,31
1872,9,587412990,TAHOMA KAYAK,28
5195,9,587412990,TAHOMA KAYAK,28
4474,9,586325106,KAYAK PIKES RUN 100,47
2188,9,586325106,KAYAK PIKES RUN 100,42
4359,9,586325106,KAYAK PIKES RUN 100,30
2722,9,597417536,TAHOMA KAYAK,111
5428,9,597417536,TAHOMA KAYAK,81
2317,9,597417536,TAHOMA KAYAK,62
4474,9,597417536,TAHOMA KAYAK,56
2074,9,597417536,TAHOMA KAYAK,51
5272,9,597417536,TAHOMA KAYAK,48
4359,9,597417536,TAHOMA KAYAK,46
