Store / Club #,Vision Center NPI #,Tax ID,Davis Vision Office ID #,Superior Vision Office ID #
493,1114088770,71-0862119,55396,32094
494,1528144722,71-0862119,46228,31198
495,1154404960,71-0862119,46229,31678
497,1992887806,71-0862119,46230,32461
500,1710069679,74-3019386,46231,34227
501,1245313055,71-0862119,46232,31544
502,1164508560,71-0862119,46233,31570
504,1366543886,74-3019386,46234,34288
505,1225111354,71-0862119,46235,31256
507,1427137421,71-0862119,53499,31157
508,1205935574,74-3019386,46236,34018
510,1922104173,71-0862119,53867,32311
511,1417039744,71-0862119,46237,31351
512,1811066897,74-3019386,46238,33994
513,1518040047,74-3019386,46239,34105
514,1295817393,71-0862119,46240,31756
515,1841067782,71-0862119,118406,70609
516,1285719781,74-3019386,46241,34012
518,1922875764,71-0862119,118407,70610
519,1215098801,71-0862119,55565,32588
520,1740379601,71-0862119,46242,32380
521,1467535500,71-0862119,46243,31919
522,1205935640,74-3019386,46244,34053
526,1740363381,71-0862119,46245,32260
528,1215037015,71-0862119,46246,32047
529,1558138396,74-3019386,118404,70611
530,1437231941,71-0415188,46247,29984
531,1497824874,71-0862119,46248,32119
532,1427137488,71-0862119,46249,32101
533,1245309616,71-0862119,46250,31311
535,1205910866,74-3019386,46252,34223
536,1043391741,74-3019386,51641,34075
537,1780767210,74-3019386,46253,34215
538,1972840098,71-0862119,35125,32559
539,1992572739,71-0862119,118409,70612
540,1093898017,71-0862119,46254,32918
541,1902989924,71-0862119,46255,32845
542,1386720621,71-0862119,46256,31553
543,1326126111,71-0862119,46257,31552
544,1235913922,71-0862119,117750,69834
546,1487750774,74-3019386,46258,34251
547,1386735819,71-0862119,46259,31957
548,1902672751,71-0862119,118410,70613
549,1821176876,71-0862119,40723,32279
551,1215028691,71-0862119,46260,31196
553,1356425433,71-0862119,46261,32296
555,1093804957,71-0862119,46262,31894
556,1215703160,71-0862119,118411,70614
557,1831965680,71-0415188,118568,70615
558,1104906866,71-0415188,46263,30001
559,1154402295,71-0415188,46264,30017
560,1992888119,71-0862119,46265,32354
562,1619066578,71-0862119,46266,32827
563,1487752580,71-0862119,46267,31887
564,1750133831,71-0862119,119357,71548
565,1396821872,74-3019386,46268,34188
569,1184872475,71-0862119,61136,32057
571,1659454296,71-0862119,46270,31251
572,1669555264,74-3019386,46271,34013
573,1700897519,71-0862119,46272,31161
574,1427139807,71-0862119,46273,31997
575,1710753561,71-0862119,118412,70616
576,1265174148,71-0862119,115424,64952
577,1265514863,71-0415188,46274,29731
578,1245312172,71-0862119,46275,31425
579,1740388842,71-0862119,46276,31870
580,1679349427,71-0862119,118413,70617
581,1649353913,71-0415188,46277,29995
582,1902997448,71-0862119,46278,31519
583,1063594208,71-0862119,46279,31692
584,1609958859,71-0862119,46280,31698
585,1760258529,71-0862119,118414,70618
586,1932283538,71-0862119,46281,31986
587,1427130673,71-0862119,46282,31746
588,1659147411,71-0862119,118415,70619
589,1154403087,71-0862119,46283,31294
590,1225111784,74-3019386,46284,34282
591,1992836498,71-0862119,56013,32785
592,1558137315,71-0415188,118569,70620
593,1245006006,71-0862119,118416,70621
594,1346339207,71-0862119,46285,31338
595,1336248749,74-3019386,46286,34088
598,1619052214,71-0415188,46288,30216
599,1063594992,71-0862119,46289,32135
600,1598846982,74-3019386,49732,34157
601,1700968286,74-3019386,46290,34258
602,1104925528,74-3019386,46291,33987
603,1902987498,71-0415188,46292,30058
604,1083797187,71-0862119,46293,32370
605,1255420113,71-0862119,49354,31688
608,1891878336,74-3019386,46294,34226
609,1205917044,71-0862119,46295,32251
610,1538241500,74-3019386,46296,34154
611,1144096900,71-0862119,118417,70622
612,1477636090,71-0415188,46297,29921
613,1033219837,71-0862119,46298,31494
614,1427824275,71-0862119,118422,70623
615,1073699278,71-0862119,46299,31178
616,1467547026,71-0862119,53868,32006
618,1851167613,71-0862119,118424,70624
619,1336239789,71-0862119,46300,32089
620,1245320696,71-0862119,46301,31810
621,1700165651,71-0862119,2596,32862
622,1477125771,71-0862119,114582,62188
623,1023118726,71-0862119,46302,32525
624,1366531279,71-0862119,46303,32018
625,1356117113,71-0862119,118428,70625
628,1609642487,71-0862119,118429,70626
631,1639250012,71-0862119,51523,31275
632,1568594570,71-0862119,53242,31453
633,1760563779,71-0415188,46304,30300
634,1962584086,71-0862119,46305,31838
635,1154197945,71-0862119,118430,70627
636,1295816189,71-0415188,46306,29899
637,1457436057,71-0415188,46307,29868
638,1790866184,71-0862119,46308,31559
639,1134995921,71-0862119,118431,70628
640,1891879177,71-0862119,46309,31441
641,1972693083,71-0862119,46310,32623
643,1124101050,71-0862119,46311,31223
644,1780766899,71-0862119,46312,32660
645,1912087628,71-0415188,46313,29936
648,1114001740,71-0862119,46314,31564
649,1215036736,71-0862119,46315,32129
651,1780783126,74-3019386,46316,34214
652,1720854516,71-0415188,118570,70629
653,1265515985,71-0862119,46317,32066
655,1144310590,71-0862119,46318,31611
656,1568545101,71-0862119,46319,31663
657,1801978713,71-0862119,46320,32755
658,1073602934,71-0862119,46321,31935
659,1962592311,71-0862119,46322,32707
660,1609952803,71-0862119,46323,32493
661,1114016045,71-0862119,46324,31186
662,1528834314,71-0862119,118432,70630
663,1285717306,71-0862119,51075,31635
664,1104907179,71-0415188,46325,30147
665,1710069620,71-0862119,46326,32723
666,1033218557,71-0862119,46327,32226
667,1114009040,71-0862119,46328,31778
668,1023190956,71-0862119,46329,32878
669,1811078520,71-0862119,49355,31945
670,1346322781,71-0862119,46330,32641
671,1932281862,71-0862119,46331,32626
672,1881776797,71-0862119,46332,31202
673,1336221258,71-0862119,46333,32095
674,1154403079,71-0862119,46334,31249
675,1952483877,71-0862119,46335,31530
676,1083796981,71-0862119,46336,31243
677,1598848210,71-0862119,46337,31970
678,1942383666,71-0862119,46338,31220
680,1760565485,71-0862119,46339,32270
681,1538258462,71-0862119,46340,31288
682,1467538603,71-0862119,46341,31717
683,1396827218,71-0862119,46342,31785
684,1114000718,71-0862119,46343,32527
685,1043393770,71-0862119,46344,32431
686,1992887368,71-0862119,46345,31298
687,1023191624,71-0862119,46346,45192
688,1043341266,71-0862119,56349,32576
689,1124101852,71-0862119,46347,31614
690,1205919933,71-0862119,50232,31167
691,1427130863,71-0862119,46348,31721
692,1740363472,71-0862119,46349,31156
694,1306901202,71-0862119,55425,31296
695,1659454387,71-0862119,46350,31837
697,1821196817,71-0862119,46351,31955
698,1932282530,71-0862119,46352,32391
699,1073696886,71-0862119,46353,31941
700,1992888713,71-0862119,46354,31476
701,1225111313,71-0862119,46355,32473
702,1699856765,71-0862119,46356,31656
703,1801995253,74-3019386,46357,34155
705,1437257383,71-0862119,46358,31586
706,1417055377,71-0862119,46359,32753
708,1992888796,71-0862119,46360,31795
709,1003997172,71-0862119,46361,31153
710,1821179912,71-0862119,46362,32384
711,1720169816,71-0862119,50751,31864
712,1447332903,71-0862119,46363,31909
715,1972685311,71-0862119,46364,31480
718,1922107770,71-0862119,46365,31781
719,1790867307,71-0862119,46366,32799
720,1699857391,71-0862119,46367,32081
721,1326147745,71-0862119,46368,31676
722,1871675215,71-0862119,52460,31600
723,1366531600,71-0862119,46369,31430
724,1922198126,71-0862119,46370,32645
725,1598851339,71-0862119,46371,32249
726,1609958909,71-0862119,46372,31966
727,1790874998,71-0862119,53006,31518
728,1417039710,71-0862119,49356,31912
729,1881776490,71-0862119,49702,32276
730,1215026182,71-0862119,46373,32342
731,1932298809,71-0862119,52462,32912
733,1659453843,71-0862119,46374,32216
734,1013006980,71-0862119,46375,32598
735,1033291760,71-0862119,46376,31971
737,1033292537,71-0862119,50951,31388
738,1609960061,71-0862119,53255,31816
739,1447332929,71-0862119,46377,32938
740,1568544765,71-0862119,46378,31498
741,1053499095,71-0862119,46379,32875
742,1962580902,71-0862119,46380,31925
744,1154420420,74-3019386,46381,34287
745,1780450569,71-0862119,118433,70631
746,1902904469,74-3019386,46382,34179
748,1982785143,71-0415188,46383,30010
749,1831637818,71-0415188,49492,41032
752,1437258332,74-3019386,46384,34249
753,1235210378,71-0415188,46385,30204
754,1679349450,71-0862119,118434,70632
755,1366523730,74-3019386,46386,34230
756,1497838965,71-0862119,46387,31390
757,1548369440,74-3019386,46388,34118
758,1891877916,71-0862119,55793,31591
759,1699869982,71-0862119,46389,31451
761,1285795898,71-0862119,55397,32443
762,1750464731,71-0862119,46390,32884
764,1548341910,71-0862119,46391,32743
765,1114025681,74-3019386,46392,34076
766,1174606008,71-0862119,46393,32105
767,1043304330,71-0862119,46394,31999
768,1326147646,74-3019386,46395,34033
769,1447359898,71-0862119,46396,32348
770,1649351610,71-0415188,46397,30078
771,1740374941,71-0862119,46398,31471
772,1215036538,74-3019386,46399,34185
773,1427132075,71-0862119,53658,31499
774,1629151964,71-0415188,46400,30329
775,1548466717,71-0415188,57102,30269
776,1245313584,71-0415188,46401,30020
777,1629176110,74-3019386,46402,34175
778,1417126111,71-0862119,59116,32465
779,1376644690,71-0862119,46403,32219
780,1184705550,71-0862119,46404,31760
781,1881793115,74-3019386,46405,34146
782,1285733451,74-3019386,49733,34174
784,1811078637,71-0415188,46406,29624
785,1245313014,71-0862119,46407,31396
786,1366523854,71-0415188,46408,29926
787,1295501070,71-0862119,118436,70633
789,1619052552,74-3019386,46410,34101
790,1093895708,71-0415188,46411,29849
791,1205935194,74-3019386,46412,34147
794,1831965615,71-0415188,118572,70634
797,1588747125,71-0415188,46413,30051
799,1013098490,71-0415188,46414,29944
800,1861592651,71-0862119,46415,31927
801,1578647103,71-0862119,46416,31532
804,1376627935,74-3019386,51643,34271
805,1609959824,71-0862119,46417,32662
806,1285400069,71-0862119,118437,70635
807,1255412268,74-3019386,46418,34285
808,1114026002,74-3019386,46419,34016
809,1083798672,71-0862119,46420,32880
810,1982785150,71-0415188,46421,30134
811,1245321686,71-0862119,46422,31993
813,1992875637,74-3019386,46424,34203
815,1417038902,71-0862119,46426,9936
816,1144308388,71-0862119,46427,32909
817,1265521868,71-0862119,46428,32386
818,1871684258,71-0862119,46429,31200
819,1124119508,71-0862119,46430,31541
821,1992883946,71-0862119,1665,32263
822,1346321791,74-3019386,46431,34186
824,1720161292,71-0862119,1662,32777
826,1710753595,71-0862119,118438,70636
827,1205912789,74-3019386,46432,34274
828,1104909035,71-0862119,51921,31873
829,1316029820,71-0862119,49357,32159
835,1346016128,71-0862119,118439,70637
836,1356423297,71-0862119,46435,32667
839,1235217464,71-0862119,46436,32894
842,1710077995,71-0415188,46437,30137
844,1144308446,71-0415188,46438,30060
847,1225191901,71-0862119,55398,32605
848,1326126566,71-0862119,46439,32686
849,1003915992,74-3019386,46440,34067
850,1427824200,71-0862119,118440,70638
851,1861640153,71-0862119,60942,59009
852,1467533570,71-0415188,53655,30124
853,1003999087,71-0862119,46441,32690
854,1063594984,71-0862119,46442,31903
855,1629168208,71-0862119,51071,32429
856,1538259114,71-0862119,46443,32326
857,1033200415,71-0862119,46444,32252
859,1477644854,71-0862119,46445,31719
860,1386735769,71-0862119,46446,31576
861,1528149994,74-3019386,46447,34217
862,1265514384,71-0862119,46448,32745
864,1568543924,71-0862119,46449,32110
865,1881785509,74-3019386,46450,34015
866,1508632399,71-0862119,118442,70639
867,1972686434,71-0415188,46451,30059
868,1356423834,71-0862119,1664,31889
869,1649356890,71-0415188,46452,30061
870,1154403301,71-0862119,46453,32327
872,1700985801,74-3019386,51790,34099
874,1609954841,71-0862119,46454,32117
875,1821176066,71-0862119,46455,32794
876,1104134725,71-0862119,66701,31949
877,1033985825,71-0862119,118443,70640
878,1194591982,71-0862119,118444,70641
879,1316025364,71-0862119,46456,32349
880,1558444000,74-3019386,46457,34207
881,1346016136,71-0862119,118446,70642
882,1508947656,71-0862119,46458,32283
884,1003997495,71-0862119,46459,31920
886,1689755571,71-0415188,46460,30023
889,1619743416,71-0862119,118453,70643
890,1699803387,71-0862119,46461,31258
891,1013091644,71-0415188,46462,30131
892,1942381835,71-0415188,46463,29609
896,1790866705,74-3019386,46464,34123
899,1811078272,71-0862119,49359,32188
901,1558460790,74-3019386,46465,34255
902,1861574782,71-0862119,46466,31610
903,1295813426,71-0862119,46467,31989
904,1356431944,71-0862119,46468,31818
905,1184707697,71-0415188,46469,29923
906,1497837926,71-0862119,1668,31560
908,1699866087,71-0862119,46470,32790
909,1124382114,71-0862119,31593,32791
910,1114000858,71-0862119,46471,31733
911,1144308370,71-0862119,46472,32437
912,1922425875,71-0862119,31947,32602
913,1750462800,71-0415188,46474,29826
914,1902901184,71-0862119,52837,31419
915,1427824226,74-3019386,118405,70644
916,1992884944,71-0862119,46475,32614
918,1871676486,74-3019386,46476,34078
919,1073613832,71-0862119,46477,32739
922,1417039660,71-0862119,46478,31872
923,1285716100,71-0862119,46479,31574
924,1225804024,71-0415188,118573,70645
927,1740361104,74-3019386,44632,34058
928,1063992378,71-0862119,57656,46421
929,1417048802,71-0862119,46480,31224
931,1518067354,71-0862119,46482,32542
932,1982786000,71-0862119,46483,31510
934,1962584094,71-0862119,46484,31998
935,1053499285,71-0862119,46485,32868
936,1619058104,71-0415188,46486,29675
937,1134203730,71-0862119,46487,32005
938,1043394646,71-0862119,46488,32654
939,1740366228,74-3019386,46489,34220
940,1891879458,74-3019386,46490,34290
941,1689030181,71-0862119,37423,31788
942,1770683567,71-0862119,46491,31211
943,1083705420,71-0862119,50874,59532
945,1386725745,74-3019386,46492,34296
947,1891876892,74-3019386,46493,34200
948,1134201577,71-0862119,49360,31940
950,1831272335,71-0862119,46495,32811
952,1437925245,71-0862119,118455,70646
953,1285717744,71-0415188,46496,29715
954,1063897510,71-0862119,37420,32504
955,1689774432,71-0862119,46497,31580
956,1962877415,71-0862119,37226,31165
958,1407937329,71-0862119,53007,31623
959,1154412591,71-0862119,46498,31802
960,1366531972,71-0862119,46499,31241
961,1962580191,71-0862119,50597,31538
962,1336221076,71-0415188,53897,30004
963,1184707648,74-3019386,46500,34092
964,1679656177,74-3019386,46501,34346
965,1265513261,71-0862119,46502,31831
966,1073693073,71-0415188,46503,29838
967,1992896252,71-0862119,46504,31455
969,1184703134,71-0862119,46505,32895
970,1316020449,71-0862119,46506,31866
972,1700960366,74-3019386,46508,34284
973,1477653269,71-0862119,46509,32482
974,1780784587,71-0862119,46510,32817
976,1912085150,71-0862119,46511,32182
979,1952482788,71-0862119,46512,31527
980,1285732776,71-0415188,54088,30035
981,1437232550,71-0862119,46513,31599
982,1437230232,71-0415188,46514,29649
984,1750461950,71-0415188,46515,29716
987,1780760017,71-0862119,46516,31454
988,1265768436,71-0862119,63314,31515
989,1366676280,71-0862119,62479,32854
990,1336230614,71-0862119,46517,32451
991,1811078280,71-0862119,46518,31175
992,1023760188,71-0862119,115840,65381
993,1225118854,71-0415188,46519,29887
994,1134210412,71-0862119,46520,32840
995,1710060652,71-0862119,46521,31783
999,1003246844,74-3019386,7584,34303
1000,1366545899,74-3019386,53523,34151
1001,1508948241,71-0415188,46522,30128
1002,1508949223,71-0862119,46523,31842
1003,1891876397,71-0415188,46524,30275
1004,1528159803,71-0862119,46525,32508
1005,1295816452,71-0415188,53263,29974
1006,1588430391,71-0862119,118456,70647
1007,1770666398,71-0862119,46526,31890
1008,1891989208,71-0415188,57680,29946
1009,1497836985,71-0862119,46527,31278
1010,1306935275,71-0862119,51355,32714
1011,1447026166,71-0862119,118459,70648
1012,1952484164,71-0862119,44631,8435
1014,1033290523,71-0862119,46528,32316
1015,1154404697,74-3019386,46529,34310
1016,1184702326,71-0862119,46530,32337
1017,1689736233,71-0862119,55399,31737
1018,1306929096,71-0862119,50746,31231
1019,1861574501,71-0415188,46531,30036
1020,1346321148,71-0415188,46532,29772
1021,1114008604,71-0862119,49361,32464
1022,1912088352,74-3019386,49362,34189
1023,1962591628,71-0862119,46533,31266
1024,1245313188,71-0862119,50747,32344
1025,1437232600,71-0862119,46534,31534
1026,1902938145,71-0862119,53656,32136
1027,1336915057,71-0862119,118462,70649
1028,1326122409,71-0415188,46535,30120
1030,1144302597,71-0862119,46536,32783
1032,1184857351,71-0862119,63177,31771
1033,1174606750,71-0862119,46537,31525
1034,1902672637,71-0862119,118465,70650
1035,1588746606,71-0862119,46538,31422
1036,1346016078,71-0862119,118468,70651
1037,1962583849,71-0862119,46539,31376
1039,1366524407,71-0862119,52006,31839
1040,1427151950,74-3019386,46540,34068
1041,1700989639,74-3019386,50899,34031
1042,1083715585,74-3019386,46541,34238
1044,1912004375,74-3019386,53851,34247
1045,1285830117,71-0415188,57383,30304
1047,1952177685,71-0862119,118469,70652
1048,1932287984,71-0862119,46542,32582
1052,1023108628,71-0862119,46544,32132
1053,1912085960,71-0862119,46545,31189
1055,1407938707,74-3019386,46547,34250
1058,1194808899,71-0415188,46548,29797
1059,1932298726,71-0862119,53852,31368
1060,1720413909,71-0862119,4657,32931
1062,1922104314,74-3019386,46549,34057
1064,1942385844,71-0862119,54288,32892
1066,1134202385,71-0862119,46551,32363
1068,1609967991,71-0862119,46552,31723
1070,1932282621,71-0862119,46553,32844
1071,1679654792,71-0415188,46554,30252
1072,1114009248,71-0862119,46555,31645
