Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL,
59,5/19/2023,398355701225,1501 S Range Line Rd,Joplin,MO,64804,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355701225,
60,5/19/2023,398355699037,101 Highway 47 E,Troy,MO,63379,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355699037,
61,5/19/2023,398355702725,301 E Cooper Blvd.,Warrensburg,MO,64093-1260,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355702725,
62,5/19/2023,398355704040,3700 E Highway 18,Blytheville,AR,72315,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355704040,
63,5/19/2023,398355704680,410 S Dewey Ave,Wagoner,OK,74467,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355704680,
64,5/19/2023,398355704912,1100 S Dupree Ave,Brownsville,TN,38012,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355704912,
65,5/19/2023,398355649937,350 Park Ridge Rd,Sullivan,MO,63080,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355649937,
66,5/19/2023,398355653333,230 Market St.,Clarksville,AR,72830,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355653333,
67,5/19/2023,398355654969,600 Highway 71 N,Mena,AR,71953,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355654969,
68,5/19/2023,398355656148,800 Highway 64 E,Wynne,AR,72396,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355656148,
69,5/19/2023,398355655303,650 S Truman Blvd,Festus,MO,63028,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355655303,
70,5/19/2023,398355656891,798 W Service Rd,West Memphis,AR,72301,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355656891,
71,5/19/2023,398355658184,1415 Highway 67 S,Pocahontas,AR,72455,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355658184,
72,5/19/2023,398355659283,2710 N Broadway St,Pittsburg,KS,66762,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355659283,
73,5/19/2023,398355659228,1002 W Taft St,Sapulpa,OK,74066,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355659228,
74,5/19/2023,398355661375,2720 W Keiser Ave,Osceola,AR,72370,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355661375,
75,5/19/2023,398355661629,3636 Monroe Hwy,Pineville,LA,71360,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355661629,
76,5/19/2023,398355662062,1000 W Trimble Ave,Berryville,AR,72616,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355662062,
77,5/19/2023,398355662647,3701 N Main St,Taylor,TX,76574,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355662647,
78,5/19/2023,398355663460,14740 State Highway 38,Marshfield,MO,65706,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355663460,
79,5/19/2023,398355664238,2623 W 7Th St,Joplin,MO,64801,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355664238,
