DC,BANNER ,CATEGORY ,Pick Type,ITEM #,ITEM DESC,Ti ,Hi , Pack Height 
6055,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
6055,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
6055,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
6055,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
6055,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
6055,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
6055,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
6055,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
6056,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
6056,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
6056,SAMS,CUT FLORAL,FPP,980013321,PREMIUM MAJESTIC,1,1,24
6056,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
6056,SAMS,CUT FLORAL,FPP,980105826,MOTHER'S DAY BOUQUET,1,1,24
6056,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
6056,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
6056,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
6056,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
6056,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
6056,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
6056,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
6056,SAMS,CUT FLORAL,FPP,980268811,MOTHER'S DAY ROSE,1,1,25
6056,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
6057,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
6057,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
6057,SAMS,CUT FLORAL,FPP,980013321,PREMIUM MAJESTIC,1,1,24
6057,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
6057,SAMS,CUT FLORAL,FPP,980105826,MOTHER'S DAY BOUQUET,1,1,24
6057,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
6057,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
6057,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
6057,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
6057,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
6057,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
6057,SAMS,CUT FLORAL,FPP,980268811,MOTHER'S DAY ROSE,1,1,25
6057,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
6059,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
6059,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
6059,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
6059,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
6059,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
6059,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
6059,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
6059,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
6059,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
6059,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
6059,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
6065,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
6065,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
6065,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
6065,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
6065,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
6065,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
6065,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
6065,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
6065,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
6065,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
6065,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
6074,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
6074,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
6074,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
6074,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
6074,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
6074,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
6074,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
6074,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
6074,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
6074,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
6074,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
6091,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
6091,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
6091,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
6091,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
6091,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
6091,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
6091,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
6091,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
6091,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
6091,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
6091,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
6096,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
6096,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
6096,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
6096,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
6096,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
6096,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
6096,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
6096,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
6096,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
6096,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
6096,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
7012,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
7012,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
7012,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
7012,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
7012,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
7012,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
7012,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
7012,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
7012,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
7012,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
7012,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
7024,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
7024,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
7024,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
7024,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
7024,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
7024,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
7024,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
7024,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
7024,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
7024,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
7024,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
7030,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
7030,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
7030,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
7030,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
7030,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
7030,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
7030,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
7030,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
7030,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
7030,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
7077,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
7077,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
7077,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
7077,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
7077,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
7077,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
7077,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
7077,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
7077,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
7077,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
7077,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
7079,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
7079,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
7079,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
7079,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
7079,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
7079,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
7079,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
7079,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
7079,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
7079,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
7079,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
8397,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
8397,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
8397,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
8397,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
8397,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
8397,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
8397,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
8397,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
8397,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
8397,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
8397,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
8851,SAMS,CUT FLORAL,FPP,214451,ROSE ARRANGEMENT,1,1,24
8851,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
8851,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
8851,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
8851,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
8851,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
8851,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
8851,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
8851,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
8851,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
8851,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
6042,WM,CUT FLORAL,Case Pick,599903580,CB MD LG CARN DB DI,6,3,24.5
6042,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6042,WM,CUT FLORAL,Case Pick,599903580,CB MD LG CARN DB DI,6,3,24.5
6042,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6042,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
6042,WM,CUT FLORAL,Case Pick,658791850,RS MD 12ST RSE DB GF,6,3,25
6042,WM,CUT FLORAL,Case Pick,658898787,RS MD RSELILY DB VF,6,3,24.5
6042,WM,CUT FLORAL,Case Pick,658939902,RS MD MIN RSPL DB GF,6,3,24.5
6042,WM,CUT FLORAL,Case Pick,658898799,BQ MD XL MIX DB CH,6,3,24.5
6042,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6047,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6047,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
6047,WM,CUT FLORAL,Case Pick,579770225,BQ MD XL MIX DB BC,6,3,24.5
6047,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
6047,WM,CUT FLORAL,Case Pick,658791843,RS MD 12ST RSE DB UB,6,3,24.5
6047,WM,CUT FLORAL,Case Pick,658898787,RS MD RSELILY DB VF,6,3,24.5
6047,WM,CUT FLORAL,Case Pick,658968452,RS MD MIN RSPL DB CR,6,3,24.5
6055,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6055,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
6055,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
6055,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6055,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
6055,WM,CUT FLORAL,Case Pick,658791843,RS MD 12ST RSE DB UB,6,3,24.5
6055,WM,CUT FLORAL,Case Pick,658939900,RS MD MIN RSPL DB FA,6,3,24.5
6055,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
6055,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6055,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6056,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
6056,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
6056,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
6056,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
6056,WM,CUT FLORAL,Case Pick,658791850,RS MD 12ST RSE DB GF,6,3,25
6056,WM,CUT FLORAL,Case Pick,658939900,RS MD MIN RSPL DB FA,6,3,24.5
6056,WM,CUT FLORAL,Case Pick,658898790,RS MD RSELILY DB RF,6,3,24.5
6056,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,599974162,CB MD LGCARN LADB FF,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,599974165,BQ MD XLMIX LA DB FF,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,658791843,RS MD 12ST RSE DB UB,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,658898789,RS MD RSLILY LADB FF,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,658939898,RS MD MINRSP LADB FF,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,658968452,RS MD MIN RSPL DB CR,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,658873680,BQ MD STRIPY DB LAFF,6,3,24.5
6057,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6059,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6059,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
6059,WM,CUT FLORAL,Case Pick,594730998,BQ MD XL MIX DB FP,6,3,24.5
6059,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6059,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
6059,WM,CUT FLORAL,Case Pick,599974161,CB MD LG CARN DB FF,6,3,24.5
6059,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6059,WM,CUT FLORAL,Case Pick,658873677,BQ MD SM BQT DB CH,6,3,24.5
6059,WM,CUT FLORAL,Case Pick,658939901,RS MD MIN RSPL DB DI,6,3,24.5
6059,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
6062,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6062,WM,CUT FLORAL,Case Pick,599977041,CB MD LG CARN DB RF,6,3,24.5
6062,WM,CUT FLORAL,Case Pick,579770260,BQ MD XL MIX DB UB,6,3,24.5
6062,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6062,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
6062,WM,CUT FLORAL,Case Pick,658873678,BQ MD SM BQT DB EF,6,3,24.5
6062,WM,CUT FLORAL,Case Pick,658898793,RS MD RSELILY DB CR,6,3,24.5
6062,WM,CUT FLORAL,Case Pick,658419904,RS MD MIN RSPL DB BC,6,3,24.5
6062,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
6064,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
6064,WM,CUT FLORAL,Case Pick,599974175,CB MD CUPCAKE DB OF,6,3,24.5
6064,WM,CUT FLORAL,Case Pick,599934311,RS MD RSE DBB DI,6,3,24.5
6064,WM,CUT FLORAL,Case Pick,599974163,BQ MD STRIPY DB FF,6,3,24.5
6064,WM,CUT FLORAL,Case Pick,599974175,CB MD CUPCAKE DB OF,6,3,24.5
6064,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6064,WM,CUT FLORAL,Case Pick,579770260,BQ MD XL MIX DB UB,6,3,24.5
6064,WM,CUT FLORAL,Case Pick,658939900,RS MD MIN RSPL DB FA,6,3,24.5
6064,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6065,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6065,WM,CUT FLORAL,Case Pick,650819837,CB MD LG CARN DB FA,6,3,24.5
6065,WM,CUT FLORAL,Case Pick,579770225,BQ MD XL MIX DB BC,6,3,24.5
6065,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6065,WM,CUT FLORAL,Case Pick,650819837,CB MD LG CARN DB FA,6,3,24.5
6065,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6065,WM,CUT FLORAL,Case Pick,658873677,BQ MD SM BQT DB CH,6,3,24.5
6065,WM,CUT FLORAL,Case Pick,658791850,RS MD 12ST RSE DB GF,6,3,25
6065,WM,CUT FLORAL,Case Pick,658939900,RS MD MIN RSPL DB FA,6,3,24.5
6065,WM,CUT FLORAL,Case Pick,579521638,RS MX MD BRILL DB FD,6,3,24.5
6071,WM,CUT FLORAL,Case Pick,599974154,CB MD LG CARN DB RD,6,3,24.5
6071,WM,CUT FLORAL,Case Pick,599974158,RS MD 12ST RSE DB FF,6,3,24.5
6071,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6071,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
6071,WM,CUT FLORAL,Case Pick,579770225,BQ MD XL MIX DB BC,6,3,24.5
6071,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6071,WM,CUT FLORAL,Case Pick,658939900,RS MD MIN RSPL DB FA,6,3,24.5
6071,WM,CUT FLORAL,Case Pick,570195775,RS MX MD BRILL DB GF,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,599903580,CB MD LG CARN DB DI,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,599974162,CB MD LGCARN LADB FF,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,579770248,BQ MD XL MIX DB FF,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,599903580,CB MD LG CARN DB DI,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,599974165,BQ MD XLMIX LA DB FF,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,658419906,BQ MD STRIPY DB BC,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,658791714,RS MD 12ST RSE DB G2,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,658898789,RS MD RSLILY LADB FF,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,658939900,RS MD MIN RSPL DB FA,6,3,24.5
6072,WM,CUT FLORAL,Case Pick,658419905,RS MD RSELILY DB BC,6,3,24.5
6073,WM,CUT FLORAL,Case Pick,599974138,CB MD CUPCAKE DB GF,6,3,24.5
6073,WM,CUT FLORAL,Case Pick,599974173,CB MD LG CARN DB BC,6,3,24.5
