Store ,Market ,Region,Rollout Phase ,Fixture Arrival Week,Execution Set Week,Total Fixture Pallets
504,61,6,TBD,TBD,TBD,TBD
505,134,13,TBD,TBD,TBD,TBD
506,273,25,TBD,TBD,TBD,TBD
507,260,41,TBD,TBD,TBD,TBD
508,506,6,Oct-22,39,40,4
510,21,2,TBD,TBD,TBD,TBD
511,38,4,Oct-22,39,40,4
512,505,46,TBD,TBD,TBD,TBD
513,73,46,Oct-22,35,36,4
514,39,2,Oct-22,39,40,4
515,18,2,TBD,TBD,TBD,TBD
516,45,5,Oct-22,35,36,3
517,353,44,TBD,TBD,TBD,TBD
518,26,2,TBD,TBD,TBD,TBD
519,260,41,TBD,TBD,TBD,TBD
520,25,2,TBD,TBD,TBD,TBD
521,66,13,Oct-22,39,40,5
522,60,6,Oct-22,37,38,4
523,46,5,TBD,TBD,TBD,TBD
524,84,6,TBD,TBD,TBD,TBD
526,242,41,TBD,TBD,TBD,TBD
527,61,6,Oct-22,37,38,3
528,115,9,Oct-22,39,40,5
529,61,6,Oct-22,39,40,5
530,327,42,TBD,TBD,TBD,TBD
531,132,13,Oct-22,35,36,5
532,130,13,Oct-22,37,38,4
533,132,13,Oct-22,37,38,5
535,74,5,Oct-22,39,40,4
536,74,5,Oct-22,35,36,5
537,73,46,TBD,TBD,TBD,TBD
538,93,3,TBD,TBD,TBD,TBD
539,134,13,Oct-22,39,40,3
540,129,13,Oct-22,35,36,5
541,128,13,Oct-22,39,40,4
542,129,13,Oct-22,39,40,4
543,132,13,Oct-22,37,38,5
544,353,44,Oct-22,39,40,4
545,258,41,TBD,TBD,TBD,TBD
546,62,6,Oct-22,37,38,4
547,114,9,Oct-22,37,38,4
548,25,2,TBD,TBD,TBD,TBD
549,71,46,TBD,TBD,TBD,TBD
550,273,25,TBD,TBD,TBD,TBD
551,93,3,TBD,TBD,TBD,TBD
552,258,41,TBD,TBD,TBD,TBD
553,125,13,Oct-22,35,36,4
554,88,46,Oct-22,37,38,5
555,32,3,Oct-22,37,38,4
556,28,3,TBD,TBD,TBD,TBD
557,407,47,Oct-22,39,40,4
558,407,47,Oct-22,39,40,4
559,418,52,Oct-22,35,36,4
560,360,40,Oct-22,37,38,3
561,76,5,Oct-22,39,40,3
562,2,14,Oct-22,35,36,3
563,94,3,Oct-22,39,40,4
564,344,44,Oct-22,37,38,4
565,55,5,Oct-22,39,40,4
566,580,25,TBD,TBD,TBD,TBD
567,85,6,TBD,TBD,TBD,TBD
568,152,41,TBD,TBD,TBD,TBD
569,257,41,TBD,TBD,TBD,TBD
571,260,41,TBD,TBD,TBD,TBD
572,46,5,Oct-22,35,36,4
573,361,40,TBD,TBD,TBD,TBD
574,37,4,Oct-22,39,40,4
575,24,2,TBD,TBD,TBD,TBD
576,345,44,TBD,TBD,TBD,TBD
577,362,40,Oct-22,37,38,4
578,123,2,Oct-22,37,38,4
579,94,3,Oct-22,39,40,4
580,116,9,TBD,TBD,TBD,TBD
581,414,52,Oct-22,37,38,3
582,94,3,Oct-22,39,40,5
583,121,2,TBD,TBD,TBD,TBD
584,260,41,TBD,TBD,TBD,TBD
585,42,4,Oct-22,35,36,4
586,37,4,Oct-22,39,40,4
587,152,41,TBD,TBD,TBD,TBD
588,27,3,Oct-22,37,38,5
589,256,41,TBD,TBD,TBD,TBD
590,48,5,Oct-22,39,40,3
591,259,41,TBD,TBD,TBD,TBD
592,406,47,Oct-22,39,40,4
593,28,3,Oct-22,37,38,4
594,22,2,TBD,TBD,TBD,TBD
595,569,6,Oct-22,35,36,4
596,271,25,TBD,TBD,TBD,TBD
598,429,47,Oct-22,35,36,4
599,124,4,Oct-22,39,40,5
600,70,46,Oct-22,37,38,3
601,74,5,Oct-22,35,36,4
602,68,6,Oct-22,39,40,4
603,278,25,TBD,TBD,TBD,TBD
604,7,14,TBD,TBD,TBD,TBD
605,29,4,Oct-22,39,40,4
606,29,4,Oct-22,37,38,4
607,349,44,TBD,TBD,TBD,TBD
608,73,46,Oct-22,37,38,4
609,275,25,TBD,TBD,TBD,TBD
610,76,5,Oct-22,37,38,3
611,387,46,Oct-22,39,40,5
612,273,25,Oct-22,37,38,3
613,94,3,Oct-22,35,36,4
614,16,3,Oct-22,39,40,4
615,26,2,TBD,TBD,TBD,TBD
616,38,4,Oct-22,39,40,4
617,580,25,TBD,TBD,TBD,TBD
618,26,2,TBD,TBD,TBD,TBD
619,119,2,TBD,TBD,TBD,TBD
620,124,4,TBD,TBD,TBD,TBD
621,37,4,Oct-22,37,38,3
622,344,44,Oct-22,39,40,4
623,118,9,Oct-22,39,40,4
624,39,2,Oct-22,35,36,4
625,37,4,TBD,TBD,TBD,TBD
626,73,46,TBD,TBD,TBD,TBD
627,38,4,Oct-22,37,38,4
628,36,4,Oct-22,39,40,5
629,42,4,Oct-22,37,38,4
630,38,4,Oct-22,35,36,5
631,35,2,Oct-22,39,40,4
632,36,4,Oct-22,35,36,3
633,279,25,TBD,TBD,TBD,TBD
634,38,4,Oct-22,39,40,5
635,29,4,Oct-22,35,36,4
636,279,25,TBD,TBD,TBD,TBD
637,429,47,Oct-22,37,38,3
638,42,4,Oct-22,35,36,4
639,28,3,TBD,TBD,TBD,TBD
640,35,2,Oct-22,35,36,4
641,35,2,Oct-22,37,38,4
642,38,4,TBD,TBD,TBD,TBD
643,37,4,Oct-22,39,40,3
644,39,2,Oct-22,39,40,4
645,433,47,Oct-22,39,40,4
646,415,52,Oct-22,39,40,2
647,414,52,TBD,TBD,TBD,TBD
648,339,40,TBD,TBD,TBD,TBD
649,92,9,Oct-22,37,38,4
651,66,13,Oct-22,37,38,4
652,406,47,Oct-22,39,40,4
653,253,41,Oct-22,37,38,4
655,253,41,TBD,TBD,TBD,TBD
656,151,12,TBD,TBD,TBD,TBD
657,152,41,Oct-22,39,40,4
658,120,2,TBD,TBD,TBD,TBD
659,153,12,Oct-22,39,40,4
660,137,12,Oct-22,37,38,3
661,137,12,Oct-22,35,36,5
662,137,12,Oct-22,35,36,4
663,119,2,Oct-22,39,40,5
664,406,47,TBD,TBD,TBD,TBD
665,257,41,TBD,TBD,TBD,TBD
666,115,9,Oct-22,35,36,5
667,151,12,Oct-22,35,36,3
668,152,41,Oct-22,39,40,4
669,120,2,TBD,TBD,TBD,TBD
670,2,14,TBD,TBD,TBD,TBD
671,152,41,Oct-22,39,40,5
672,122,2,Oct-22,39,40,4
673,149,12,Oct-22,35,36,4
674,152,41,Oct-22,35,36,4
675,146,41,Oct-22,37,38,4
676,121,2,Oct-22,37,38,4
677,146,41,Oct-22,35,36,5
678,123,2,Oct-22,35,36,5
680,123,2,Oct-22,35,36,4
681,3,14,Oct-22,35,36,3
682,151,12,Oct-22,39,40,5
683,147,12,TBD,TBD,TBD,TBD
684,147,12,TBD,TBD,TBD,TBD
685,123,2,Oct-22,35,36,4
686,28,3,Oct-22,35,36,4
687,121,2,Oct-22,39,40,5
688,153,12,Oct-22,37,38,5
689,257,41,Oct-22,37,38,4
690,124,4,Oct-22,37,38,5
691,3,14,TBD,TBD,TBD,TBD
692,260,41,TBD,TBD,TBD,TBD
693,259,41,TBD,TBD,TBD,TBD
694,254,41,TBD,TBD,TBD,TBD
695,149,12,Oct-22,39,40,4
696,258,41,TBD,TBD,TBD,TBD
697,93,3,TBD,TBD,TBD,TBD
698,119,2,Oct-22,35,36,3
699,136,12,Oct-22,37,38,4
700,8,14,TBD,TBD,TBD,TBD
701,254,41,TBD,TBD,TBD,TBD
702,259,41,TBD,TBD,TBD,TBD
703,67,6,Oct-22,35,36,5
705,89,9,TBD,TBD,TBD,TBD
706,114,9,Oct-22,37,38,4
707,136,12,Oct-22,37,38,3
708,140,13,Oct-22,39,40,4
709,256,41,TBD,TBD,TBD,TBD
710,153,12,Oct-22,37,38,4
711,257,41,Oct-22,39,40,4
712,5,12,TBD,TBD,TBD,TBD
713,114,9,TBD,TBD,TBD,TBD
714,327,42,TBD,TBD,TBD,TBD
715,11,14,Oct-22,37,38,5
716,136,12,Oct-22,37,38,4
718,114,9,Oct-22,39,40,4
719,257,41,TBD,TBD,TBD,TBD
720,260,41,TBD,TBD,TBD,TBD
721,118,9,Oct-22,37,38,4
722,22,2,TBD,TBD,TBD,TBD
723,7,14,TBD,TBD,TBD,TBD
724,123,2,TBD,TBD,TBD,TBD
725,114,9,Oct-22,37,38,3
726,10,14,Oct-22,39,40,4
727,22,2,TBD,TBD,TBD,TBD
728,29,4,Oct-22,37,38,3
729,256,41,TBD,TBD,TBD,TBD
730,10,14,Oct-22,35,36,4
731,11,14,TBD,TBD,TBD,TBD
733,10,14,TBD,TBD,TBD,TBD
734,7,14,TBD,TBD,TBD,TBD
