Location Number,Capabilities,June 3 Hours,Week 19 (6/4-5) Additional Hours
3175,Pickup + Instore,13,28
3176,Pickup + Instore,13,28
3178,Pickup + Instore,13,28
3179,Pickup + Instore,13,28
3183,Pickup + Instore,13,28
3184,Pickup + Instore,13,28
3185,Pickup + Instore,13,28
3198,Pickup + Instore,13,28
3199,Pickup + Instore,13,28
3202,Fuel + Pickup + Instore,16,33
3204,Fuel + Pickup + Instore,16,33
3238,Pickup + Instore,13,28
3275,Pickup + Instore,13,28
3287,Pickup + Instore,13,28
3299,Pickup + Instore,13,28
3314,Pickup + Instore,13,28
3315,Pickup + Instore,13,28
3317,Pickup + Instore,13,28
3327,Fuel + Pickup + Instore,16,33
3330,Pickup + Instore,13,28
3338,Fuel + Pickup + Instore,16,33
3340,Pickup + Instore,13,28
3341,Pickup + Instore,13,28
3354,Pickup + Instore,13,28
3355,Pickup + Instore,13,28
3356,Pickup + Instore,13,28
3357,Pickup + Instore,13,28
3359,Pickup + Instore,13,28
3377,Pickup + Instore,13,28
3385,Pickup + Instore,13,28
3392,Pickup + Instore,13,28
3411,Fuel + Pickup + Instore,16,33
3414,Fuel + Pickup + Instore,16,33
3419,Pickup + Instore,13,28
3424,Pickup + Instore,13,28
3442,Fuel + Pickup + Instore,16,33
3449,Fuel + Pickup + Instore,16,33
3450,Fuel + Pickup + Instore,16,33
3452,Pickup + Instore,13,28
3456,Fuel + Pickup + Instore,16,33
3457,Pickup + Instore,13,28
3479,Pickup + Instore,13,28
3504,Pickup + Instore,13,28
3508,Pickup + Instore,13,28
3509,Pickup + Instore,13,28
3512,Pickup + Instore,13,28
3517,Pickup + Instore,13,28
3521,Fuel + Pickup + Instore,16,33
3530,Pickup + Instore,13,28
3542,Pickup + Instore,13,28
3574,Pickup + Instore,13,28
3579,Pickup + Instore,13,28
3593,Pickup + Instore,13,28
3594,Pickup + Instore,13,28
3599,Pickup + Instore,13,28
3600,Fuel + Pickup + Instore,16,33
3603,Fuel + Pickup + Instore,16,33
3604,Pickup + Instore,13,28
3605,Fuel + Pickup + Instore,16,33
3606,Pickup + Instore,13,28
3614,Fuel + Pickup + Instore,16,33
3615,Pickup + Instore,13,28
3617,Pickup + Instore,13,28
3619,Fuel + Pickup + Instore,16,33
3622,Fuel + Pickup + Instore,16,33
3628,Fuel + Pickup + Instore,16,33
3629,Pickup + Instore,13,28
3635,Fuel + Pickup + Instore,16,33
3637,Fuel + Pickup + Instore,16,33
3638,Fuel + Pickup + Instore,16,33
3646,Fuel + Pickup + Instore,16,33
3653,Fuel + Pickup + Instore,16,33
3654,Fuel + Pickup + Instore,16,33
3655,Pickup + Instore,13,28
3661,Pickup + Instore,13,28
3703,Pickup + Instore,13,28
3713,Fuel + Pickup + Instore,16,33
3723,Fuel + Instore,11,23
3724,Fuel + Pickup + Instore,16,33
3727,Fuel + Pickup + Instore,16,33
3736,Fuel + Pickup + Instore,16,33
3740,Pickup + Instore,13,28
3743,Fuel + Pickup + Instore,16,33
3745,Fuel + Pickup + Instore,16,33
3746,Pickup + Instore,13,28
3752,Fuel + Pickup + Instore,16,33
3788,Pickup + Instore,13,28
3817,Pickup + Instore,13,28
3844,Pickup + Instore,13,28
3845,Pickup + Instore,13,28
3846,Pickup + Instore,13,28
3862,Pickup + Instore,13,28
3870,Pickup + Instore,13,28
3880,Fuel + Instore,11,23
3885,Fuel + Pickup + Instore,16,33
3899,Fuel + Pickup + Instore,16,33
3935,Pickup + Instore,13,28
3959,Fuel + Pickup + Instore,16,33
3988,Fuel + Pickup + Instore,16,33
3990,Fuel + Pickup + Instore,16,33
4046,Pickup + Instore,13,28
4048,Fuel + Pickup + Instore,16,33
4053,Pickup + Instore,13,28
4054,Pickup + Instore,13,28
4056,Fuel + Pickup + Instore,16,33
4057,Pickup + Instore,13,28
4100,Pickup + Instore,13,28
4104,Fuel + Pickup + Instore,16,33
4105,Pickup + Instore,13,28
4114,Fuel + Pickup + Instore,16,33
4127,Instore Only,8,18
4128,Pickup + Instore,13,28
4134,Pickup + Instore,13,28
4138,Pickup + Instore,13,28
4139,Pickup + Instore,13,28
4140,Fuel + Pickup + Instore,16,33
4141,Pickup + Instore,13,28
4142,Pickup + Instore,13,28
4145,Pickup + Instore,13,28
4147,Pickup + Instore,13,28
4148,Pickup + Instore,13,28
4157,Pickup + Instore,13,28
4159,Pickup + Instore,13,28
4160,Instore Only,8,18
4169,Pickup + Instore,13,28
4174,Pickup + Instore,13,28
4178,Pickup + Instore,13,28
4180,Pickup + Instore,13,28
4182,Pickup + Instore,13,28
4184,Instore Only,8,18
4188,Pickup + Instore,13,28
4189,Pickup + Instore,13,28
4193,Pickup + Instore,13,28
4196,Pickup + Instore,13,28
4197,Fuel + Pickup + Instore,16,33
4198,Pickup + Instore,13,28
4206,Fuel + Pickup + Instore,16,33
4210,Fuel + Pickup + Instore,16,33
4211,Pickup + Instore,13,28
4218,Pickup + Instore,13,28
4220,Pickup + Instore,13,28
4233,Pickup + Instore,13,28
4264,Pickup + Instore,13,28
4275,Pickup + Instore,13,28
4293,Instore Only,8,18
4324,Pickup + Instore,13,28
4339,Pickup + Instore,13,28
4354,Pickup + Instore,13,28
4357,Pickup + Instore,13,28
4366,Pickup + Instore,13,28
4367,Fuel + Pickup + Instore,16,33
4371,Fuel + Pickup + Instore,16,33
4373,Fuel + Pickup + Instore,16,33
4375,Fuel + Pickup + Instore,16,33
4376,Fuel + Pickup + Instore,16,33
4380,Pickup + Instore,13,28
4388,Fuel + Pickup + Instore,16,33
4390,Fuel + Pickup + Instore,16,33
4413,Pickup + Instore,13,28
4415,Pickup + Instore,13,28
4421,Fuel + Pickup + Instore,16,33
4425,Pickup + Instore,13,28
4426,Fuel + Pickup + Instore,16,33
4431,Pickup + Instore,13,28
4432,Fuel + Pickup + Instore,16,33
4434,Fuel + Pickup + Instore,16,33
4441,Pickup + Instore,13,28
4443,Fuel + Pickup + Instore,16,33
4445,Fuel + Pickup + Instore,16,33
4452,Fuel + Pickup + Instore,16,33
4453,Fuel + Instore,11,23
4464,Fuel + Pickup + Instore,16,33
4465,Fuel + Pickup + Instore,16,33
4466,Pickup + Instore,13,28
4468,Fuel + Pickup + Instore,16,33
4469,Fuel + Pickup + Instore,16,33
4470,Fuel + Pickup + Instore,16,33
4473,Pickup + Instore,13,28
4478,Pickup + Instore,13,28
4490,Fuel + Pickup + Instore,16,33
4491,Fuel + Pickup + Instore,16,33
4494,Pickup + Instore,13,28
4498,Pickup + Instore,13,28
4504,Pickup + Instore,13,28
4516,Pickup + Instore,13,28
4517,Fuel + Pickup + Instore,16,33
4519,Fuel + Pickup + Instore,16,33
4524,Pickup + Instore,13,28
4525,Fuel + Pickup + Instore,16,33
4527,Fuel + Instore,11,23
4528,Fuel + Pickup + Instore,16,33
4530,Fuel + Pickup + Instore,16,33
4545,Fuel + Pickup + Instore,16,33
4546,Pickup + Instore,13,28
4560,Pickup + Instore,13,28
4561,Pickup + Instore,13,28
4563,Pickup + Instore,13,28
4565,Fuel + Pickup + Instore,16,33
4577,Fuel + Pickup + Instore,16,33
4579,Fuel + Pickup + Instore,16,33
4580,Pickup + Instore,13,28
4582,Fuel + Pickup + Instore,16,33
4585,Fuel + Pickup + Instore,16,33
4586,Fuel + Pickup + Instore,16,33
4589,Fuel + Pickup + Instore,16,33
4591,Fuel + Pickup + Instore,16,33
4595,Pickup + Instore,13,28
4603,Instore Only,8,18
4605,Fuel + Pickup + Instore,16,33
4607,Pickup + Instore,13,28
4617,Pickup + Instore,13,28
4618,Fuel + Pickup + Instore,16,33
4619,Fuel + Pickup + Instore,16,33
4625,Fuel + Instore,11,23
4626,Fuel + Instore,11,23
4648,Pickup + Instore,13,28
4654,Fuel + Pickup + Instore,16,33
4655,Pickup + Instore,13,28
4657,Pickup + Instore,13,28
4659,Pickup + Instore,13,28
4667,Pickup + Instore,13,28
4669,Instore Only,8,18
4671,Instore Only,8,18
4672,Fuel + Pickup + Instore,16,33
4673,Fuel + Pickup + Instore,16,33
4674,Fuel + Pickup + Instore,16,33
4676,Fuel + Pickup + Instore,16,33
4686,Fuel + Instore,11,23
4691,Fuel + Pickup + Instore,16,33
4692,Fuel + Pickup + Instore,16,33
4700,Pickup + Instore,13,28
4706,Pickup + Instore,13,28
4747,Pickup + Instore,13,28
4756,Fuel + Pickup + Instore,16,33
4757,Pickup + Instore,13,28
4759,Pickup + Instore,13,28
4762,Pickup + Instore,13,28
4826,Pickup + Instore,13,28
4848,Pickup + Instore,13,28
5005,Pickup + Instore,13,28
5007,Pickup + Instore,13,28
5008,Pickup + Instore,13,28
5013,Pickup + Instore,13,28
5014,Pickup + Instore,13,28
5021,Pickup + Instore,13,28
5043,Pickup + Instore,13,28
5059,Fuel + Pickup + Instore,16,33
5062,Fuel + Pickup + Instore,16,33
5081,Fuel + Pickup + Instore,16,33
5093,Pickup + Instore,13,28
5094,Pickup + Instore,13,28
5098,Pickup + Instore,13,28
5100,Pickup + Instore,13,28
5102,Fuel + Pickup + Instore,16,33
5106,Pickup + Instore,13,28
5107,Pickup + Instore,13,28
5108,Pickup + Instore,13,28
5109,Fuel + Pickup + Instore,16,33
5110,Pickup + Instore,13,28
5119,Pickup + Instore,13,28
5122,Pickup + Instore,13,28
5125,Fuel + Instore,11,23
5132,Pickup + Instore,13,28
5135,Fuel + Pickup + Instore,16,33
5143,Fuel + Pickup + Instore,16,33
5148,Fuel + Pickup + Instore,16,33
5149,Pickup + Instore,13,28
5179,Pickup + Instore,13,28
5180,Pickup + Instore,13,28
5182,Fuel + Pickup + Instore,16,33
5183,Pickup + Instore,13,28
5188,Fuel + Pickup + Instore,16,33
5198,Fuel + Instore,11,23
5204,Fuel + Pickup + Instore,16,33
5205,Pickup + Instore,13,28
5206,Fuel + Pickup + Instore,16,33
5207,Pickup + Instore,13,28
5221,Pickup + Instore,13,28
5224,Pickup + Instore,13,28
5226,Fuel + Pickup + Instore,16,33
5248,Fuel + Pickup + Instore,16,33
5255,Pickup + Instore,13,28
5256,Fuel + Pickup + Instore,16,33
5257,Pickup + Instore,13,28
5258,Pickup + Instore,13,28
5259,Pickup + Instore,13,28
5265,Fuel + Pickup + Instore,16,33
5267,Fuel + Pickup + Instore,16,33
5269,Pickup + Instore,13,28
5279,Fuel + Pickup + Instore,16,33
5286,Pickup + Instore,13,28
5290,Fuel + Pickup + Instore,16,33
5291,Fuel + Pickup + Instore,16,33
5297,Pickup + Instore,13,28
5304,Pickup + Instore,13,28
5306,Pickup + Instore,13,28
5308,Pickup + Instore,13,28
5310,Fuel + Pickup + Instore,16,33
5314,Pickup + Instore,13,28
5321,Pickup + Instore,13,28
5323,Fuel + Pickup + Instore,16,33
5327,Fuel + Pickup + Instore,16,33
5328,Pickup + Instore,13,28
5332,Pickup + Instore,13,28
5336,Pickup + Instore,13,28
5349,Pickup + Instore,13,28
5353,Fuel + Pickup + Instore,16,33
5364,Fuel + Pickup + Instore,16,33
5365,Pickup + Instore,13,28
5366,Pickup + Instore,13,28
5367,Fuel + Pickup + Instore,16,33
5371,Fuel + Pickup + Instore,16,33
5372,Pickup + Instore,13,28
5378,Fuel + Pickup + Instore,16,33
5383,Fuel + Pickup + Instore,16,33
5393,Pickup + Instore,13,28
5408,Pickup + Instore,13,28
5421,Pickup + Instore,13,28
5423,Pickup + Instore,13,28
5427,Fuel + Pickup + Instore,16,33
5451,Pickup + Instore,13,28
5452,Fuel + Pickup + Instore,16,33
5453,Pickup + Instore,13,28
5459,Fuel + Instore,11,23
5464,Fuel + Pickup + Instore,16,33
5467,Pickup + Instore,13,28
5490,Fuel + Pickup + Instore,16,33
5600,Pickup + Instore,13,28
5601,Pickup + Instore,13,28
5602,Pickup + Instore,13,28
5603,Pickup + Instore,13,28
5604,Pickup + Instore,13,28
5605,Pickup + Instore,13,28
5606,Pickup + Instore,13,28
5608,Pickup + Instore,13,28
5609,Pickup + Instore,13,28
5610,Pickup + Instore,13,28
5611,Pickup + Instore,13,28
5613,Pickup + Instore,13,28
5614,Pickup + Instore,13,28
5615,Pickup + Instore,13,28
5622,Pickup + Instore,13,28
5623,Pickup + Instore,13,28
5624,Pickup + Instore,13,28
5627,Pickup + Instore,13,28
5633,Pickup + Instore,13,28
5634,Instore Only,8,18
5635,Pickup + Instore,13,28
5637,Instore Only,8,18
5638,Pickup + Instore,13,28
5639,Pickup + Instore,13,28
5640,Instore Only,8,18
5643,Pickup + Instore,13,28
5645,Pickup + Instore,13,28
5646,Pickup + Instore,13,28
5653,Pickup + Instore,13,28
5654,Pickup + Instore,13,28
5657,Pickup + Instore,13,28
5658,Pickup + Instore,13,28
5659,Pickup + Instore,13,28
5661,Instore Only,8,18
5663,Pickup + Instore,13,28
5664,Pickup + Instore,13,28
5670,Pickup + Instore,13,28
5675,Pickup + Instore,13,28
5678,Pickup + Instore,13,28
5683,Pickup + Instore,13,28
5684,Pickup + Instore,13,28
5689,Pickup + Instore,13,28
5691,Pickup + Instore,13,28
5692,Pickup + Instore,13,28
5693,Pickup + Instore,13,28
5695,Pickup + Instore,13,28
5697,Pickup + Instore,13,28
5700,Fuel + Pickup + Instore,16,33
5702,Fuel + Pickup + Instore,16,33
5704,Fuel + Pickup + Instore,16,33
5715,Fuel + Pickup + Instore,16,33
5716,Fuel + Pickup + Instore,16,33
5719,Pickup + Instore,13,28
5722,Pickup + Instore,13,28
5725,Pickup + Instore,13,28
5726,Fuel + Pickup + Instore,16,33
5734,Fuel + Pickup + Instore,16,33
5737,Pickup + Instore,13,28
5738,Pickup + Instore,13,28
5740,Fuel + Pickup + Instore,16,33
5741,Fuel + Pickup + Instore,16,33
5744,Fuel + Pickup + Instore,16,33
5754,Pickup + Instore,13,28
5755,Pickup + Instore,13,28
5758,Pickup + Instore,13,28
5759,Pickup + Instore,13,28
5760,Pickup + Instore,13,28
5767,Pickup + Instore,13,28
5769,Fuel + Pickup + Instore,16,33
5771,Fuel + Pickup + Instore,16,33
5773,Fuel + Instore,11,23
5774,Pickup + Instore,13,28
5776,Fuel + Pickup + Instore,16,33
5780,Fuel + Pickup + Instore,16,33
5782,Fuel + Pickup + Instore,16,33
5789,Fuel + Pickup + Instore,16,33
5790,Pickup + Instore,13,28
5791,Fuel + Instore,11,23
5804,Pickup + Instore,13,28
5805,Fuel + Pickup + Instore,16,33
5813,Pickup + Instore,13,28
5815,Pickup + Instore,13,28
5816,Pickup + Instore,13,28
5817,Pickup + Instore,13,28
5818,Pickup + Instore,13,28
5819,Pickup + Instore,13,28
5820,Pickup + Instore,13,28
5824,Fuel + Pickup + Instore,16,33
5826,Pickup + Instore,13,28
5828,Fuel + Pickup + Instore,16,33
5829,Fuel + Pickup + Instore,16,33
5831,Pickup + Instore,13,28
5832,Pickup + Instore,13,28
5837,Fuel + Pickup + Instore,16,33
5840,Pickup + Instore,13,28
5846,Pickup + Instore,13,28
5855,Pickup + Instore,13,28
5863,Pickup + Instore,13,28
5875,Pickup + Instore,13,28
5876,Pickup + Instore,13,28
5903,Fuel + Pickup + Instore,16,33
5907,Pickup + Instore,13,28
5908,Fuel + Pickup + Instore,16,33
5923,Fuel + Pickup + Instore,16,33
5925,Fuel + Pickup + Instore,16,33
5945,Pickup + Instore,13,28
5960,Pickup + Instore,13,28
5962,Pickup + Instore,13,28
5963,Pickup + Instore,13,28
5979,Pickup + Instore,13,28
5980,Pickup + Instore,13,28
5981,Pickup + Instore,13,28
5982,Pickup + Instore,13,28
5988,Pickup + Instore,13,28
5990,Pickup + Instore,13,28
5991,Pickup + Instore,13,28
5993,Pickup + Instore,13,28
5994,Pickup + Instore,13,28
6078,Fuel + Pickup + Instore,16,33
6098,Pickup + Instore,13,28
6149,Pickup + Instore,13,28
6159,Pickup + Instore,13,28
6165,Fuel + Pickup + Instore,16,33
6166,Pickup + Instore,13,28
6167,Instore Only,8,18
6170,Pickup + Instore,13,28
6172,Pickup + Instore,13,28
6174,Pickup + Instore,13,28
6176,Pickup + Instore,13,28
6177,Instore Only,8,18
6178,Pickup + Instore,13,28
6207,Fuel + Pickup + Instore,16,33
6226,Pickup + Instore,13,28
6233,Pickup + Instore,13,28
6243,Pickup + Instore,13,28
6263,Pickup + Instore,13,28
6264,Pickup + Instore,13,28
6323,Fuel + Pickup + Instore,16,33
6390,Pickup + Instore,13,28
6398,Pickup + Instore,13,28
6459,Fuel + Pickup + Instore,16,33
6470,Pickup + Instore,13,28
6500,Pickup + Instore,13,28
6531,Pickup + Instore,13,28
6548,Pickup + Instore,13,28
6577,Pickup + Instore,13,28
6578,Fuel + Pickup + Instore,16,33
6583,Fuel + Pickup + Instore,16,33
6585,Pickup + Instore,13,28
6586,Pickup + Instore,13,28
6587,Pickup + Instore,13,28
6588,Pickup + Instore,13,28
6590,Fuel + Pickup + Instore,16,33
6732,Fuel + Pickup + Instore,16,33
6786,Fuel + Pickup + Instore,16,33
6798,Pickup + Instore,13,28
6813,Pickup + Instore,13,28
6814,Pickup + Instore,13,28
6828,Pickup + Instore,13,28
6849,Pickup + Instore,13,28
6850,Fuel + Pickup + Instore,16,33
6851,Fuel + Pickup + Instore,16,33
6876,Fuel + Pickup + Instore,16,33
6894,Fuel + Pickup + Instore,16,33
6936,Pickup + Instore,13,28
6937,Pickup + Instore,13,28
6941,Fuel + Pickup + Instore,16,33
6942,Pickup + Instore,13,28
6943,Pickup + Instore,13,28
6953,Fuel + Pickup + Instore,16,33
6960,Fuel + Instore,11,23
6962,Fuel + Pickup + Instore,16,33
6966,Fuel + Pickup + Instore,16,33
6967,Pickup + Instore,13,28
6968,Pickup + Instore,13,28
6971,Fuel + Instore,11,23
6975,Pickup + Instore,13,28
7004,Pickup + Instore,13,28
7043,Pickup + Instore,13,28
7062,Pickup + Instore,13,28
7072,Pickup + Instore,13,28
7098,Instore Only,8,18
7099,Pickup + Instore,13,28
7127,Pickup + Instore,13,28
7137,Fuel + Pickup + Instore,16,33
7146,Pickup + Instore,13,28
7162,Instore Only,8,18
7168,Fuel + Pickup + Instore,16,33
7174,Pickup + Instore,13,28
7177,Fuel + Pickup + Instore,16,33
7180,Pickup + Instore,13,28
7205,Pickup + Instore,13,28
7206,Pickup + Instore,13,28
7209,Fuel + Instore,11,23
7218,Fuel + Pickup + Instore,16,33
7220,Pickup + Instore,13,28
7221,Fuel + Pickup + Instore,16,33
7222,Pickup + Instore,13,28
7224,Fuel + Pickup + Instore,16,33
7229,Pickup + Instore,13,28
7232,Fuel + Pickup + Instore,16,33
7233,Fuel + Pickup + Instore,16,33
7235,Fuel + Pickup + Instore,16,33
7240,Fuel + Pickup + Instore,16,33
7241,Fuel + Pickup + Instore,16,33
7242,Pickup + Instore,13,28
7251,Fuel + Pickup + Instore,16,33
7262,Fuel + Pickup + Instore,16,33
7296,Pickup + Instore,13,28
7298,Pickup + Instore,13,28
7299,Fuel + Pickup + Instore,16,33
7304,Fuel + Instore,11,23
7307,Pickup + Instore,13,28
7308,Fuel + Pickup + Instore,16,33
7309,Pickup + Instore,13,28
7310,Fuel + Pickup + Instore,16,33
7311,Pickup + Instore,13,28
7315,Fuel + Pickup + Instore,16,33
7317,Pickup + Instore,13,28
7320,Pickup + Instore,13,28
7329,Instore Only,8,18
7334,Pickup + Instore,13,28
7337,Fuel + Pickup + Instore,16,33
7339,Fuel + Pickup + Instore,16,33
7340,Fuel + Pickup + Instore,16,33
7342,Fuel + Pickup + Instore,16,33
7347,Fuel + Pickup + Instore,16,33
7349,Fuel + Pickup + Instore,16,33
7357,Fuel + Pickup + Instore,16,33
7361,Pickup + Instore,13,28
7362,Pickup + Instore,13,28
8958,Pickup + Instore,13,28
4041,Instore Only,8,18
4109,Fuel + Instore,11,23
4702,Fuel + Instore,11,23
4703,Fuel + Instore,11,23
4704,Instore Only,8,18
4707,Fuel + Instore,11,23
4709,Fuel + Instore,11,23
4710,Fuel + Instore,11,23
4711,Fuel + Instore,11,23
4712,Fuel + Instore,11,23
4713,Fuel + Instore,11,23
4718,Fuel + Instore,11,23
4720,Instore Only,8,18
4721,Instore Only,8,18
4722,Fuel + Instore,11,23
4724,Fuel + Instore,11,23
4728,Fuel + Instore,11,23
4729,Fuel + Instore,11,23
4730,Fuel + Instore,11,23
4731,Fuel + Instore,11,23
4732,Fuel + Instore,11,23
4735,Fuel + Instore,11,23
4736,Instore Only,8,18
4738,Fuel + Instore,11,23
4739,Fuel + Instore,11,23
4740,Fuel + Instore,11,23
4741,Fuel + Instore,11,23
4742,Fuel + Instore,11,23
4743,Fuel + Instore,11,23
4745,Fuel + Instore,11,23
4749,Fuel + Instore,11,23
4750,Fuel + Instore,11,23
4754,Instore Only,8,18
4755,Instore Only,8,18
4761,Instore Only,8,18
4763,Fuel + Instore,11,23
4764,Fuel + Instore,11,23
4767,Fuel + Instore,11,23
4768,Fuel + Instore,11,23
4769,Fuel + Instore,11,23
4770,Fuel + Instore,11,23
4771,Fuel + Instore,11,23
4772,Instore Only,8,18
4774,Instore Only,8,18
4775,Fuel + Instore,11,23
4776,Fuel + Instore,11,23
4777,Fuel + Instore,11,23
4778,Fuel + Instore,11,23
4780,Fuel + Instore,11,23
4781,Fuel + Instore,11,23
4782,Fuel + Instore,11,23
4783,Fuel + Instore,11,23
4784,Fuel + Instore,11,23
4785,Fuel + Instore,11,23
4786,Fuel + Instore,11,23
4787,Fuel + Instore,11,23
4789,Fuel + Instore,11,23
4790,Fuel + Instore,11,23
4791,Fuel + Instore,11,23
4794,Fuel + Instore,11,23
4795,Fuel + Instore,11,23
4797,Fuel + Instore,11,23
4798,Fuel + Instore,11,23
4799,Fuel + Instore,11,23
4801,Fuel + Instore,11,23
4802,Fuel + Instore,11,23
4804,Fuel + Instore,11,23
4805,Fuel + Instore,11,23
4808,Fuel + Instore,11,23
4815,Fuel + Instore,11,23
4816,Fuel + Instore,11,23
4817,Fuel + Instore,11,23
4818,Fuel + Instore,11,23
4819,Fuel + Instore,11,23
4820,Fuel + Instore,11,23
4822,Fuel + Instore,11,23
4824,Fuel + Instore,11,23
4825,Fuel + Instore,11,23
4828,Fuel + Instore,11,23
4829,Fuel + Instore,11,23
4830,Fuel + Instore,11,23
4831,Fuel + Instore,11,23
4836,Fuel + Instore,11,23
4837,Fuel + Instore,11,23
4839,Fuel + Instore,11,23
4840,Instore Only,8,18
4843,Fuel + Instore,11,23
4846,Fuel + Instore,11,23
4847,Fuel + Instore,11,23
4850,Fuel + Instore,11,23
4851,Fuel + Instore,11,23
4852,Fuel + Instore,11,23
4853,Fuel + Instore,11,23
4855,Fuel + Instore,11,23
4857,Fuel + Instore,11,23
4859,Fuel + Instore,11,23
4860,Fuel + Instore,11,23
4861,Fuel + Instore,11,23
4870,Fuel + Instore,11,23
4871,Fuel + Instore,11,23
4872,Fuel + Instore,11,23
4873,Fuel + Instore,11,23
4874,Fuel + Instore,11,23
4875,Fuel + Instore,11,23
4876,Fuel + Instore,11,23
4878,Fuel + Instore,11,23
4879,Fuel + Instore,11,23
4901,Fuel + Instore,11,23
4905,Fuel + Instore,11,23
4906,Fuel + Instore,11,23
4908,Fuel + Instore,11,23
4911,Fuel + Instore,11,23
4914,Instore Only,8,18
4915,Fuel + Instore,11,23
4917,Fuel + Instore,11,23
4920,Fuel + Instore,11,23
4925,Instore Only,8,18
4926,Fuel + Instore,11,23
4930,Fuel + Instore,11,23
4933,Fuel + Instore,11,23
4936,Fuel + Instore,11,23
4938,Fuel + Instore,11,23
4939,Fuel + Instore,11,23
4942,Fuel + Instore,11,23
