Site,Ship Date,,Tracking Number - Attn: Store Manager,,,,
1197,4/4/2022,,563226300046         ,,,,
1205,4/4/2022,,563226300057         ,,,,
1209,4/4/2022,,563226300068         ,,,,
1211,4/4/2022,,563226300079         ,,,,
1212,4/4/2022,,563226300080         ,,,,
1213,4/4/2022,,563226300090         ,,,,
1214,4/4/2022,,563226300105         ,,,,
1217,4/4/2022,,563226300116         ,,,,
1218,4/5/2022,,563226300127         ,,,,
1225,4/5/2022,,563226300138         ,,,,
1227,4/5/2022,,563226300149         ,,,,
1228,4/5/2022,,563226300150         ,,,,
1232,4/5/2022,,563226300160         ,,,,
1237,4/5/2022,,563226300171         ,,,,
1238,4/5/2022,,563226300182         ,,,,
1244,4/5/2022,,563226300193         ,,,,
1252,4/5/2022,,563226300208         ,,,,
1257,4/5/2022,,563226300219         ,,,,
1259,4/5/2022,,563226300220         ,,,,
1263,4/5/2022,,563226300230         ,,,,
1264,4/5/2022,,563226300241         ,,,,
1292,4/5/2022,,563226300252         ,,,,
1298,4/5/2022,,563226300263         ,,,,
1316,4/5/2022,,563226300274         ,,,,
1320,4/5/2022,,563226300285         ,,,,
1328,4/5/2022,,563226300296         ,,,,
1333,4/5/2022,,563226300300         ,,,,
1336,4/5/2022,,563226300311         ,,,,
1353,4/5/2022,,563226300322         ,,,,
1359,4/5/2022,,563226300333         ,,,,
1368,4/5/2022,,563226300344         ,,,,
1370,4/5/2022,,563226300355         ,,,,
1373,4/5/2022,,563226300366         ,,,,
1378,4/5/2022,,563226300377         ,,,,
1388,4/5/2022,,563226300388         ,,,,
1393,4/5/2022,,563226300399         ,,,,
1394,4/5/2022,,563226300403         ,,,,
1396,4/5/2022,,563226300414         ,,,,
1397,4/5/2022,,563226300425         ,,,,
1403,4/5/2022,,563226300436         ,,,,
1404,4/5/2022,,563226300447         ,,,,
1406,4/5/2022,,563226300458         ,,,,
1414,4/5/2022,,563226300469         ,,,,
1425,4/5/2022,,563226300470         ,,,,
1428,4/5/2022,,563226300480         ,,,,
1431,4/5/2022,,563226300491         ,,,,
1432,4/5/2022,,563226300506         ,,,,
1443,4/5/2022,,563226300517         ,,,,
1446,4/5/2022,,563226300528         ,,,,
1463,4/5/2022,,563226300539         ,,,,
1465,4/5/2022,,563226300540         ,,,,
1470,4/5/2022,,563226300550         ,,,,
1481,4/5/2022,,563226300561         ,,,,
1486,4/5/2022,,563226300572         ,,,,
1489,4/5/2022,,563226300583         ,,,,
1516,4/5/2022,,563226300594         ,,,,
1518,4/5/2022,,563226300609         ,,,,
1523,4/5/2022,,563226300610         ,,,,
1525,4/5/2022,,563226300620         ,,,,
1527,4/5/2022,,563226300631         ,,,,
1539,4/5/2022,,563226300642         ,,,,
1540,4/6/2022,,563226300653         ,,,,
1550,4/6/2022,,563226300664         ,,,,
1553,4/6/2022,,563226300675         ,,,,
1583,4/6/2022,,563226300686         ,,,,
1590,4/6/2022,,563226300697         ,,,,
1593,4/6/2022,,563226300701         ,,,,
1597,4/6/2022,,563226300712         ,,,,
1600,4/6/2022,,563226300723         ,,,,
1603,4/6/2022,,563226300734         ,,,,
1606,4/6/2022,,563226300745         ,,,,
1607,4/6/2022,,563226300756         ,,,,
1611,4/6/2022,,563226300767         ,,,,
1612,4/6/2022,,563226300778         ,,,,
1613,4/6/2022,,563226300789         ,,,,
1619,4/6/2022,,563226300790         ,,,,
1621,4/6/2022,,563226300804         ,,,,
1629,4/6/2022,,563226300815         ,,,,
1630,4/6/2022,,563226300826         ,,,,
1638,4/6/2022,,563226300837         ,,,,
1639,4/6/2022,,563226300848         ,,,,
1640,4/6/2022,,563226300859         ,,,,
1641,4/6/2022,,563226300860         ,,,,
1647,4/6/2022,,563226300870         ,,,,
1651,4/6/2022,,563226300881         ,,,,
1654,4/6/2022,,563226300892         ,,,,
1663,4/6/2022,,563226300907         ,,,,
1666,4/6/2022,,563226300918         ,,,,
1669,4/6/2022,,563226300929         ,,,,
1671,4/6/2022,,563226300930         ,,,,
1675,4/6/2022,,563226300940         ,,,,
1678,4/6/2022,,563226300951         ,,,,
1680,4/6/2022,,563226300962         ,,,,
1686,4/6/2022,,563226300973         ,,,,
1691,4/6/2022,,563226300984         ,,,,
1702,4/6/2022,,563226300995         ,,,,
1707,4/6/2022,,563226301009         ,,,,
1710,4/6/2022,,563226301010         ,,,,
1722,4/6/2022,,563226301020         ,,,,
1724,4/6/2022,,563226301031         ,,,,
1727,4/6/2022,,563226301042         ,,,,
1745,4/6/2022,,563226301053         ,,,,
1749,4/6/2022,,563226301064         ,,,,
1761,4/6/2022,,563226301075         ,,,,
1763,4/6/2022,,563226301086         ,,,,
1764,4/6/2022,,563226301097         ,,,,
1781,4/6/2022,,563226301101         ,,,,
1782,4/6/2022,,563226301112         ,,,,
1789,4/6/2022,,563226301123         ,,,,
1796,4/6/2022,,563226301134         ,,,,
1799,4/6/2022,,563226301145         ,,,,
1807,4/6/2022,,563226301156         ,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
