Region,Market,Store,Digital Shelf Labels,DSL Gen,DSL Start Date,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date,Digital Lock Install Date,Digital Lock Survey Date,Next Gen Cash Recycler Install Date,Initial Change Order Delivery Date,Mobile Calling
56,457,1608,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6026,3/12/2025,9/17/2026,1/17/2028,Completed,Completed,TBD,LIVE,Completed,6/25/2025,6/16/2025,TBD
5,48,371,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,2/28/2024,TBD,TBD,Completed,Completed,TBD
44,47,427,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,9/18/2024,LIVE,Completed,5/19/2025,5/12/2025,6/10/2025
5,45,516,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,Completed,Completed,TBD,TBD,TBD,2/18/2025,Completed,TBD
5,48,804,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,6/19/2024,TBD,TBD,2/19/2025,Completed,TBD
5,49,896,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,7/31/2023,LIVE,Completed,3/24/2025,3/17/2025,TBD
5,48,963,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,6/10/2024,TBD,TBD,2/18/2025,Completed,TBD
4,310,1238,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6040,8/15/2024,12/22/2025,4/22/2027,Completed,Completed,8/27/2024,LIVE,Completed,Completed,Completed,TBD
58,463,1555,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,7033,10/1/2027,1/1/2029,,8/19/2024,8/19/2024,TBD,TBD,TBD,Completed,Completed,7/8/2025
57,396,1560,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,7033,10/1/2027,1/1/2029,,8/19/2024,8/19/2024,5/7/2024,LIVE,Completed,4/30/2025,4/21/2025,TBD
5,44,2978,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,2/25/2024,TBD,TBD,Completed,Completed,TBD
5,56,7178,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,5/21/2024,TBD,TBD,Completed,Completed,TBD
17,190,2135,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6038,8/15/2024,10/24/2025,2/24/2027,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/12/2025
5,50,266,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,6/3/2024,LIVE,Completed,3/5/2025,2/24/2025,TBD
17,164,2104,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6080,4/1/2027,7/1/2028,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,TBD
5,44,3284,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,3/3/2024,LIVE,Completed,Completed,Completed,TBD
5,48,3431,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,6/9/2024,TBD,TBD,2/17/2025,Completed,TBD
64,58,3594,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,2/28/2024,TBD,TBD,3/28/2025,3/17/2025,TBD
5,44,3631,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,Completed,Completed,5/21/2024,TBD,TBD,3/20/2025,3/10/2025,TBD
5,44,4279,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,6/18/2024,LIVE,Completed,3/25/2025,3/17/2025,TBD
5,49,5288,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,6/5/2024,TBD,TBD,Completed,Completed,TBD
5,48,5359,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,6/16/2024,TBD,TBD,2/19/2025,Completed,TBD
26,309,1255,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6040,8/15/2024,12/22/2025,4/22/2027,Completed,Completed,8/12/2024,TBD,TBD,Completed,Completed,6/12/2025
17,164,2637,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6080,4/1/2027,7/1/2028,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/12/2025
5,55,2667,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,TBD,LIVE,Completed,Completed,Completed,TBD
57,394,2884,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,7026,7/1/2027,10/1/2028,,8/19/2024,8/19/2024,TBD,LIVE,Completed,5/3/2025,4/28/2025,TBD
5,479,2980,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,5/29/2024,LIVE,Completed,Completed,Completed,TBD
5,56,3777,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,3/13/2024,LIVE,Completed,2/28/2025,2/17/2025,TBD
5,51,202,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,3/11/2024,TBD,TBD,2/24/2025,2/17/2025,TBD
12,153,272,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,6/24/2024,LIVE,Completed,3/13/2025,3/3/2025,TBD
58,464,2082,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6021,1/6/2026,4/6/2027,8/6/2028,8/19/2024,8/19/2024,TBD,LIVE,Completed,5/21/2025,5/12/2025,7/8/2025
54,380,4284,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,5/21/2024,LIVE,Completed,Completed,Completed,TBD
72,534,3164,YES,Gen 3,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6094,1/1/2028,4/1/2029,,Completed,Completed,TBD,TBD,TBD,3/17/2025,3/10/2025,TBD
72,534,5837,YES,Gen 3,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6094,1/1/2028,4/1/2029,,Completed,Completed,TBD,TBD,TBD,4/26/2025,4/21/2025,7/8/2025
42,323,100,YES,Gen 3,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6094,1/1/2028,4/1/2029,,Completed,Completed,7/28/2024,LIVE,Completed,3/18/2025,3/11/2025,TBD
42,322,359,YES,Gen 3,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6094,1/1/2028,4/1/2029,,Completed,Completed,10/9/2023,TBD,TBD,5/3/2025,4/28/2025,TBD
72,537,4516,YES,Gen 3,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6094,1/1/2028,4/1/2029,,Completed,Completed,TBD,TBD,TBD,4/28/2025,4/21/2025,7/8/2025
42,323,5260,YES,Gen 3,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6094,1/1/2028,4/1/2029,,Completed,Completed,8/4/2024,TBD,TBD,4/25/2025,4/14/2025,TBD
5,53,1216,YES,Gen 3,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,5/15/2024,LIVE,Completed,3/12/2025,3/3/2025,TBD
