Store Number,Current # of Locker Doors,Current # of 18 Door Units,Current # of 36 Door Lockers,Current # of Locker Units ,18- Door Lockers to Remove,36- Door Lockers to Remove,Total Locker Units to Remove,Total Locker Units Remaining
129,144,0,4,4,,2,2,2
135,126,1,3,4,1,1,2,2
143,126,1,3,4,1,1,2,2
168,108,0,3,3,,1,1,2
204,144,0,4,4,,2,2,2
214,108,0,3,3,,1,1,2
227,126,1,3,4,1,1,2,2
236,108,0,3,3,,1,1,2
238,126,1,3,4,1,1,2,2
239,126,1,3,4,1,1,2,2
249,108,0,3,3,,1,1,2
269,126,1,3,4,1,1,2,2
272,108,0,3,3,,1,1,2
277,144,0,4,4,,2,2,2
282,126,1,3,4,1,1,2,2
285,108,0,3,3,,1,1,2
294,108,0,3,3,,1,1,2
299,126,1,3,4,1,1,2,2
303,108,0,3,3,,1,1,2
308,108,0,3,3,,1,1,2
314,126,1,3,4,1,1,2,2
318,126,1,3,4,1,1,2,2
322,108,0,3,3,,1,1,2
333,108,0,3,3,,1,1,2
341,108,0,3,3,,1,1,2
366,126,1,3,4,1,1,2,2
384,126,1,3,4,1,1,2,2
387,126,1,3,4,1,1,2,2
389,162,1,4,5,1,2,3,2
390,108,0,3,3,,1,1,2
391,108,0,3,3,,1,1,2
406,126,1,3,4,1,1,2,2
410,162,1,4,5,1,2,3,2
416,108,0,3,3,,1,1,2
417,108,0,3,3,,1,1,2
421,144,0,4,4,,2,2,2
427,108,0,3,3,,1,1,2
430,126,1,3,4,1,1,2,2
431,126,1,3,4,1,1,2,2
437,108,0,3,3,,1,1,2
445,108,0,3,3,,1,1,2
462,108,0,3,3,,1,1,2
491,108,0,3,3,,1,1,2
493,108,0,3,3,,1,1,2
497,144,0,4,4,,2,2,2
501,126,1,3,4,1,1,2,2
504,108,0,3,3,,1,1,2
516,126,1,3,4,1,1,2,2
529,108,0,3,3,,1,1,2
561,126,1,3,4,1,1,2,2
569,126,1,3,4,1,1,2,2
574,126,1,3,4,1,1,2,2
576,144,0,4,4,,2,2,2
578,108,0,3,3,,1,1,2
584,108,0,3,3,,1,1,2
586,108,0,3,3,,1,1,2
591,108,0,3,3,,1,1,2
593,108,0,3,3,,1,1,2
609,126,1,3,4,1,1,2,2
619,126,1,3,4,1,1,2,2
621,108,0,3,3,,1,1,2
624,126,1,3,4,1,1,2,2
633,126,1,3,4,1,1,2,2
640,108,0,3,3,,1,1,2
641,108,0,3,3,,1,1,2
643,108,0,3,3,,1,1,2
653,108,0,3,3,,1,1,2
663,108,0,3,3,,1,1,2
665,108,0,3,3,,1,1,2
671,108,0,3,3,,1,1,2
672,126,1,3,4,1,1,2,2
674,108,0,3,3,,1,1,2
676,126,1,3,4,1,1,2,2
678,108,0,3,3,,1,1,2
682,108,0,3,3,,1,1,2
683,126,1,3,4,1,1,2,2
685,126,1,3,4,1,1,2,2
687,126,1,3,4,1,1,2,2
689,108,0,3,3,,1,1,2
692,126,1,3,4,1,1,2,2
695,108,0,3,3,,1,1,2
698,108,0,3,3,,1,1,2
699,108,0,3,3,,1,1,2
701,108,0,3,3,,1,1,2
702,126,1,3,4,1,1,2,2
709,126,1,3,4,1,1,2,2
710,126,1,3,4,1,1,2,2
711,126,1,3,4,1,1,2,2
716,126,1,3,4,1,1,2,2
720,144,0,4,4,,2,2,2
724,108,0,3,3,,1,1,2
729,108,0,3,3,,1,1,2
735,126,1,3,4,1,1,2,2
736,108,0,3,3,,1,1,2
737,126,1,3,4,1,1,2,2
739,126,1,3,4,1,1,2,2
741,108,0,3,3,,1,1,2
752,108,0,3,3,,1,1,2
756,126,1,3,4,1,1,2,2
757,108,0,3,3,,1,1,2
765,126,1,3,4,1,1,2,2
784,108,0,3,3,,1,1,2
797,108,0,3,3,,1,1,2
804,126,1,3,4,1,1,2,2
825,126,1,3,4,1,1,2,2
838,108,0,3,3,,1,1,2
853,108,0,3,3,,1,1,2
874,108,0,3,3,,1,1,2
879,108,0,3,3,,1,1,2
886,126,1,3,4,1,1,2,2
916,108,0,3,3,,1,1,2
954,108,0,3,3,,1,1,2
963,126,1,3,4,1,1,2,2
969,108,0,3,3,,1,1,2
970,126,1,3,4,1,1,2,2
1025,108,0,3,3,,1,1,2
1030,108,0,3,3,,1,1,2
1035,108,0,3,3,,1,1,2
1048,126,1,3,4,1,1,2,2
1053,126,1,3,4,1,1,2,2
1059,108,0,3,3,,1,1,2
1062,108,0,3,3,,1,1,2
1088,126,1,3,4,1,1,2,2
1089,108,0,3,3,,1,1,2
1122,126,1,3,4,1,1,2,2
1130,108,0,3,3,,1,1,2
1137,108,0,3,3,,1,1,2
1139,108,0,3,3,,1,1,2
1140,108,0,3,3,,1,1,2
1150,108,0,3,3,,1,1,2
1165,108,0,3,3,,1,1,2
1186,144,0,4,4,,2,2,2
1190,126,1,3,4,1,1,2,2
1192,108,0,3,3,,1,1,2
1195,126,1,3,4,1,1,2,2
1198,108,0,3,3,,1,1,2
1210,126,1,3,4,1,1,2,2
1234,126,1,3,4,1,1,2,2
1241,108,0,3,3,,1,1,2
1244,108,0,3,3,,1,1,2
1259,108,0,3,3,,1,1,2
1260,126,1,3,4,1,1,2,2
1270,108,0,3,3,,1,1,2
1271,108,0,3,3,,1,1,2
1281,108,0,3,3,,1,1,2
1285,108,0,3,3,,1,1,2
1318,108,0,3,3,,1,1,2
1320,126,1,3,4,1,1,2,2
1348,126,1,3,4,1,1,2,2
1364,108,0,3,3,,1,1,2
1370,108,0,3,3,,1,1,2
1376,108,0,3,3,,1,1,2
1381,108,0,3,3,,1,1,2
1389,108,0,3,3,,1,1,2
1392,108,0,3,3,,1,1,2
1429,126,1,3,4,1,1,2,2
1431,108,0,3,3,,1,1,2
1435,126,1,3,4,1,1,2,2
1438,126,1,3,4,1,1,2,2
1439,126,1,3,4,1,1,2,2
1442,126,1,3,4,1,1,2,2
1448,126,1,3,4,1,1,2,2
1466,108,0,3,3,,1,1,2
1469,126,1,3,4,1,1,2,2
1491,126,1,3,4,1,1,2,2
1512,126,1,3,4,1,1,2,2
1530,108,0,3,3,,1,1,2
1606,108,0,3,3,,1,1,2
1619,108,0,3,3,,1,1,2
1621,108,0,3,3,,1,1,2
1622,126,1,3,4,1,1,2,2
1626,108,0,3,3,,1,1,2
1630,126,1,3,4,1,1,2,2
1682,108,0,3,3,,1,1,2
1687,108,0,3,3,,1,1,2
1688,108,0,3,3,,1,1,2
1692,126,1,3,4,1,1,2,2
1700,108,0,3,3,,1,1,2
1721,108,0,3,3,,1,1,2
1723,126,1,3,4,1,1,2,2
1724,108,0,3,3,,1,1,2
1730,108,0,3,3,,1,1,2
1747,108,0,3,3,,1,1,2
1749,126,1,3,4,1,1,2,2
1750,108,0,3,3,,1,1,2
1759,108,0,3,3,,1,1,2
1764,108,0,3,3,,1,1,2
1767,126,1,3,4,1,1,2,2
1772,126,1,3,4,1,1,2,2
1775,126,1,3,4,1,1,2,2
1787,126,1,3,4,1,1,2,2
1788,108,0,3,3,,1,1,2
1802,108,0,3,3,,1,1,2
1812,144,0,4,4,,2,2,2
1829,108,0,3,3,,1,1,2
1834,126,1,3,4,1,1,2,2
1835,144,0,4,4,,2,2,2
1853,108,0,3,3,,1,1,2
1880,126,1,3,4,1,1,2,2
1894,144,0,4,4,,2,2,2
1899,108,0,3,3,,1,1,2
1912,108,0,3,3,,1,1,2
1913,126,1,3,4,1,1,2,2
1914,126,1,3,4,1,1,2,2
1918,144,0,4,4,,2,2,2
1925,126,1,3,4,1,1,2,2
1937,108,0,3,3,,1,1,2
1947,126,1,3,4,1,1,2,2
1954,108,0,3,3,,1,1,2
1965,108,0,3,3,,1,1,2
1966,126,1,3,4,1,1,2,2
1976,162,1,4,5,1,2,3,2
1986,144,0,4,4,,2,2,2
1989,126,1,3,4,1,1,2,2
2012,144,0,4,4,,2,2,2
2013,144,2,3,5,2,1,3,2
2021,144,0,4,4,,2,2,2
2028,108,0,3,3,,1,1,2
2031,126,1,3,4,1,1,2,2
2044,126,1,3,4,1,1,2,2
2051,108,0,3,3,,1,1,2
2052,108,0,3,3,,1,1,2
2063,108,0,3,3,,1,1,2
2065,108,0,3,3,,1,1,2
2069,126,1,3,4,1,1,2,2
2075,108,0,3,3,,1,1,2
2095,108,0,3,3,,1,1,2
2105,144,0,4,4,,2,2,2
2110,126,1,3,4,1,1,2,2
2115,108,0,3,3,,1,1,2
2128,126,1,3,4,1,1,2,2
2130,108,0,3,3,,1,1,2
2131,126,1,3,4,1,1,2,2
2134,108,0,3,3,,1,1,2
2153,108,0,3,3,,1,1,2
2157,144,0,4,4,,2,2,2
2158,108,0,3,3,,1,1,2
2174,108,0,3,3,,1,1,2
2181,108,0,3,3,,1,1,2
2184,108,0,3,3,,1,1,2
2187,126,1,3,4,1,1,2,2
2197,108,0,3,3,,1,1,2
2206,108,0,3,3,,1,1,2
2209,108,0,3,3,,1,1,2
2211,108,0,3,3,,1,1,2
2243,108,0,3,3,,1,1,2
2251,126,1,3,4,1,1,2,2
2265,108,0,3,3,,1,1,2
2310,108,0,3,3,,1,1,2
2336,144,0,4,4,,2,2,2
2341,108,0,3,3,,1,1,2
2366,108,0,3,3,,1,1,2
2386,108,0,3,3,,1,1,2
2482,126,1,3,4,1,1,2,2
2495,126,1,3,4,1,1,2,2
2506,144,0,4,4,,2,2,2
2529,126,1,3,4,1,1,2,2
2537,108,0,3,3,,1,1,2
2541,108,0,3,3,,1,1,2
2546,108,0,3,3,,1,1,2
2553,108,0,3,3,,1,1,2
2609,126,1,3,4,1,1,2,2
2613,126,1,3,4,1,1,2,2
2628,108,0,3,3,,1,1,2
2629,144,0,4,4,,2,2,2
2634,108,0,3,3,,1,1,2
2654,108,0,3,3,,1,1,2
2671,126,1,3,4,1,1,2,2
2687,108,0,3,3,,1,1,2
2705,108,0,3,3,,1,1,2
2708,126,1,3,4,1,1,2,2
2712,126,1,3,4,1,1,2,2
2715,126,1,3,4,1,1,2,2
2717,108,0,3,3,,1,1,2
2755,108,0,3,3,,1,1,2
2757,108,0,3,3,,1,1,2
5441,126,1,3,4,1,1,2,2
6392,108,0,3,3,,1,1,2
