Mkt,Wk,Reg,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Points For the Week,YTD Points, Five Star ,Sales Growth,BU Rank,Company Rank
247,42,21,0,1,3,1,0,0,0,5,25, 4.39 ,5.70%,70,374
209,42,20,0,1,0,0,0,0,0,1,25, 4.31 ,9.55%,71,376
359,42,40,0,1,3,0,0,0,0,4,25, 4.24 ,7.08%,72,377
436,42,53,0,0,3,0,0,0,-3,0,22, 4.44 ,8.75%,73,393
278,42,25,0,1,0,0,0,0,0,1,22, 4.36 ,7.70%,74,396
335,42,40,0,1,0,0,0,0,0,1,21, 4.32 ,10.37%,75,406
208,42,20,0,0,3,0,0,0,0,3,20, 4.40 ,7.84%,76,417
360,42,40,0,0,3,0,0,0,0,3,20, 4.30 ,11.37%,77,421
339,42,40,2,0,3,1,0,0,-3,3,20, 4.30 ,9.83%,78,422
340,42,40,2,0,3,1,0,0,-3,3,20, 4.25 ,11.43%,79,423
246,42,21,0,0,0,0,0,0,0,0,19, 4.38 ,9.48%,80,429
336,42,40,2,0,3,0,0,0,0,5,19, 4.37 ,8.28%,81,430
438,42,53,0,1,3,1,0,0,0,5,17, 4.37 ,6.31%,82,437
275,42,25,0,0,0,0,0,0,0,0,11, 4.46 ,9.83%,83,447
362,42,40,0,0,3,0,0,0,-3,0,11, 4.35 ,10.69%,84,448
166,42,22,2,1,3,1,7,0,0,14,64, 4.45 ,4.74%,1,11
285,42,75,2,1,3,0,0,0,0,6,58, 4.50 ,7.36%,2,24
287,42,75,2,1,3,0,0,0,0,6,56, 4.39 ,8.57%,3,32
282,42,75,2,1,3,1,7,0,0,14,54, 4.47 ,10.31%,4,36
161,42,16,2,0,3,0,0,0,0,5,50, 4.46 ,10.22%,5,54
284,42,75,2,1,3,1,7,0,0,14,50, 4.38 ,4.74%,6,57
164,42,17,2,1,3,0,0,0,0,6,49, 4.45 ,4.61%,7,59
283,42,75,0,1,3,0,0,0,0,4,48, 4.46 ,11.01%,8,63
159,42,16,2,0,3,0,0,0,0,5,47, 4.43 ,6.50%,9,68
301,42,26,2,1,3,0,0,0,0,6,47, 4.43 ,3.85%,10,69
167,42,22,2,1,3,1,7,0,0,14,45, 4.49 ,5.31%,11,77
163,42,17,2,0,0,0,0,0,0,2,44, 4.42 ,11.63%,12,91
187,42,17,2,1,3,1,7,0,0,14,43, 4.36 ,9.07%,13,106
192,42,17,0,0,3,0,0,0,0,3,42, 4.45 ,9.46%,14,112
296,42,26,2,0,3,1,0,0,0,6,42, 4.42 ,2.88%,15,114
293,42,75,2,1,3,0,0,0,-3,3,41, 4.49 ,3.49%,16,121
310,42,26,0,0,3,0,0,0,0,3,41, 4.47 ,4.92%,17,124
315,42,75,2,1,3,0,0,0,0,6,41, 4.40 ,8.68%,18,128
195,42,17,0,0,3,1,0,0,0,4,41, 4.37 ,11.59%,19,132
558,42,22,2,1,0,0,0,0,0,3,40, 4.49 ,3.62%,20,142
290,42,75,2,1,3,1,0,0,0,7,40, 4.37 ,3.41%,21,147
176,42,17,2,1,3,1,7,0,0,14,39, 4.55 ,9.62%,22,151
