Store #,City,State,BU,Region,Market,Upstream Node,Max Packages, Launch Week, Launch Date:,Van Launch,# of Vans
2955,KANSAS CITY,MO,NORTH BU,40,362,ORD1,230,27,8/6/25,,
3460,PEORIA,IL,NORTH BU,25,278,IL9,130,27,8/6/25,,
3771,PHOENIX,AZ,SOUTHWEST BU,46,371,PHX1,200,27,8/6/25,,
4511,SILVIS,IL,NORTH BU,25,279,IL9,290,27,8/6/25,,
4553,KANSAS CITY,MO,NORTH BU,40,361,ORD1,220,27,8/6/25,,
5090,DE PERE,WI,NORTH BU,53,440,IL9,140,27,8/6/25,,
1563,LANCASTER,CA,WEST BU,57,448,LAX1,160,29,8/20/25,,
1574,BAKERSFIELD,CA,WEST BU,57,447,LAX1,190,29,8/20/25,,
1747,PERRIS,CA,WEST BU,58,461,LAX1,210,29,8/20/25,,
2218,FOOTHILL RANCH,CA,WEST BU,58,466,LAX1,210,29,8/20/25,,
2251,CITY OF INDUSTRY,CA,WEST BU,57,484,LAX1,290,29,8/20/25,,
2292,COVINA,CA,WEST BU,57,484,LAX1,200,29,8/20/25,,
2494,OCEANSIDE,CA,WEST BU,58,460,LAX1,350,29,8/20/25,,
2609,LAKEWOOD,CA,WEST BU,57,465,LAX1,280,29,8/20/25,,
3516,CHULA VISTA,CA,WEST BU,58,458,LAX1,200,29,8/20/25,,
4132,DOWNEY,CA,WEST BU,57,465,LAX1,400,29,8/20/25,,
5023,NATIONAL CITY,CA,WEST BU,58,458,LAX1,410,29,8/20/25,,
5134,BAKERSFIELD,CA,WEST BU,57,447,LAX1,310,29,8/20/25,,
5154,ROSEMEAD,CA,WEST BU,57,484,LAX1,450,29,8/20/25,,
5686,BURBANK,CA,WEST BU,57,448,LAX1,590,29,8/20/25,,
2023,LEBANON,PA,EAST BU,22,233,PHL5,280,29,8/20/25,,
2588,NORTH VERSAILLES,PA,NORTH BU,20,227,PHL5,830,29,8/20/25,,
3738,NATRONA HEIGHTS,PA,NORTH BU,20,227,PHL5,420,29,8/20/25,,
3877,GAINESVILLE,FL,SOUTHEAST BU,3,93,FL9,200,29,8/20/25,,
4643,BADEN,PA,NORTH BU,20,229,PHL5,410,29,8/20/25,,
4644,MOON TOWNSHIP,PA,NORTH BU,20,227,PHL5,860,29,8/20/25,,
5888,CAMP HILL,PA,EAST BU,22,234,PHL5,420,29,8/20/25,,
6964,HORN LAKE,MS,SOUTHEAST BU,11,144,MEM1,140,29,8/20/25,,
104,MILAN,TN,SOUTHEAST BU,11,146,KY9,90,30,8/27/25,,
192,COLUMBIA,TN,SOUTHEAST BU,12,153,KY9,110,30,8/27/25,,
653,HOPKINSVILLE,KY,NORTH BU,41,253,KY9,50,30,8/27/25,,
657,COOKEVILLE,TN,SOUTHEAST BU,12,121,KY9,70,30,8/27/25,,
673,CLARKSVILLE,TN,SOUTHEAST BU,12,149,KY9,100,30,8/27/25,,
678,NEWPORT,TN,SOUTHEAST BU,12,123,NC9,130,30,8/27/25,,
1075,CLARKSVILLE,TN,SOUTHEAST BU,12,149,KY9,110,30,8/27/25,,
1179,ARDEN,NC,EAST BU,4,294,NC9,160,30,8/27/25,,
1317,ASHEVILLE,NC,EAST BU,4,294,NC9,200,30,8/27/25,,
1923,COMSTOCK PARK,MI,NORTH BU,19,200,MI9,150,30,8/27/25,,
2493,GRAND RAPIDS,MI,NORTH BU,19,200,MI9,160,30,8/27/25,,
2567,GRANDVILLE,MI,NORTH BU,19,200,MI9,230,30,8/27/25,,
2757,MURFREESBORO,TN,SOUTHEAST BU,12,151,KY9,90,30,8/27/25,,
3371,CHARLOTTE,NC,EAST BU,26,309,NC9,300,30,8/27/25,,
3733,TEGA CAY,SC,EAST BU,4,42,NC9,330,30,8/27/25,,
4187,FLORENCE,AL,SOUTHEAST BU,11,137,KY9,130,30,8/27/25,,
4223,MARYVILLE,TN,SOUTHEAST BU,12,123,NC9,140,30,8/27/25,,
4274,DENVER,NC,EAST BU,26,305,NC9,160,30,8/27/25,,
4482,MOUNT JULIET,TN,SOUTHEAST BU,12,152,KY9,100,30,8/27/25,,
5175,ALGOOD,TN,SOUTHEAST BU,12,121,KY9,70,30,8/27/25,,
5236,BOWLING GREEN,KY,NORTH BU,41,254,KY9,70,30,8/27/25,,
5703,MADISON,AL,SOUTHEAST BU,11,137,KY9,260,30,8/27/25,,
6370,MORRISTOWN,TN,SOUTHEAST BU,12,123,NC9,190,30,8/27/25,,
125,FORT SMITH,AR,SOUTHEAST BU,42,321,DFW5,120,31,9/3/25,,
1463,XENIA,OH,NORTH BU,21,223,Grove City RDC,140,31,9/3/25,,
1504,DAYTON,OH,NORTH BU,21,223,Grove City RDC,210,31,9/3/25,,
1911,AKRON,OH,NORTH BU,20,215,Grove City RDC,600,31,9/3/25,,
2313,STREETSBORO,OH,NORTH BU,20,209,Grove City RDC,230,31,9/3/25,,
2506,RAVENNA,OH,NORTH BU,20,208,Grove City RDC,210,31,9/3/25,,
3860,YOUNGSTOWN,OH,NORTH BU,20,208,Grove City RDC,650,31,9/3/25,,
85,BENTON,AR,SOUTHEAST BU,42,324,DFW5,110,32,9/10/25,,
259,ROCKWALL,TX,SOUTHWEST BU,5,583,DFW5,340,32,9/10/25,,
376,BOSSIER CITY,LA,SOUTHEAST BU,42,127,DFW5,220,32,9/10/25,,
423,ALABASTER,AL,SOUTHEAST BU,14,13,Lagrange RDC,200,32,9/10/25,,
468,TEXARKANA,AR,SOUTHWEST BU,44,47,DFW5,130,32,9/10/25,,
500,EL PASO,TX,SOUTHWEST BU,7,505,DFW5,120,32,9/10/25,,
536,ABILENE,TX,SOUTHWEST BU,7,74,DFW5,130,32,9/10/25,,
715,TUSCALOOSA,AL,SOUTHEAST BU,11,11,Lagrange RDC,230,32,9/10/25,,
806,LAS CRUCES,NM,SOUTHWEST BU,46,387,DFW5,80,32,9/10/25,,
1032,LYNN HAVEN,FL,SOUTHEAST BU,14,15,MCO1,100,32,9/10/25,,
1044,TYLER,TX,SOUTHWEST BU,5,45,DFW5,270,32,9/10/25,,
1077,TALLAHASSEE,FL,SOUTHEAST BU,14,97,MCO1,60,32,9/10/25,,
1105,NORTH LITTLE ROCK,AR,SOUTHEAST BU,42,326,DFW5,180,32,9/10/25,,
1201,GARDENDALE,AL,SOUTHEAST BU,14,3,Lagrange RDC,180,32,9/10/25,,
1223,TALLAHASSEE,FL,SOUTHEAST BU,14,97,MCO1,60,32,9/10/25,,
1338,COLUMBUS,GA,SOUTHEAST BU,14,16,Lagrange RDC,170,32,9/10/25,,
1347,SAN ANTONIO,TX,SOUTHWEST BU,7,87,DFW5,410,32,9/10/25,,
1411,GREEN VALLEY,AZ,SOUTHWEST BU,46,366,PHX1,220,32,9/10/25,,
1455,FORT WORTH,TX,SOUTHWEST BU,5,44,DFW5,250,32,9/10/25,,
1458,FORT OGLETHORPE,GA,SOUTHEAST BU,12,120,Lagrange RDC,380,32,9/10/25,,
1507,WICHITA,KS,SOUTHWEST BU,44,409,DFW5,150,32,9/10/25,,
1553,BLOOMINGDALE,IL,NORTH BU,25,264,Il9,200,32,9/10/25,,
1703,MARTINSBURG,WV,EAST BU,76,280,PHL5,410,32,9/10/25,,
1741,MILFORD,DE,EAST BU,22,284,NJ9,180,32,9/10/25,,
1891,MANCHESTER,CT,EAST BU,17,162,NJ9,200,32,9/10/25,,
2107,LOCKPORT,NY,EAST BU,76,195,PHL5,200,32,9/10/25,,
2112,SCOTTSDALE,AZ,SOUTHWEST BU,46,372,LAX1,230,32,9/10/25,,
2201,EL PASO,TX,SOUTHWEST BU,7,505,DFW5,150,32,9/10/25,,
2204,FOREST PARK,IL,NORTH BU,25,267,IL9,200,32,9/10/25,,
2294,FLEMINGTON,NJ,EAST BU,17,174,NJ9,200,32,9/10/25,,
2503,HACKETTSTOWN,NJ,EAST BU,17,174,NJ9,200,32,9/10/25,,
2575,CONWAY,AR,SOUTHEAST BU,42,326,DFW5,110,32,9/10/25,,
2713,BIRMINGHAM,AL,SOUTHEAST BU,14,3,Lagrange RDC,240,32,9/10/25,,
2790,HAGERSTOWN,MD,EAST BU,76,280,PHL5,380,32,9/10/25,,
2850,HAMPSTEAD,MD,EAST BU,75,293,PHL5,320,32,9/10/25,,
3035,WASHINGTON,DC,EAST BU,76,283,PHL5,1190,32,9/10/25,,
3057,HELOTES,TX,SOUTHWEST BU,7,506,DFW5,350,32,9/10/25,,
3103,GODDARD,KS,SOUTHWEST BU,44,409,DFW5,100,32,9/10/25,,
3215,MORGANTOWN,WV,EAST BU,76,320,PHL5,80,32,9/10/25,,
3319,HARKER HEIGHTS,TX,SOUTHWEST BU,7,81,DFW5,330,32,9/10/25,,
3339,VINELAND,NJ,EAST BU,22,165,NJ9,230,32,9/10/25,,
592,DERBY,KS,WEST BU,47,406,DFW5,120,32,9/10/25,,
1912,CORONA,CA,WEST BU,58,461,LAX1,260,32,9/10/25,,
1915,YUCCA VALLEY,CA,WEST BU,58,463,LAX1,80,32,9/10/25,,
3569,AUSTIN,TX,SOUTHWEST BU,7,83,DFW5,230,32,9/10/25,,
2708,TEMECULA,CA,WEST BU,58,460,LAX1,140,32,9/10/25,,
3588,DUMFRIES,VA,EAST BU,75,291,PHL5,490,32,9/10/25,,
3473,LAS VEGAS,NV,WEST BU,57,394,LAX1,560,32,9/10/25,,
3750,WARNER ROBINS,GA,SOUTHEAST BU,2,32,Lagrange RDC,290,32,9/10/25,,
3896,PEORIA,AZ,SOUTHWEST BU,46,368,LAX1,360,32,9/10/25,,
4200,COLUMBUS,GA,SOUTHEAST BU,14,16,Lagrange RDC,160,32,9/10/25,,
4276,TAYLOR,PA,EAST BU,17,226,NJ9,200,32,9/10/25,,
4279,MIDLOTHIAN,TX,SOUTHWEST BU,5,44,DFW5,200,32,9/10/25,,
4330,CHELSEA,AL,SOUTHEAST BU,14,13,Lagrange RDC,150,32,9/10/25,,
3523,SANTA CLARITA,CA,WEST BU,57,448,LAX1,110,32,9/10/25,,
4497,HUEYTOWN,AL,SOUTHEAST BU,14,13,Lagrange RDC,200,32,9/10/25,,
5031,TUCSON,AZ,SOUTHWEST BU,46,366,PHX1,180,32,9/10/25,,
5039,CAMDEN,DE,EAST BU,22,284,NJ9,200,32,9/10/25,,
4392,VICTORVILLE,CA,WEST BU,58,445,LAX1,210,32,9/10/25,,
5096,PALM DESERT,CA,WEST BU,58,463,LAX1,230,32,9/10/25,,
5197,OWENS CROSS ROADS,AL,SOUTHEAST BU,12,5,Lagrange RDC,260,32,9/10/25,,
5251,CHATTANOOGA,TN,SOUTHEAST BU,12,119,Lagrange RDC,380,32,9/10/25,,
5285,CANTON,OH,NORTH BU,20,215,Grove City RDC,430,32,9/10/25,,
5193,MORENO VALLEY,CA,WEST BU,58,461,LAX1,330,32,9/10/25,,
5425,SAN JACINTO,CA,WEST BU,58,461,LAX1,210,32,9/10/25,,
5369,GOODYEAR,AZ,SOUTHWEST BU,46,368,LAX1,170,32,9/10/25,,
5409,ENGLEWOOD,OH,NORTH BU,21,223,Grove City RDC,270,32,9/10/25,,
5476,WOODBURY,NJ,EAST BU,22,165,NJ9,320,32,9/10/25,,
5705,GARDEN CITY BEACH,SC,EAST BU,4,37,Hope Mills RDC,980,32,9/10/25,,
5707,CROSS ROADS,TX,SOUTHWEST BU,5,52,DFW5,270,32,9/10/25,,
5799,TUCSON,AZ,SOUTHWEST BU,46,367,PHX1,140,32,9/10/25,,
5823,DALLAS,TX,SOUTHWEST BU,5,583,DFW5,300,32,9/10/25,,
5969,CHANTILLY,VA,EAST BU,76,292,PHL5,220,32,9/10/25,,
7601,ATLANTA,GA,NHM BU,59,554,Lagrange RDC,250,32,9/10/25,,
586,CONWAY,SC,EAST BU,4,37,Hope Mills RDC,150,33,9/17/25,,
631,EASLEY,SC,EAST BU,4,35,NC9,320,33,9/17/25,,
1155,LUMBERTON,NC,EAST BU,4,310,Hope Mills RDC,160,33,9/17/25,,
1236,GOLDSBORO,NC,EAST BU,26,302,Hope Mills RDC,160,33,9/17/25,,
1261,FAYETTEVILLE,NC,EAST BU,4,310,Hope Mills RDC,240,33,9/17/25,,
1298,JACKSONVILLE,NC,EAST BU,26,302,Hope Mills RDC,330,33,9/17/25,,
1321,SMITHFIELD,NC,EAST BU,26,299,Hope Mills RDC,130,33,9/17/25,,
1379,GREENVILLE,NC,EAST BU,26,301,Hope Mills RDC,240,33,9/17/25,,
1498,GREENSBORO,NC,EAST BU,26,298,Hope Mills RDC,210,33,9/17/25,,
1664,WILSON,NC,EAST BU,26,299,Hope Mills RDC,190,33,9/17/25,,
1842,GREENSBORO,NC,EAST BU,26,298,Hope Mills RDC,410,33,9/17/25,,
3182,CHAPEL HILL,NC,EAST BU,26,296,Hope Mills RDC,120,33,9/17/25,,
3889,APEX,NC,EAST BU,26,299,Hope Mills RDC,440,33,9/17/25,,
4065,WILMINGTON,NC,EAST BU,4,300,Hope Mills RDC,270,33,9/17/25,,
4273,LELAND,NC,EAST BU,4,300,Hope Mills RDC,270,33,9/17/25,,
4483,WHITE HOUSE,TN,SOUTHEAST BU,12,149,KY9,80,33,9/17/25,,
4664,CONWAY,SC,EAST BU,4,37,Hope Mills RDC,470,33,9/17/25,,
5118,RALEIGH,NC,EAST BU,26,297,Hope Mills RDC,250,33,9/17/25,,
5254,WAKE FOREST,NC,EAST BU,26,297,Hope Mills RDC,290,33,9/17/25,,
5743,GARNER,NC,EAST BU,26,299,Hope Mills RDC,270,33,9/17/25,,
6879,FAYETTEVILLE,NC,EAST BU,4,310,Hope Mills RDC,290,33,9/17/25,,
1971,ROCHESTER,MN,NORTH BU,53,425,Menomonie RDC,180,34,9/24/25,,
5373,CHIPPEWA FALLS,WI,NORTH BU,53,438,Menomonie RDC,200,34,9/24/25,,
1473,MANKATO,MN,WEST BU,52,421,Menomonie RDC,80,34,9/24/25,,
1757,HERMANTOWN,MN,WEST BU,52,419,Menomonie RDC,200,34,9/24/25,,
1855,EDEN PRAIRIE,MN,WEST BU,52,423,Menomonie RDC,250,34,9/24/25,,
2274,FOREST LAKE,MN,WEST BU,52,424,Menomonie RDC,220,34,9/24/25,,
2643,WOODBURY,MN,WEST BU,52,422,Menomonie RDC,250,34,9/24/25,,
3088,ST CLOUD,MN,WEST BU,52,424,Menomonie RDC,120,34,9/24/25,,
3404,ROSEVILLE,MN,WEST BU,52,422,Menomonie RDC,410,34,9/24/25,,
3513,SHAKOPEE,MN,WEST BU,52,423,Menomonie RDC,170,34,9/24/25,,
3624,MONTICELLO,MN,WEST BU,52,424,Menomonie RDC,150,34,9/24/25,,
5992,LAKEVILLE,MN,WEST BU,52,423,Menomonie RDC,190,34,9/24/25,,
188,CAPE GIRARDEAU,MO,NORTH BU,40,335,KY9,104,35,10/1/25,,
216,MARION,IL,NORTH BU,41,271,KY9,195,35,10/1/25,,
264,DICKSON,TN,SOUTHEAST BU,12,149,KY9,120,35,10/1/25,,
269,LAWTON,OK,SOUTHWEST BU,44,349,DFW5,150,35,10/1/25,,
396,ANDERSON,SC,EAST BU,4,39,NC9,320,35,10/1/25,,
410,MURRAY,KY,SOUTHEAST BU,11,146,KY9,110,35,10/1/25,,
457,VIDOR,TX,SOUTHWEST BU,13,66,DFW5,280,35,10/1/25,,
464,CORPUS CHRISTI,TX,SOUTHWEST BU,6,78,DFW5,120,35,10/1/25,,
491,PADUCAH,KY,NORTH BU,41,253,KY9,124,35,10/1/25,,
584,DRY RIDGE,KY,NORTH BU,41,260,IND3,100,35,10/1/25,,
585,ROCK HILL,SC,EAST BU,4,42,NC9,189,35,10/1/25,,
605,SAVANNAH,GA,EAST BU,4,29,Hope Mills RDC,133,35,10/1/25,,
630,FLORENCE,SC,EAST BU,4,38,Hope Mills RDC,150,35,10/1/25,,
632,MOUNT PLEASANT,SC,EAST BU,4,36,Hope Mills RDC,219,35,10/1/25,,
634,CAMDEN,SC,EAST BU,4,38,NC9,110,35,10/1/25,,
667,TULLAHOMA,TN,SOUTHEAST BU,12,151,KY9,116,35,10/1/25,,
668,MCMINNVILLE,TN,SOUTHEAST BU,12,151,KY9,100,35,10/1/25,,
719,RICHMOND,KY,NORTH BU,41,257,IND3,150,35,10/1/25,,
720,FRANKFORT,KY,NORTH BU,41,260,IND3,120,35,10/1/25,,
786,DEKALB,IL,NORTH BU,25,264,IL9,120,35,10/1/25,,
852,OTTAWA,IL,NORTH BU,25,262,IL9,150,35,10/1/25,,
944,CRESTVIEW,FL,SOUTHEAST BU,14,15,MCO1,70,35,10/1/25,,
995,FRANKLIN,IN,NORTH BU,41,251,IND3,120,35,10/1/25,,
1030,LANCASTER,SC,EAST BU,4,42,NC9,134,35,10/1/25,,
1034,SHELBY,NC,EAST BU,26,305,NC9,111,35,10/1/25,,
1037,SUMMERVILLE,SC,EAST BU,4,33,Hope Mills RDC,399,35,10/1/25,,
1055,GARLAND,TX,SOUTHWEST BU,5,583,DFW5,151,35,10/1/25,,
1060,MORGANTON,NC,EAST BU,26,304,NC9,125,35,10/1/25,,
1123,SENECA,SC,EAST BU,4,35,NC9,107,35,10/1/25,,
1142,SCOTTSBURG,IN,NORTH BU,41,243,IND3,120,35,10/1/25,,
1160,AURORA,IN,NORTH BU,41,243,IND3,100,35,10/1/25,,
1176,STOUGHTON,WI,NORTH BU,53,441,IL9,150,35,10/1/25,,
1188,BRIDGETON,MO,NORTH BU,40,339,IND3,200,35,10/1/25,,
1209,LINCOLNTON,NC,EAST BU,26,305,NC9,100,35,10/1/25,,
1254,BELLMEAD,TX,SOUTHWEST BU,5,76,DFW5,226,35,10/1/25,,
1276,SHEBOYGAN,WI,NORTH BU,53,444,IL9,150,35,10/1/25,,
1286,COLUMBIA,SC,EAST BU,4,41,NC9,250,35,10/1/25,,
1305,JANESVILLE,WI,NORTH BU,53,441,IL9,140,35,10/1/25,,
1310,TERRE HAUTE,IN,NORTH BU,41,251,IND3,120,35,10/1/25,,
1330,LIMA,OH,NORTH BU,21,222,Grove City RDC,210,35,10/1/25,,
1339,COLUMBIA,SC,EAST BU,4,41,NC9,220,35,10/1/25,,
1341,EVANSVILLE,IN,NORTH BU,41,254,KY9,189,35,10/1/25,,
1356,MARTINSVILLE,IN,NORTH BU,41,251,IND3,70,35,10/1/25,,
1371,COLUMBUS,IN,NORTH BU,41,580,IND3,130,35,10/1/25,,
1382,GREENWOOD,SC,EAST BU,4,39,NC9,110,35,10/1/25,,
1387,CORAL SPRINGS,FL,SOUTHEAST BU,9,108,FL9,100,35,10/1/25,,
1419,FORT WAYNE,IN,NORTH BU,21,248,IND3,200,35,10/1/25,,
1426,ASHLAND,KY,NORTH BU,21,259,Grove City RDC,170,35,10/1/25,,
1428,MOUNT PLEASANT,MI,NORTH BU,19,204,MI9,112,35,10/1/25,,
1436,GREENACRES,FL,SOUTHEAST BU,9,107,FL9,100,35,10/1/25,,
1452,CHARLOTTE,NC,EAST BU,26,309,NC9,200,35,10/1/25,,
1487,MICHIGAN CITY,IN,NORTH BU,19,238,IL9,150,35,10/1/25,,
1552,SALISBURY,NC,EAST BU,26,308,NC9,152,35,10/1/25,,
1564,NEW BOSTON,OH,NORTH BU,21,218,Grove City RDC,150,35,10/1/25,,
1589,DELRAY BEACH,FL,SOUTHEAST BU,9,108,FL9,100,35,10/1/25,,
1593,COLDWATER,MI,NORTH BU,19,202,MI9,101,35,10/1/25,,
1611,FORT GRATIOT,MI,NORTH BU,19,205,MI9,101,35,10/1/25,,
1643,FOND DU LAC,WI,NORTH BU,53,444,IL9,150,35,10/1/25,,
1662,STATESVILLE,NC,EAST BU,26,304,NC9,126,35,10/1/25,,
1665,MUNCIE,IN,NORTH BU,21,239,IND3,140,35,10/1/25,,
1678,DELAFIELD,WI,NORTH BU,53,442,IL9,220,35,10/1/25,,
1690,DECATUR,IL,NORTH BU,25,275,IND3,135,35,10/1/25,,
1698,HOOKSETT,NH,EAST BU,16,183,PHL5,230,35,10/1/25,,
1752,BAY CITY,MI,NORTH BU,19,204,MI9,303,35,10/1/25,,
1754,HOWELL,MI,NORTH BU,19,203,MI9,155,35,10/1/25,,
1836,ADRIAN,MI,NORTH BU,19,202,MI9,100,35,10/1/25,,
1839,LORAIN,OH,NORTH BU,20,214,Grove City RDC,220,35,10/1/25,,
1962,KOKOMO,IN,NORTH BU,21,246,IND3,60,35,10/1/25,,
1976,HORSEHEADS,NY,EAST BU,17,190,PHL5,183,35,10/1/25,,
1984,NORTH ADAMS,MA,EAST BU,16,154,PHL5,89,35,10/1/25,,
1991,BLOOMINGTON,IN,NORTH BU,41,251,IND3,100,35,10/1/25,,
1996,HALLANDALE BEACH,FL,SOUTHEAST BU,9,553,FL9,100,35,10/1/25,,
2036,SOUTH CHARLESTON,WV,NORTH BU,20,317,Grove City RDC,310,35,10/1/25,,
2056,SARATOGA SPRINGS,NY,EAST BU,16,188,PHL5,310,35,10/1/25,,
2058,RALEIGH,NC,EAST BU,26,297,Hope Mills RDC,200,35,10/1/25,,
2062,BENTON HARBOR,MI,NORTH BU,19,201,MI9,104,35,10/1/25,,
2093,UTICA,NY,EAST BU,76,189,PHL5,271,35,10/1/25,,
2115,NEW PHILADELPHIA,OH,NORTH BU,20,216,Grove City RDC,180,35,10/1/25,,
2152,ALBANY,NY,EAST BU,16,188,PHL5,580,35,10/1/25,,
2158,NORTHBOROUGH,MA,EAST BU,16,156,PHL5,401,35,10/1/25,,
2167,EXTON,PA,EAST BU,22,167,NJ9,185,35,10/1/25,,
2176,JUPITER,FL,SOUTHEAST BU,9,107,FL9,250,35,10/1/25,,
2209,ZANESVILLE,OH,NORTH BU,20,216,Grove City RDC,190,35,10/1/25,,
2225,NORTH SMITHFIELD,RI,EAST BU,17,161,PHL5,359,35,10/1/25,,
2238,MUSKEGON,MI,NORTH BU,19,200,MI9,179,35,10/1/25,,
2244,HUNTINGTON,WV,NORTH BU,20,316,Grove City RDC,260,35,10/1/25,,
2262,ONEONTA,NY,EAST BU,17,190,PHL5,84,35,10/1/25,,
2265,SIMPSONVILLE,SC,EAST BU,4,35,NC9,250,35,10/1/25,,
2331,WATERFORD,CT,EAST BU,17,162,PHL5,237,35,10/1/25,,
2336,PLYMOUTH,MA,EAST BU,16,159,PHL5,149,35,10/1/25,,
2341,QUINCY,MA,EAST BU,16,159,PHL5,525,35,10/1/25,,
