Store #,Whole Milk Gallon,Current Store Retail,Whole Milk 1/2 Gallon,Current Store Retail,2% Milk Gallon,Current Store Retail,2% Milk 1/2 Gallon,Current Store Retail,1% Milk Gallon,Current Store Retail,1% Milk 1/2 Gallon,Current Store Retail,Skim Milk,Current Store Retail,Skim Milk 1/2 Gallon,Current Store Retail,Chocolate Milk Gallon (SAME AS 2%),Current Store Retail,Chocolate Milk 1/2 Gallon (SAME AS 2%),Current Store Retail
5131,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
5649,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
5177,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
1670,$4.70 ,,$2.42 ,,$4.36 ,,$2.26 ,,$4.10 ,,$2.13 ,,$3.86 ,,$2.01 ,,$4.25 ,,$2.20 ,
1777,$4.70 ,,$2.42 ,,$4.36 ,,$2.26 ,,$4.10 ,,$2.13 ,,$3.86 ,,$2.01 ,,$4.25 ,,$2.20 ,
2614,$4.70 ,,$2.42 ,,$4.36 ,,$2.26 ,,$4.10 ,,$2.13 ,,$3.86 ,,$2.01 ,,$4.25 ,,$2.20 ,
5239,$4.70 ,,$2.42 ,,$4.36 ,,$2.26 ,,$4.10 ,,$2.13 ,,$3.86 ,,$2.01 ,,$4.25 ,,$2.20 ,
2145,$4.70 ,,$2.42 ,,$4.36 ,,$2.26 ,,$4.10 ,,$2.13 ,,$3.86 ,,$2.01 ,,$4.25 ,,$2.20 ,
2252,$4.70 ,,$2.42 ,,$4.36 ,,$2.26 ,,$4.10 ,,$2.13 ,,$3.86 ,,$2.01 ,,$4.25 ,,$2.20 ,
2641,$4.70 ,,$2.42 ,,$4.36 ,,$2.26 ,,$4.10 ,,$2.13 ,,$3.86 ,,$2.01 ,,$4.25 ,,$2.20 ,
3563,$4.70 ,,$2.42 ,,$4.36 ,,$2.26 ,,$4.10 ,,$2.13 ,,$3.86 ,,$2.01 ,,$4.25 ,,$2.20 ,
4612,$4.70 ,,$2.42 ,,$4.36 ,,$2.26 ,,$4.10 ,,$2.13 ,,$3.86 ,,$2.01 ,,$4.25 ,,$2.20 ,
2169,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2368,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
1623,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
1884,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2024,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2064,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2255,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2365,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2480,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2543,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
4276,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
1644,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
1794,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
1887,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
1945,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2185,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2208,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2528,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2481,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
2535,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
3634,$4.52 ,,$2.33 ,,$4.18 ,,$2.16 ,,$3.92 ,,$2.03 ,,$3.69 ,,$1.91 ,,$4.16 ,,$2.15 ,
1591,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
1886,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
2574,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
3412,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
1529,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
2023,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
2205,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
2334,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
2340,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
2519,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
2888,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
4404,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
5200,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
1537,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
1823,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
1850,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
3633,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
5358,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
5469,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
5888,$4.81 ,,$2.47 ,,$4.41 ,,$2.27 ,,$4.11 ,,$2.12 ,,$3.87 ,,$2.00 ,,$4.44 ,,$2.28 ,
1770,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
4644,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
4643,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
1820,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
1883,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
1885,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2603,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
3223,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
3738,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
3838,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2008,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2597,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2909,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
5360,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
1568,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
1656,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2278,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2287,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2561,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2674,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
3253,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
3281,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
5445,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
1739,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2281,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2300,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2420,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
5040,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
5446,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2019,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2588,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2611,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
4501,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
5241,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
5339,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
5379,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2059,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
2502,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
3228,$4.86 ,,$2.47 ,,$4.51 ,,$2.29 ,,$4.24 ,,$2.16 ,,$4.02 ,,$2.05 ,,$4.39 ,,$2.23 ,
1769,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
1792,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
2540,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
3429,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
3514,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
1607,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
1640,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
2049,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
2129,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
2230,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
4348,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
5470,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
1684,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
1765,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
1935,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
2318,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
2663,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
2664,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
5356,$4.78 ,,$2.46 ,,$4.42 ,,$2.28 ,,$4.17 ,,$2.15 ,,$3.95 ,,$2.05 ,,$4.41 ,,$2.28 ,
