Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
41,653,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202350,90.20%,91.80%,9.9,89.70%,89.10%,96.20%,85.40%
41,655,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202350,74.40%,95.40%,9.7,83.10%,70.20%,68.30%,76.60%
41,571,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202350,83.30%,96.70%,8.2,88.90%,86.10%,84.90%,72.90%
19,1445,UBER,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202350,92.20%,100.00%,5.1,91.70%,95.50%,95.00%,87.50%
19,5386,SPARK,Scheduled Standard Delivery,33,Executive Review,Recovering,Driver Supply Focus,202350,90.70%,88.50%,9.7,94.50%,90.30%,93.50%,86.10%
25,957,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202350,86.40%,99.20%,4.9,84.60%,85.70%,91.70%,85.30%
20,2281,UBER,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202350,88.70%,98.00%,7,83.70%,93.70%,88.60%,88.90%
20,2611,UBER,Scheduled Standard Delivery,9,At Risk,Degrading,Driver Supply Focus,202350,90.10%,98.80%,9.1,84.60%,91.70%,95.00%,88.10%
20,5446,SPARK,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202350,90.30%,99.40%,9.3,93.70%,82.00%,96.90%,89.20%
20,1477,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202350,78.80%,99.10%,7.5,83.10%,80.20%,82.50%,68.30%
20,4278,UBER,Scheduled Standard Delivery,9,At Risk,Degrading,Driver Supply Focus,202350,85.70%,100.00%,8.3,86.40%,85.20%,71.40%,96.20%
40,44,SPARK,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202350,88.20%,100.00%,3.9,95.20%,85.70%,85.70%,85.00%
40,145,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,81.60%,98.30%,5.9,81.70%,84.50%,77.80%,80.60%
59,5427,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202350,92.80%,88.90%,8,91.70%,96.20%,94.60%,89.00%
21,2572,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202350,88.70%,97.40%,6.7,90.50%,86.60%,88.90%,88.30%
53,882,SPARK,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202350,79.00%,93.80%,7.3,86.20%,60.70%,75.00%,90.50%
53,1316,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Degrading,Driver Supply Focus,202350,86.90%,89.20%,7.6,82.00%,81.40%,93.80%,96.40%
53,2271,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202350,89.00%,91.10%,8.6,83.50%,94.90%,87.70%,89.20%
12,583,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Recovering,Driver Supply Focus,202350,88.20%,99.60%,8,94.80%,84.00%,87.30%,86.20%
12,2749,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,86.00%,95.30%,6.3,82.80%,85.60%,87.70%,88.60%
12,3289,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202350,80.10%,95.60%,7,80.60%,72.40%,80.60%,88.90%
11,393,ROADIE,Scheduled Standard Delivery,12,Executive Review,-,Driver Supply Focus,202350,34.80%,100.00%,6.2,,,31.70%,60.00%
12,434,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202350,73.20%,91.20%,9.9,66.70%,78.60%,79.30%,50.00%
11,365,POINTPICKUP,Scheduled Standard Delivery,49,Executive Review,-,Driver Supply Focus,202350,86.70%,97.90%,8.9,,86.50%,94.50%,79.30%
2,515,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202350,89.80%,94.60%,8.6,89.10%,95.40%,84.90%,89.60%
2,2753,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202350,86.80%,98.50%,6.3,94.20%,83.00%,86.80%,84.50%
2,1181,UBER,Scheduled Standard Delivery,46,Executive Review,Recovering,Driver Supply Focus,202350,91.40%,89.10%,9.2,90.90%,91.70%,95.40%,88.60%
2,3621,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202350,91.20%,96.70%,8.7,93.50%,93.10%,97.30%,81.10%
2,3741,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202350,89.70%,96.10%,9.5,90.20%,93.40%,89.40%,84.90%
9,3235,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202350,82.40%,98.70%,8.7,84.80%,84.00%,74.10%,85.50%
9,4303,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202350,85.20%,99.60%,7.5,82.80%,85.30%,86.70%,86.20%
60,2722,UBER,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202350,90.70%,93.50%,9.1,97.00%,89.60%,86.40%,89.70%
60,1876,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202350,72.40%,90.70%,4.9,71.80%,66.70%,78.30%,72.10%
52,1545,SPARK,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202350,90.60%,95.20%,9.4,95.60%,89.90%,78.30%,98.20%
52,1757,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202350,86.90%,95.80%,7.6,82.90%,87.80%,85.50%,94.20%
52,4849,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202350,81.30%,98.90%,9,77.70%,75.90%,94.80%,79.20%
52,1633,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202350,91.60%,95.20%,9.6,92.50%,97.10%,96.90%,79.90%
52,750,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202350,94.60%,99.40%,4.3,91.70%,98.90%,98.50%,89.70%
57,3473,UBER,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202350,86.70%,97.10%,9.8,78.20%,87.60%,86.60%,92.90%
57,1560,UBER,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202350,90.00%,97.80%,9.4,88.10%,93.20%,89.90%,89.00%
54,986,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202350,48.10%,91.40%,7.1,51.20%,36.70%,47.50%,61.10%
54,2293,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202350,82.10%,91.00%,7.2,87.70%,82.10%,73.00%,84.70%
54,2752,SPARK,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202350,79.50%,92.20%,9.5,69.70%,69.50%,90.80%,88.90%
54,3805,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Driver Supply Focus,202350,86.60%,99.80%,8.3,92.30%,85.80%,82.40%,84.20%
61,3046,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202350,88.30%,99.60%,6.1,98.80%,84.50%,84.30%,82.30%
47,1649,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202350,80.60%,95.80%,6.9,90.80%,83.00%,60.80%,77.20%
47,2990,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202350,89.40%,93.10%,5.7,94.20%,88.00%,93.60%,82.00%
22,4612,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202350,90.80%,97.90%,8.4,91.70%,91.70%,92.80%,87.60%
22,1591,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202350,92.70%,91.20%,9.8,84.50%,94.80%,97.00%,95.50%
22,1850,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202350,90.20%,91.70%,9.9,88.10%,91.70%,92.60%,88.60%
22,3633,POINTPICKUP,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202350,90.60%,97.90%,5.2,88.20%,93.90%,92.80%,87.60%
22,2555,UBER,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202350,92.00%,93.00%,7.5,89.00%,94.40%,97.50%,88.30%
22,5495,UBER,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202350,87.10%,93.90%,8,84.20%,90.90%,84.20%,88.90%
22,5891,UBER,Scheduled Standard Delivery,16,Executive Review,Degrading,Driver Supply Focus,202350,84.20%,93.20%,9.8,84.00%,82.50%,81.40%,88.70%
22,2167,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202350,88.90%,91.50%,7.5,85.90%,89.20%,90.00%,90.10%
16,2660,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202350,84.60%,94.80%,9,90.70%,81.00%,81.30%,84.60%
16,2903,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202350,87.80%,94.00%,8.5,92.90%,95.20%,86.10%,75.70%
16,5076,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202350,95.90%,94.20%,9.4,97.50%,96.90%,97.50%,87.80%
16,2140,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202350,84.50%,97.50%,6.5,86.00%,81.60%,82.40%,88.10%
16,2634,SPARK,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202350,77.40%,96.30%,6.6,90.30%,75.30%,66.70%,74.10%
16,2398,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202350,74.20%,91.30%,7.2,79.20%,67.30%,71.40%,77.00%
16,2659,SPARK,Scheduled Standard Delivery,12,At Risk,Recovering,Driver Supply Focus,202350,90.20%,98.30%,7.7,90.10%,92.40%,95.20%,84.50%
16,2138,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202350,80.30%,100.00%,4.4,72.70%,82.30%,86.60%,79.70%
16,2224,SPARK,Scheduled Standard Delivery,16,Executive Review,Recovering,Driver Supply Focus,202350,86.70%,90.40%,9.2,90.00%,92.10%,93.20%,68.10%
16,2332,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202350,87.30%,90.50%,8,93.50%,92.20%,87.70%,76.60%
16,2424,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202350,87.70%,91.10%,8,75.20%,93.30%,88.30%,96.40%
16,5498,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202350,83.40%,99.40%,7.1,81.90%,94.00%,76.40%,77.60%
16,2097,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,87.10%,97.30%,7.8,83.40%,86.80%,88.70%,89.50%
17,2854,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202350,86.20%,93.70%,8.4,88.60%,78.90%,88.70%,89.40%
17,5201,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202350,91.00%,98.10%,8.4,93.60%,93.20%,95.90%,83.00%
17,2024,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202350,89.60%,99.20%,7.3,89.50%,95.00%,89.90%,84.00%
17,3443,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202350,87.70%,97.50%,6.9,85.80%,92.40%,92.70%,81.30%
17,3520,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202350,83.30%,99.10%,9.1,84.00%,83.80%,86.90%,78.50%
17,3562,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202350,90.90%,95.80%,8.8,88.50%,92.10%,93.60%,89.90%
76,2164,SPARK,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,202350,89.90%,98.60%,7.4,91.00%,83.50%,93.90%,92.90%
76,2663,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,82.30%,97.90%,8.7,74.30%,86.60%,89.90%,78.30%
76,3035,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202350,89.10%,97.80%,5.6,86.90%,87.00%,92.60%,90.50%
76,3035,UBER,Scheduled Standard Delivery,31,Executive Review,Degrading,Driver Supply Focus,202350,82.10%,97.70%,8.7,86.00%,82.80%,81.50%,78.10%
76,5968,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202350,91.80%,92.60%,9,90.20%,89.90%,96.10%,91.60%
76,2564,UBER,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202350,83.30%,100.00%,6.8,100.00%,62.50%,83.30%,81.80%
76,1714,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,86.40%,95.90%,6.9,81.10%,89.40%,86.70%,88.20%
75,1335,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202350,81.60%,91.70%,8.4,88.80%,76.70%,87.30%,71.40%
75,1344,POINTPICKUP,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202350,79.10%,93.80%,6.7,80.00%,80.00%,76.50%,80.00%
75,1344,SPARK,Scheduled Standard Delivery,21,Executive Review,Recovering,Driver Supply Focus,202350,91.00%,92.10%,9.7,90.40%,96.30%,92.70%,84.50%
75,2412,POINTPICKUP,Scheduled Standard Delivery,39,Executive Review,Recovering,Driver Supply Focus,202350,90.20%,94.30%,8.4,91.30%,89.60%,97.40%,82.90%
4,1383,POINTPICKUP,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202350,83.50%,92.90%,9.1,88.40%,93.30%,81.60%,72.10%
4,1795,SPARK,Scheduled Standard Delivery,47,Executive Review,Degrading,Driver Supply Focus,202350,85.80%,98.10%,6.2,89.70%,90.80%,74.60%,86.70%
4,5787,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202350,79.80%,92.90%,8.8,83.70%,84.60%,70.50%,79.20%
5,2978,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,79.10%,81.50%,21.8,64.30%,86.50%,82.40%,84.10%
5,2688,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202350,90.30%,89.90%,11.4,91.00%,95.60%,98.60%,85.60%
5,284,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,76.10%,73.30%,23.3,76.40%,79.90%,64.40%,82.30%
5,471,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,70.10%,72.50%,23.9,63.00%,71.30%,72.10%,73.90%
5,3014,,Scheduled Delivery Standard,23,Executive Review,Degrading,Store Focus,202350,78.80%,85.90%,20.3,37.50%,93.40%,87.90%,87.80%
5,3432,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202350,83.10%,84.90%,21.6,74.90%,89.10%,84.70%,84.80%
5,5810,,Scheduled Delivery Standard,6,Active Monitoring,Degrading,Store Focus,202350,88.60%,92.00%,12.7,80.70%,93.90%,94.20%,87.00%
5,286,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202350,86.70%,87.20%,11.9,81.40%,92.50%,86.20%,86.60%
5,3406,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202350,79.40%,90.50%,16.9,73.10%,83.40%,81.50%,81.20%
5,6963,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,79.00%,87.30%,18.4,69.90%,85.40%,82.10%,79.60%
5,2086,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,88.20%,95.40%,11.7,88.80%,89.90%,89.80%,84.20%
5,3225,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,77.60%,77.00%,20.5,70.80%,87.60%,86.50%,66.80%
5,5823,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,80.10%,88.50%,15.1,81.90%,80.40%,78.90%,79.10%
5,590,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202350,85.50%,88.40%,16.7,82.80%,92.30%,90.00%,77.70%
5,2649,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202350,83.00%,87.60%,16.9,73.40%,79.80%,91.10%,88.80%
5,5080,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,78.20%,71.00%,18.5,68.90%,86.10%,87.70%,73.20%
5,1254,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,83.00%,84.20%,16.5,77.10%,86.50%,87.70%,81.30%
7,813,,Scheduled Delivery Standard,11,At Risk,Recovering,Store Focus,202350,89.00%,90.40%,11.3,92.50%,91.50%,86.90%,84.50%
44,221,,Scheduled Delivery Standard,8,Active Monitoring,Degrading,Store Focus,202350,89.00%,87.60%,18.2,84.30%,95.00%,93.90%,84.00%
44,1626,,Scheduled Delivery Standard,35,Executive Review,Degrading,Store Focus,202350,89.00%,90.20%,14.5,84.40%,93.80%,96.70%,82.40%
44,2803,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202350,93.20%,89.90%,11.9,88.70%,98.60%,97.90%,89.10%
44,517,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202350,84.00%,88.70%,24.1,83.30%,91.30%,83.90%,79.10%
44,427,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202350,85.80%,85.20%,10.5,83.50%,94.50%,89.30%,71.00%
44,794,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202350,90.50%,88.20%,11.5,77.40%,93.20%,97.00%,96.10%
44,1507,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,87.00%,81.40%,14.8,82.30%,91.60%,90.80%,82.90%
64,4048,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202350,87.80%,82.20%,15.4,94.30%,97.10%,83.50%,77.00%
13,542,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,81.90%,78.00%,17.8,88.50%,84.30%,69.50%,81.80%
13,1016,,Scheduled Delivery Standard,18,Executive Review,Recovering,Store Focus,202350,87.30%,83.30%,13,93.60%,81.10%,91.50%,82.90%
13,532,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202350,88.20%,92.10%,11.8,90.60%,95.50%,88.40%,74.90%
13,839,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202350,71.00%,74.70%,21.9,72.10%,70.00%,90.60%,50.50%
13,935,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202350,86.80%,87.90%,16.2,92.00%,88.10%,85.30%,81.80%
13,1102,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202350,78.60%,85.80%,20.9,89.70%,85.90%,76.70%,56.80%
13,1206,,Scheduled Delivery Standard,46,Executive Review,Degrading,Store Focus,202350,83.00%,87.40%,19.3,82.90%,88.30%,91.00%,71.00%
13,1266,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202350,83.40%,78.80%,14.7,88.00%,87.50%,83.60%,73.70%
13,4683,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202350,85.20%,86.20%,14.5,93.10%,91.50%,87.20%,69.20%
13,401,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,82.40%,92.10%,13.9,81.00%,88.50%,77.30%,82.10%
13,1136,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202350,84.80%,87.70%,16.6,95.50%,93.50%,65.90%,83.60%
13,2132,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202350,87.40%,86.70%,13.7,92.90%,87.30%,89.10%,80.90%
13,3288,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202350,86.60%,87.50%,12.3,88.90%,87.30%,85.40%,84.10%
13,180,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202350,73.90%,65.20%,18.3,74.10%,80.40%,76.00%,64.00%
13,399,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,86.60%,81.10%,18,85.50%,86.50%,88.00%,86.70%
13,331,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,84.70%,79.60%,15.1,85.90%,85.30%,89.00%,79.20%
13,449,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,81.80%,83.40%,16.6,88.20%,85.60%,69.00%,81.90%
13,521,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202350,69.90%,70.40%,22.7,62.90%,81.00%,57.30%,74.80%
13,651,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202350,83.30%,77.90%,16.4,90.30%,93.30%,79.10%,68.50%
13,400,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202350,91.50%,88.50%,11.4,93.50%,96.80%,92.10%,83.30%
13,602,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,80.50%,79.60%,17.7,83.10%,83.80%,78.90%,75.70%
13,3390,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202350,82.80%,72.00%,15,86.10%,76.00%,89.80%,79.20%
13,2938,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,83.80%,80.20%,16.9,86.80%,82.10%,89.70%,77.10%
13,75,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202350,91.50%,85.70%,11.1,95.00%,93.60%,89.90%,88.20%
13,170,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202350,78.60%,77.80%,17.4,73.90%,83.10%,83.70%,76.50%
13,539,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,86.00%,91.40%,12.5,84.80%,86.20%,88.30%,85.00%
13,1128,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,83.20%,87.30%,15.2,84.20%,87.50%,89.80%,73.10%
13,4295,,Scheduled Delivery Standard,48,Executive Review,Degrading,Store Focus,202350,77.40%,79.80%,15.9,76.90%,85.80%,91.50%,56.50%
13,140,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,85.90%,83.40%,17.8,80.70%,94.00%,85.10%,84.00%
13,909,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202350,87.10%,94.60%,15.5,91.70%,90.40%,86.00%,79.60%
13,1163,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202350,86.10%,88.60%,18.6,89.90%,83.90%,91.30%,80.50%
13,5022,,Scheduled Delivery Standard,24,Executive Review,Degrading,Store Focus,202350,87.10%,95.80%,14.5,87.60%,88.40%,91.90%,81.20%
13,489,,Scheduled Delivery Standard,23,Executive Review,Recovering,Store Focus,202350,82.40%,78.10%,17.1,91.10%,81.70%,87.60%,69.60%
13,541,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,65.20%,66.60%,14.7,62.40%,67.90%,87.90%,44.80%
13,803,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202350,79.70%,78.00%,12,77.50%,83.30%,75.10%,82.40%
13,989,,Scheduled Delivery Standard,48,Executive Review,Recovering,Store Focus,202350,90.60%,92.40%,14.8,95.10%,95.90%,94.70%,77.10%
13,1353,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,86.80%,82.90%,16.1,89.50%,80.30%,93.90%,84.40%
13,3616,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202350,86.80%,87.10%,10.9,98.20%,88.00%,80.00%,78.20%
13,4129,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202350,82.50%,80.70%,23.3,84.70%,81.40%,82.40%,81.60%
13,501,,Scheduled Delivery Standard,21,Executive Review,Recovering,Store Focus,202350,79.70%,77.40%,13.5,92.70%,83.80%,72.90%,65.00%
13,1066,,Scheduled Delivery Standard,28,Executive Review,Degrading,Store Focus,202350,84.80%,73.70%,15.5,85.40%,93.30%,80.70%,78.90%
6,1129,,Scheduled Delivery Standard,10,At Risk,Degrading,Store Focus,202350,90.20%,76.70%,12.7,87.10%,88.00%,95.50%,91.20%
6,1253,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202350,91.90%,88.90%,11.5,90.40%,97.90%,91.70%,87.60%
6,2133,,Scheduled Delivery Standard,18,Executive Review,Recovering,Store Focus,202350,93.00%,87.80%,10.1,94.10%,96.10%,94.00%,88.60%
