store,BU #,Set,Mod Name,Volume
873,B – SOUTHWEST BU,Week 1,23 S VDR Low_Mountain 11,Low
1073,B – SOUTHWEST BU,Week 1,25 S VDR Average_Average 11,Low
181,B – SOUTHWEST BU,Week 1,25 S VDR Average_BMX 11,Low
476,B – SOUTHWEST BU,Week 1,25 S VDR Average_BMX 11,Low
2653,B – SOUTHWEST BU,Week 1,25 S VDR Average_BMX 11,Low
382,B – SOUTHWEST BU,Week 1,25 S VDR Average_Mountain 11,Low
3807,B – SOUTHWEST BU,Week 1,25 S VDR Average_Mountain 11,Low
5858,B – SOUTHWEST BU,Week 1,25 S VDR Average_Mountain 11,Med
5889,B – SOUTHWEST BU,Week 1,25 S VDR Average_Mountain 11,Low
123,B – SOUTHWEST BU,Week 1,25 S VDR Low_BMX 11,Low
398,B – SOUTHWEST BU,Week 1,25 S VDR Low_BMX 11,Low
158,B – SOUTHWEST BU,Week 14,25 S VDR Low_BMX 11,Low
180,B – SOUTHWEST BU,Week 14,25 S VDR Low_BMX 11,Low
207,B – SOUTHWEST BU,Week 14,25 S VDR Low_BMX 11,Low
280,B – SOUTHWEST BU,Week 14,25 S VDR Low_BMX 11,Low
312,B – SOUTHWEST BU,Week 14,25 S VDR Low_BMX 11,Low
2652,B – SOUTHWEST BU,Week 14,25 S VDR Low_BMX 11,Low
2717,B – SOUTHWEST BU,Week 14,25 S VDR Low_BMX 11,Low
8930,B – SOUTHWEST BU,Week 14,25 S VDR Low_Mountain 0,Low
397,B – SOUTHWEST BU,Week 1,27 S VDR Average_BMX 11,Med
1042,B – SOUTHWEST BU,Week 1,27 S VDR Average_BMX 11,Low
2913,B – SOUTHWEST BU,Week 1,27 S VDR Average_BMX 11,Low
5460,B – SOUTHWEST BU,Week 1,27 S VDR Average_Cruiser 11,Low
1235,B – SOUTHWEST BU,Week 1,27 S VDR Average_Mountain 11,Low
4554,B – SOUTHWEST BU,Week 1,27 S VDR Average_Mountain 11,Low
3106,B – SOUTHWEST BU,Week 1,27 S VDR Average_Mountain 11,Med
290,B – SOUTHWEST BU,Week 14,27 S VDR Low_BMX 11,Low
4509,B – SOUTHWEST BU,Week 14,27 S VDR Low_BMX 11,Low
1249,B – SOUTHWEST BU,Week 1,29 S VDR Average_Average 11,Low
1291,B – SOUTHWEST BU,Week 1,29 S VDR Average_Average 11,Med
5823,B – SOUTHWEST BU,Week 1,29 S VDR Average_Average 11,Med
4131,B – SOUTHWEST BU,Week 1,29 S VDR Average_Average 11,Low
4194,B – SOUTHWEST BU,Week 1,29 S VDR Average_Average 11,Low
38,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
90,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
353,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
368,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
381,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
471,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Med
827,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
835,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Med
1056,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
1295,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
251,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
2105,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Med
2978,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
5492,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
5210,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
3616,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
5799,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Med
4130,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Med
4165,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
4102,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Low
6300,B – SOUTHWEST BU,Week 1,29 S VDR Average_BMX 11,Med
225,B – SOUTHWEST BU,Week 1,29 S VDR Average_Mountain 11,Low
346,B – SOUTHWEST BU,Week 1,29 S VDR Average_Mountain 11,Low
1150,B – SOUTHWEST BU,Week 1,29 S VDR Average_Mountain 11,Med
1380,B – SOUTHWEST BU,Week 1,29 S VDR Average_Mountain 11,Low
202,B – SOUTHWEST BU,Week 1,29 S VDR Average_Mountain 11,Med
392,B – SOUTHWEST BU,Week 1,29 S VDR High_Average 11,Low
49,B – SOUTHWEST BU,Week 1,29 S VDR Low_BMX 11,Low
147,B – SOUTHWEST BU,Week 1,29 S VDR Low_BMX 11,Low
288,B – SOUTHWEST BU,Week 1,29 S VDR Low_BMX 11,Low
47,B – SOUTHWEST BU,Week 14,29 S VDR Low_BMX 11,Low
271,B – SOUTHWEST BU,Week 14,29 S VDR Low_BMX 11,Low
276,B – SOUTHWEST BU,Week 14,29 S VDR Low_BMX 11,Low
3384,B – SOUTHWEST BU,Week 14,29 S VDR Low_BMX 11,Low
178,B – SOUTHWEST BU,Week 14,29 S VDR Low_BMX 11,Low
5810,B – SOUTHWEST BU,Week 1,29 S VDR Low_Mountain 11,Low
4164,B – SOUTHWEST BU,Test store,36 S VDR Average_BMX BOX TEST 11,Low
5191,B – SOUTHWEST BU,Test store,36 S VDR Average_Cruiser BOX TEST 11,Med
4627,B – SOUTHWEST BU,Test store,36 S VDR Average_Cruiser BOX TEST 11,Med
523,B – SOUTHWEST BU,Week 14,36 S VDR Low_BMX 11,Low
897,B – SOUTHWEST BU,Week 14,36 S VDR Low_BMX 11,Low
108,B – SOUTHWEST BU,Week 14,36 S VDR Low_BMX 11,Low
226,B – SOUTHWEST BU,Week 14,36 S VDR Low_BMX 11,Low
211,B – SOUTHWEST BU,Week 14,36 S VDR Low_BMX 11,Low
121,B – SOUTHWEST BU,Week 14,36 S VDR Low_BMX 11,Low
1296,B – SOUTHWEST BU,Week 14,36 S VDR Low_BMX 11,Med
1958,B – SOUTHWEST BU,Week 14,36 S VDR Low_BMX 11,Low
111,B – SOUTHWEST BU,Week 14,36 S VDR Low_BMX 11,Low
2257,B – SOUTHWEST BU,Week 14,36 S VDR Low_BMX 11,Med
22,B – SOUTHWEST BU,Week 1,39 J VDR Average_BMX 23,Low
954,B – SOUTHWEST BU,Week 1,39 J VDR Average_BMX 23,Low
3828,B – SOUTHWEST BU,Week 1,39 J VDR Low_BMX 23,Low
113,B – SOUTHWEST BU,Week 14,39 J VDR Low_BMX 23,Low
5080,B – SOUTHWEST BU,Test store,39 S VDR Average_Average BOX TEST 11,Med
4240,B – SOUTHWEST BU,Test store,39 S VDR Average_Average BOX TEST 11,Med
880,B – SOUTHWEST BU,Test store,39 S VDR Average_Mountain BOX TEST 23,Med
206,B – SOUTHWEST BU,Test store,43 S VDR Average_Mountain BOX TEST 11,Med
5311,B – SOUTHWEST BU,Test store,43 S VDR Average_Mountain BOX TEST 11,Med
782,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Low
1324,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Med
3518,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Low
3320,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Med
3431,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Low
4508,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Low
3055,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Low
5808,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Low
2763,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Med
2834,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Med
3567,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Low
6467,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Low
6929,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Med
7326,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Med
822,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Low
6286,B – SOUTHWEST BU,Week 14,43 S VDR Low_BMX 23,Low
4538,B – SOUTHWEST BU,Week 14,43 S VDR Low_Mountain 11,Med
826,B – SOUTHWEST BU,Week 14,43 S VDR Low_Mountain 23,Med
2883,B – SOUTHWEST BU,Week 14,43 S VDR Low_Mountain 23,Med
417,B – SOUTHWEST BU,Week 1,46 S VDR Average_Average 11,Med
351,B – SOUTHWEST BU,Week 1,46 S VDR Average_Average 11,Med
5155,B – SOUTHWEST BU,Week 1,46 S VDR Average_Average 11,Med
5144,B – SOUTHWEST BU,Week 1,46 S VDR Average_Average 11,Low
3771,B – SOUTHWEST BU,Week 1,46 S VDR Average_Average 11,High
791,B – SOUTHWEST BU,Week 1,46 S VDR Average_BMX 11,Med
868,B – SOUTHWEST BU,Week 1,46 S VDR Average_BMX 11,Med
813,B – SOUTHWEST BU,Week 1,46 S VDR Average_BMX 11,Med
42,B – SOUTHWEST BU,Week 1,46 S VDR Average_Cruiser 11,Low
129,B – SOUTHWEST BU,Week 1,46 S VDR Average_Cruiser 11,Med
131,B – SOUTHWEST BU,Week 1,46 S VDR Average_Cruiser 11,Med
808,B – SOUTHWEST BU,Week 1,46 S VDR Average_Cruiser 11,Med
5147,B – SOUTHWEST BU,Week 1,46 S VDR Average_Cruiser 11,Med
472,B – SOUTHWEST BU,Test store,46 S VDR Average_Cruiser 23,Med
2926,B – SOUTHWEST BU,Week 1,46 S VDR Average_Mountain 11,Low
1240,B – SOUTHWEST BU,Week 1,46 S VDR High_Average 11,Med
861,B – SOUTHWEST BU,Week 1,46 S VDR Low_BMX 11,Low
168,B – SOUTHWEST BU,Week 1,46 S VDR Low_Mountain 11,Med
217,B – SOUTHWEST BU,Test store,51 S VDR Average_Average BOX TEST 11,Low
162,B – SOUTHWEST BU,Week 14,51 S VDR Low_BMX 11,Low
874,B – SOUTHWEST BU,Week 14,51 S VDR Low_BMX 11,Low
5416,B – SOUTHWEST BU,Test store,70 s VDR Low_Mountain BOX TEST 11,Med
27,E – NORTH BU,Week 1,23 S VDR Low_BMX 11,Low
51,E – NORTH BU,Week 1,23 S VDR Low_BMX 11,Low
317,E – NORTH BU,Week 1,23 S VDR Low_BMX 11,Low
833,E – NORTH BU,Week 1,23 S VDR Low_BMX 11,Low
5387,E – NORTH BU,Week 1,23 S VDR Low_BMX 11,Low
2603,E – NORTH BU,Week 14,23 S VDR Low_Mountain 11,Low
3245,E – NORTH BU,Week 1,25 S VDR Average_Average 11,Low
1038,E – NORTH BU,Week 1,25 S VDR Average_Average 11,Low
5668,E – NORTH BU,Week 1,25 S VDR Average_Average 11,Low
56,E – NORTH BU,Week 1,25 S VDR Average_BMX 11,Low
233,E – NORTH BU,Week 1,25 S VDR Average_BMX 11,Low
325,E – NORTH BU,Week 1,25 S VDR Average_BMX 11,Low
328,E – NORTH BU,Week 1,25 S VDR Average_BMX 11,Low
1048,E – NORTH BU,Week 1,25 S VDR Average_BMX 11,Low
1480,E – NORTH BU,Week 1,25 S VDR Average_BMX 11,Low
2020,E – NORTH BU,Week 1,25 S VDR Average_BMX 11,Low
2613,E – NORTH BU,Week 1,25 S VDR Average_BMX 11,Low
2654,E – NORTH BU,Week 1,25 S VDR Average_BMX 11,Low
2968,E – NORTH BU,Week 1,25 S VDR Average_BMX 11,Low
109,E – NORTH BU,Week 1,25 S VDR Average_Mountain 11,Low
203,E – NORTH BU,Week 1,25 S VDR Average_Mountain 11,Low
995,E – NORTH BU,Week 1,25 S VDR Average_Mountain 11,Med
481,E – NORTH BU,Week 1,25 S VDR Average_Mountain 11,Low
2089,E – NORTH BU,Week 1,25 S VDR Average_Mountain 11,Low
2542,E – NORTH BU,Week 1,25 S VDR Average_Mountain 11,Low
135,E – NORTH BU,Week 14,25 S VDR Low_BMX 11,Low
252,E – NORTH BU,Week 14,25 S VDR Low_BMX 11,Low
1003,E – NORTH BU,Week 14,25 S VDR Low_BMX 11,Low
1160,E – NORTH BU,Week 14,25 S VDR Low_BMX 11,Low
1639,E – NORTH BU,Week 14,25 S VDR Low_BMX 11,Low
2849,E – NORTH BU,Week 14,25 S VDR Low_BMX 11,Low
5355,E – NORTH BU,Week 14,25 S VDR Low_BMX 11,Low
5379,E – NORTH BU,Week 14,25 S VDR Low_BMX 11,Low
2856,E – NORTH BU,Week 14,25 S VDR Low_Mountain 11,Low
32,E – NORTH BU,Week 1,27 S VDR Average_Mountain 11,Low
295,E – NORTH BU,Week 1,27 S VDR Average_Mountain 11,Low
1724,E – NORTH BU,Week 1,27 S VDR Average_Mountain 11,Low
2700,E – NORTH BU,Week 1,27 S VDR Average_Mountain 11,Med
1120,E – NORTH BU,Week 14,27 S VDR Low_BMX 11,Low
1713,E – NORTH BU,Week 14,27 S VDR Low_BMX 11,Low
2994,E – NORTH BU,Week 14,27 S VDR Low_BMX 11,Low
1515,E – NORTH BU,Week 1,29 S VDR Average_Average 11,Med
1894,E – NORTH BU,Week 1,29 S VDR Average_Average 11,Low
2818,E – NORTH BU,Week 1,29 S VDR Average_Average 11,Med
2869,E – NORTH BU,Week 1,29 S VDR Average_Average 11,Med
122,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
166,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
250,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
337,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
435,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
436,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
709,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
815,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
854,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
1329,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Med
1419,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Med
1836,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Med
1839,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Med
37,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
491,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
2204,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Med
2823,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
5065,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
5374,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
3303,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
5157,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
3632,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
3453,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Med
3458,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
7087,E – NORTH BU,Week 1,29 S VDR Average_BMX 11,Low
302,E – NORTH BU,Week 1,29 S VDR Average_BMX 23,Low
2276,E – NORTH BU,Week 1,29 S VDR Average_Cruiser 11,Low
3445,E – NORTH BU,Week 1,29 S VDR Average_Cruiser 11,Med
143,E – NORTH BU,Week 1,29 S VDR Average_Mountain 11,Low
801,E – NORTH BU,Week 1,29 S VDR Average_Mountain 11,Low
882,E – NORTH BU,Week 1,29 S VDR Average_Mountain 11,Low
1737,E – NORTH BU,Week 1,29 S VDR Average_Mountain 11,Med
2815,E – NORTH BU,Week 1,29 S VDR Average_Mountain 11,Med
3476,E – NORTH BU,Week 1,29 S VDR Average_Mountain 11,Med
1998,E – NORTH BU,Week 1,29 S VDR High_Average 11,Med
198,E – NORTH BU,Week 14,29 S VDR Low_BMX 11,Low
319,E – NORTH BU,Week 14,29 S VDR Low_BMX 11,Low
1021,E – NORTH BU,Week 14,29 S VDR Low_BMX 11,Low
1395,E – NORTH BU,Week 14,29 S VDR Low_BMX 11,Low
2010,E – NORTH BU,Week 14,29 S VDR Low_BMX 11,Med
2771,E – NORTH BU,Week 14,29 S VDR Low_BMX 11,Low
5446,E – NORTH BU,Week 14,29 S VDR Low_BMX 11,Low
1761,E – NORTH BU,Week 1,29 S VDR Low_Mountain 11,Low
2447,E – NORTH BU,Week 1,29 S VDR Low_Mountain 11,Low
159,E – NORTH BU,Week 14,29 S VDR Low_Mountain 11,Low
89,E – NORTH BU,Week 14,29 S VDR Low_Mountain 11,Low
2221,E – NORTH BU,Test store,36 S VDR Average_Average BOX TEST 11,Med
2124,E – NORTH BU,Week 14,36 S VDR Low_BMX 11,Low
493,E – NORTH BU,Week 1,39 J VDR Average_BMX 23,Low
569,E – NORTH BU,Week 1,39 J VDR Average_BMX 23,Low
