Market,Store,Headcount Changes - GM Coach,Headcount Changes - Fashion TL,Academy Training Date,VizPick Fashion Kit Tracking,FedEx URL,RFID Containment Box,Fashion Cart
322,54,1,1,2/7/25,284733887312,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
322,76,1,1,2/7/25,Arrives Week 52,,Arrives Week 52,Arrives Week 3
322,144,No Change,1,2/7/25,284733891679,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
322,359,No Change,No Change,2/7/25,Arrives Week 52,,Arrives Week 52,Arrives Week 3
322,373,1,2,2/7/25,284733859334,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
322,914,1,1,2/7/25,284737648635,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
376,984,1,1,2/7/25,Arrives Week 52,,Arrives Week 52,Arrives Week 3
376,1492,1,1,2/7/25,284733892860,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
376,1689,1,1,2/7/25,284733906057,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
376,2892,No Change,1,2/7/25,284733845350,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
376,3313,No Change,1,2/7/25,284733848830,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
376,4639,1,2,2/7/25,284733874529,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
376,5137,No Change,No Change,2/7/25,284733827590,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
376,5334,No Change,No Change,2/7/25,284733882104,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
583,259,No Change,1,2/7/25,284733929275,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
583,789,No Change,1,2/7/25,284737645496,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
583,1055,No Change,1,2/7/25,284733829835,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
583,1800,No Change,1,2/7/25,284733912935,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
583,3224,No Change,1,2/7/25,284733848587,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
583,3225,1,1,2/7/25,284733850484,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
583,5823,1,1,2/7/25,284733899095,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
583,5987,1,1,2/7/25,284737644640,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
583,8930,1,3,2/7/25,284737647065,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
110,4303,No Change ,No Change,2/6/25,284733933944,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
