Store,Stock Type,MP,FDD,HVDC,RDC
2226,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2328,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2391,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2392,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2393,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2394,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2396,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2397,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2406,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2425,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2431,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2433,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2442,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2451,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2465,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2468,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2486,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2487,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2488,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2499,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2590,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2632,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2686,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2689,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2741,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2744,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2745,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2773,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2801,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2826,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2839,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2840,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2858,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2870,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2875,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2876,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2877,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2878,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2880,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2887,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2907,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2919,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2930,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2940,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2944,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2974,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2975,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2976,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2977,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2979,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2981,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2984,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
2998,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3013,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3015,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3019,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3022,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3023,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3042,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3043,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3046,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3047,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3049,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3050,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3062,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3082,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3083,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3084,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3090,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3094,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3098,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3099,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3101,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3104,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3110,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3111,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3123,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3127,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3128,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3131,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3132,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3133,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3135,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3138,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3139,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3140,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3141,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
3143,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
