DC Number,Type,Date,Application,Summary,Status,CRQ
6042,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
6042,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
6042,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
6042,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
6042,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
6047,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6047,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
6047,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6047,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6047,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6047,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
6055,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6055,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6055,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6055,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6055,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
6056,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6056,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
6056,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
6056,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
6056,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
6056,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
6057,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6057,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6057,Enhancement,6/13/2025,Audit,Rollout: Manual & Random Audit completion % update,Scheduled,CHG3257900
6057,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
6057,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
6057,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
6057,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
6057,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
6059,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6059,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
6059,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6059,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6059,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6059,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
6062,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6062,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6062,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6062,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6062,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
6064,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6064,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
6064,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
6064,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
6064,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
6064,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
6065,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6065,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6065,Enhancement,6/13/2025,Audit,Rollout: Manual & Random Audit completion % update,Scheduled,CHG3257900
6065,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
6065,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
6065,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
6065,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
6065,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
6071,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6071,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6071,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6071,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6071,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
6072,Enhancement,6/9/2025,Atlas Loading,Pilot: Enable BCDR and Trailer edit reason,Deployed,CHG3248417
6072,Enhancement,6/9/2025,Atlas Moves,Pilot: Snyk vulnerabilities fix,Deployed,CHG3249647
6072,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6072,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6072,Enhancement,6/10/2025,Atlas Moves,Pilot: BCDR CCM Config changes,Deployed,CHG3249696
6072,Enhancement,6/12/2025,Shore,Merge main rollout,Deployed,CHG3245988
6072,Enhancement,6/12/2025,Audit,Pilot: Audit completion % update,Deployed,CHG3257892
6072,Enhancement,6/12/2025,Audit,Pilot: IQS Auth header changes,Deployed,CHG3265383
6073,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6073,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6073,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6073,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6073,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
6074,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6074,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
6074,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6074,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6074,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6074,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
6077,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6077,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6077,Enhancement,6/13/2025,Audit,Rollout: Manual & Random Audit completion % update,Scheduled,CHG3257900
6077,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
6077,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
6077,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
6077,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
6077,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
6082,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6082,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6082,Enhancement,6/13/2025,Audit,Rollout: Manual & Random Audit completion % update,Scheduled,CHG3257900
6082,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
6082,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
6082,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
6082,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
6082,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
6083,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6083,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6083,Enhancement,6/13/2025,Audit,Rollout: Manual & Random Audit completion % update,Scheduled,CHG3257900
6083,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
6083,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
6083,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
6083,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
6083,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
6084,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6084,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6084,Enhancement,6/13/2025,Audit,Rollout: Manual & Random Audit completion % update,Scheduled,CHG3257900
6084,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
6084,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
6084,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
6084,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
6084,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
6085,Enhancement,6/9/2025,Atlas Loading,Pilot: Enable BCDR and Trailer edit reason,Deployed,CHG3248417
6085,Enhancement,6/9/2025,Atlas Moves,Pilot: Snyk vulnerabilities fix,Deployed,CHG3249647
6085,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6085,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6085,Enhancement,6/10/2025,Atlas Moves,Pilot: BCDR CCM Config changes,Deployed,CHG3249696
6085,Enhancement,6/12/2025,Shore,Merge main rollout,Deployed,CHG3245988
6085,Enhancement,6/12/2025,Audit,Pilot: Audit completion % update,Deployed,CHG3257892
6085,Enhancement,6/12/2025,Audit,Pilot: IQS Auth header changes,Deployed,CHG3265383
6090,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6090,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
6090,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
6090,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
6090,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
6090,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
6091,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6091,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
6091,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6091,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6091,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6091,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
6095,Enhancement,6/9/2025,Atlas Loading,Pilot: Enable BCDR and Trailer edit reason,Deployed,CHG3248417
6095,Enhancement,6/9/2025,Atlas Moves,Pilot: Snyk vulnerabilities fix,Deployed,CHG3249647
6095,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6095,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6095,Enhancement,6/10/2025,Atlas Moves,Pilot: BCDR CCM Config changes,Deployed,CHG3249696
6095,Enhancement,6/12/2025,Shore,Merge main rollout,Deployed,CHG3245988
6095,Enhancement,6/12/2025,Audit,Pilot: Audit completion % update,Deployed,CHG3257892
6095,Enhancement,6/12/2025,Audit,Pilot: IQS Auth header changes,Deployed,CHG3265383
6096,Enhancement,6/9/2025,Atlas Loading,Pilot: Enable BCDR and Trailer edit reason,Deployed,CHG3248417
6096,Enhancement,6/9/2025,Atlas Moves,Pilot: Snyk vulnerabilities fix,Deployed,CHG3249647
6096,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6096,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6096,Enhancement,6/10/2025,Atlas Moves,Pilot: BCDR CCM Config changes,Deployed,CHG3249696
6096,Enhancement,6/12/2025,Shore,Merge main rollout,Deployed,CHG3245988
6096,Enhancement,6/12/2025,Audit,Pilot: Audit completion % update,Deployed,CHG3257892
6096,Enhancement,6/12/2025,Audit,Pilot: IQS Auth header changes,Deployed,CHG3265383
6097,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6097,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
6097,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6097,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6097,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6097,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
6099,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6099,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6099,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6099,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6099,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
6858,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
6858,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
6858,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
6858,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
6858,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
6858,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
7010,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
7010,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
7010,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
7010,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
7010,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
7012,Enhancement,6/9/2025,Atlas Loading,Pilot: Enable BCDR and Trailer edit reason,Deployed,CHG3248417
7012,Enhancement,6/9/2025,Atlas Moves,Pilot: Snyk vulnerabilities fix,Deployed,CHG3249647
7012,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
7012,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
7012,Enhancement,6/10/2025,Atlas Moves,Pilot: BCDR CCM Config changes,Deployed,CHG3249696
7012,Enhancement,6/12/2025,Shore,Merge main rollout,Deployed,CHG3245988
7012,Enhancement,6/12/2025,Audit,Pilot: Audit completion % update,Deployed,CHG3257892
7012,Enhancement,6/12/2025,Audit,Pilot: IQS Auth header changes,Deployed,CHG3265383
7013,Enhancement,6/10/2025,Shore,Enhancement Pilot: Merge main rollout,Deployed,CHG3245970
7013,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
7013,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
7013,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
7013,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
7013,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
7013,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
7014,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
7014,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
7014,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
7014,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
7014,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
7014,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
7015,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
7015,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
7015,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
7015,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
7015,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
7015,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
7016,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
7016,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
7016,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
7016,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
7016,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
7016,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
7017,Enhancement,6/9/2025,Atlas Loading,Pilot: Enable BCDR and Trailer edit reason,Deployed,CHG3248417
7017,Enhancement,6/9/2025,Atlas Moves,Pilot: Snyk vulnerabilities fix,Deployed,CHG3249647
7017,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
7017,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
7017,Enhancement,6/10/2025,Atlas Moves,Pilot: BCDR CCM Config changes,Deployed,CHG3249696
7017,Enhancement,6/12/2025,Shore,Merge main rollout,Deployed,CHG3245988
7017,Enhancement,6/12/2025,Audit,Pilot: Audit completion % update,Deployed,CHG3257892
7017,Enhancement,6/12/2025,Audit,Pilot: IQS Auth header changes,Deployed,CHG3265383
7018,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
7018,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
7018,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
7018,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
7018,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
7018,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
7019,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
7019,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
7019,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
7019,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
7021,Enhancement,6/10/2025,Shore,Enhancement Pilot: Merge main rollout,Deployed,CHG3245970
7021,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
7021,Enhancement,6/16/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Scheduled,CHG3259776
7021,Enhancement,6/16/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Scheduled,CHG3260542
7021,Enhancement,6/16/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Scheduled,CHG3260784
7021,Enhancement,6/16/2025,Atlas Moves,Rollout: Modify Purge Job exclusions,Scheduled,CHG3260646
7021,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269305
7023,Enhancement,6/9/2025,Atlas Loading,Pilot: Enable BCDR and Trailer edit reason,Deployed,CHG3248417
7023,Enhancement,6/9/2025,Atlas Moves,Pilot: Snyk vulnerabilities fix,Deployed,CHG3249647
