Market,Store,Location Name,Refresh Qty,Refresh Cost
116,718,AUBURNDALE FL,92,"$36,800"
116,759,WAUCHULA FL,86,"$34,400"
116,3887,"AVON PARK, FL",139,"$55,600"
118,778,PUNTA GORDA FL,127,"$50,800"
118,1874,"ENGLEWOOD, FL",123,"$49,200"
118,3387,"NORTH PORT, FL",161,"$64,400"
4,391,TUPELO MS,80,"$32,000"
11,287,JASPER AL,85,"$34,000"
11,715,TUSCALOOSA AL,88,"$35,200"
136,716,GREENWOOD MS,80,"$32,000"
138,495,COLUMBUS MS,108,"$43,200"
138,1069,NEWTON MS,96,"$38,400"
138,1271,MERIDIAN MS,84,"$33,600"
140,708,VICKSBURG MS,81,"$32,400"
140,903,"JACKSON, MS",87,"$34,800"
146,93,COVINGTON TN,82,"$32,800"
146,675,UNION CITY TN,86,"$34,400"
147,238,PULASKI TN.,92,"$36,800"
147,268,SAVANNAH TN,96,"$38,400"
147,466,BOLIVAR TN,83,"$33,200"
147,1115,HOHENWALD TN,95,"$38,000"
329,45,JONESBORO AR,96,"$38,400"
329,70,WEST MEMPHIS AR,83,"$33,200"
329,91,FORREST CITY AR,87,"$34,800"
329,128,"JONESBORO (W), AR",91,"$36,400"
5,433,"HUNTSVILLE (N), AL",79,"$31,600"
5,434,"HUNTSVILLE, AL",81,"$32,400"
5,712,SCOTTSBORO AL,95,"$38,000"
119,619,DAYTON TN,90,"$36,000"
119,1469,CHATTANOOGA (CENTRAL) TN,89,"$35,600"
119,1606,CHATTANOOGA (N) TN,93,"$37,200"
119,3659,"CHATTANOOGA(SIGNAL), TN",90,"$36,000"
120,756,SUMMERVILLE GA,81,"$32,400"
120,1089,KIMBALL /JASPER TN,80,"$32,000"
120,5151,"ROME (S), GA",89,"$35,600"
121,676,ROCKWOOD/HARRIMAN TN,106,"$42,400"
121,741,"LENOIR CITY, TN",112,"$44,800"
122,1319,KNOXVILLE (N) TN,99,"$39,600"
122,1320,KNOXVILLE (SE) TN,81,"$32,400"
122,2310,"KNOXVILLE (E), TN",148,"$59,200"
122,2932,"KNOXVILLE (SW), TN",92,"$36,800"
123,578,SEVIERVILLE TN,117,"$46,800"
123,685,MORRISTOWN TN,83,"$33,200"
123,724,JEFFERSON CITY TN,79,"$31,600"
124,3852,"UNICOI, TN",101,"$40,400"
149,390,WAVERLY TN,88,"$35,200"
149,673,CLARKSVILLE (E) TN,107,"$42,800"
149,1226,ASHLAND CITY TN,88,"$35,200"
149,3137,FAIRVIEW TN,82,"$32,800"
149,4483,"WHITE HOUSE, TN",84,"$33,600"
151,406,"SMYRNA, TN",83,"$33,200"
151,656,SHELBYVILLE TN,88,"$35,200"
151,667,TULLAHOMA TN,90,"$36,000"
151,682,MURFREESBORO TN,91,"$36,400"
151,737,LEWISBURG TN,83,"$33,200"
151,5057,MURFREESBORO TN 11-12-02,99,"$39,600"
152,674,"GALLATIN, TN",93,"$37,200"
152,695,MADISON (NASHVILLE) TN,84,"$33,600"
152,879,LAFAYETTE TN,101,"$40,400"
152,1376,HENDERSONVILLE TN,88,"$35,200"
152,4414,"SMITHVILLE, TN",97,"$38,800"
153,659,NASHVILLE TN,97,"$38,800"
153,3717,"NASHVILLE (HARDING), TN",98,"$39,200"
153,7020,LA VERGNE TN,82,"$32,800"
1,991,MOBILE AL,110,"$44,000"
1,2748,"GULF SHORES, AL",83,"$33,200"
1,6173,ROBERTSDALE AL,95,"$38,000"
2,2723,"SUMITON, AL",94,"$37,600"
2,5113,"PELL CITY, AL",87,"$34,800"
3,298,BOAZ AL,79,"$31,600"
3,301,GADSDEN AL,80,"$32,000"
3,315,ONEONTA AL,97,"$38,800"
3,2713,BIRMINGHAM AL,83,"$33,200"
7,604,DOTHAN AL,89,"$35,600"
7,2534,"DOTHAN (S), AL",81,"$32,400"
10,726,ALEXANDER CITY AL,83,"$33,200"
10,733,"VALLEY, AL",81,"$32,400"
14,1224,PENSACOLA FL,105,"$42,000"
14,1605,PENSACOLA (W) FL,85,"$34,000"
14,2760,"JACKSON, AL",91,"$36,400"
15,1362,DESTIN FL,99,"$39,600"
15,3075,PANAMA CITY 23RD FL,94,"$37,600"
16,932,GRIFFIN GA,103,"$41,200"
16,1311,COLUMBUS (N) GA,102,"$40,800"
16,1338,COLUMBUS (S) GA,87,"$34,800"
16,4200,"COLUMBUS (GATEWAY), GA",98,"$39,200"
16,5363,"HAMPTON, GA",93,"$37,200"
97,5172,PERRY FL,82,"$32,800"
127,278,SHREVEPORT LA,81,"$32,400"
127,448,SHREVEPORT LA,97,"$38,800"
127,450,SHREVEPORT LA,98,"$39,200"
127,6932,BLANCHARD LA,103,"$41,200"
135,23,RUSTON LA,92,"$36,800"
135,149,"JONESBORO, LA",98,"$39,200"
321,55,BOONEVILLE AR,88,"$35,200"
321,358,ALMA AR,80,"$32,000"
323,100,"BENTONVILLE, AR",87,"$34,800"
324,3230,"BRYANT, AR",100,"$40,000"
325,127,MALVERN AR,81,"$32,400"
325,1065,HOPE AR,104,"$41,600"
326,7,NORTH LITTLE ROCK AR,83,"$33,200"
326,1105,NORTH LITTLE ROCK AR,96,"$38,400"
328,18,NEWPORT AR,80,"$32,000"
328,57,WALNUT RIDGE AR,79,"$31,600"
328,71,POCAHONTAS AR,93,"$37,200"
328,157,SEARCY AR,118,"$47,200"
328,788,CLINTON AR,79,"$31,600"
334,34,NEVADA MO,125,"$50,000"
334,48,MONETT MO,92,"$36,800"
334,79,WEST JOPLIN MO,79,"$31,600"
334,92,AURORA MO,101,"$40,400"
334,267,WEBB CITY MO,95,"$38,000"
44,3285,CEDAR HILL TX,122,"$48,800"
45,251,MINEOLA TX.,142,"$56,800"
45,3764,"LINDALE, TX",92,"$36,800"
45,6467,TYLER (HWY 31) TX,87,"$34,800"
48,804,MINERAL WELLS TX,116,"$46,400"
48,4509,"BENBROOK, TX",60,"$24,000"
49,3432,"DESOTO, TX",47,"$18,800"
50,807,"N RICHLAND HILLS, TX",152,"$60,800"
50,2649,"IRVING (NORTH), TX",113,"$45,200"
50,3274,N RICHLAND HILLS TX,148,"$59,200"
50,5416,ARLINGTON (N) TX,109,"$43,600"
51,202,FRISCO CUSTER & 121 TX,39,"$15,600"
51,2973,"MURPHY, TX",25,"$10,000"
51,3406,DALLAS (PRESTWD) TX,27,"$10,800"
51,5672,LUCAS TX,31,"$12,400"
52,467,DENTON TX,61,"$24,400"
52,5311,"MCKINNEY (NW), TX",63,"$25,200"
53,1216,CARROLLTON TX,86,"$34,400"
53,2105,"FARMERS BRANCH, TX",81,"$32,400"
53,4240,"HIGHLAND VILLAGE, TX",76,"$30,400"
53,5889,"DALLAS (WEBB CHAPEL), TX",65,"$26,000"
56,3777,"FRISCO (W), TX",129,"$51,600"
56,5866,"FRISCO, TX",56,"$22,400"
76,211,HILLSBORO TX,143,"$57,200"
76,320,MARLIN TX EF,37,"$14,800"
76,939,WACO TX,61,"$24,400"
76,1254,BELLMEAD TX,102,"$40,800"
479,4165,Fort Worth Jacksboro & River Oaks TX,77,"$30,800"
479,5312,FT WORTH (121) TX,45,"$18,000"
583,3225,"ROWLETT, TX",79,"$31,600"
583,5823,"DALLAS (SKILL), TX",84,"$33,600"
59,849,HOUST/HUMBLE/ALBIDE,68,"$27,200"
60,522,CROSBY TX,79,"$31,600"
60,2439,BAYTOWN TX,78,"$31,200"
61,462,ALVIN TX,161,"$64,400"
61,1405,"BAY CITY, TX",72,"$28,800"
62,872,PEARLAND TX,132,"$52,800"
62,2505,"MISSOURI CITY, TX",123,"$49,200"
62,3510,PEARLAND TX,102,"$40,800"
63,4526,"HOUSTON, TX",137,"$54,800"
64,3302,"HOUSTON (W TOLLWAY), TX",57,"$22,800"
64,3584,"HOUSTON (GALLERIA), TX",130,"$52,000"
65,3226,"KATY, TX",144,"$57,600"
65,3640,HOUSTON(NW I-610) TX,53,"$21,200"
65,4512,KATY MORTON TX,213,"$85,200"
67,2257,"HOUSTON, TX",89,"$35,600"
67,5091,HOUSTON ROSEHILL TX,106,"$42,400"
78,442,KINGSVILLE TX,120,"$48,000"
78,490,"CORPUS CHRISTI, TX",134,"$53,600"
78,5460,PORTLAND TX,95,"$38,000"
80,395,MISSION TX,117,"$46,800"
80,397,"MCALLEN, TX",137,"$54,800"
80,3567,HIDALGO TX,93,"$37,200"
80,4508,"PENITAS, TX",100,"$40,000"
80,5165,"ALAMO, TX",161,"$64,400"
84,385,CUERO TX,61,"$24,400"
84,463,BEEVILLE TX,145,"$58,000"
84,503,COLUMBUS TX,37,"$14,800"
84,1067,HALLETSVILLE TX,26,"$10,400"
85,293,NAVASOTA TX,39,"$15,600"
85,322,BRYAN TX,103,"$41,200"
85,446,MADISONVILLE TX,50,"$20,000"
85,473,GIDDINGS TX,38,"$15,200"
85,567,CALDWELL TX,37,"$14,800"
85,951,HEMPSTEAD TX,35,"$14,000"
569,413,PORT ISABEL TX,79,"$31,600"
569,1000,BROWNSVILLE TX,136,"$54,400"
569,4112,BROWNSVILLE N TX,135,"$54,000"
569,5808,ELSA TX,126,"$50,400"
70,900,CHILDRESS TX,53,"$21,200"
70,3383,"AMARILLO (SC), TX",80,"$32,000"
70,3384,HEREFORD (NW) TX,46,"$18,400"
71,861,LUBBOCK TX,115,"$46,000"
71,3826,"LUBBOCK (TXTECH), TX",66,"$26,400"
74,1249,"SAN ANGELO, TX",139,"$55,600"
74,1272,SNYDER TX,62,"$24,800"
77,465,FLORESVILLE TX,58,"$23,200"
77,478,PEARSALL TX,20,"$8,000"
77,3112,SAN ANTONIO FOSTER TX,120,"$48,000"
77,5144,SAN ANTONIO (NE) TX,134,"$53,600"
81,407,KILLEEN TX,167,"$66,800"
81,1073,LAMPASSAS TX,70,"$28,000"
81,1232,BELTON TX,81,"$32,400"
82,1253,AUSTIN (S) TX,80,"$32,000"
82,4130,Kyle TX,37,"$14,800"
82,4554,"AUSTIN (NORTHCROSS), TX",78,"$31,200"
83,77,TAYLOR TX,96,"$38,400"
83,1185,AUSTIN (N) TX,85,"$34,000"
83,3169,Manor TX,46,"$18,400"
83,5479,"PFLUGERVILLE, TX",78,"$31,200"
86,1235,SAN ANTONIO TX,51,"$20,400"
86,2239,"SAN ANTONIO (W), TX",101,"$40,400"
86,5145,SAN ANTONIO (VJ) TX,40,"$16,000"
87,292,LOCKHART TX,66,"$26,400"
87,404,SAN MARCOS TX,83,"$33,200"
87,765,"SAN ANTONIO, TX",156,"$62,400"
87,1803,SAN ANTONIO NACOGDOCHES & THOUSAND OAKS TX,96,"$38,400"
87,2769,SAN ANTONIO WALZEM & PARKCREST TX,68,"$27,200"
88,447,DEL RIO TX,191,"$76,400"
88,782,UVALDE TX,106,"$42,400"
88,1046,CARRIZO SPRINGS TX,45,"$18,000"
88,3518,"LAREDO(SE), TX",112,"$44,800"
506,1126,BOERNE TX,60,"$24,000"
506,1154,FREDERICKSBURG TX,50,"$20,000"
506,1198,SAN ANTONIO (N) TX,63,"$25,200"
506,2864,"SAN ANTONIO, TX",112,"$44,800"
506,3107,SAN ANTONIO LEON SPRINGS TX,45,"$18,000"
506,4162,San Antonio Wurzbach TX,58,"$23,200"
46,146,GILMER TX,117,"$46,800"
46,523,CARTHAGE TX,60,"$24,000"
66,283,BRIDGE CITY TX,56,"$22,400"
66,384,LUMBERTON TX,174,"$69,600"
66,521,MOSS BLUFF LA,39,"$15,600"
66,651,BEAUMONT TX,92,"$36,800"
66,1204,LAKE CHARLES (W) LA,88,"$35,200"
68,602,"THE WOODLANDS,TX",90,"$36,000"
68,3591,MONTGOMERY TX,124,"$49,600"
125,3167,New Orleans Gentilly,24,"$9,600"
128,803,BOGALUSA LA EF,65,"$26,000"
129,311,FRANKLIN LA EF,42,"$16,800"
129,485,DONALDSONVILLE LA,42,"$16,800"
129,542,HOUMA LA,56,"$22,400"
129,761,"RACELAND, LA",115,"$46,000"
129,1016,THIBODAUX LA,84,"$33,600"
130,428,ZACHARY LA,47,"$18,800"
130,4683,"BATON ROUGE (BURB), LA",89,"$35,600"
131,401,PLAQUEMINE LA,34,"$13,600"
131,2132,"BATON ROUGE (S), LA",55,"$22,000"
131,3288,"BATON ROUGE, LA",65,"$26,000"
131,5056,"PRAIRIEVILLE, LA",35,"$14,000"
132,386,JENNINGS LA,143,"$57,200"
132,402,BREAUX BRIDGE LA,41,"$16,400"
132,2938,"LAFAYETTE (S), LA",67,"$26,800"
134,170,NATCHITOCHES LA,60,"$24,000"
134,405,LEESVILLE LA,155,"$62,000"
134,498,JENA LA,39,"$15,600"
134,539,ALEXANDRIA LA,49,"$19,600"
134,773,EUNICE LA,43,"$17,200"
134,1107,OAKDALE LA,59,"$23,600"
134,4295,"ALEXANDRIA, LA",48,"$19,200"
141,887,PETAL MS,46,"$18,400"
141,954,HAZELHURST MS,43,"$17,200"
141,1106,"VIDALIA, LA",48,"$19,200"
141,2717,"HATTIESBURG, MS",11,"$4,400"
143,5079,"PASS CHRISTIAN, MS",121,"$48,400"
503,214,JASPER TX,146,"$58,400"
503,249,CLEVELAND TX.,114,"$45,600"
503,288,WOODVILLE TX,42,"$16,800"
47,38,IDABEL OK,62,"$24,800"
47,117,BROKEN BOW OK,35,"$14,000"
47,181,NEW BOSTON TX,79,"$31,600"
47,2123,"TEXARKANA, TX",139,"$55,600"
344,178,"ALVA, OK",37,"$14,800"
344,227,EL RENO OK.,77,"$30,800"
344,392,WEATHERFORD OK,159,"$63,600"
345,136,BLACKWELL OK EF,23,"$9,200"
347,50,VINITA OK,75,"$30,000"
347,81,STILWELL OK,53,"$21,200"
347,90,GROVE OK,136,"$54,400"
349,113,CHICKASHA OK,137,"$54,800"
349,420,"WICHITA FALLS (N), TX",84,"$33,600"
349,607,HOBART OK,26,"$10,400"
349,3229,"VERNON, TX",70,"$28,000"
350,232,ATOKA OK.,57,"$22,800"
351,31,POTEAU OK,123,"$49,200"
351,121,OKMULGEE OK,68,"$27,200"
351,210,HOLDENVILLE OK,32,"$12,800"
351,247,HENRYETTA OK.,14,"$5,600"
352,137,STILLWATER OK,201,"$80,400"
352,2804,"OKLAHOMA CITY (C), OK",69,"$27,600"
353,1056,NEWCASTLE OK,145,"$58,000"
353,2734,"NORMAN (E), OK",25,"$10,000"
353,7326,OKLAHOMA CITY SW OK,107,"$42,800"
356,3295,BROKEN ARROW OK,100,"$40,000"
409,1099,WICHITA KS,161,"$64,400"
409,1221,WICHITA KS,137,"$54,800"
409,3283,"WICHITA (NW), KS",112,"$44,800"
409,3492,"WICHITA, KS",114,"$45,600"
410,382,OTTAWA KS,103,"$41,200"
410,1187,IOLA KS,87,"$34,800"
410,2893,"INDEPENDENCE, KS",65,"$26,000"
410,5307,GARDNER KS,75,"$30,000"
366,1846,DOUGLAS AZ,109,"$43,600"
367,3884,"TUCSON, AZ",95,"$38,000"
368,4336,"EL MIRAGE, AZ",89,"$35,600"
369,3241,GLENDALE AZ,122,"$48,800"
369,5189,PHOENIX (MARYVALE) AZ,66,"$26,400"
370,1598,PHOENIX AZ,58,"$23,200"
370,2113,"PHOENIX, AZ",77,"$30,800"
370,6477,PHOENIX (METROCENTER) AZ,105,"$42,000"
371,2768,"MESA (S), AZ",113,"$45,200"
371,5768,"TEMPE (SOUTHERN), AZ",81,"$32,400"
372,1381,"APACHE JUNCTION, AZ",143,"$57,200"
372,2482,"MESA (W), AZ",95,"$38,000"
372,5428,"MESA (GREENFIELD), AZ",106,"$42,400"
373,3360,"CHANDLER-AIRPORT, AZ",124,"$49,600"
375,873,TAOS NM,54,"$21,600"
375,2656,"ESPANOLA, NM",66,"$26,400"
375,3428,"FARMINGTON, NM",146,"$58,400"
385,824,ALBUQUERQUE (N),38,"$15,200"
385,850,"ALBUQUERQUE (C), NM",126,"$50,400"
385,3423,"SANTA FE (S), NM",42,"$16,800"
387,851,"RUIDOSO DOWNS, NM",66,"$26,400"
387,1357,SILVER CITY NM,57,"$22,800"
387,4341,"TRUTH OR CONSEQUENCES, NM",55,"$22,000"
200,2238,"MUSKEGON, MI",163,"$65,200"
202,1836,ADRIAN MI,155,"$62,000"
203,1733,OWOSSO MI,139,"$55,600"
204,1432,CADILLAC MI,168,"$67,200"
204,1752,BAY CITY MI,167,"$66,800"
205,1798,CARO MI,163,"$65,200"
205,2693,"FENTON, MI",147,"$58,800"
205,3726,"GRAND BLANC, MI",197,"$78,800"
213,5471,MANSFIELD (S) OH,148,"$59,200"
208,2541,"ALLIANCE, OH",198,"$79,200"
209,5387,"MIDDLEFIELD, OH",138,"$55,200"
215,1812,WOOSTER OH,139,"$55,600"
215,1894,"MEDINA, OH",170,"$68,000"
216,2078,"MARIETTA, OH",154,"$61,600"
216,2684,"NEW MARTINSVILLE, WV",155,"$62,000"
216,3262,"CAMBRIDGE, OH",152,"$60,800"
227,1948,"WEIRTON, WV",138,"$55,200"
229,1820,KITTANNING PA,163,"$65,200"
229,1883,"MONACA, PA",147,"$58,800"
229,2540,"CLARION, PA",161,"$64,400"
235,2611,"MT.PLEASANT, PA",175,"$70,000"
235,5379,"CONNELLSVILLE, PA",159,"$63,600"
311,2761,"POUNDING MILL, VA",153,"$61,200"
316,1450,RIPLEY WV,151,"$60,400"
316,4277,"HURRICANE, WV",150,"$60,000"
239,1331,SIDNEY OH,149,"$59,600"
259,1140,"MT.STERLING, KY",168,"$67,200"
262,852,OTTAWA IL,161,"$64,400"
262,1003,PLANO IL,209,"$83,600"
262,1307,BOURBONAIS IL,171,"$68,400"
262,1386,PONTIAC IL,162,"$64,800"
264,1420,STREAMWOOD IL,169,"$67,600"
264,4405,"AURORA (NE), IL",147,"$58,800"
264,5352,BATAVIA IL,138,"$55,200"
265,1401,NAPERVILLE IL,170,"$68,000"
265,2215,"DARIEN, IL",162,"$64,800"
265,3400,OSWEGO IL,161,"$64,400"
265,3790,"LOCKPORT, IL",189,"$75,600"
265,4286,"MONTGOMERY, IL",145,"$58,000"
265,4531,"ROMEOVILLE, IL",150,"$60,000"
267,2204,"FOREST PARK, IL",165,"$66,000"
267,3725,"NILES, IL",164,"$65,600"
267,5617,CHICAGO HERMOSA IL,168,"$67,200"
268,1681,MOUNT PROSPECT IL,163,"$65,200"
268,1892,"HODGKINS,IL",265,"$106,000"
268,1897,"ELK GROVE VILLAGE, IL",158,"$63,200"
268,1938,"BEDFORD PARK, IL",154,"$61,600"
268,2815,"ROLLING MEADOWS, IL",144,"$57,600"
268,5485,"EVERGREEN PARK, IL",172,"$68,800"
269,3891,"WAUKEGAN, IL",155,"$62,000"
270,1377,MCHENRY IL,187,"$74,800"
270,1413,CRYSTAL LAKE IL,196,"$78,400"
270,1531,CARPENTERSVILLE IL,182,"$72,800"
270,3434,"WOODSTOCK, IL",174,"$69,600"
270,3597,BELVIDERE IL,207,"$82,800"
270,4641,"HUNTLEY, IL",154,"$61,600"
270,5060,ALGONQUIN IL,193,"$77,200"
272,198,SALEM IL,170,"$68,000"
272,213,LITCHFIELD IL,191,"$76,400"
272,224,"MT. VERNON, IL.",167,"$66,800"
272,435,HIGHLAND IL,180,"$72,000"
272,936,EFFINGHAM IL,185,"$74,000"
272,1395,CENTRALIA IL,142,"$56,800"
273,612,CHARLESTON IL,143,"$57,200"
273,5403,URBANA IL,156,"$62,400"
275,343,TAYLORVILLE IL,196,"$78,400"
275,3210,"SPRINGFIELD, IL",142,"$56,800"
278,197,MACOMB IL,214,"$85,600"
278,603,PEKIN IL,148,"$59,200"
278,1421,WASHINGTON/ MEADOWS,164,"$65,600"
278,3459,BLOOMINGTON IL,216,"$86,400"
278,5157,"MORTON, IL",145,"$58,000"
279,633,KEWANEE IL,151,"$60,400"
279,796,PERU IL,183,"$73,200"
279,891,STERLING IL,181,"$72,400"
279,5399,DIXON IL,184,"$73,600"
336,21,ST ROBERT MO /WAYNESVILLE,178,"$71,200"
336,65,SULLIVAN MO,146,"$58,400"
340,805,FENTON MO,145,"$58,000"
341,253,"JERSEYVILLE, IL.",148,"$59,200"
341,328,"WATERLOO, IL",152,"$60,800"
341,4695,"GODFREY, IL",148,"$59,200"
357,46,BOLIVAR MO,144,"$57,600"
360,560,ST JOSEPH MO,155,"$62,000"
361,96,HARRISONVILLE MO,146,"$58,400"
361,319,"RAYMORE,MO",173,"$69,200"
249,884,SHELBYVILLE IN,162,"$64,800"
251,902,GREENCASTLE IN,146,"$58,400"
251,4235,"TERRE HAUTE, IN",173,"$69,200"
253,204,PRINCETON KY,143,"$57,200"
253,431,PADUCAH KY,148,"$59,200"
257,1190,"BEREA, KY",151,"$60,400"
271,237,HARRISBURG IL.,154,"$61,600"
271,262,BENTON IL /WEST CITY.,160,"$64,000"
196,2417,"PETOSKEY, MI",139,"$55,600"
196,2434,"IRON MOUNTAIN, MI",151,"$60,400"
263,1490,ROCKFORD IL,173,"$69,200"
263,3837,"ROCKTON, IL",187,"$74,800"
263,5398,"ROCKFORD(W), IL",152,"$60,800"
425,1971,"ROCHESTER, MN",147,"$58,800"
438,965,TOMAH WI,140,"$56,000"
438,1679,ONALASKA WI,170,"$68,000"
439,1449,MANITOWOC WI,145,"$58,000"
439,2986,NEENAH WI,154,"$61,600"
440,2271,"SHAWANO, WI",163,"$65,200"
441,3505,WISCONSIN DELLS WI,166,"$66,400"
444,1276,"SHEBOYGAN, WI",148,"$59,200"
29,605,SAVANNAH GA,77,"$30,800"
29,635,SAVANNAH GA,93,"$37,200"
29,1011,RINCON GA,84,"$33,600"
33,628,SUMMERVILLE SC,86,"$34,400"
33,795,BARNWELL SC,70,"$28,000"
33,1037,SUMMERVILLE SC,77,"$30,800"
33,1748,"CHARLESTON (WEST), SC",65,"$26,000"
33,7181,LADYS ISLAND SC,76,"$30,400"
35,640,GREENVILLE SC,72,"$28,800"
35,2687,"GREER, SC",69,"$27,600"
35,3222,CLEMSON SC,80,"$32,000"
35,4583,"GREENVILLE (NE), SC",71,"$28,400"
36,1017,MANNING SC,94,"$37,600"
37,5705,GARDEN CITY BEACH SC,72,"$28,800"
38,1135,HARTSVILLE SC,93,"$37,200"
38,1829,MARION SC,66,"$26,400"
38,2703,"FLORENCE, SC",63,"$25,200"
38,4457,"BENNETTSVILLE, SC",66,"$26,400"
39,624,NEWBERRY SC,70,"$28,000"
39,629,UNION SC,83,"$33,200"
39,644,ANDERSON SC,82,"$32,800"
39,1603,CHESTER SC,85,"$34,000"
41,881,"LEXINGTON, SC",61,"$24,400"
41,1183,"WEST COLUMBIA, SC",79,"$31,600"
41,4420,"BATESBURG-LEESVILLE, SC",66,"$26,400"
42,1030,LANCASTER SC,78,"$31,200"
42,3733,"TEGA CAY, SC",80,"$32,000"
294,1242,HENDERSONVILLE NC,81,"$32,400"
294,1663,"WAYNESVILLE, NC",76,"$30,400"
300,1268,WHITEVILLE NC,89,"$35,600"
300,1352,WALLACE NC,78,"$31,200"
300,2772,"SOUTHPORT, NC",88,"$35,200"
310,1155,LUMBERTON NC,69,"$27,600"
310,1238,FAYETTEVILLE NC,69,"$27,600"
310,1261,FAYETTEVILLE (NE) NC,79,"$31,600"
310,2929,"HOPE MILLS, NC",92,"$36,800"
310,3595,FAYETTEVILLE NC,90,"$36,000"
310,5787,"RAEFORD, NC",82,"$32,800"
310,6879,FAYETTEVILLE AIRPORT NC,85,"$34,000"
154,1967,"SPRINGFIELD, MA",71,"$28,400"
154,2174,"WESTFIELD, MA",75,"$30,000"
154,2289,"BENNINGTON, VT EF",89,"$35,600"
156,2158,"NORTHBOROUGH, MA",94,"$37,600"
156,2329,"ORANGE, MA",77,"$30,800"
157,2180,"DANVERS, MA",90,"$36,000"
159,2122,"AVON, MA",91,"$36,400"
159,2128,"HALIFAX, MA",74,"$29,600"
159,2341,"QUINCY, MA",68,"$27,200"
160,1906,FAIRHAVEN MA,87,"$34,800"
160,2095,"WAREHAM, MA",92,"$36,800"
160,5448,"RAYNHAM (N), MA",92,"$36,800"
179,1924,"PRESQUE ISLE, ME",85,"$34,000"
