Store #,City,State,MARCH ACTIVATION DATE
5964,TAMPA,FL,3/26/2024
547,PLANT CITY,FL,3/26/2024
706,ZEPHYRHILLS,FL,3/26/2024
713,DADE CITY,FL,3/26/2024
718,AUBURNDALE,FL,3/26/2024
725,HAINES CITY,FL,3/26/2024
779,LAKELAND,FL,3/26/2024
925,SEFFNER,FL,3/26/2024
1245,LAKELAND,FL,3/26/2024
2387,BRANDON,FL,3/26/2024
3463,BRANDON,FL,3/26/2024
817,KISSIMMEE,FL,3/26/2024
908,ORLANDO,FL,3/26/2024
1086,SAINT CLOUD,FL,3/26/2024
1220,ORLANDO,FL,3/26/2024
2881,KISSIMMEE,FL,3/26/2024
4332,ORLANDO,FL,3/26/2024
4365,ORLANDO,FL,3/26/2024
5214,KISSIMMEE,FL,3/26/2024
5250,KISSIMMEE,FL,3/26/2024
5420,KISSIMMEE,FL,3/26/2024
890,ORLANDO,FL,3/26/2024
943,CASSELBERRY,FL,3/26/2024
955,APOPKA,FL,3/26/2024
1084,ORLANDO,FL,3/26/2024
1374,ALTAMONTE SPRINGS,FL,3/26/2024
3782,ORLANDO,FL,3/26/2024
4588,ORLANDO,FL,3/26/2024
5871,ORLANDO,FL,3/26/2024
5894,OVIEDO,FL,3/26/2024
174,COCOA,FL,3/26/2024
649,TITUSVILLE,FL,3/26/2024
771,MERRITT ISLAND,FL,3/26/2024
931,VERO BEACH,FL,3/26/2024
956,MELBOURNE,FL,3/26/2024
973,FORT PIERCE,FL,3/26/2024
974,WEST MELBOURNE,FL,3/26/2024
1068,SEBASTIAN,FL,3/26/2024
1702,MELBOURNE,FL,3/26/2024
3538,MELBOURNE,FL,3/26/2024
5455,PALM BAY,FL,3/26/2024
819,CAPE CORAL,FL,3/26/2024
987,FORT MYERS,FL,3/26/2024
1119,NAPLES,FL,3/26/2024
1957,NAPLES,FL,3/26/2024
3417,NAPLES,FL,3/26/2024
4063,FORT MYERS BEACH,FL,3/26/2024
5034,FORT MYERS,FL,3/26/2024
5055,NAPLES,FL,3/26/2024
5347,ESTERO,FL,3/26/2024
5391,NAPLES,FL,3/26/2024
814,OKEECHOBEE,FL,3/26/2024
929,PORT SAINT LUCIE,FL,3/20/2024
1087,STUART,FL,3/26/2024
1436,GREENACRES,FL,3/26/2024
1541,WEST PALM BEACH,FL,3/26/2024
2176,JUPITER,FL,3/26/2024
3348,LAKE PARK,FL,3/26/2024
3527,PORT ST LUCIE,FL,3/26/2024
4260,PORT ST LUCIE,FL,3/26/2024
4446,WEST PALM BEACH,FL,3/26/2024
5301,WEST PALM BEACH,FL,3/26/2024
1387,CORAL SPRINGS,FL,3/26/2024
1398,LAKE WORTH,FL,3/26/2024
1517,POMPANO BEACH,FL,3/26/2024
1589,DELRAY BEACH,FL,3/26/2024
1916,COCONUT CREEK,FL,3/26/2024
2789,BOYNTON BEACH,FL,3/26/2024
2962,POMPANO BEACH,FL,3/26/2024
2963,CORAL SPRINGS,FL,3/26/2024
3858,BOCA RATON,FL,3/26/2024
5882,PALM SPRINGS,FL,3/26/2024
5911,BOYNTON BEACH,FL,3/26/2024
1349,SUNRISE,FL,3/26/2024
1845,COOPER CITY,FL,3/26/2024
1851,NORTH LAUDERDALE,FL,3/26/2024
2151,SUNRISE,FL,3/26/2024
2591,PEMBROKE PINES,FL,3/26/2024
2946,FORT LAUDERDALE,FL,3/26/2024
2987,DAVIE,FL,3/26/2024
3625,LAUDERDALE LAKES,FL,3/26/2024
5325,MARGATE,FL,3/26/2024
5932,PEMBROKE PINES,FL,3/26/2024
1680,KENDALL,FL,3/26/2024
2091,DORAL,FL,3/26/2024
2727,FLORIDA CITY,FL,3/26/2024
2814,HIALEAH,FL,3/26/2024
4161,MIAMI,FL,3/26/2024
5671,HOMESTEAD,FL,3/26/2024
5854,MIAMI,FL,3/26/2024
5912,MIAMI,FL,3/26/2024
528,BRADEN RIVER,FL,3/26/2024
666,SEBRING,FL,3/26/2024
769,VENICE,FL,3/26/2024
1004,BRADENTON,FL,3/26/2024
1171,SARASOTA,FL,3/26/2024
2459,SARASOTA,FL,3/26/2024
3370,PALMETTO,FL,3/26/2024
3474,BRADENTON,FL,3/26/2024
3887,AVON PARK,FL,3/26/2024
5264,OSPREY,FL,3/26/2024
5727,BRADENTON,FL,3/26/2024
580,BARTOW,FL,3/26/2024
759,WAUCHULA,FL,3/26/2024
859,LAKE WALES,FL,3/26/2024
941,VALRICO,FL,3/26/2024
968,WINTER HAVEN,FL,3/26/2024
1203,WIMAUMA,FL,3/26/2024
3347,WINTER HAVEN,FL,3/26/2024
5035,MULBERRY,FL,3/26/2024
5300,GIBSONTON,FL,3/26/2024
623,NORTH FORT MYERS,FL,3/26/2024
721,PORT CHARLOTTE,FL,3/26/2024
778,PUNTA GORDA,FL,3/26/2024
811,ARCADIA,FL,3/26/2024
1874,ENGLEWOOD,FL,3/26/2024
2237,LEHIGH ACRES,FL,3/26/2024
2484,CLEWISTON,FL,3/26/2024
3349,PORT CHARLOTTE,FL,3/26/2024
3387,NORTH PORT,FL,3/26/2024
6190,LABELLE,FL,3/26/2024
1511,MIRAMAR,FL,3/26/2024
1590,HIALEAH,FL,3/26/2024
1996,HALLANDALE BEACH,FL,3/26/2024
3163,HOLLYWOOD,FL,3/26/2024
3235,NORTH MIAMI BEACH,FL,3/26/2024
3311,MIAMI GARDENS,FL,3/26/2024
3397,MIAMI GARDENS,FL,3/26/2024
4303,MIAMI,FL,3/26/2024
105,CORINTH,MS,4/9/2024
114,BOONEVILLE,MS,4/9/2024
118,AMORY,MS,4/9/2024
153,NEW ALBANY,MS,4/9/2024
164,PONTOTOC,MS,4/9/2024
176,RIPLEY,MS,4/9/2024
258,TUPELO,MS,4/9/2024
273,FULTON,MS,4/9/2024
274,IUKA,MS,4/9/2024
303,HOLLY SPRINGS,MS,4/9/2024
391,TUPELO,MS,4/9/2024
287,JASPER,AL,3/27/2024
362,WINFIELD,AL,3/27/2024
425,BRENT,AL,3/27/2024
715,TUSCALOOSA,AL,3/27/2024
731,DEMOPOLIS,AL,3/27/2024
764,BESSEMER,AL,3/27/2024
1052,FAYETTE,AL,3/27/2024
2306,NORTHPORT,AL,3/27/2024
155,SENATOBIA,MS,4/9/2024
182,GREENVILLE,MS,4/9/2024
347,INDIANOLA,MS,4/9/2024
699,OXFORD,MS,4/9/2024
707,CLARKSDALE,MS,4/9/2024
716,GREENWOOD,MS,4/9/2024
1074,GRENADA,MS,4/9/2024
1468,BATESVILLE,MS,4/9/2024
1530,CLEVELAND,MS,4/9/2024
394,MOULTON,AL,3/27/2024
403,RUSSELLVILLE,AL,3/27/2024
409,HALEYVILLE,AL,3/27/2024
660,MUSCLE SHOALS,AL,3/27/2024
661,ATHENS,AL,3/27/2024
662,DECATUR,AL,3/27/2024
766,FLORENCE,AL,3/27/2024
1100,HAMILTON,AL,3/27/2024
1124,HARTSELLE,AL,3/27/2024
2690,MADISON,AL,3/27/2024
4187,FLORENCE,AL,3/27/2024
5703,MADISON,AL,3/27/2024
112,STARKVILLE,MS,4/9/2024
115,WEST POINT,MS,4/9/2024
183,LOUISVILLE,MS,4/9/2024
205,PHILADELPHIA,MS,4/9/2024
239,KOSCIUSKO,MS,4/9/2024
305,CARTHAGE,MS,4/9/2024
411,HOUSTON,MS,4/9/2024
495,COLUMBUS,MS,4/9/2024
981,MERIDIAN,MS,4/9/2024
1059,FOREST,MS,4/9/2024
1069,NEWTON,MS,4/9/2024
1271,MERIDIAN,MS,4/9/2024
365,PEARL,MS,4/9/2024
708,VICKSBURG,MS,4/9/2024
875,RIDGELAND,MS,4/9/2024
903,JACKSON,MS,4/9/2024
1710,CLINTON,MS,4/9/2024
2720,MADISON,MS,4/9/2024
2755,FLOWOOD,MS,4/9/2024
2939,RICHLAND,MS,4/9/2024
3059,CANTON,MS,4/9/2024
3060,YAZOO CITY,MS,4/9/2024
6469,BYRAM,MS,4/9/2024
175,COLLIERVILLE,TN,3/26/2024
848,SOUTHAVEN,MS,4/9/2024
1248,MEMPHIS,TN,3/26/2024
2846,OLIVE BRANCH,MS,4/9/2024
5196,MEMPHIS,TN,3/26/2024
5419,HERNANDO,MS,4/9/2024
6964,HORN LAKE,MS,4/9/2024
93,COVINGTON,TN,3/26/2024
94,MILLINGTON,TN,3/26/2024
466,BOLIVAR,TN,3/26/2024
950,BARTLETT,TN,3/26/2024
1561,MEMPHIS,TN,3/26/2024
2322,CORDOVA,TN,3/26/2024
4533,OAKLAND,TN,3/26/2024
6807,MEMPHIS,TN,3/26/2024
64,BROWNSVILLE,TN,3/26/2024
97,RIPLEY,TN,3/26/2024
104,MILAN,TN,3/26/2024
106,FULTON,KY,4/10/2024
107,MARTIN,TN,3/26/2024
120,HUMBOLDT,TN,3/26/2024
177,PARIS,TN,3/26/2024
335,JACKSON,TN,3/26/2024
410,MURRAY,KY,4/10/2024
675,UNION CITY,TN,3/26/2024
677,DYERSBURG,TN,3/26/2024
161,HUNTINGDON,TN,3/26/2024
192,COLUMBIA,TN,3/26/2024
218,SELMER,TN,3/26/2024
238,PULASKI,TN,3/26/2024
268,SAVANNAH,TN,3/26/2024
393,JACKSON,TN,3/26/2024
683,LAWRENCEBURG,TN,3/26/2024
684,LEXINGTON,TN,3/26/2024
738,CAMDEN,TN,3/26/2024
1115,HOHENWALD,TN,3/26/2024
36,PARAGOULD,AR,3/21/2024
45,JONESBORO,AR,3/20/2024
62,BLYTHEVILLE,AR,3/20/2024
68,WYNNE,AR,3/21/2024
70,WEST MEMPHIS,AR,3/20/2024
74,OSCEOLA,AR,3/21/2024
91,FORREST CITY,AR,3/20/2024
128,JONESBORO,AR,3/26/2024
190,KENNETT,MO,3/26/2024
229,TRUMANN,AR,3/26/2024
453,MALDEN,MO,3/26/2024
298,BOAZ,AL,3/27/2024
306,ARAB,AL,3/27/2024
314,FAYETTEVILLE,TN,3/26/2024
332,HUNTSVILLE,AL,3/27/2024
375,HUNTSVILLE,AL,3/27/2024
433,HUNTSVILLE,AL,3/27/2024
434,HUNTSVILLE,AL,3/27/2024
712,SCOTTSBORO,AL,3/27/2024
5197,OWENS CROSS ROADS,AL,3/27/2024
6878,HAZEL GREEN,AL,3/27/2024
7324,HUNTSVILLE,AL,3/27/2024
477,SODDY DAISY,TN,3/26/2024
619,DAYTON,TN,3/26/2024
663,ATHENS,TN,3/26/2024
698,CLEVELAND,TN,3/26/2024
1089,KIMBALL,TN,3/26/2024
1606,HIXSON,TN,3/26/2024
3659,CHATTANOOGA,TN,3/26/2024
3835,OOLTEWAH,TN,3/26/2024
4226,DUNLAP,TN,3/26/2024
5263,CLEVELAND,TN,3/26/2024
658,ROME,GA,4/9/2024
669,DALTON,GA,4/9/2024
756,TRION,GA,4/9/2024
1215,CALHOUN,GA,4/9/2024
1458,FORT OGLETHORPE,GA,4/9/2024
1469,CHATTANOOGA,TN,3/26/2024
2988,LA FAYETTE,GA,4/9/2024
3660,CHATTANOOGA,TN,3/26/2024
5151,ROME,GA,4/9/2024
5173,DALTON,GA,4/9/2024
5251,CHATTANOOGA,TN,3/26/2024
366,MADISONVILLE,TN,3/26/2024
583,ONEIDA,TN,3/26/2024
676,ROCKWOOD,TN,3/26/2024
687,CROSSVILLE,TN,3/26/2024
741,LENOIR CITY,TN,3/26/2024
1466,JACKSBORO,TN,3/26/2024
1467,JAMESTOWN,TN,3/26/2024
4166,SWEETWATER,TN,3/26/2024
4635,CLINTON,TN,3/26/2024
672,ALCOA,TN,3/26/2024
1194,OAK RIDGE,TN,3/26/2024
1318,KNOXVILLE,TN,3/26/2024
1319,KNOXVILLE,TN,3/26/2024
1320,KNOXVILLE,TN,3/26/2024
2065,KNOXVILLE,TN,3/26/2024
2932,KNOXVILLE,TN,3/26/2024
4223,MARYVILLE,TN,3/26/2024
578,SEVIERVILLE,TN,3/26/2024
678,NEWPORT,TN,3/26/2024
680,GREENEVILLE,TN,3/26/2024
685,MORRISTOWN,TN,3/26/2024
724,JEFFERSON CITY,TN,3/26/2024
1159,NEW TAZEWELL,TN,3/26/2024
2310,KNOXVILLE,TN,3/26/2024
3234,ROGERSVILLE,TN,3/26/2024
6370,MORRISTOWN,TN,3/26/2024
599,KINGSPORT,TN,3/26/2024
620,BRISTOL,TN,3/26/2024
690,ELIZABETHTON,TN,3/26/2024
742,KINGSPORT,TN,3/26/2024
1080,JOHNSON CITY,TN,3/26/2024
1694,MARION,NC,4/9/2024
2496,BOONE,NC,4/9/2024
2749,SPRUCE PINE,NC,4/9/2024
3289,WEST JEFFERSON,NC,4/9/2024
3829,JOHNSON CITY,TN,3/26/2024
3852,UNICOI,TN,3/26/2024
264,DICKSON,TN,3/26/2024
304,SPRINGFIELD,TN,3/26/2024
390,WAVERLY,TN,3/26/2024
673,CLARKSVILLE,TN,3/26/2024
695,MADISON,TN,3/26/2024
1075,CLARKSVILLE,TN,3/26/2024
1226,ASHLAND CITY,TN,3/26/2024
3137,FAIRVIEW,TN,3/26/2024
3495,CLARKSVILLE,TN,3/26/2024
4435,NASHVILLE,TN,3/26/2024
4483,WHITE HOUSE,TN,3/26/2024
406,SMYRNA,TN,3/26/2024
416,MURFREESBORO,TN,3/26/2024
656,SHELBYVILLE,TN,3/26/2024
667,TULLAHOMA,TN,3/26/2024
682,MURFREESBORO,TN,3/26/2024
735,WINCHESTER,TN,3/26/2024
737,LEWISBURG,TN,3/26/2024
2757,MURFREESBORO,TN,3/26/2024
3017,SPRING HILL,TN,3/26/2024
5057,MURFREESBORO,TN,3/26/2024
7020,LA VERGNE,TN,3/26/2024
308,MANCHESTER,TN,3/26/2024
568,CARTHAGE,TN,3/26/2024
587,SPARTA,TN,3/26/2024
657,COOKEVILLE,TN,3/26/2024
668,MCMINNVILLE,TN,3/26/2024
671,LEBANON,TN,3/26/2024
674,GALLATIN,TN,3/26/2024
879,LAFAYETTE,TN,3/26/2024
1376,HENDERSONVILLE,TN,3/26/2024
4414,SMITHVILLE,TN,3/26/2024
5175,ALGOOD,TN,3/26/2024
272,FRANKLIN,TN,3/26/2024
659,NASHVILLE,TN,3/26/2024
688,NASHVILLE,TN,3/26/2024
710,HERMITAGE,TN,3/26/2024
3717,NASHVILLE,TN,3/26/2024
4482,MOUNT JULIET,TN,3/26/2024
5058,ANTIOCH,TN,3/26/2024
5616,NASHVILLE,TN,3/26/2024
853,MOBILE,AL,3/27/2024
866,MOBILE,AL,3/27/2024
904,FOLEY,AL,3/27/2024
934,DAPHNE,AL,3/27/2024
991,MOBILE,AL,3/27/2024
1212,SARALAND,AL,3/27/2024
2748,GULF SHORES,AL,3/27/2024
4333,FAIRHOPE,AL,3/27/2024
4581,MOBILE,AL,3/27/2024
5174,SEMMES,AL,3/27/2024
6173,ROBERTSDALE,AL,3/27/2024
562,LEEDS,AL,3/27/2024
670,CULLMAN,AL,3/27/2024
762,BIRMINGHAM,AL,3/27/2024
1158,ADAMSVILLE,AL,3/27/2024
1711,BIRMINGHAM,AL,3/27/2024
2723,SUMITON,AL,3/27/2024
5113,PELL CITY,AL,3/27/2024
7280,CULLMAN,AL,3/27/2024
300,JACKSONVILLE,AL,3/27/2024
301,GADSDEN,AL,3/27/2024
315,ONEONTA,AL,3/27/2024
316,ATTALLA,AL,3/27/2024
681,GUNTERSVILLE,AL,3/27/2024
691,FORT PAYNE,AL,3/27/2024
1201,GARDENDALE,AL,3/27/2024
2713,BIRMINGHAM,AL,3/27/2024
3386,SPRINGVILLE,AL,3/27/2024
5126,CENTRE,AL,3/27/2024
604,DOTHAN,AL,3/27/2024
723,TROY,AL,3/27/2024
734,ENTERPRISE,AL,3/27/2024
740,OZARK,AL,3/27/2024
1063,GENEVA,AL,3/27/2024
1091,ANDALUSIA,AL,3/27/2024
1134,DEFUNIAK SPRINGS,FL,3/26/2024
1462,GREENVILLE,AL,3/27/2024
1638,EUFAULA,AL,3/27/2024
2114,CHIPLEY,FL,3/26/2024
2534,DOTHAN,AL,3/27/2024
424,CLANTON,AL,3/27/2024
483,PRATTVILLE,AL,3/27/2024
700,SELMA,AL,3/27/2024
930,MONTGOMERY,AL,3/27/2024
938,MONTGOMERY,AL,3/27/2024
1101,WETUMPKA,AL,3/27/2024
4318,MILLBROOK,AL,3/27/2024
4407,MONTGOMERY,AL,3/27/2024
5348,MONTGOMERY,AL,3/27/2024
329,ANNISTON,AL,3/27/2024
355,OPELIKA,AL,3/27/2024
356,AUBURN,AL,3/27/2024
432,TALLADEGA,AL,3/27/2024
726,ALEXANDER CITY,AL,3/27/2024
730,SYLACAUGA,AL,3/27/2024
733,VALLEY,AL,3/27/2024
809,OXFORD,AL,3/27/2024
863,ROANOKE,AL,3/27/2024
1057,TALLASSEE,AL,3/27/2024
423,ALABASTER,AL,3/27/2024
1229,HOOVER,AL,3/27/2024
1481,HOMEWOOD,AL,3/27/2024
2111,HOOVER,AL,3/27/2024
3271,CALERA,AL,3/27/2024
4330,CHELSEA,AL,3/27/2024
4497,HUEYTOWN,AL,3/27/2024
5262,PELHAM,AL,3/27/2024
990,MILTON,FL,3/26/2024
1174,THOMASVILLE,AL,3/27/2024
1222,PENSACOLA,FL,3/26/2024
1224,PENSACOLA,FL,3/26/2024
1493,MONROEVILLE,AL,3/27/2024
1605,PENSACOLA,FL,3/26/2024
1620,BREWTON,AL,3/27/2024
2533,GULF BREEZE,FL,3/26/2024
2739,BAY MINETTE,AL,3/27/2024
2760,JACKSON,AL,3/27/2024
3484,PENSACOLA,FL,3/26/2024
3785,PENSACOLA,FL,3/26/2024
7247,ATMORE,AL,3/27/2024
818,PANAMA CITY BEACH,FL,3/26/2024
919,FORT WALTON BEACH,FL,3/26/2024
944,CRESTVIEW,FL,3/26/2024
1032,LYNN HAVEN,FL,3/26/2024
1207,CALLAWAY,FL,3/26/2024
1362,DESTIN,FL,3/26/2024
3075,PANAMA CITY,FL,3/26/2024
3119,PANAMA CITY BEACH,FL,3/26/2024
3439,NAVARRE,FL,3/26/2024
5845,NICEVILLE,FL,3/26/2024
5872,SANTA ROSA BEACH,FL,3/26/2024
494,NEWNAN,GA,4/9/2024
614,LAGRANGE,GA,4/9/2024
932,GRIFFIN,GA,4/9/2024
1112,THOMASTON,GA,4/9/2024
1284,PHENIX CITY,AL,3/27/2024
1311,COLUMBUS,GA,4/9/2024
1338,COLUMBUS,GA,4/9/2024
3461,PEACHTREE CITY,GA,4/9/2024
4200,COLUMBUS,GA,4/9/2024
4283,COLUMBUS,GA,4/9/2024
5363,HAMPTON,GA,4/9/2024
488,QUINCY,FL,3/26/2024
858,CAIRO,GA,4/9/2024
1077,TALLAHASSEE,FL,3/26/2024
1223,TALLAHASSEE,FL,3/26/2024
1375,MARIANNA,FL,3/26/2024
1408,TALLAHASSEE,FL,3/26/2024
3307,CRAWFORDVILLE,FL,3/26/2024
4427,TALLAHASSEE,FL,3/26/2024
4520,TALLAHASSEE,FL,3/26/2024
5172,PERRY,FL,3/26/2024
5422,BAINBRIDGE,GA,4/9/2024
1854,#N/A,#N/A,4/10/2024
2026,#N/A,#N/A,4/10/2024
2067,#N/A,#N/A,4/10/2024
