DC Number,Type,Date,Application,Summary,Status,CRQ,CRQ Link,Cell Number
7077,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,2
7084,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,2
8397,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,2
8852,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,2
2971,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,10
4047,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,10
6047,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,10
6059,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,10
6074,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,10
6091,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,10
6097,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,10
6858,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,10
7014,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,10
7016,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,10
7013,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,2
7021,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,2
7047,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,2
7048,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,2
7077,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,2
7084,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,2
8397,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,2
8852,Enhancement,8/14/2025,Moves,The Common Relayer for SOX compliance was successfully deployed,Completed,CHG3405469,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=590a8ca9975faa1033c7b9f6f053af30&recordUrl=change_request.do%3Fsys_id%3D590a8ca9975faa1033c7b9f6f053af30&sysparm_stack=&sysparm_view=,2
2971,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,10
4047,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,10
6047,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,10
6059,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,10
6074,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,10
6091,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,10
6097,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,10
6858,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,10
7014,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,10
7016,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,10
2364,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,11
4020,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,11
6055,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,11
6062,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,11
6071,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,11
6073,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,11
6099,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,11
7019,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,11
7030,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,11
7055,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,11
3010,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,12
4154,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,12
6072,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,12
6085,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,12
6095,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,12
6096,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,12
7012,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,12
7017,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,12
7023,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,12
8851,Pilot,8/15/2025,Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3391468,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=dda4d9638743a6507e997595dabb3537&recordUrl=change_request.do%3Fsys_id%3Ddda4d9638743a6507e997595dabb3537&sysparm_stack=&sysparm_view=,12
6056,Enhancement,8/15/2025,Shore,Fixed problem where orders with ID -1 caused errors. Update was successful.,Completed,CHG3415966,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,0
6064,Enhancement,8/15/2025,Shore,Fixed problem where orders with ID -1 caused errors. Update was successful.,Completed,CHG3415966,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,0
6090,Enhancement,8/15/2025,Shore,Fixed problem where orders with ID -1 caused errors. Update was successful.,Completed,CHG3415966,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,0
7010,Enhancement,8/15/2025,Shore,Fixed problem where orders with ID -1 caused errors. Update was successful.,Completed,CHG3415966,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,0
7015,Enhancement,8/15/2025,Shore,Fixed problem where orders with ID -1 caused errors. Update was successful.,Completed,CHG3415966,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,0
7018,Enhancement,8/15/2025,Shore,Fixed problem where orders with ID -1 caused errors. Update was successful.,Completed,CHG3415966,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,0
7024,Enhancement,8/15/2025,Shore,Fixed problem where orders with ID -1 caused errors. Update was successful.,Completed,CHG3415966,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,0
7079,Enhancement,8/15/2025,Shore,Fixed problem where orders with ID -1 caused errors. Update was successful.,Completed,CHG3415966,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,0
6042,Pilot,8/18/2025,COUNTit,COUNTit upgraded to Walmart Cosmos SDK,Completed,CHG3413257,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,1
6057,Pilot,8/18/2025,COUNTit,COUNTit upgraded to Walmart Cosmos SDK,Completed,CHG3413257,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,1
6065,Pilot,8/18/2025,COUNTit,COUNTit upgraded to Walmart Cosmos SDK,Completed,CHG3413257,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,1
6077,Pilot,8/18/2025,COUNTit,COUNTit upgraded to Walmart Cosmos SDK,Completed,CHG3413257,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,1
6082,Pilot,8/18/2025,COUNTit,COUNTit upgraded to Walmart Cosmos SDK,Completed,CHG3413257,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,1
6083,Pilot,8/18/2025,COUNTit,COUNTit upgraded to Walmart Cosmos SDK,Completed,CHG3413257,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,1
6084,Pilot,8/18/2025,COUNTit,COUNTit upgraded to Walmart Cosmos SDK,Completed,CHG3413257,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,1
8348,Pilot,8/18/2025,COUNTit,COUNTit upgraded to Walmart Cosmos SDK,Completed,CHG3413257,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c3d67352475362546f752d12736d430e&recordUrl=change_request.do%3Fsys_id%3Dc3d67352475362546f752d12736d430e&sysparm_stack=&sysparm_view=,1
7018,Enhancement,8/18/2025,Count It,"Updated aggregated cycle count data to match granular data, fixing reported mismatches.",Completed,CHG3416314,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=22aad4ae97d3a2d0eb32f7771153afdc&recordUrl=change_request.do%3Fsys_id%3D22aad4ae97d3a2d0eb32f7771153afdc&sysparm_stack=&sysparm_view=,0
