Store Number,Vehicle Count,Install Date,Install Time,,,,,,,,
5442,1,6/23/2025,9:15 PM,,,,,,,,
5485,1,7/1/2025,8:15 AM,,,,,,,,
5617,3,6/27/2025,6:30 PM,,,,,,,,
1441,2,6/19/2025,7:00 AM,,,,,,,,
1443,1,6/18/2025,7:00 AM,,,,,,,,
1510,1,6/26/2025,6:30 PM,,,,,,,,
2250,1,6/18/2025,8:30 PM,,,,,,,,
2309,2,6/25/2025,6:30 PM,,,,,,,,
2441,1,6/20/2025,7:00 AM,,,,,,,,
2447,1,6/18/2025,6:30 PM,,,,,,,,
2967,2,6/26/2025,8:00 PM,,,,,,,,
3502,1,6/20/2025,8:15 AM,,,,,,,,
3571,1,6/19/2025,6:30 PM,,,,,,,,
3749,2,6/17/2025,8:00 PM,,,,,,,,
3784,1,6/19/2025,8:00 PM,,,,,,,,
4609,1,6/17/2025,6:30 PM,,,,,,,,
5499,1,6/18/2025,8:15 AM,,,,,,,,
1839,1,7/2/2025,8:00 PM,,,,,,,,
1863,1,7/1/2025,6:30 PM,,,,,,,,
1894,1,6/24/2025,8:00 PM,,,,,,,,
2073,2,6/24/2025,8:00 PM,,,,,,,,
2316,1,7/1/2025,8:30 PM,,,,,,,,
2362,2,6/25/2025,7:00 AM,,,,,,,,
2966,1,6/24/2025,6:30 PM,,,,,,,,
3293,1,6/25/2025,7:45 PM,,,,,,,,
3608,1,6/25/2025,6:30 PM,,,,,,,,
5082,1,6/24/2025,6:30 PM,,,,,,,,
5309,1,7/2/2025,8:00 PM,,,,,,,,
5387,1,6/25/2025,9:15 PM,,,,,,,,
1200,1,6/26/2025,7:45 PM,,,,,,,,
1273,4,6/21/2025,7:30 PM,,,,,,,,
1434,1,6/26/2025,9:00 PM,,,,,,,,
1896,3,6/23/2025,6:30 PM,,,,,,,,
3018,1,6/21/2025,6:30 PM,,,,,,,,
3083,1,6/25/2025,8:30 PM,,,,,,,,
3175,2,6/25/2025,6:30 PM,,,,,,,,
3176,1,6/26/2025,6:30 PM,,,,,,,,
3582,1,6/24/2025,6:30 PM,,,,,,,,
5123,3,6/24/2025,7:30 PM,,,,,,,,
1594,1,6/21/2025,6:30 PM,,,,,,,,
2098,1,6/21/2025,7:00 AM,,,,,,,,
2426,1,6/20/2025,9:00 PM,,,,,,,,
2471,1,6/20/2025,6:30 PM,,,,,,,,
2725,1,6/21/2025,8:15 AM,,,,,,,,
2726,1,6/21/2025,8:30 PM,,,,,,,,
2774,1,6/21/2025,7:00 AM,,,,,,,,
3580,1,6/21/2025,8:00 PM,,,,,,,,
3812,2,6/20/2025,8:00 PM,,,,,,,,
5184,1,6/21/2025,6:30 PM,,,,,,,,
5185,1,6/20/2025,7:45 PM,,,,,,,,
5466,1,6/20/2025,6:30 PM,,,,,,,,
5857,1,6/21/2025,8:15 AM,,,,,,,,
202,1,7/2/2025,7:00 AM,,,,,,,,
206,2,6/10/2025,7:00 AM,,,,,,,,
217,2,6/11/2025,8:00 PM,,,,,,,,
220,1,6/10/2025,8:00 PM,,,,,,,,
228,1,6/10/2025,6:30 PM,,,,,,,,
266,2,6/10/2025,7:00 AM,,,,,,,,
284,1,6/11/2025,8:15 AM,,,,,,,,
371,1,6/11/2025,6:30 PM,,,,,,,,
426,1,7/2/2025,6:30 PM,,,,,,,,
467,1,6/13/2025,6:30 PM,,,,,,,,
590,2,6/20/2025,6:30 PM,,,,,,,,
789,1,6/13/2025,7:45 PM,,,,,,,,
807,1,6/11/2025,6:30 PM,,,,,,,,
880,1,6/11/2025,8:15 AM,,,,,,,,
896,1,6/12/2025,6:30 PM,,,,,,,,
940,3,6/10/2025,6:30 PM,,,,,,,,
963,2,6/18/2025,6:30 PM,,,,,,,,
972,1,6/10/2025,8:15 AM,,,,,,,,
1055,1,6/12/2025,6:30 PM,,,,,,,,
1117,1,6/10/2025,6:30 PM,,,,,,,,
1118,1,7/3/2025,8:15 AM,,,,,,,,
1178,1,6/12/2025,7:00 AM,,,,,,,,
1216,1,6/13/2025,7:00 AM,,,,,,,,
1455,2,6/14/2025,7:00 AM,,,,,,,,
1800,1,6/14/2025,7:00 AM,,,,,,,,
1801,1,6/12/2025,8:30 PM,,,,,,,,
2086,1,6/11/2025,8:30 PM,,,,,,,,
2105,1,6/10/2025,8:30 PM,,,,,,,,
2427,1,7/1/2025,7:45 PM,,,,,,,,
2463,1,7/2/2025,8:15 AM,,,,,,,,
2649,1,6/11/2025,7:00 AM,,,,,,,,
2667,2,6/10/2025,7:00 AM,,,,,,,,
2834,3,6/14/2025,6:30 PM,,,,,,,,
2883,1,6/17/2025,8:15 AM,,,,,,,,
2918,1,7/3/2025,8:00 PM,,,,,,,,
2926,1,6/10/2025,8:30 PM,,,,,,,,
2973,1,6/30/2025,8:15 AM,,,,,,,,
2974,1,7/1/2025,9:00 PM,,,,,,,,
2976,1,6/13/2025,6:30 PM,,,,,,,,
2977,1,6/12/2025,6:30 PM,,,,,,,,
2978,3,6/17/2025,6:30 PM,,,,,,,,
2979,1,6/21/2025,8:00 PM,,,,,,,,
2980,2,6/13/2025,7:00 AM,,,,,,,,
2995,1,6/12/2025,7:00 AM,,,,,,,,
3014,1,6/30/2025,7:00 AM,,,,,,,,
3044,1,7/2/2025,7:00 AM,,,,,,,,
3198,1,6/13/2025,8:00 AM,,,,,,,,
3224,1,6/14/2025,8:15 AM,,,,,,,,
3225,2,6/12/2025,8:00 PM,,,,,,,,
3274,1,6/11/2025,8:00 PM,,,,,,,,
3284,3,6/12/2025,6:30 PM,,,,,,,,
3285,1,6/11/2025,7:00 AM,,,,,,,,
3286,2,7/1/2025,7:00 AM,,,,,,,,
3341,1,6/12/2025,8:15 AM,,,,,,,,
3392,1,6/12/2025,8:00 AM,,,,,,,,
3406,1,6/10/2025,7:30 PM,,,,,,,,
3419,1,7/3/2025,7:00 AM,,,,,,,,
3432,1,6/11/2025,7:45 PM,,,,,,,,
3433,1,6/11/2025,6:30 PM,,,,,,,,
3482,1,6/11/2025,7:30 PM,,,,,,,,
3631,2,6/14/2025,7:00 AM,,,,,,,,
3773,2,6/19/2025,6:30 PM,,,,,,,,
3777,3,6/14/2025,6:30 PM,,,,,,,,
3870,1,6/12/2025,7:30 PM,,,,,,,,
4165,1,7/1/2025,7:00 AM,,,,,,,,
4182,1,6/11/2025,6:30 PM,,,,,,,,
4240,2,7/2/2025,8:00 PM,,,,,,,,
4503,2,6/12/2025,7:45 PM,,,,,,,,
4509,2,6/13/2025,6:30 PM,,,,,,,,
4627,2,6/13/2025,8:00 AM,,,,,,,,
5021,1,7/3/2025,7:00 AM,,,,,,,,
5080,1,6/10/2025,7:00 AM,,,,,,,,
5092,1,6/11/2025,6:30 PM,,,,,,,,
5147,1,6/12/2025,7:00 AM,,,,,,,,
5211,1,6/11/2025,8:15 AM,,,,,,,,
5311,1,6/11/2025,7:00 AM,,,,,,,,
5312,1,6/21/2025,6:30 PM,,,,,,,,
5316,4,6/10/2025,6:30 PM,,,,,,,,
5416,1,6/12/2025,7:00 AM,,,,,,,,
5624,2,6/11/2025,7:00 AM,,,,,,,,
5657,1,6/10/2025,7:30 PM,,,,,,,,
5672,1,6/30/2025,7:00 AM,,,,,,,,
5673,2,6/13/2025,7:00 AM,,,,,,,,
5810,1,6/11/2025,9:00 PM,,,,,,,,
5823,1,7/1/2025,6:30 PM,,,,,,,,
5824,1,6/13/2025,9:00 PM,,,,,,,,
5866,3,6/30/2025,6:30 PM,,,,,,,,
5987,1,6/14/2025,6:30 PM,,,,,,,,
6300,1,6/13/2025,6:30 PM,,,,,,,,
