Reg,BU,Market,Store Number,Threshold Met?
56,M,457,2053,No
22,F,170,2096,No
61,O,552,5981,No
72,O,96,4425,Yes
52,M,423,5089,No
56,M,392,2106,Yes
64,O,562,4465,No
53,E,425,1657,No
61,O,481,5602,Yes
42,A,127,116,No
60,M,467,5861,No
60,M,514,3794,Yes
72,O,549,5820,No
64,O,504,2995,No
13,B,68,351,No
7,B,506,5146,No
14,A,1,991,Yes
64,O,562,4618,No
47,M,411,2131,No
64,O,562,3452,No
61,O,510,3314,No
25,E,269,5276,No
64,O,542,5700,No
61,O,550,3145,No
72,O,548,4667,No
11,A,144,5196,No
47,M,432,4358,Yes
22,F,166,5891,Yes
59,O,494,4524,No
9,A,105,4063,No
59,O,496,5367,No
5,B,56,5866,No
72,O,548,5670,Yes
6,B,67,2257,No
7,B,86,1235,No
59,O,499,4848,No
21,E,259,3894,No
12,A,149,4435,Yes
61,O,397,4339,No
64,O,504,6078,No
61,O,510,4218,No
20,E,209,2313,No
54,M,388,1550,No
42,A,327,339,No
56,M,451,2119,Yes
59,O,554,5815,No
59,O,566,3185,No
64,O,541,4659,No
72,O,548,5831,No
72,O,96,4160,No
14,A,16,1338,No
61,O,512,3023,No
11,A,140,875,No
17,F,174,3291,No
72,O,96,4197,Yes
59,O,502,7177,No
61,O,550,5678,No
61,O,510,4233,No
57,M,484,2292,Yes
56,M,451,4488,No
2,A,20,3188,No
4,F,29,605,No
6,B,65,5246,No
57,M,465,4101,Yes
7,B,88,443,No
11,A,145,6807,No
64,O,562,4468,No
64,O,561,2433,No
72,O,548,5654,Yes
59,O,494,4053,No
61,O,510,3845,No
13,B,131,2132,No
42,A,127,448,No
64,O,570,5675,No
25,E,279,830,No
42,A,135,98,No
56,M,457,1608,No
54,M,380,1252,No
22,F,165,2108,No
19,E,197,2872,No
11,A,136,347,No
61,O,550,5993,No
2,A,26,1586,No
42,A,127,323,No
59,O,502,4388,No
59,O,499,4148,Yes
61,O,551,5637,No
13,B,129,311,No
19,E,201,5064,No
61,O,9,5304,No
3,A,111,4690,Yes
61,O,397,5259,Yes
17,F,190,5240,No
46,B,373,3861,No
59,O,546,4426,Yes
13,B,141,954,No
22,F,178,3236,No
61,O,515,8958,No
52,M,422,2882,No
61,O,515,3131,Yes
5,B,76,320,No
61,O,481,2226,No
61,O,515,2487,No
72,O,534,4375,No
61,O,550,3050,No
25,E,265,3790,No
72,O,559,5988,Yes
64,O,528,5715,No
58,M,461,5193,No
59,O,509,6264,No
44,B,349,607,No
61,O,490,3128,No
72,O,488,2396,No
59,O,554,2731,No
61,O,9,4324,No
61,O,510,4275,No
2,A,26,937,No
6,B,84,524,No
64,O,528,6850,No
59,O,554,3074,No
42,A,328,57,No
59,O,554,3070,No
57,M,446,2568,No
72,O,534,2741,No
64,O,561,4046,No
72,O,488,4560,No
59,O,494,5372,No
47,M,406,370,No
61,O,552,4759,No
11,A,140,3059,No
61,O,481,5605,Yes
61,O,552,4127,No
26,F,297,1751,No
61,O,550,3098,No
56,M,451,5766,Yes
61,O,557,5109,No
56,M,452,1615,No
61,O,551,3099,No
61,O,9,4264,No
52,M,424,1562,No
19,E,203,5048,No
59,O,546,4517,No
6,B,87,1347,No
54,M,378,3177,No
61,O,550,5627,No
72,O,102,5826,No
52,M,415,841,No
2,A,20,2584,No
25,E,268,3004,Yes
64,O,58,5614,No
64,O,504,3287,No
72,O,548,3161,No
19,E,203,2866,No
72,O,534,2742,No
61,O,9,3357,No
61,O,397,3355,Yes
60,M,476,5462,No
64,O,541,5125,No
72,O,544,5062,No
53,E,435,5669,Yes
17,F,176,5447,Yes
64,O,528,6098,No
19,E,200,1942,No
61,O,515,3026,No
61,O,515,4762,No
64,O,528,5226,No
2,A,20,1340,No
64,O,528,6786,No
59,O,509,6263,No
64,O,562,3542,No
59,O,494,4054,No
46,B,385,850,Yes
56,M,392,2189,Yes
59,O,496,7218,No
59,O,485,6172,No
56,M,454,1881,Yes
22,F,166,5103,No
59,O,499,4431,No
61,O,512,2486,No
40,E,340,2213,No
21,E,217,3812,No
58,M,445,1692,Yes
72,O,488,3104,Yes
72,O,538,2839,No
64,O,504,3574,No
58,M,464,5032,No
64,O,58,5613,No
47,M,407,418,No
72,O,559,6548,No
72,O,103,2930,No
7,B,77,478,No
64,O,562,6583,No
61,O,490,3083,No
59,O,499,6962,No
40,E,359,783,No
61,O,490,3019,No
72,O,559,5760,No
72,O,544,4672,No
19,E,200,3453,No
59,O,500,3411,No
61,O,491,5855,No
60,M,477,4176,No
13,B,125,912,No
61,O,552,3090,No
64,O,542,4367,No
61,O,515,5600,No
56,M,455,4309,Yes
61,O,491,4138,No
47,M,433,885,No
19,E,205,1928,No
75,F,293,3720,No
40,E,341,1761,No
14,A,97,1077,No
61,O,512,3123,No
61,O,551,5640,Yes
47,M,432,1637,No
64,O,570,5702,No
72,O,544,5100,No
72,O,545,4210,No
11,A,329,91,No
57,M,396,4557,Yes
61,O,490,4491,No
61,O,9,3049,No
40,E,336,895,No
56,M,457,1630,No
61,O,512,4174,Yes
7,B,506,4131,No
59,O,566,5119,No
61,O,491,5990,No
56,M,451,5884,Yes
17,F,163,2899,No
61,O,515,3132,Yes
26,F,297,2058,No
53,E,435,4677,No
11,A,329,74,No
64,O,562,5353,No
47,M,407,4322,No
61,O,397,5306,No
72,O,103,4563,Yes
61,O,552,5007,No
64,O,561,3530,No
25,E,270,5060,No
6,B,65,344,No
61,O,552,5608,No
61,O,510,3846,No
61,O,481,3179,No
16,F,188,2370,No
61,O,552,5982,Yes
64,O,528,5224,No
60,M,476,2947,No
11,A,329,453,No
57,M,465,2110,Yes
5,B,53,2105,Yes
72,O,545,5623,No
52,M,412,5806,No
72,O,534,3654,No
40,E,339,1188,Yes
59,O,500,7337,No
59,O,546,5907,No
40,E,361,326,No
57,M,447,1574,Yes
7,B,506,3107,No
44,B,349,893,No
61,O,551,4134,No
25,E,264,5442,No
16,F,188,2097,No
6,B,84,385,No
75,F,287,7032,No
52,M,422,1861,No
72,O,488,5704,No
58,M,445,1914,Yes
42,A,327,289,No
21,E,225,2250,No
17,F,577,3520,Yes
25,E,269,3891,No
22,F,165,3774,No
19,E,213,1628,No
4,F,42,585,No
75,F,312,2312,Yes
61,O,557,3094,No
72,O,488,2406,No
61,O,9,4293,Yes
61,O,9,4490,Yes
72,O,488,4380,No
64,O,528,3450,No
25,E,278,3459,No
41,E,271,352,No
42,A,326,169,No
47,M,381,4471,No
52,M,424,3088,Yes
76,F,292,5969,No
41,E,249,2787,No
59,O,509,5393,No
6,B,61,482,No
64,O,533,3327,No
61,O,552,5606,No
61,O,9,3143,No
5,B,56,2926,No
76,F,283,5936,Yes
59,O,498,3619,No
72,O,544,3184,No
61,O,551,4169,Yes
58,M,462,1992,No
72,O,559,5255,No
17,F,172,5295,Yes
61,O,510,2632,No
56,M,451,2280,No
6,B,85,473,No
25,E,262,4699,No
25,E,279,792,No
41,E,260,2783,No
64,O,58,3419,No
42,A,327,714,No
4,F,36,1748,No
17,F,173,3803,No
5,B,51,2918,No
7,B,74,1078,No
56,M,453,2925,Yes
59,O,485,5421,No
64,O,542,4605,No
60,M,469,2711,No
21,E,259,693,No
21,E,221,1504,No
61,O,551,5601,No
61,O,510,3315,No
64,O,570,3517,No
46,B,371,3799,No
72,O,544,4673,No
72,O,559,5741,No
40,E,336,44,No
64,O,504,6966,No
64,O,541,5327,Yes
59,O,494,5804,No
61,O,557,3988,No
64,O,541,7233,No
12,A,5,433,No
13,B,129,485,No
72,O,549,5818,No
72,O,96,3162,Yes
61,O,557,7043,No
56,M,451,2002,Yes
59,O,554,840,No
59,O,509,5014,Yes
59,O,494,4413,No
61,O,550,3146,No
60,M,477,5440,No
13,B,130,839,No
61,O,551,3084,Yes
9,A,110,5912,Yes
59,O,485,6500,No
20,E,209,3250,No
72,O,534,2686,No
54,M,379,1045,No
54,M,388,1199,No
76,F,195,2210,Yes
42,A,321,230,No
59,O,500,7235,No
61,O,551,5603,Yes
72,O,534,4376,No
59,O,554,2699,No
61,O,551,5661,No
4,F,36,2348,No
64,O,58,7347,No
72,O,544,3990,No
4,F,42,1603,No
64,O,562,5094,Yes
22,F,178,3337,No
61,O,481,5643,Yes
72,O,488,4546,No
25,E,279,957,No
61,O,510,3604,No
54,M,379,3867,No
72,O,103,4826,Yes
25,E,269,1489,No
59,O,500,3456,No
56,M,452,3352,Yes
12,A,153,5058,No
61,O,515,5689,Yes
75,F,287,3869,No
72,O,492,6876,No
72,O,548,4141,No
14,A,97,488,No
61,O,510,3844,No
58,M,445,3276,No
72,O,492,2743,No
59,O,499,3359,No
41,E,271,302,No
13,B,125,3167,Yes
59,O,502,6936,No
72,O,545,5740,No
13,B,131,1136,No
21,E,225,1961,No
2,A,23,1578,No
21,E,221,1407,No
2,A,23,5390,No
57,M,465,2609,Yes
61,O,512,3022,Yes
61,O,9,4473,No
64,O,526,7229,No
5,B,479,4165,No
52,M,412,3758,No
64,O,561,2975,No
59,O,498,7304,No
21,E,221,5499,No
17,F,163,3545,No
17,F,174,2503,No
64,O,570,2451,Yes
53,E,435,1551,No
59,O,509,3614,No
64,O,570,4464,No
40,E,333,837,No
72,O,545,5653,No
21,E,223,5409,No
59,O,500,7222,No
72,O,549,3862,Yes
46,B,371,5768,Yes
61,O,510,5332,No
16,F,156,2158,No
59,O,566,5182,No
59,O,502,3157,No
56,M,453,1651,No
4,F,294,1179,No
59,O,500,7329,No
64,O,58,6578,No
61,O,510,5349,No
58,M,460,2094,Yes
64,O,528,3449,No
59,O,502,3156,No
72,O,549,525,No
72,O,492,4619,No
64,O,542,2919,No
60,M,514,2516,Yes
44,B,351,247,No
60,M,473,3754,No
61,O,397,5258,No
56,M,450,2117,No
61,O,510,5257,No
61,O,512,2689,Yes
64,O,562,3509,No
64,O,562,7361,No
64,O,543,5722,No
64,O,58,2981,No
64,O,543,6588,No
9,A,553,3397,Yes
72,O,538,5791,No
3,A,111,5218,No
42,A,135,244,No
72,O,102,7221,No
5,B,56,2883,No
22,F,558,3266,No
75,F,290,2160,No
61,O,490,4747,No
64,O,504,2974,Yes
13,B,130,1266,No
59,O,485,5695,No
64,O,504,5657,No
44,B,356,992,Yes
3,A,114,713,No
6,B,82,4163,No
59,O,497,2328,No
42,A,334,888,No
64,O,504,3198,No
40,E,362,486,No
22,F,170,5649,No
47,M,411,6392,No
72,O,102,5321,No
61,O,481,5659,Yes
64,O,58,2979,No
61,O,552,5609,No
72,O,548,3414,No
59,O,498,5188,No
26,F,297,4250,No
56,M,451,5751,Yes
59,O,498,4692,No
22,F,167,2167,No
59,O,485,2425,No
57,M,581,5859,No
44,B,351,210,No
19,E,238,2818,No
20,E,209,1927,No
60,M,467,3218,No
52,M,423,1472,No
64,O,528,4056,No
25,E,266,4529,No
44,B,345,136,No
56,M,454,5848,No
7,B,80,4508,No
41,E,256,760,No
72,O,549,2944,No
4,F,300,7243,No
59,O,502,4220,No
64,O,562,3579,No
59,O,494,5452,Yes
72,O,549,5005,No
59,O,485,5308,No
17,F,175,3078,Yes
42,A,324,4460,No
59,O,497,4445,No
59,O,485,5427,No
19,E,197,3476,No
72,O,102,6941,No
72,O,534,3479,No
42,A,127,3868,No
59,O,498,5734,No
59,O,494,5135,No
59,O,485,5207,No
61,O,515,2826,Yes
20,E,316,2792,No
64,O,507,2395,No
61,O,515,5663,No
54,M,376,4639,No
5,B,49,3014,Yes
42,A,321,209,No
59,O,497,5378,No
72,O,102,6937,No
59,O,498,4432,No
2,A,24,1314,No
59,O,498,4528,No
52,M,413,1683,No
64,O,562,7357,No
17,F,577,3562,No
72,O,549,5817,Yes
64,O,58,3043,No
6,B,87,1803,No
40,E,362,2955,No
72,O,488,4441,Yes
46,B,369,6477,Yes
61,O,550,5994,No
59,O,498,3959,No
64,O,543,6849,No
59,O,502,6798,No
59,O,566,5107,Yes
61,O,397,3354,No
64,O,542,4577,No
14,A,10,1057,No
42,A,327,171,No
60,M,514,2385,Yes
72,O,549,3606,No
7,B,74,1257,No
72,O,545,4657,No
59,O,498,5467,No
61,O,515,3133,No
61,O,491,5991,Yes
64,O,504,4453,No
6,B,85,567,No
58,M,466,4171,Yes
53,E,444,3324,No
11,A,144,1248,No
16,F,160,5448,No
42,A,135,1108,No
60,M,469,4359,No
59,O,502,3299,No
17,F,577,5077,No
64,O,542,4193,No
19,E,201,2061,No
19,E,206,5844,No
4,F,38,616,No
59,O,496,7098,No
6,B,83,3170,No
21,E,239,2275,No
72,O,488,5758,Yes
72,O,102,2392,No
26,F,306,5879,No
64,O,561,7232,No
6,B,84,4194,No
13,B,134,312,No
19,E,197,5761,No
61,O,557,4706,No
17,F,176,3292,No
75,F,288,4623,No
17,F,172,5293,Yes
76,F,194,2859,Yes
72,O,537,4516,No
22,F,166,5229,No
25,E,268,2815,No
11,A,138,1069,No
22,F,166,2830,No
21,E,217,5185,No
26,F,297,1614,No
72,O,545,5098,No
17,F,173,5294,No
64,O,58,3135,Yes
53,E,441,1138,No
72,O,549,5819,No
64,O,543,5464,No
17,F,577,3159,Yes
59,O,494,5183,No
22,F,168,3563,No
61,O,510,7320,No
57,M,449,5632,Yes
59,O,500,7334,No
59,O,546,4421,No
59,O,499,7062,No
7,B,81,917,No
41,E,242,4450,No
56,M,468,2069,Yes
76,F,283,5753,Yes
61,O,550,3178,No
4,F,39,6887,No
25,E,268,1737,No
46,B,369,5330,Yes
47,M,430,3734,No
72,O,548,5876,Yes
42,A,326,1105,No
72,O,545,4648,No
25,E,273,1734,No
72,O,537,5790,No
56,M,452,3455,No
41,E,242,7290,No
57,M,448,2950,Yes
54,M,401,4208,No
9,A,91,5871,Yes
11,A,140,6469,No
64,O,561,7224,No
59,O,546,2801,No
61,O,490,3082,No
42,A,328,18,No
5,B,50,3044,No
59,O,500,4545,No
6,B,84,1067,No
6,B,85,293,No
59,O,498,5143,No
59,O,497,3638,No
72,O,102,4354,No
22,F,167,5881,Yes
59,O,500,7340,No
13,B,125,1163,No
72,O,102,5622,No
59,O,497,5383,No
76,F,194,2043,No
19,E,238,4631,Yes
4,F,41,1164,No
64,O,541,5310,No
61,O,491,3172,Yes
59,O,498,7296,No
19,E,202,3791,No
59,O,485,5149,No
57,M,396,1584,Yes
59,O,497,3338,No
59,O,509,3622,No
56,M,451,2458,Yes
56,M,453,1704,No
64,O,504,4104,No
19,E,206,2959,Yes
6,B,64,2066,No
59,O,502,3880,No
47,M,427,4569,No
41,E,249,1580,No
20,E,258,545,No
61,O,550,4757,No
64,O,528,6159,No
64,O,570,7362,No
59,O,502,5755,No
22,F,284,2555,No
59,O,509,5829,No
64,O,570,3317,No
59,O,546,2840,No
44,B,344,178,No
4,F,41,4506,No
75,F,289,1811,No
17,F,176,5178,No
60,M,469,4474,No
26,F,302,7238,No
61,O,490,3740,No
5,B,44,4503,Yes
11,A,4,274,No
72,O,544,4580,No
56,M,454,1697,No
59,O,498,7315,No
11,A,140,3060,No
54,M,379,905,No
59,O,566,5059,No
41,E,580,617,No
58,M,466,2495,No
54,M,380,2751,Yes
59,O,496,2870,No
59,O,566,5925,No
53,E,442,1678,No
59,O,546,2773,Yes
72,O,538,4057,No
61,O,515,2998,Yes
13,B,134,1107,No
58,M,463,5096,No
25,E,268,1938,Yes
25,E,273,5403,No
61,O,557,7168,No
59,O,497,5291,No
26,F,302,1236,No
59,O,502,5754,No
21,E,217,1990,No
56,M,454,3652,Yes
53,E,435,5668,Yes
25,E,275,480,No
60,M,477,4221,No
72,O,537,2744,No
75,F,287,4350,No
40,E,333,871,No
19,E,206,4660,No
11,A,4,303,No
56,M,457,1575,Yes
59,O,509,3603,No
7,B,86,5145,No
56,M,455,2457,Yes
9,A,109,5325,Yes
64,O,504,5963,No
61,O,557,4700,No
47,M,406,369,No
56,M,399,2861,No
20,E,311,3303,No
56,M,457,5629,No
47,M,411,378,No
6,B,64,772,No
6,B,63,5612,Yes
75,F,314,2645,No
59,O,509,6814,No
41,E,260,519,No
14,A,10,432,No
53,E,442,3322,No
72,O,537,3723,No
6,B,63,5959,Yes
26,F,306,1821,No
5,B,53,426,No
25,E,266,3601,Yes
61,O,481,3147,No
61,O,557,5110,No
7,B,506,4162,No
64,O,561,3015,Yes
59,O,566,5148,No
19,E,202,5411,No
64,O,528,5290,No
2,A,21,1701,No
59,O,497,5371,No
4,F,38,7188,No
11,A,11,731,No
3,A,98,977,No
12,A,120,3660,No
75,F,290,2821,No
54,M,388,986,No
6,B,85,951,No
21,E,217,5203,No
40,E,339,1021,No
59,O,500,3600,No
13,B,66,521,No
20,E,258,552,No
13,B,66,469,No
59,O,546,4525,No
76,F,192,1610,No
61,O,557,4100,No
40,E,333,32,No
72,O,492,4654,No
41,E,271,596,No
64,O,543,6166,No
75,F,281,1968,No
61,O,491,6585,No
61,O,481,5604,Yes
72,O,96,2499,No
40,E,272,506,No
47,M,429,3395,No
59,O,496,2887,No
6,B,82,1129,No
60,M,474,5883,Yes
72,O,103,4140,No
4,F,37,1829,No
41,E,257,2654,No
5,B,53,217,No
22,F,165,1742,No
19,E,202,5472,No
59,O,566,4591,No
7,B,77,3279,No
54,M,380,3566,No
11,A,145,950,No
64,O,543,3703,No
26,F,309,5063,No
61,O,512,3046,Yes
56,M,457,1910,No
57,M,484,2251,Yes
40,E,340,1177,No
6,B,82,1253,No
16,F,156,4387,Yes
59,O,566,4589,No
22,F,167,3252,No
64,O,561,7240,No
54,M,388,1808,No
76,F,195,3607,No
44,B,344,132,No
26,F,297,1816,No
20,E,215,1895,No
52,M,415,1506,No
64,O,526,5726,No
57,M,394,3728,Yes
64,O,561,5824,Yes
19,E,201,1540,No
5,B,44,1455,No
72,O,548,3013,No
26,F,305,1385,No
58,M,466,2636,No
72,O,103,3183,Yes
72,O,103,5719,No
64,O,561,2397,No
52,M,414,4256,No
59,O,497,3724,No
72,O,96,5366,Yes
22,F,284,5436,No
64,O,528,6459,No
72,O,492,3593,No
72,O,534,5837,No
61,O,481,5664,Yes
59,O,496,7137,No
11,A,146,64,No
26,F,297,5118,No
46,B,371,1512,No
22,F,165,1807,Yes
17,F,174,2294,No
2,A,22,855,No
59,O,497,4452,No
6,B,84,503,No
6,B,83,3569,No
59,O,500,7209,No
64,O,533,7308,No
46,B,373,2671,No
75,F,287,4191,Yes
13,B,130,4683,No
26,F,296,2256,No
26,F,299,3889,No
75,F,314,2805,No
5,B,53,1216,No
13,B,130,935,No
6,B,85,446,No
9,A,109,1851,Yes
5,B,56,2463,No
64,O,504,3521,No
59,O,566,4469,No
6,B,87,2769,No
64,O,561,3870,No
61,O,490,3175,No
59,O,502,3330,No
16,F,159,2904,No
16,F,159,2902,No
17,F,161,2885,No
59,O,554,5813,No
72,O,96,6894,Yes
61,O,512,5634,No
61,O,491,4626,No
3,A,27,843,No
64,O,542,4674,No
25,E,269,1404,No
64,O,542,4114,No
58,M,460,5075,Yes
64,O,541,5773,No
20,E,258,1189,No
3,A,27,7245,No
25,E,267,1998,Yes
75,F,287,2295,No
11,A,136,707,No
13,B,131,401,No
64,O,561,2977,No
61,O,552,5683,Yes
58,M,445,4392,Yes
64,O,533,2394,No
61,O,481,3141,Yes
52,M,421,3760,No
58,M,463,5335,No
59,O,494,6470,No
52,M,421,1865,No
17,F,175,2651,Yes
7,B,74,438,No
72,O,544,5459,No
64,O,543,5102,Yes
14,A,97,4520,No
72,O,545,5744,No
60,M,471,5628,No
72,O,549,6398,No
72,O,559,6149,Yes
61,O,491,3155,No
16,F,181,4156,No
4,F,35,640,No
72,O,488,7299,No
57,M,465,5874,No
56,M,511,5843,No
64,O,542,5204,No
61,O,397,3655,No
64,O,543,6165,No
21,E,221,2441,No
61,O,490,3127,No
64,O,541,3727,No
6,B,62,3510,No
19,E,207,1416,No
13,B,125,5022,Yes
26,F,301,2730,No
59,O,496,3442,No
59,O,554,4206,No
9,A,105,1957,No
64,O,570,7349,No
64,O,58,3653,No
59,O,499,7206,No
25,E,265,3400,No
53,E,441,1274,No
19,E,197,2631,No
9,A,109,2946,Yes
75,F,314,2705,No
52,M,422,2643,No
22,F,284,1860,No
19,E,206,2873,No
44,B,345,207,No
59,O,509,6176,Yes
56,M,450,5890,Yes
52,M,423,2198,Yes
59,O,494,5408,No
25,E,273,1093,No
40,E,362,1691,No
7,B,88,1046,No
14,A,7,1063,No
40,E,362,1151,No
59,O,499,7004,No
7,B,70,900,No
61,O,9,3377,No
25,E,267,5617,Yes
64,O,541,5328,No
72,O,96,4142,Yes
4,F,310,5489,No
72,O,537,6960,No
25,E,264,1814,No
12,A,153,5616,Yes
20,E,229,4643,No
64,O,541,7241,No
17,F,175,2633,No
56,M,450,1963,No
26,F,305,1464,No
14,A,2,1158,No
61,O,490,5828,No
59,O,509,3605,No
58,M,466,2218,No
6,B,63,4526,Yes
52,M,414,749,No
59,O,554,920,No
59,O,498,3504,No
56,M,453,1755,No
72,O,488,6967,No
16,F,181,2758,No
72,O,545,4582,No
25,E,265,2215,No
53,E,442,1635,No
72,O,96,5179,Yes
22,F,284,5384,No
19,E,197,3336,No
59,O,494,5767,No
17,F,164,4570,No
53,E,439,2509,No
40,E,357,845,No
56,M,455,1760,No
42,A,321,55,No
56,M,457,1616,No
11,A,138,183,No
64,O,543,4586,No
64,O,533,2878,No
59,O,498,3635,No
6,B,84,1098,No
