DC,Item #,Desc.,Sector,Banner,Date,Chamber,Pick Type,CPT,IB,OB,Loads
6055,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,1783,1783,2.12
7012,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,2008,2008,2.39
6047,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,1041,1041,1.24
6042,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,896,896,1.07
7079,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,1386,1386,1.65
6059,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,1707,1707,2.03
8851,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,2434,2434,2.90
6096,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,892,892,1.06
6057,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,967,967,1.15
6074,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,1198,1198,1.43
7024,980269267,BONELESS,HAM,SAMS,3/31/2025,MP,CASE,840,1110,1110,1.32
6056,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,847,847,1.01
7077,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,895,895,1.07
8397,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,2034,2034,2.42
6065,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,912,912,1.09
6091,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,1039,1039,1.24
7030,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,782,782,0.93
6055,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,1164,1164,1.39
7012,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,1336,1336,1.59
6047,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,684,684,0.81
6042,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,585,585,0.70
7079,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,931,931,1.11
6059,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,1120,1120,1.33
8851,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,1573,1573,1.87
6096,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,576,576,0.69
6057,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,638,638,0.76
6074,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,791,791,0.94
7024,980269267,BONELESS,HAM,SAMS,4/7/2025,MP,CASE,840,721,721,0.86
6056,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,1015,1015,1.21
7077,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,670,670,0.80
8397,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,1267,1267,1.51
6065,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,555,555,0.66
6091,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,629,629,0.75
7030,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,575,575,0.68
6055,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,773,773,0.92
7012,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,757,757,0.90
6047,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,513,513,0.61
6042,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,447,447,0.53
7079,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,722,722,0.86
6059,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,619,619,0.74
8851,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,1178,1178,1.40
6096,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,456,456,0.54
6057,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,429,429,0.51
6074,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,497,497,0.59
7024,980269266,CARVER,HAM,SAMS,3/10/2025,MP,CASE,840,491,491,0.58
6056,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,679,679,0.81
7077,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,478,478,0.57
8397,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,905,905,1.08
6065,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,398,398,0.47
6091,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,442,442,0.53
7030,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,415,415,0.49
6055,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,538,538,0.64
7012,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,537,537,0.64
6047,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,362,362,0.43
6042,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,319,319,0.38
7079,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,519,519,0.62
6059,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,424,424,0.50
8851,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,851,851,1.01
6096,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,326,326,0.39
6057,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,308,308,0.37
6074,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,352,352,0.42
7024,980269266,CARVER,HAM,SAMS,3/24/2025,MP,CASE,840,341,341,0.41
6056,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,679,679,0.81
7077,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,478,478,0.57
8397,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,905,905,1.08
6065,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,398,398,0.47
6091,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,442,442,0.53
7030,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,415,415,0.49
6055,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,538,538,0.64
7012,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,537,537,0.64
6047,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,362,362,0.43
6042,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,319,319,0.38
7079,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,519,519,0.62
6059,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,424,424,0.50
8851,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,851,851,1.01
6096,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,326,326,0.39
6057,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,308,308,0.37
6074,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,352,352,0.42
7024,980269266,CARVER,HAM,SAMS,3/31/2025,MP,CASE,840,341,341,0.41
6056,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,314,314,0.37
7077,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,268,268,0.32
8397,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,517,517,0.62
6065,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,229,229,0.27
6091,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,243,243,0.29
7030,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,234,234,0.28
6055,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,287,287,0.34
7012,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,309,309,0.37
6047,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,202,202,0.24
6042,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,177,177,0.21
7079,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,298,298,0.35
6059,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,225,225,0.27
8851,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,478,478,0.57
6096,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,195,195,0.23
6057,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,177,177,0.21
6074,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,200,200,0.24
7024,980269266,CARVER,HAM,SAMS,4/7/2025,MP,CASE,840,181,181,0.22
6042,9352551,BONE IN HAMS,HAM,WM,3/1/2025,MP,CASE,840,63.32571429,63.32571429,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/2/2025,MP,CASE,840,63.32571429,63.32571429,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/3/2025,MP,CASE,840,63.32571429,63.32571429,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/4/2025,MP,CASE,840,63.32571429,63.32571429,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/5/2025,MP,CASE,840,63.32571429,63.32571429,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/6/2025,MP,CASE,840,63.32571429,63.32571429,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/7/2025,MP,CASE,840,63.32571429,63.32571429,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/8/2025,MP,CASE,840,70.42514286,70.42514286,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/9/2025,MP,CASE,840,70.42514286,70.42514286,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/10/2025,MP,CASE,840,70.42514286,70.42514286,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/11/2025,MP,CASE,840,70.42514286,70.42514286,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/12/2025,MP,CASE,840,70.42514286,70.42514286,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/13/2025,MP,CASE,840,70.42514286,70.42514286,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/14/2025,MP,CASE,840,70.42514286,70.42514286,0.08
6042,9352551,BONE IN HAMS,HAM,WM,3/15/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,3/16/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,3/17/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,3/18/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,3/19/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,3/20/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,3/21/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,3/22/2025,MP,CASE,840,104.5714286,104.5714286,0.12
6042,9352551,BONE IN HAMS,HAM,WM,3/23/2025,MP,CASE,840,104.5714286,104.5714286,0.12
6042,9352551,BONE IN HAMS,HAM,WM,3/24/2025,MP,CASE,840,104.5714286,104.5714286,0.12
6042,9352551,BONE IN HAMS,HAM,WM,3/25/2025,MP,CASE,840,104.5714286,104.5714286,0.12
6042,9352551,BONE IN HAMS,HAM,WM,3/26/2025,MP,CASE,840,104.5714286,104.5714286,0.12
6042,9352551,BONE IN HAMS,HAM,WM,3/27/2025,MP,CASE,840,104.5714286,104.5714286,0.12
6042,9352551,BONE IN HAMS,HAM,WM,3/28/2025,MP,CASE,840,104.5714286,104.5714286,0.12
6042,9352551,BONE IN HAMS,HAM,WM,3/29/2025,MP,CASE,840,127.75,127.75,0.15
6042,9352551,BONE IN HAMS,HAM,WM,3/30/2025,MP,CASE,840,127.75,127.75,0.15
6042,9352551,BONE IN HAMS,HAM,WM,3/31/2025,MP,CASE,840,127.75,127.75,0.15
6042,9352551,BONE IN HAMS,HAM,WM,4/1/2025,MP,CASE,840,127.75,127.75,0.15
6042,9352551,BONE IN HAMS,HAM,WM,4/2/2025,MP,CASE,840,127.75,127.75,0.15
6042,9352551,BONE IN HAMS,HAM,WM,4/3/2025,MP,CASE,840,127.75,127.75,0.15
6042,9352551,BONE IN HAMS,HAM,WM,4/4/2025,MP,CASE,840,127.75,127.75,0.15
6042,9352551,BONE IN HAMS,HAM,WM,4/5/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,4/6/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,4/7/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,4/8/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,4/9/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,4/10/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,4/11/2025,MP,CASE,840,82.66642857,82.66642857,0.10
6042,9352551,BONE IN HAMS,HAM,WM,4/12/2025,MP,CASE,840,50,50,0.06
6042,9352551,BONE IN HAMS,HAM,WM,4/13/2025,MP,CASE,840,50,50,0.06
6042,9352551,BONE IN HAMS,HAM,WM,4/14/2025,MP,CASE,840,50,50,0.06
6042,9352551,BONE IN HAMS,HAM,WM,4/15/2025,MP,CASE,840,50,50,0.06
6042,9352551,BONE IN HAMS,HAM,WM,4/16/2025,MP,CASE,840,50,50,0.06
6042,9352551,BONE IN HAMS,HAM,WM,4/17/2025,MP,CASE,840,50,50,0.06
6042,9352551,BONE IN HAMS,HAM,WM,4/18/2025,MP,CASE,840,50,50,0.06
6042,9369715,BONE IN HAMS,HAM,WM,3/1/2025,MP,CASE,840,93.51214286,93.51214286,0.11
6042,9369715,BONE IN HAMS,HAM,WM,3/2/2025,MP,CASE,840,93.51214286,93.51214286,0.11
6042,9369715,BONE IN HAMS,HAM,WM,3/3/2025,MP,CASE,840,93.51214286,93.51214286,0.11
6042,9369715,BONE IN HAMS,HAM,WM,3/4/2025,MP,CASE,840,93.51214286,93.51214286,0.11
6042,9369715,BONE IN HAMS,HAM,WM,3/5/2025,MP,CASE,840,93.51214286,93.51214286,0.11
6042,9369715,BONE IN HAMS,HAM,WM,3/6/2025,MP,CASE,840,93.51214286,93.51214286,0.11
6042,9369715,BONE IN HAMS,HAM,WM,3/7/2025,MP,CASE,840,93.51214286,93.51214286,0.11
6042,9369715,BONE IN HAMS,HAM,WM,3/8/2025,MP,CASE,840,108.0562857,108.0562857,0.13
6042,9369715,BONE IN HAMS,HAM,WM,3/9/2025,MP,CASE,840,108.0562857,108.0562857,0.13
6042,9369715,BONE IN HAMS,HAM,WM,3/10/2025,MP,CASE,840,108.0562857,108.0562857,0.13
6042,9369715,BONE IN HAMS,HAM,WM,3/11/2025,MP,CASE,840,108.0562857,108.0562857,0.13
6042,9369715,BONE IN HAMS,HAM,WM,3/12/2025,MP,CASE,840,108.0562857,108.0562857,0.13
6042,9369715,BONE IN HAMS,HAM,WM,3/13/2025,MP,CASE,840,108.0562857,108.0562857,0.13
6042,9369715,BONE IN HAMS,HAM,WM,3/14/2025,MP,CASE,840,108.0562857,108.0562857,0.13
6042,9369715,BONE IN HAMS,HAM,WM,3/15/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,3/16/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,3/17/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,3/18/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,3/19/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,3/20/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,3/21/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,3/22/2025,MP,CASE,840,171.4457143,171.4457143,0.20
6042,9369715,BONE IN HAMS,HAM,WM,3/23/2025,MP,CASE,840,171.4457143,171.4457143,0.20
6042,9369715,BONE IN HAMS,HAM,WM,3/24/2025,MP,CASE,840,171.4457143,171.4457143,0.20
6042,9369715,BONE IN HAMS,HAM,WM,3/25/2025,MP,CASE,840,171.4457143,171.4457143,0.20
6042,9369715,BONE IN HAMS,HAM,WM,3/26/2025,MP,CASE,840,171.4457143,171.4457143,0.20
6042,9369715,BONE IN HAMS,HAM,WM,3/27/2025,MP,CASE,840,171.4457143,171.4457143,0.20
6042,9369715,BONE IN HAMS,HAM,WM,3/28/2025,MP,CASE,840,171.4457143,171.4457143,0.20
6042,9369715,BONE IN HAMS,HAM,WM,3/29/2025,MP,CASE,840,212.5785714,212.5785714,0.25
6042,9369715,BONE IN HAMS,HAM,WM,3/30/2025,MP,CASE,840,212.5785714,212.5785714,0.25
6042,9369715,BONE IN HAMS,HAM,WM,3/31/2025,MP,CASE,840,212.5785714,212.5785714,0.25
6042,9369715,BONE IN HAMS,HAM,WM,4/1/2025,MP,CASE,840,212.5785714,212.5785714,0.25
6042,9369715,BONE IN HAMS,HAM,WM,4/2/2025,MP,CASE,840,212.5785714,212.5785714,0.25
6042,9369715,BONE IN HAMS,HAM,WM,4/3/2025,MP,CASE,840,212.5785714,212.5785714,0.25
6042,9369715,BONE IN HAMS,HAM,WM,4/4/2025,MP,CASE,840,212.5785714,212.5785714,0.25
6042,9369715,BONE IN HAMS,HAM,WM,4/5/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,4/6/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,4/7/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,4/8/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,4/9/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,4/10/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,4/11/2025,MP,CASE,840,131.3567857,131.3567857,0.16
6042,9369715,BONE IN HAMS,HAM,WM,4/12/2025,MP,CASE,840,57.12285714,57.12285714,0.07
6042,9369715,BONE IN HAMS,HAM,WM,4/13/2025,MP,CASE,840,57.12285714,57.12285714,0.07
6042,9369715,BONE IN HAMS,HAM,WM,4/14/2025,MP,CASE,840,57.12285714,57.12285714,0.07
6042,9369715,BONE IN HAMS,HAM,WM,4/15/2025,MP,CASE,840,57.12285714,57.12285714,0.07
6042,9369715,BONE IN HAMS,HAM,WM,4/16/2025,MP,CASE,840,57.12285714,57.12285714,0.07
6042,9369715,BONE IN HAMS,HAM,WM,4/17/2025,MP,CASE,840,57.12285714,57.12285714,0.07
6042,9369715,BONE IN HAMS,HAM,WM,4/18/2025,MP,CASE,840,57.12285714,57.12285714,0.07
6042,9399680,BONELESS HAMS,HAM,WM,3/1/2025,MP,CASE,840,77.99357143,77.99357143,0.09
6042,9399680,BONELESS HAMS,HAM,WM,3/2/2025,MP,CASE,840,77.99357143,77.99357143,0.09
6042,9399680,BONELESS HAMS,HAM,WM,3/3/2025,MP,CASE,840,77.99357143,77.99357143,0.09
6042,9399680,BONELESS HAMS,HAM,WM,3/4/2025,MP,CASE,840,77.99357143,77.99357143,0.09
6042,9399680,BONELESS HAMS,HAM,WM,3/5/2025,MP,CASE,840,77.99357143,77.99357143,0.09
6042,9399680,BONELESS HAMS,HAM,WM,3/6/2025,MP,CASE,840,77.99357143,77.99357143,0.09
6042,9399680,BONELESS HAMS,HAM,WM,3/7/2025,MP,CASE,840,77.99357143,77.99357143,0.09
6042,9399680,BONELESS HAMS,HAM,WM,3/8/2025,MP,CASE,840,88.27857143,88.27857143,0.11
6042,9399680,BONELESS HAMS,HAM,WM,3/9/2025,MP,CASE,840,88.27857143,88.27857143,0.11
6042,9399680,BONELESS HAMS,HAM,WM,3/10/2025,MP,CASE,840,88.27857143,88.27857143,0.11
6042,9399680,BONELESS HAMS,HAM,WM,3/11/2025,MP,CASE,840,88.27857143,88.27857143,0.11
6042,9399680,BONELESS HAMS,HAM,WM,3/12/2025,MP,CASE,840,88.27857143,88.27857143,0.11
6042,9399680,BONELESS HAMS,HAM,WM,3/13/2025,MP,CASE,840,88.27857143,88.27857143,0.11
6042,9399680,BONELESS HAMS,HAM,WM,3/14/2025,MP,CASE,840,88.27857143,88.27857143,0.11
6042,9399680,BONELESS HAMS,HAM,WM,3/15/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,3/16/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,3/17/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,3/18/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,3/19/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,3/20/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,3/21/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,3/22/2025,MP,CASE,840,134.37,134.37,0.16
6042,9399680,BONELESS HAMS,HAM,WM,3/23/2025,MP,CASE,840,134.37,134.37,0.16
6042,9399680,BONELESS HAMS,HAM,WM,3/24/2025,MP,CASE,840,134.37,134.37,0.16
6042,9399680,BONELESS HAMS,HAM,WM,3/25/2025,MP,CASE,840,134.37,134.37,0.16
6042,9399680,BONELESS HAMS,HAM,WM,3/26/2025,MP,CASE,840,134.37,134.37,0.16
6042,9399680,BONELESS HAMS,HAM,WM,3/27/2025,MP,CASE,840,134.37,134.37,0.16
6042,9399680,BONELESS HAMS,HAM,WM,3/28/2025,MP,CASE,840,134.37,134.37,0.16
6042,9399680,BONELESS HAMS,HAM,WM,3/29/2025,MP,CASE,840,165.5053571,165.5053571,0.20
6042,9399680,BONELESS HAMS,HAM,WM,3/30/2025,MP,CASE,840,165.5053571,165.5053571,0.20
6042,9399680,BONELESS HAMS,HAM,WM,3/31/2025,MP,CASE,840,165.5053571,165.5053571,0.20
6042,9399680,BONELESS HAMS,HAM,WM,4/1/2025,MP,CASE,840,165.5053571,165.5053571,0.20
6042,9399680,BONELESS HAMS,HAM,WM,4/2/2025,MP,CASE,840,165.5053571,165.5053571,0.20
6042,9399680,BONELESS HAMS,HAM,WM,4/3/2025,MP,CASE,840,165.5053571,165.5053571,0.20
6042,9399680,BONELESS HAMS,HAM,WM,4/4/2025,MP,CASE,840,165.5053571,165.5053571,0.20
6042,9399680,BONELESS HAMS,HAM,WM,4/5/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,4/6/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,4/7/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,4/8/2025,MP,CASE,840,104.6503571,104.6503571,0.12
6042,9399680,BONELESS HAMS,HAM,WM,4/9/2025,MP,CASE,840,104.6503571,104.6503571,0.12
