Store,User ID,Store Rank
961,TAD007Z,2
1107,tmmontp,2
311,mddavid,2
405,CRFERRI,2
2913,P0O00GD,2
1260,E0O00D6,2
402,KNA0022,2
399,DCD004H,2
3213,asjohns,2
288,dmw003b,2
498,jrr007u,2
1128,VARICHA,2
602,ACGREGO,2
4683,ejw003w,2
1066,a0l0h90,2
408,dar00ay,2
1222,j0r036x,2
604,L0L05F4,2
990,cdbaldw,2
691,c0e00j0,2
3075,SAMADDO,2
809,rnmahan,2
329,zac000h,2
723,h0b05hx,2
316,SJMINTO,2
2533,mewhita,2
4330,sdb003n,2
1032,CKC001H,2
300,acbragg,2
3386,BHOWEN,2
424,hwa0004,2
3461,tjsinel,2
944,KKC0031,2
1375,j0w0ojf,2
1207,SLF004I,2
488,tlbarge,2
1091,CPKERVI,2
2114,P0J012M,2
726,R0P015I,2
904,mma00b2,2
315,c0w0eqd,2
730,LMHALE,2
5126,BLJ006H,2
355,j0p0y8x,2
301,RLSLOAN,2
1134,djbrewe,2
734,mchicks,2
733,PRNELSO,2
1462,JRM00GW,2
432,cflynn,2
2534,MDJ0033,2
4497,saacoff,2
1212,MDK004V,2
1224,a0m090u,2
1174,BCCUTTS,2
423,a0e06di,2
1057,clmille,2
863,J0E02KQ,2
5113,heschum,2
740,gdgladn,2
2111,M0L06G2,2
991,adubois,2
1063,alj0096,2
3307,SMH009S,2
1620,a0m0ph2,2
1711,a0b13p0,2
2723,MTA001Q,2
356,skg002e,2
4333,shlecki,2
3484,CRSPINK,2
1481,tlm00bn,2
483,s0h0267,2
1638,KLPITTM,2
1493,d0s0acq,2
4427,dhannen,2
1311,M0T03JD,2
3439,lfcook,2
5422,CAD00DJ,2
298,J0S08VP,2
3119,rrheipl,2
5262,a0d04wu,2
1112,SWBRIDG,2
1362,D0S038P,2
5348,vrcook,2
1201,ichende,2
2713,nah0014,2
4318,hlb005e,2
5872,CMRUCKE,2
1605,a0m18za,2
4407,J0E02KZ,2
3785,MZBANKS,2
1408,avh000w,2
938,BDHILL,2
5174,lab00bo,2
3271,t0f05si,2
4283,LMC0090,2
1229,e0b05sl,2
7247,H0B01TU,2
4581,ado000b,2
2760,LCJ0030,2
2739,blh00el,2
930,tclash,2
858,j0i00mc,2
562,DGSHREW,2
5845,ANCLEME,2
4403,rbeaver,2
2399,kldecat,2
1924,m0l0hf3,2
2013,MRBELAN,2
2142,H0T015S,2
1930,jspage,2
3549,k0p0dbx,2
5498,j0a0ryn,2
1856,jtherr,2
2234,jmcollv,2
2116,sacarli,2
2267,e0l00o1,2
3409,g0j0224,2
1997,cay0018,2
5497,S0A01R4,2
2530,KLH00EW,2
1762,RAS00FV,2
2660,ehhartl,2
2228,MBBARBA,2
2227,webranc,2
1753,NAC005T,2
1975,HNMARRO,2
2097,NLREUTZ,2
2092,jms00t0,2
2047,HAMCEWE,2
2056,D0N00HI,2
1871,wkcousi,2
2183,CDG007N,2
1788,SNSTRYK,2
2155,KLB00HX,2
1974,LALEZOT,2
