Location #,Phase,Business,Site Type,Address,City,State,Region,Market,Training,Go Live
5408,Indiana 1,Walmart,Neighborhood Market,3805 S Keystone Ave,Indianapolis,IN,59,494,2/21/2024,3/4/2024
5443,Indiana 1,Walmart,Supercenter,4650 S Emerson Ave,Indianapolis,IN,41,249,2/21/2024,3/4/2024
5483,Indiana 1,Walmart,Supercenter,882 S State Rd 135,Greenwood,IN,41,249,2/21/2024,3/4/2024
5767,Indiana 1,Walmart,Neighborhood Market,9354 Ambleside Dr,Fishers,IN,59,494,2/22/2024,3/4/2024
5804,Indiana 1,Walmart,Neighborhood Market,5835 W 10Th St,Indianapolis,IN,59,494,2/20/2024,3/4/2024
6390,Indiana 1,Walmart,Neighborhood Market,5550 Fall Creek Pkwy N Dr,Indianapolis,IN,59,494,2/22/2024,3/4/2024
6470,Indiana 1,Walmart,Neighborhood Market,900 W Main St,Plainfield,IN,59,494,2/20/2024,3/4/2024
6476,Indiana 1,Walmart,Supercenter,1894 Ridge Ave,Danville,IN,41,482,2/20/2024,3/4/2024
6304,Indiana 1,Sam's Club,Sam's Club,5805 Rockville Rd,Indianapolis,IN,Central,21,2/20/2024,3/4/2024
6325,Indiana 1,Sam's Club,Sam's Club,1101 Windhorst Way,Greenwood,IN,Central,21,2/21/2024,3/4/2024
8135,Indiana 1,Sam's Club,Sam's Club,4350 S Us-41,Terre Haute,IN,Central,21,2/20/2024,3/4/2024
8168,Indiana 1,Sam's Club,Sam's Club,7235 E 96Th St,Indianapolis,IN,Central,21,2/22/2024,3/4/2024
