Store,,MAR,69,YTD,70,MAR,71,YTD,72,MAR,73,YTD,74,MAR,75,YTD,76,MAR,77,YTD,78,MAR,79,YTD,80,MAR,81,YTD,82,MAR,83,YTD,84,MAR,85,YTD,86,MAR,87,YTD,88
722,,6.27%,,1.87%,,7.39%,,1.47%,,2.20%,,1.31%,,37.94%,G,14.99%,,8,,16,,47.85%,,46.34%,,5,,6,,52.01%,,53.44%,,1:34:26,R,1:24:47,R,1726/2576,,2167/2576,R
727,,1.67%,,0.30%,,20.18%,,18.70%,,24.75%,,16.95%,,3.65%,,4.57%,,7,,19,,47.51%,,43.48%,,2,R,8,,51.58%,,54.08%,,0:32:14,G,0:31:19,G,784/2576,,863/2576,
856,,1.97%,,2.63%,,17.59%,,17.14%,,16.10%,,17.20%,,11.83%,,8.06%,,68,G,151,G,43.37%,,42.00%,,72,G,154,G,59.18%,,50.66%,,0:54:36,,0:53:34,,951/2576,,956/2576,
1488,,5.47%,,1.02%,,24.34%,,7.69%,,20.20%,,4.55%,,9.40%,,-1.76%,,29,,52,,41.04%,,40.82%,,9,,10,,54.29%,,49.83%,,0:27:02,G,0:32:02,G,366/2576,G,1486/2576,
2732,,6.73%,,3.84%,,32.35%,G,27.26%,G,21.55%,,20.08%,,21.10%,G,19.04%,G,79,G,141,G,50.00%,,45.42%,,17,G,41,G,58.97%,,53.40%,,0:32:31,G,0:35:06,G,118/2576,G,236/2576,G
3205,,6.94%,,7.16%,G,37.85%,G,35.20%,G,48.03%,G,57.27%,G,28.66%,G,23.24%,G,1,R,2,R,43.96%,,39.02%,,3,,5,,44.91%,,34.24%,R,0:48:15,,0:48:55,,503/2576,G,597/2576,
4409,,-6.55%,R,-3.11%,,-12.89%,R,-11.19%,R,-17.91%,R,-7.18%,R,-8.45%,R,-16.52%,R,9,,16,,43.55%,,43.46%,,7,,10,,65.16%,,67.22%,,1:07:02,R,1:11:09,R,2549/2576,R,2543/2576,R
Total,B,2.98%,,2.20%,,14.32%,,12.06%,,12.45%,,13.16%,,14.57%,G,8.26%,,0.82,,0.84,,45.74%,,43.06%,,0.46,,0.49,G,54.96%,,50.64%,R,0:51:01,,0:51:51,,156/394,,199/394,
1184,,0.91%,,3.02%,,-5.26%,R,-1.35%,R,9.46%,,10.94%,,5.01%,,-8.05%,R,15,,35,,55.47%,G,51.66%,,1,R,2,R,48.18%,,39.30%,R,1:00:28,R,0:54:10,,2236/2576,R,2172/2576,R
1373,,3.70%,,6.38%,G,3.27%,,2.03%,,8.42%,,6.07%,,-11.74%,R,-2.55%,,31,,79,,49.48%,,46.80%,,4,,10,,91.24%,,86.65%,,0:45:52,,0:46:04,,1577/2576,,1525/2576,
2584,,5.87%,,8.83%,G,42.29%,G,46.03%,G,84.94%,G,87.35%,G,19.10%,,16.63%,G,25,,53,,47.22%,,48.63%,,5,,8,,95.09%,G,90.87%,,0:39:02,,0:40:58,,83/2576,G,73/2576,G
Total,B,3.43%,,6.01%,G,8.75%,,9.80%,,21.34%,G,21.09%,G,1.70%,,1.38%,,0.76,,0.93,,49.81%,,48.45%,,0.11,R,0.11,R,84.43%,G,77.49%,,0:48:40,,0:47:19,,193/394,,167/394,
518,,-1.19%,,0.99%,,12.59%,,12.97%,,14.87%,,20.58%,,9.76%,,6.14%,,18,,39,,42.56%,,44.10%,,13,,31,G,107.34%,G,107.22%,G,0:38:39,,0:39:58,,803/2576,,684/2576,
878,,6.47%,,8.49%,G,70.04%,G,66.18%,G,43.82%,G,42.83%,G,69.89%,G,46.70%,G,41,,80,,44.09%,,44.09%,,30,G,39,G,57.71%,,47.15%,,0:36:00,,0:35:15,G,56/2576,G,56/2576,G
1314,,-1.14%,,-2.59%,,12.52%,,7.65%,,9.84%,,5.45%,,-0.69%,,-8.85%,R,47,G,89,G,36.36%,R,36.80%,R,5,,17,,57.99%,,58.70%,,0:27:17,G,0:34:58,G,1162/2576,,1605/2576,
1578,,-2.25%,,-1.87%,,0.12%,,-0.62%,R,-0.61%,,-2.25%,R,1.15%,,-1.96%,,32,,60,,38.73%,,38.23%,,5,,9,,60.55%,,58.74%,,1:07:49,R,0:58:59,R,2335/2576,R,2331/2576,R
2154,,12.12%,G,9.44%,G,18.71%,,20.44%,,12.79%,,20.49%,,19.73%,G,13.79%,,1,R,2,R,39.57%,,37.12%,R,2,R,3,R,61.26%,,64.00%,,1:04:28,R,0:59:06,R,1209/2576,,1067/2576,
2941,,13.50%,G,14.76%,G,77.84%,G,82.98%,G,63.64%,G,69.41%,G,100.61%,G,94.67%,G,22,,28,,54.93%,,53.64%,,8,,13,,103.95%,G,101.45%,G,0:25:14,G,0:25:27,G,Mar-76,G,May-76,G
3462,,11.64%,G,15.75%,G,63.43%,G,86.19%,G,87.02%,G,106.51%,G,29.52%,G,45.11%,G,1,R,1,R,30.75%,R,26.23%,R,0,R,2,R,20.04%,R,20.42%,R,0:26:06,G,0:27:59,G,245/2576,G,233/2576,G
4436,,1.30%,,4.56%,,1.90%,,14.31%,,-10.71%,R,7.07%,,19.60%,G,18.79%,G,2,R,2,R,36.39%,R,29.11%,R,2,R,2,R,28.44%,R,27.32%,R,0:40:20,,0:39:04,,2071/2576,R,1325/2576,
Total,B,4.49%,,5.41%,G,24.29%,G,26.45%,G,21.89%,G,26.19%,G,20.94%,G,16.88%,G,0.66,,0.63,,40.27%,,39.07%,,0.26,,0.24,,67.07%,,65.45%,,0:42:49,,0:42:15,,28/394,G,25/394,G
459,,-0.29%,,-0.62%,,-16.53%,R,-14.35%,R,-28.86%,R,-25.51%,R,21.52%,G,20.21%,G,0,R,2,R,46.41%,,42.37%,,0,R,1,R,52.02%,,50.87%,,1:05:19,R,1:07:03,R,2496/2576,R,2503/2576,R
548,,-4.30%,R,-0.52%,,31.60%,G,42.61%,G,24.49%,,24.09%,,-1.75%,,10.56%,,3,R,18,,43.55%,,40.51%,,15,G,26,,60.48%,,55.41%,,1:03:06,R,1:00:53,R,1237/2576,,851/2576,
1340,,-13.37%,R,-10.78%,R,-24.34%,R,-17.79%,R,-24.20%,R,-19.29%,R,-4.46%,,-3.80%,,2,R,2,R,43.55%,,45.44%,,1,R,7,,28.08%,R,30.19%,R,1:24:00,R,1:20:50,R,2575/2576,R,2572/2576,R
1720,,0.73%,,0.08%,,-1.37%,R,0.30%,R,5.55%,,8.53%,,13.62%,,4.59%,,13,,39,,34.84%,R,34.36%,R,4,,12,,39.34%,R,43.04%,,0:47:48,,0:44:44,,2099/2576,R,1953/2576,
2475,,5.52%,,7.46%,G,2.70%,,-0.91%,R,7.59%,,8.49%,,7.17%,,-0.43%,,6,,6,R,50.00%,,48.27%,,0,R,0,R,50.68%,,50.67%,,1:21:51,R,1:20:23,R,2116/2576,R,2254/2576,R
3388,,16.37%,G,16.81%,G,128.45%,G,120.82%,G,151.47%,G,145.48%,G,45.14%,G,54.17%,G,80,G,167,G,70.83%,G,60.42%,G,7,,22,,88.94%,,89.35%,,0:38:42,,0:38:12,,Jul-76,G,Sep-76,G
3389,,-0.34%,,2.37%,,-0.01%,,-0.10%,R,-16.52%,R,-12.17%,R,5.11%,,5.11%,,3,R,9,R,51.69%,,52.93%,,2,R,2,R,49.79%,,48.60%,,0:35:15,G,0:34:14,G,1997/2576,,1876/2576,
3786,,2.16%,,2.14%,,-1.02%,R,-6.54%,R,-14.12%,R,-11.98%,R,22.52%,G,14.05%,,2,R,11,R,43.65%,,39.86%,,0,R,1,R,50.42%,,62.69%,,1:10:57,R,1:09:17,R,2367/2576,R,2418/2576,R
5252,,0.15%,,1.61%,,13.83%,,13.55%,,15.61%,,12.96%,,19.41%,,13.82%,,41,,109,G,56.50%,G,59.97%,G,23,G,39,G,109.04%,G,107.66%,G,0:56:13,,0:53:07,,741/2576,,695/2576,
Total,B,0.73%,,2.00%,,9.41%,,9.71%,,6.96%,,8.16%,,14.49%,G,12.90%,G,0.54,,0.67,,49.70%,,47.15%,,0.19,,0.2,,58.80%,,60.03%,,1:00:22,R,0:58:49,R,293/394,,266/394,
575,,4.04%,,8.99%,G,7.14%,,19.98%,,8.81%,,20.86%,,25.23%,G,32.91%,G,12,,23,,50.00%,,44.80%,,3,,9,,30.05%,R,37.00%,R,0:45:32,,0:44:47,,1458/2576,,653/2576,
937,,6.39%,,7.37%,G,35.48%,G,36.54%,G,56.72%,G,47.85%,G,16.77%,,25.58%,G,6,,10,R,48.78%,,48.77%,,1,R,4,R,27.13%,R,28.64%,R,1:04:50,R,1:06:50,R,836/2576,,738/2576,
1586,,3.39%,,9.19%,G,28.27%,G,27.68%,G,22.03%,,23.56%,,40.68%,G,28.48%,G,6,,8,R,29.86%,R,30.08%,R,1,R,1,R,62.28%,,63.26%,,0:42:49,,0:43:52,,643/2576,,545/2576,
3403,,2.39%,,2.66%,,22.02%,,19.53%,,29.26%,G,25.16%,G,5.67%,,7.95%,,98,G,166,G,49.89%,,45.36%,,13,,27,,96.60%,G,90.04%,,0:30:38,G,0:31:35,G,186/2576,G,253/2576,G
5275,,-4.39%,R,-3.68%,R,25.61%,G,27.94%,G,22.88%,,25.90%,G,14.63%,,10.15%,,46,G,92,G,54.08%,,49.49%,,4,,12,,77.55%,,74.29%,,0:37:08,,0:36:11,,439/2576,G,371/2576,G
5390,,-0.22%,,-3.73%,R,7.30%,,-2.29%,R,-9.36%,R,-6.46%,R,17.97%,,2.89%,,58,G,76,,49.27%,,42.16%,,15,G,18,,49.71%,,47.22%,,1:19:11,R,1:08:55,R,1855/2576,,2411/2576,R
Total,B,1.41%,,2.60%,,19.91%,G,19.03%,,17.96%,,19.20%,G,17.29%,G,14.30%,G,1.22,,1.04,,47.46%,,43.62%,,0.2,,0.2,,64.41%,,62.88%,,0:46:54,,0:46:01,,78/394,G,78/394,G
1024,,-6.58%,R,-3.44%,R,0.41%,,5.11%,,13.99%,,12.47%,,-9.81%,R,-5.14%,,12,,15,,34.68%,R,31.62%,R,1,R,1,R,38.96%,R,44.06%,,1:04:07,R,1:00:55,R,2465/2576,R,2333/2576,R
1143,,-1.83%,,0.90%,,-2.78%,R,14.05%,,1.74%,,30.95%,G,-9.12%,R,-6.48%,,6,,13,,26.52%,R,28.78%,R,2,R,2,R,15.87%,R,14.00%,R,1:01:06,R,0:55:08,,2537/2576,R,1814/2576,
1227,,-8.67%,R,-5.61%,R,-7.88%,R,-8.36%,R,-3.68%,R,-1.83%,R,-9.93%,R,-5.56%,,4,R,9,R,41.48%,,40.66%,,0,R,1,R,12.18%,R,7.61%,R,1:11:52,R,1:16:43,R,2573/2576,R,2569/2576,R
3570,,12.01%,G,8.94%,G,37.42%,G,34.79%,G,34.41%,G,27.05%,G,58.27%,G,50.35%,G,11,,19,,42.78%,,41.36%,,2,R,4,R,69.10%,,67.13%,,0:43:52,,0:42:30,,238/2576,G,301/2576,G
Total,B,-2.20%,R,-0.50%,,4.69%,R,8.16%,,11.88%,,16.00%,,-1.50%,R,1.42%,,0.27,R,0.23,R,37.81%,R,36.84%,R,0.04,R,0.03,R,30.06%,R,28.38%,R,0:58:34,R,0:57:56,R,389/394,R,364/394,R
555,,1.91%,,1.30%,,14.28%,,28.36%,G,44.09%,G,76.69%,G,1.98%,,2.59%,,22,,70,,43.06%,,37.47%,R,8,,15,,41.01%,R,40.85%,R,0:54:33,,0:54:46,,1295/2576,,883/2576,
758,,-0.25%,,0.93%,,4.55%,,8.34%,,14.18%,,11.63%,,3.96%,,3.97%,,20,,22,,45.09%,,46.15%,,9,,10,,41.24%,R,45.71%,,0:50:56,,0:48:49,,1785/2576,,1638/2576,
1076,,-3.27%,R,-3.60%,R,13.06%,,7.24%,,14.04%,,4.52%,,3.42%,,7.43%,,34,,57,,59.62%,G,62.24%,G,12,,24,,29.62%,R,28.84%,R,0:43:04,,0:44:35,,1275/2576,,1604/2576,
1153,,4.74%,,0.53%,,5.03%,,16.98%,,-6.63%,R,15.57%,,47.32%,G,14.63%,,42,,82,,44.37%,,40.29%,,1,R,7,,14.08%,R,14.29%,R,0:28:54,G,0:28:59,G,1396/2576,,854/2576,
1367,,-1.32%,,-0.56%,,8.21%,,8.98%,,5.70%,,6.65%,,-5.45%,,0.31%,,1,R,7,R,46.68%,,48.07%,,1,R,4,R,31.45%,R,35.75%,R,1:01:55,R,1:00:17,R,2275/2576,R,2059/2576,
2733,,-2.70%,,-1.18%,,-1.38%,R,1.99%,,-4.17%,R,0.34%,R,4.84%,,9.35%,,0,R,6,R,36.42%,R,38.27%,,0,R,1,R,74.38%,,76.87%,,0:51:05,,0:48:13,,2362/2576,R,2063/2576,R
2890,,-7.86%,R,-9.35%,R,-14.36%,R,-8.44%,R,-6.39%,R,-6.62%,R,-15.64%,R,-9.64%,R,11,,18,,61.40%,G,61.74%,G,4,,17,,31.93%,R,31.48%,R,0:49:17,,0:51:37,,2508/2576,R,2493/2576,R
3750,,3.67%,,-0.73%,,20.64%,,18.44%,,1.57%,,13.01%,,47.66%,G,31.81%,G,9,,17,,67.50%,G,66.67%,G,0,R,0,R,50.10%,,50.28%,,0:31:51,G,0:30:33,G,653/2576,,725/2576,
Total,B,-0.59%,,-1.44%,R,5.64%,R,9.08%,,4.76%,R,8.88%,,6.09%,,5.99%,,0.56,,0.58,,50.38%,,49.66%,,0.14,,0.16,,41.44%,R,42.90%,R,0:48:16,,0:47:23,,361/394,R,300/394,
&nbsp;,B,0.88%,,1.10%,,12.91%,,13.04%,,12.68%,,14.13%,,10.35%,G,7.29%,,0.71,,0.72,,46.21%,,44.32%,,0.24,,0.24,,60.71%,,59.90%,,0:47:31,,0:47:04,,16/34,,13/34,
588,,-3.91%,R,-8.35%,R,-3.86%,R,-6.63%,R,2.49%,,1.02%,,1.15%,,-6.50%,,3,R,8,R,51.90%,,49.00%,,0,R,3,R,35.81%,R,32.49%,R,0:49:51,,0:46:24,,2397/2576,R,2490/2576,R
889,,1.47%,,-2.29%,,9.27%,,4.00%,,-1.56%,R,3.95%,,11.27%,,-6.31%,,6,,36,,54.43%,,54.48%,G,5,,18,,36.24%,R,35.53%,R,0:35:12,G,0:31:44,G,1418/2576,,1722/2576,
899,,2.02%,,-0.17%,,22.38%,,20.78%,,8.65%,,11.37%,,5.52%,,9.76%,,135,G,263,G,56.51%,G,49.94%,,29,G,43,G,106.41%,G,106.56%,G,0:56:25,,0:53:40,,580/2576,,569/2576,
952,,2.87%,,1.26%,,-1.24%,R,6.29%,,1.23%,,4.58%,,18.39%,,16.30%,,3,R,10,R,52.90%,,53.00%,,1,R,5,,108.70%,G,109.60%,G,1:02:59,R,1:03:09,R,1872/2576,,1544/2576,
1006,,-2.51%,,-4.58%,R,16.28%,,13.77%,,30.72%,G,22.99%,,-7.51%,,-9.09%,R,18,,27,,46.15%,,44.46%,,4,,4,R,42.31%,,36.03%,R,0:36:13,,0:32:16,G,1153/2576,,1402/2576,
1072,,-4.90%,R,-6.99%,R,-4.60%,R,-9.39%,R,5.72%,,-5.02%,R,-21.49%,R,-7.61%,R,9,,37,,38.52%,,38.86%,,1,R,2,R,55.02%,,51.90%,,1:11:52,R,1:11:08,R,2547/2576,R,2557/2576,R
2615,,13.94%,G,5.48%,,22.28%,,28.93%,G,4.86%,,18.70%,,30.67%,G,23.54%,G,48,G,103,G,44.69%,,45.34%,,10,,30,G,73.58%,,74.32%,,0:52:21,,0:48:02,,571/2576,,299/2576,G
Total,B,0.77%,,-2.61%,R,7.55%,,6.75%,,5.96%,,7.20%,,3.23%,,0.42%,,1.02,,1.15,,50.02%,,48.19%,,0.23,,0.25,,60.94%,,59.81%,,0:53:05,,0:50:10,,313/394,,341/394,R
556,,-3.29%,R,-4.24%,R,-9.15%,R,-12.13%,R,-17.24%,R,-17.24%,R,0.14%,,-2.50%,,35,,37,,47.52%,,47.91%,,8,,24,,47.69%,,55.32%,,0:37:45,,0:36:28,,2193/2576,R,2191/2576,R
593,,-8.67%,R,-7.44%,R,19.60%,,22.35%,,24.06%,,26.93%,G,-10.08%,R,-3.34%,,60,G,64,,41.65%,,48.36%,,38,G,58,G,70.82%,,70.96%,,0:56:15,,0:52:39,,1300/2576,,1023/2576,
639,,5.98%,,-0.49%,,-1.77%,R,-11.95%,R,-6.16%,R,-15.65%,R,6.78%,,-0.63%,,2,R,2,R,48.46%,,46.05%,,12,,12,,43.51%,,52.96%,,1:03:17,R,1:01:37,R,2217/2576,R,2501/2576,R
686,,6.49%,,1.43%,,1.36%,,3.41%,,0.45%,,1.60%,,-0.68%,,-7.52%,R,65,G,103,G,56.59%,G,56.48%,G,3,,4,R,30.23%,R,32.06%,R,0:26:00,G,0:26:44,G,1487/2576,,1656/2576,
836,,2.53%,,-0.31%,,-7.32%,R,-7.51%,R,9.51%,,8.85%,,8.50%,,3.04%,,14,,16,,51.22%,,53.07%,,11,,15,,53.21%,,50.38%,,0:52:51,,0:56:28,,1978/2576,,2205/2576,R
862,,-2.04%,,-1.62%,,9.27%,,7.36%,,12.46%,,2.66%,,2.34%,,10.62%,,39,,48,,40.57%,,45.23%,,13,,15,,40.37%,R,46.09%,,1:09:55,R,1:11:01,R,1885/2576,,1965/2576,
864,,4.06%,,4.92%,,11.56%,,12.51%,,0.16%,,2.00%,,2.84%,,15.71%,,6,,26,,43.32%,,38.00%,,1,R,2,R,7.31%,R,5.67%,R,0:47:57,,0:45:34,,1824/2576,,1541/2576,
1018,,-4.11%,R,-8.00%,R,3.74%,,-0.93%,R,3.40%,,-1.11%,R,-7.19%,,-1.30%,,8,,26,,29.88%,R,29.62%,R,1,R,2,R,7.23%,R,12.06%,R,0:36:46,,0:39:43,,2237/2576,R,2414/2576,R
2630,,2.36%,,-2.29%,,-7.01%,R,-11.08%,R,-16.67%,R,-19.18%,R,-2.55%,,-9.03%,R,20,,22,,40.05%,,37.17%,R,8,,9,,68.37%,,72.57%,,0:33:33,G,0:30:32,G,1989/2576,,2231/2576,R
5392,,8.62%,G,4.79%,,20.21%,,18.14%,,17.10%,,17.22%,,15.41%,,9.32%,,7,,16,,47.51%,,51.22%,,14,,36,G,102.58%,G,105.32%,G,1:12:41,R,1:09:56,R,728/2576,,788/2576,
Total,B,0.82%,,-1.44%,R,2.95%,R,0.69%,R,0.91%,R,-1.50%,R,2.32%,,2.03%,,0.83,,0.6,,45.19%,,45.39%,,0.35,,0.3,,45.74%,R,48.07%,R,0:51:30,,0:50:27,,372/394,R,384/394,R
110,,-1.87%,,-2.79%,,6.54%,,5.73%,,-10.60%,R,-7.74%,R,23.86%,G,20.08%,G,152,G,317,G,48.10%,,47.73%,,16,G,22,,44.46%,,32.91%,R,1:36:19,R,1:31:57,R,1922/2576,,2011/2576,
942,,-5.44%,R,-7.89%,R,-10.64%,R,-12.61%,R,-20.20%,R,-17.31%,R,13.01%,,-0.73%,,59,G,115,G,55.53%,G,52.55%,,44,G,101,G,78.92%,,83.38%,,1:18:25,R,1:21:25,R,2250/2576,R,2369/2576,R
959,,1.65%,,1.24%,,9.72%,,7.31%,,3.49%,,3.84%,,5.70%,,1.93%,,19,,52,,52.23%,,54.07%,,10,,23,,86.76%,,80.55%,,0:46:11,,0:44:46,,1267/2576,,1361/2576,
2695,,5.95%,,4.01%,,0.93%,,4.33%,,15.02%,,14.90%,,3.90%,,6.68%,,88,G,355,G,54.99%,,55.37%,G,4,,6,,30.25%,R,33.14%,R,0:40:56,,0:42:14,,1475/2576,,1343/2576,
2843,,-3.74%,R,2.08%,,13.71%,,4.22%,,7.38%,,1.64%,,-2.23%,,-4.48%,,66,G,102,G,58.53%,G,53.45%,,27,G,36,G,69.25%,,67.69%,,0:56:57,,1:00:25,R,1405/2576,,1819/2576,
