Store,DC,Commodity,23-Dec,24-Dec,25-Dec,26-Dec,27-Dec,28-Dec,29-Dec
216,6059,FDD,1,0,1,1,1,1,1
217,6064,FDD,1,1,1,1,1,1,1
218,6072,FDD,1,1,1,1,1,1,1
219,6077,FDD,1,1,1,1,1,1,1
220,6064,FDD,1,1,1,1,1,1,1
221,6042,FDD,1,0,1,1,1,1,1
222,6059,FDD,1,0,1,1,1,1,1
224,6059,FDD,1,1,1,1,1,1,1
225,6042,FDD,1,1,1,1,1,0,1
226,6082,FDD,1,0,1,1,1,1,1
227,6042,FDD,1,0,1,1,1,1,1
228,6064,FDD,1,1,1,1,1,1,1
229,6072,FDD,1,0,1,1,0,1,1
230,6082,FDD,1,1,1,0,1,0,1
231,6042,FDD,1,1,1,1,1,1,1
232,6042,FDD,1,0,1,1,0,1,1
233,6059,FDD,1,0,1,1,1,1,1
234,6065,FDD,1,1,1,1,1,1,1
236,7010,FDD,1,1,1,1,1,1,1
237,6059,FDD,1,1,1,1,1,1,1
238,6062,FDD,1,1,1,1,1,1,1
239,6072,FDD,1,0,1,1,1,1,1
240,6056,FDD,1,0,1,1,1,1,1
242,6065,FDD,1,1,1,1,1,1,1
243,6077,FDD,1,1,1,1,1,1,1
244,7010,FDD,1,1,1,1,1,1,1
246,7015,FDD,1,1,1,1,1,1,1
248,6083,FDD,1,0,1,1,1,1,1
249,7010,FDD,1,1,1,1,1,1,1
250,6065,FDD,1,1,1,1,1,1,1
251,6056,FDD,1,0,1,1,1,1,1
252,6059,FDD,1,0,1,1,1,1,1
253,6077,FDD,1,0,1,1,1,1,1
254,6059,FDD,1,1,1,1,1,1,1
256,6059,FDD,1,0,1,1,1,1,1
257,6059,FDD,1,1,1,1,1,1,1
258,6072,FDD,1,1,1,1,1,1,1
259,6056,FDD,1,1,1,1,1,1,1
260,6064,FDD,1,0,1,1,1,1,1
261,6082,FDD,1,0,1,1,1,1,1
262,6059,FDD,1,1,1,1,1,1,1
264,6062,FDD,1,0,1,1,1,1,1
265,6056,FDD,1,1,1,1,1,1,1
266,6064,FDD,1,0,1,1,1,1,1
267,7015,FDD,1,0,1,1,1,1,1
268,6072,FDD,1,1,1,1,1,1,1
269,6042,FDD,1,1,1,1,1,1,1
271,6064,FDD,1,0,1,0,1,1,1
272,6062,FDD,1,1,1,1,1,1,1
273,6072,FDD,1,1,1,1,1,1,1
275,7010,FDD,1,1,1,1,1,1,1
276,6082,FDD,1,0,1,1,1,1,1
277,6042,FDD,1,1,1,1,1,1,1
278,6082,FDD,1,1,1,1,1,1,1
279,6082,FDD,1,0,0,1,1,1,0
280,6083,FDD,1,0,1,1,1,1,1
281,6082,FDD,1,0,1,1,1,1,1
282,6062,FDD,1,0,1,1,1,1,1
283,7010,FDD,1,0,1,0,1,0,0
284,6064,FDD,1,1,1,1,1,1,1
285,7010,FDD,1,1,1,1,1,1,1
286,6064,FDD,1,0,1,1,1,1,1
287,6072,FDD,1,1,1,1,1,1,1
288,7010,FDD,1,0,1,1,1,1,1
289,6082,FDD,1,0,1,0,1,1,0
290,6083,FDD,0,0,1,1,0,1,1
292,6083,FDD,0,0,1,1,0,1,1
294,6059,FDD,1,0,1,1,1,1,1
295,6077,FDD,1,0,1,1,1,1,1
296,6082,FDD,1,1,1,1,1,1,0
297,7010,FDD,1,1,1,1,1,1,1
298,6062,FDD,1,0,1,1,1,1,1
299,6062,FDD,1,0,1,1,1,1,1
300,6095,FDD,1,1,1,1,1,1,1
301,6095,FDD,1,1,1,1,1,1,1
302,6059,FDD,1,0,1,1,1,1,1
303,6072,FDD,1,1,1,0,1,1,1
304,6062,FDD,1,0,1,1,1,1,1
305,6072,FDD,1,0,1,1,1,1,1
306,6062,FDD,1,0,1,1,1,1,1
307,6082,FDD,1,1,1,1,1,1,1
308,6062,FDD,1,1,1,1,1,1,1
309,6057,FDD,1,0,1,1,1,1,1
310,7010,FDD,1,0,1,1,1,1,1
311,6057,FDD,1,0,1,1,0,1,0
312,7010,FDD,1,0,1,1,1,1,1
313,6077,FDD,1,0,1,1,1,1,1
314,6062,FDD,1,1,1,1,1,1,1
315,6062,FDD,1,0,1,1,1,1,1
316,6095,FDD,1,1,1,1,1,1,1
317,6059,FDD,1,1,1,1,1,1,1
318,6082,FDD,1,0,1,1,1,1,1
319,6065,FDD,1,1,1,1,1,1,1
320,6083,FDD,0,0,1,0,1,0,1
321,7010,FDD,1,0,1,1,0,1,1
322,6083,FDD,1,0,1,1,1,1,1
323,7010,FDD,0,1,1,1,0,1,1
324,7015,FDD,1,0,1,1,1,1,1
325,6077,FDD,1,1,1,1,1,1,1
326,6077,FDD,1,1,0,1,0,1,0
328,6059,FDD,1,0,1,1,1,1,1
329,6095,FDD,1,1,1,1,1,1,1
330,6083,FDD,1,0,1,1,1,0,1
331,7010,FDD,1,0,1,1,1,1,1
332,6062,FDD,1,0,1,1,1,1,1
333,6059,FDD,1,0,1,1,1,1,1
334,6059,FDD,1,0,1,1,1,0,1
335,6072,FDD,1,1,1,1,1,1,1
336,6082,FDD,1,0,1,1,1,1,1
337,6077,FDD,1,0,1,1,1,1,1
338,6065,FDD,1,1,1,1,1,1,1
340,6082,FDD,1,0,1,1,1,1,1
341,7018,FDD,1,0,1,1,1,0,1
342,7018,FDD,1,1,1,1,1,1,0
343,6059,FDD,1,0,1,1,1,1,1
344,7010,FDD,1,0,1,1,1,0,1
345,7010,FDD,1,1,1,1,1,1,1
346,7015,FDD,1,0,0,1,1,1,0
347,6072,FDD,1,0,1,1,1,1,1
348,6082,FDD,1,0,1,1,1,1,1
350,7018,FDD,1,0,1,1,1,1,1
351,7010,FDD,1,1,1,0,1,1,0
352,6059,FDD,0,0,1,0,1,0,1
353,6064,FDD,1,0,1,1,1,1,1
354,6077,FDD,1,0,1,1,1,1,1
355,6095,FDD,1,1,1,1,1,1,1
356,6095,FDD,1,1,1,1,1,1,1
357,6077,FDD,1,1,1,1,1,1,1
358,6082,FDD,1,1,1,1,1,1,1
359,6082,FDD,1,1,1,1,1,1,1
360,7015,FDD,1,0,1,1,1,1,1
361,6059,FDD,1,0,1,1,1,1,1
362,6072,FDD,1,1,1,1,1,1,1
363,6077,FDD,1,1,1,1,1,1,1
364,7010,FDD,1,1,1,1,1,1,1
365,6072,FDD,1,0,1,1,1,1,1
366,6097,FDD,1,0,1,1,1,1,1
368,7015,FDD,1,0,1,1,1,1,1
369,7015,FDD,1,0,1,1,1,0,1
370,7015,FDD,1,0,1,0,1,0,1
371,6064,FDD,1,1,1,1,1,1,1
372,7018,FDD,1,0,1,1,1,1,1
373,6082,FDD,1,1,0,1,1,1,0
374,7015,FDD,1,0,1,1,1,1,1
375,6062,FDD,1,0,1,1,1,1,1
376,6082,FDD,1,1,1,1,1,1,1
377,6073,FDD,1,1,1,1,1,1,1
378,6065,FDD,1,0,1,1,1,1,1
379,6065,FDD,1,0,1,1,1,1,1
381,6083,FDD,1,1,1,1,1,1,1
382,6065,FDD,1,1,1,1,1,1,1
383,7010,FDD,1,0,1,1,1,1,1
384,7010,FDD,1,0,1,1,1,1,1
385,6083,FDD,0,0,1,0,1,0,1
386,7010,FDD,1,0,1,1,1,1,1
387,7015,FDD,1,0,1,1,1,1,1
388,6082,FDD,1,1,1,1,1,1,1
389,6042,FDD,1,1,1,1,1,1,1
390,6062,FDD,1,0,1,1,1,1,1
391,6072,FDD,1,1,1,1,1,1,1
392,6042,FDD,1,1,1,1,1,1,1
393,6072,FDD,1,1,1,1,1,1,1
394,6062,FDD,1,0,1,1,1,1,1
395,6083,FDD,1,1,0,1,1,1,0
396,6055,FDD,1,1,1,1,1,1,1
397,6083,FDD,1,1,0,1,1,1,0
398,6056,FDD,1,0,1,1,1,1,1
399,6056,FDD,1,0,1,1,1,1,1
400,7010,FDD,1,1,1,1,1,1,1
401,6057,FDD,0,0,1,1,0,1,1
402,6057,FDD,1,0,1,1,1,0,1
403,6072,FDD,1,1,1,1,1,1,1
404,6083,FDD,1,0,1,1,1,1,1
405,7010,FDD,1,0,1,1,1,1,1
406,6062,FDD,1,1,1,1,1,1,1
407,6083,FDD,1,1,1,1,1,1,1
408,7010,FDD,1,0,1,1,1,1,1
409,6072,FDD,1,1,1,1,1,0,1
410,6072,FDD,1,0,1,1,1,1,1
412,6083,FDD,1,0,1,1,1,1,1
413,6083,FDD,1,0,1,1,1,0,1
414,6042,FDD,1,1,1,1,1,1,1
415,6057,FDD,1,0,1,1,1,1,1
416,6062,FDD,1,1,1,1,1,1,1
417,6056,FDD,1,0,1,1,1,1,1
418,7018,FDD,1,0,1,0,1,0,1
419,7015,FDD,1,0,1,1,1,1,1
420,6042,FDD,1,1,1,1,1,1,1
421,6064,FDD,1,0,1,1,1,1,1
422,6059,FDD,1,1,1,1,1,1,1
423,7019,FDD,1,1,1,1,1,1,1
424,7019,FDD,1,1,1,1,1,1,1
425,7019,FDD,1,1,1,1,1,1,1
426,6064,FDD,1,1,1,1,1,1,1
427,6056,FDD,1,0,1,1,1,1,1
428,6057,FDD,1,0,1,1,1,1,1
429,6083,FDD,1,1,1,1,0,1,1
430,6072,FDD,1,0,1,1,1,1,1
431,6059,FDD,1,0,1,1,1,1,1
432,6095,FDD,1,1,1,1,1,1,1
433,6062,FDD,1,0,1,1,1,1,1
434,6062,FDD,1,0,1,1,1,1,1
435,6059,FDD,1,1,1,1,1,1,1
436,6059,FDD,1,1,1,1,1,1,1
437,7010,FDD,1,0,1,1,1,1,1
438,6064,FDD,0,0,1,1,0,1,1
440,6083,FDD,1,0,1,1,1,1,1
442,6083,FDD,1,0,1,1,1,1,1
443,6083,FDD,1,0,1,1,0,1,1
444,6065,FDD,1,0,1,1,1,1,1
445,6097,FDD,1,1,1,1,1,1,1
446,7010,FDD,1,0,1,1,1,0,1
447,6083,FDD,1,0,1,1,1,1,1
448,6082,FDD,1,1,1,1,1,1,1
449,7010,FDD,1,0,1,1,1,1,1
450,6082,FDD,1,1,1,1,1,1,1
451,6077,FDD,1,1,1,1,1,1,1
452,6083,FDD,1,1,0,1,1,0,1
453,6072,FDD,1,0,1,0,0,1,0
454,6059,FDD,1,1,1,1,1,1,1
456,6083,FDD,1,1,1,1,1,1,1
457,7010,FDD,1,0,1,1,1,1,1
458,6083,FDD,1,0,1,1,1,1,1
459,6055,FDD,1,1,1,1,1,1,1
461,6083,FDD,1,0,1,1,1,1,1
462,7010,FDD,1,0,1,1,1,1,1
463,6083,FDD,1,0,0,1,1,1,0
464,6083,FDD,1,0,1,1,1,1,1
465,6083,FDD,1,0,1,1,1,1,1
466,6072,FDD,1,1,0,1,1,0,1
467,6064,FDD,1,1,1,1,1,1,1
468,6082,FDD,1,0,1,1,1,1,1
469,7010,FDD,1,0,1,1,1,1,1
470,6083,FDD,0,0,1,0,1,1,1
471,6064,FDD,1,0,1,1,1,1,1
472,7015,FDD,1,1,1,1,1,1,1
475,6083,FDD,1,1,1,1,1,1,1
476,6083,FDD,1,1,1,0,1,1,0
477,6062,FDD,1,1,1,1,1,1,1
479,6042,FDD,1,1,1,1,1,1,1
480,6077,FDD,1,0,1,1,1,0,1
481,6059,FDD,1,1,1,1,1,1,1
483,7019,FDD,1,1,1,1,1,1,1
484,6065,FDD,1,1,1,1,1,1,1
485,6057,FDD,1,0,1,0,1,0,1
486,6065,FDD,1,1,1,1,1,1,1
488,6099,FDD,1,0,0,1,1,0,1
489,6057,FDD,1,0,1,1,1,1,1
490,6083,FDD,1,0,1,1,1,1,1
491,6059,FDD,1,0,1,1,1,1,1
492,6059,FDD,1,1,1,1,1,1,1
493,6097,FDD,1,0,1,1,1,1,1
494,6095,FDD,1,1,1,1,1,1,1
495,6072,FDD,1,1,1,1,1,1,1
497,6097,FDD,1,1,1,1,1,1,1
498,6057,FDD,1,1,1,0,1,1,1
499,7015,FDD,1,1,1,1,1,1,1
500,6084,FDD,1,0,1,1,1,1,1
501,7019,FDD,1,0,1,1,1,1,1
502,6057,FDD,1,0,1,0,1,1,1
503,7010,FDD,0,0,0,1,0,1,0
504,7010,FDD,1,0,1,1,1,1,1
505,7010,FDD,1,0,1,1,1,1,1
506,6059,FDD,1,1,1,1,1,1,1
507,6097,FDD,1,0,1,1,1,1,1
508,6083,FDD,1,0,1,1,1,1,1
510,6055,FDD,1,0,1,1,1,1,1
511,6073,FDD,1,1,1,1,1,1,1
512,6084,FDD,1,0,1,1,1,1,1
513,6083,FDD,1,1,1,1,1,1,1
514,6055,FDD,1,0,1,1,1,1,1
515,6097,FDD,1,0,1,1,1,1,1
516,6083,FDD,1,0,1,1,1,1,1
517,6042,FDD,1,0,1,1,1,1,1
518,6095,FDD,1,1,1,1,1,1,1
519,6097,FDD,1,0,1,1,1,1,1
520,6055,FDD,1,1,1,1,1,1,1
521,7010,FDD,1,0,1,1,1,1,1
522,7010,FDD,1,1,1,1,1,1,1
523,7010,FDD,1,0,1,1,1,0,1
524,6083,FDD,1,0,1,1,1,0,1
525,8851,FDD,1,1,1,1,1,1,1
526,6097,FDD,1,1,1,1,1,1,1
527,7010,FDD,1,0,1,1,1,1,1
529,7010,FDD,1,0,1,1,1,1,1
530,6082,FDD,1,0,1,1,1,1,1
531,6057,FDD,1,0,1,1,1,1,1
532,6057,FDD,1,1,1,1,1,1,1
533,6057,FDD,1,0,1,1,1,1,1
535,6083,FDD,1,0,1,1,1,1,1
536,6083,FDD,1,0,1,1,1,1,1
537,6083,FDD,1,1,1,1,1,1,1
538,6099,FDD,1,1,1,1,1,1,1
539,7010,FDD,1,1,1,1,1,1,1
540,6057,FDD,1,0,1,1,1,1,1
541,6057,FDD,1,1,1,1,1,1,1
542,6057,FDD,1,0,1,1,1,1,1
543,7010,FDD,1,0,1,1,1,1,1
544,6042,FDD,1,1,1,1,1,1,1
546,7010,FDD,1,0,1,1,1,1,1
547,6071,FDD,1,1,1,1,1,1,1
548,6055,FDD,1,1,1,1,1,1,1
549,6084,FDD,1,0,1,1,1,1,1
550,6059,FDD,1,1,1,1,1,1,1
551,6099,FDD,1,1,1,1,1,1,1
552,6097,FDD,1,0,1,1,1,1,1
553,6057,FDD,1,1,1,1,1,1,1
554,6083,FDD,1,1,1,1,1,1,1
555,6099,FDD,1,1,1,1,1,1,1
556,6099,FDD,1,1,1,1,1,1,1
557,6065,FDD,1,0,1,1,1,1,1
558,7018,FDD,1,1,1,1,1,1,1
559,7024,FDD,1,1,1,1,1,1,1
560,6065,FDD,1,0,1,1,1,1,1
561,6064,FDD,1,0,1,1,1,1,1
562,6095,FDD,1,1,1,1,1,1,1
563,8851,FDD,1,0,1,1,1,1,1
564,6042,FDD,1,1,1,1,1,1,1
565,6083,FDD,1,0,1,1,1,1,1
566,6059,FDD,1,0,1,1,1,1,1
568,6062,FDD,1,0,1,1,1,1,1
569,6097,FDD,1,0,1,1,1,1,1
571,6097,FDD,1,0,1,1,1,1,1
572,7010,FDD,1,1,1,1,1,1,1
573,6065,FDD,1,1,1,1,1,1,1
574,6073,FDD,1,1,1,1,1,1,1
575,6095,FDD,1,1,1,1,1,1,1
576,7015,FDD,1,1,1,1,1,1,1
577,6065,FDD,1,1,1,1,1,1,1
578,6097,FDD,1,0,1,1,1,1,1
579,6099,FDD,1,1,1,1,1,1,1
580,6071,FDD,1,1,1,1,1,1,1
581,6077,FDD,1,1,1,1,1,1,1
582,8851,FDD,1,0,1,1,1,1,1
583,6097,FDD,1,0,1,1,1,1,1
584,7012,FDD,1,0,1,1,1,1,1
585,6073,FDD,1,1,1,1,1,1,1
586,6073,FDD,1,1,1,1,1,1,1
587,6062,FDD,1,0,1,1,1,1,1
588,6099,FDD,1,1,1,1,1,1,1
589,6097,FDD,1,1,1,1,1,1,1
590,6064,FDD,1,1,1,1,1,1,1
591,6097,FDD,1,0,1,1,1,1,1
592,7015,FDD,1,0,1,1,1,1,1
593,6099,FDD,1,0,1,1,1,1,1
594,6095,FDD,1,1,1,1,1,1,1
595,6083,FDD,1,1,1,1,1,1,1
596,6059,FDD,0,0,0,1,0,0,1
598,7018,FDD,1,1,1,1,1,1,1
599,6097,FDD,1,0,1,1,1,1,1
600,6042,FDD,1,1,1,1,1,1,1
601,6083,FDD,1,1,1,1,1,1,1
602,7010,FDD,1,1,1,1,1,1,1
603,7024,FDD,1,0,1,1,1,1,1
604,6099,FDD,1,1,1,1,1,1,1
605,6099,FDD,1,1,1,1,1,1,1
608,6083,FDD,1,1,1,1,1,1,1
609,6077,FDD,1,1,1,1,1,1,1
610,6083,FDD,1,0,1,1,1,1,1
611,6084,FDD,1,0,1,1,1,1,1
612,6059,FDD,1,1,1,1,1,1,1
613,8851,FDD,1,0,1,1,1,1,1
614,6095,FDD,1,1,1,1,1,1,1
615,6095,FDD,1,1,1,1,1,1,1
616,6073,FDD,1,0,1,1,1,1,1
618,6095,FDD,1,1,1,1,1,1,1
619,6062,FDD,1,1,1,1,1,1,1
620,6097,FDD,1,0,1,1,1,1,1
621,6073,FDD,1,0,1,1,1,1,1
622,6042,FDD,1,1,1,1,1,1,1
624,6055,FDD,1,0,1,0,0,0,0
625,6073,FDD,1,1,1,1,1,1,1
626,6084,FDD,1,0,1,0,1,1,0
627,6073,FDD,1,1,1,1,1,0,1
628,6073,FDD,1,1,1,1,1,1,1
629,6055,FDD,1,1,1,0,0,0,0
630,6073,FDD,1,1,1,1,1,1,1
631,6055,FDD,1,1,1,1,1,1,1
632,6073,FDD,1,1,1,1,1,1,1
633,7024,FDD,1,0,1,1,1,1,1
634,6073,FDD,1,1,1,1,1,1,1
635,6099,FDD,1,1,1,1,1,1,1
636,7024,FDD,1,0,1,1,1,1,1
637,7018,FDD,1,1,1,1,1,1,1
638,6073,FDD,1,0,1,1,1,1,1
639,6099,FDD,1,0,1,1,1,1,1
640,6055,FDD,1,0,1,1,1,1,1
641,6055,FDD,1,1,1,1,1,1,1
642,6073,FDD,1,1,1,1,1,1,1
643,6073,FDD,1,1,1,1,1,1,1
644,6055,FDD,1,1,1,1,1,1,1
645,7018,FDD,1,0,1,1,1,1,1
646,7024,FDD,1,0,1,0,1,1,1
647,6077,FDD,1,1,1,1,1,1,1
648,6077,FDD,1,1,1,1,1,1,1
649,8851,FDD,1,0,1,1,1,1,1
651,7010,FDD,1,0,1,1,1,1,1
652,7018,FDD,1,0,1,1,1,1,1
653,6062,FDD,1,0,1,1,1,1,1
655,6059,FDD,1,0,1,1,1,1,1
