Store,Market,Store Type,Launch Date
2174,154,SUP,2/16/2023
2178,179,SUP,2/16/2023
2180,157,W/M,2/16/2023
2183,180,SUP,2/16/2023
2184,160,W/M,2/16/2023
2191,207,SUP,2/16/2023
2193,208,SUP,2/16/2023
2194,283,W/M,2/16/2023
2195,178,SUP,2/16/2023
2197,208,SUP,2/16/2023
2199,216,SUP,2/16/2023
2200,162,W/M,2/16/2023
2202,180,SUP,2/16/2023
2209,216,SUP,2/16/2023
2210,195,SUP,2/16/2023
2211,208,SUP,2/16/2023
2222,157,SUP,2/16/2023
2224,181,W/M,2/16/2023
2225,161,SUP,2/16/2023
2227,159,W/M,2/16/2023
2228,154,W/M,2/16/2023
2232,163,W/M,2/16/2023
2234,189,SUP,2/16/2023
2250,225,SUP,2/16/2023
2254,165,W/M,2/16/2023
2261,161,SUP,2/16/2023
2262,190,SUP,2/16/2023
2264,189,W/M,2/16/2023
2266,214,SUP,2/16/2023
2267,156,W/M,2/16/2023
2275,239,SUP,2/16/2023
2282,162,SUP,2/16/2023
2283,161,SUP,2/16/2023
2284,173,SUP,2/16/2023
2285,189,SUP,2/16/2023
2286,171,W/M,2/16/2023
2289,154,SUP,2/16/2023
2294,174,SUP,2/16/2023
2295,287,SUP,2/16/2023
2299,163,SUP,2/16/2023
2309,221,SUP,2/16/2023
2312,312,SUP,2/16/2023
2313,209,SUP,2/16/2023
2316,214,SUP,2/16/2023
2323,215,SUP,2/16/2023
2326,194,W/M,2/16/2023
2329,156,SUP,2/16/2023
2330,183,SUP,2/16/2023
2331,162,SUP,2/16/2023
2332,181,W/M,2/16/2023
2336,159,SUP,2/16/2023
2337,312,SUP,2/16/2023
2341,159,W/M,2/16/2023
2350,207,SUP,2/16/2023
2351,188,SUP,2/16/2023
2355,195,SUP,2/16/2023
2359,209,SUP,2/16/2023
2361,215,W/M,2/16/2023
2362,209,SUP,2/16/2023
2366,160,SUP,2/16/2023
2369,181,SUP,2/16/2023
2370,188,SUP,2/16/2023
2371,163,SUP,2/16/2023
2373,161,W/M,2/16/2023
2386,154,SUP,2/16/2023
2398,183,W/M,2/16/2023
2399,184,SUP,2/16/2023
2400,218,SUP,2/16/2023
2405,194,SUP,2/16/2023
2419,285,W/M,2/16/2023
2424,187,SUP,2/16/2023
2426,217,SUP,2/16/2023
2429,223,SUP,2/16/2023
2437,286,SUP,2/16/2023
2438,291,SUP,2/16/2023
2441,223,SUP,2/16/2023
2444,189,SUP,2/16/2023
2447,225,SUP,2/16/2023
2460,285,SUP,2/16/2023
2471,217,SUP,2/16/2023
2497,174,SUP,2/16/2023
2499,96,WNM,2/16/2023
2503,174,SUP,2/16/2023
2504,188,SUP,2/16/2023
2506,215,SUP,2/16/2023
2518,558,W/M,2/16/2023
2520,291,SUP,2/16/2023
2529,289,SUP,2/16/2023
2530,181,W/M,2/16/2023
2531,164,W/M,2/16/2023
2541,208,SUP,2/16/2023
2542,222,SUP,2/16/2023
2547,164,SUP,2/16/2023
2555,284,W/M,2/16/2023
2564,286,SUP,2/16/2023
2565,315,SUP,2/16/2023
2572,218,SUP,2/16/2023
2581,191,SUP,2/16/2023
2582,174,W/M,2/16/2023
2583,172,W/M,2/16/2023
2585,173,W/M,2/16/2023
2586,195,SUP,2/16/2023
2604,174,W/M,2/16/2023
2605,218,SUP,2/16/2023
2613,213,SUP,2/16/2023
2629,156,SUP,2/16/2023
2633,175,W/M,2/16/2023
2634,180,SUP,2/16/2023
2637,164,SUP,2/16/2023
2639,181,SUP,2/16/2023
2640,157,W/M,2/16/2023
2645,314,SUP,2/16/2023
2646,317,SUP,2/16/2023
2647,286,SUP,2/16/2023
2651,175,SUP,2/16/2023
2659,183,W/M,2/16/2023
2660,157,W/M,2/16/2023
2662,317,SUP,2/16/2023
2666,219,W/M,2/16/2023
2681,180,W/M,2/16/2023
2682,181,SUP,2/16/2023
2683,154,W/M,2/16/2023
2705,314,SUP,2/16/2023
2719,163,W/M,2/16/2023
2725,217,SUP,2/16/2023
2726,219,SUP,2/16/2023
2744,537,WNM,2/16/2023
2745,537,WNM,2/16/2023
2747,161,W/M,2/16/2023
2758,181,SUP,2/16/2023
2761,311,SUP,2/16/2023
2762,312,SUP,2/16/2023
2774,217,SUP,2/16/2023
2785,192,SUP,2/16/2023
2791,285,SUP,2/16/2023
2795,287,SUP,2/16/2023
2797,154,W/M,2/16/2023
2805,314,SUP,2/16/2023
2807,315,SUP,2/16/2023
2808,290,SUP,2/16/2023
2821,290,SUP,2/16/2023
2825,175,W/M,2/16/2023
2839,538,WNM,2/16/2023
2841,558,W/M,2/16/2023
2844,188,SUP,2/16/2023
2854,162,SUP,2/16/2023
2859,194,SUP,2/16/2023
2871,558,SUP,2/16/2023
2874,189,SUP,2/16/2023
2885,161,W/M,2/16/2023
2897,173,W/M,2/16/2023
2898,162,W/M,2/16/2023
2899,163,W/M,2/16/2023
2900,163,W/M,2/16/2023
2901,154,W/M,2/16/2023
2902,159,W/M,2/16/2023
2903,157,W/M,2/16/2023
2904,159,W/M,2/16/2023
2905,164,W/M,2/16/2023
2906,171,W/M,2/16/2023
2910,208,SUP,2/16/2023
2911,191,SUP,2/16/2023
2914,215,SUP,2/16/2023
2915,171,W/M,2/16/2023
2916,172,W/M,2/16/2023
2917,171,W/M,2/16/2023
2953,160,SUP,2/16/2023
2954,173,W/M,2/16/2023
2964,156,SUP,2/16/2023
2965,163,W/M,2/16/2023
2966,215,SUP,2/16/2023
2992,190,SUP,2/16/2023
3035,283,SUP,2/16/2023
3077,292,SUP,2/16/2023
3078,175,SUP,2/16/2023
3114,157,SUP,2/16/2023
3156,502,WNM,2/16/2023
3157,502,WNM,2/16/2023
3159,577,SUP,2/16/2023
3200,159,W/M,2/16/2023
3206,222,SUP,2/16/2023
3212,178,SUP,2/16/2023
3214,289,SUP,2/16/2023
3216,289,SUP,2/16/2023
3219,288,SUP,2/16/2023
3221,190,SUP,2/16/2023
3236,178,SUP,2/16/2023
3238,538,WNM,2/16/2023
3243,312,SUP,2/16/2023
3250,209,SUP,2/16/2023
3251,218,SUP,2/16/2023
3262,216,SUP,2/16/2023
3265,288,SUP,2/16/2023
3266,558,W/M,2/16/2023
3269,180,SUP,2/16/2023
