Store,Store Type,MFC Store,Possession date,RDC,FASH DC,Import DC,Return Center,City,State,GM SQFT,Total SQFT,Start Date,End Date,SubDivision,Phase 1 Date,Phase 2 Date,Phase 3 Date
29,SUP,,,6069,7842,7067,9193,JEFFERSON CITY,MO,"150,716","215,308",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
30,SUP,,,6018,7842,7067,9153,DEXTER,MO,"110,690","158,129",8/13/2024,1/27/2025,E,3/17/2025,11/13/2026,3/13/2028
31,SUP,,,6094,7842,7042,9153,POTEAU,OK,"125,754","179,648",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
32,EXP,,,6094,7842,7042,9153,BRANSON,MO,"114,188","114,188",8/13/2024,1/27/2025,E,1/1/2028,4/1/2029,#N/A
33,SUP,,,6018,7842,7067,9153,NASHVILLE,AR,"83,306","111,075",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
34,SUP,,,6094,7842,7042,9153,NEVADA,MO,"108,555","155,078",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
35,SUP,,,6035,7842,7042,9193,MANHATTAN,KS,"151,590","216,557",8/13/2024,1/27/2025,M,8/15/2024,1/26/2026,5/26/2027
36,SUP,,,6018,7842,7067,9153,PARAGOULD,AR,"126,828","181,183",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
37,SUP,,,6069,7842,7067,9193,FARMINGTON,MO,"130,409","186,299",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
38,SUP,,,6018,7842,7067,9153,IDABEL,OK,"86,338","115,117",8/13/2024,1/27/2025,B,3/17/2025,11/13/2026,3/13/2028
39,SUP,,,6035,7842,7042,9193,FORT SCOTT,KS,"111,644","159,492",8/13/2024,1/27/2025,B,8/15/2024,1/26/2026,5/26/2027
40,SUP,,,6069,7842,7067,9193,MOBERLY,MO,"124,277","177,538",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
41,SUP,,,6094,7842,7042,9153,BARTLESVILLE,OK,"139,313","199,018",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
42,SUP,,,6094,7842,7042,9153,COFFEYVILLE,KS,"111,871","149,161",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
43,SUP,,,6035,7842,7042,9193,JUNCTION CITY,KS,"116,189","165,985",8/13/2024,1/27/2025,M,8/15/2024,1/26/2026,5/26/2027
44,WMT,,,6069,7842,7067,9193,ELDON,MO,"47,558","47,558",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
45,SUP,,,6018,7842,7067,9153,JONESBORO,AR,"123,983","177,118",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
46,SUP,,,6069,7842,7067,9193,BOLIVAR,MO,"134,219","191,741",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
47,SUP,,,6094,7842,7042,9153,SALLISAW,OK,"109,095","155,850",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
48,SUP,,,6094,7842,7042,9153,MONETT,MO,"112,278","149,704",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
49,SUP,,,6036,6005,7042,9153,HUGO,OK,"80,517","107,356",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
50,SUP,,,6094,7842,7042,9153,VINITA,OK,"81,561","108,748",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
51,SUP,,,6069,7842,7067,9193,FULTON,MO,"82,222","109,630",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
52,SUP,,,6018,7842,7067,9153,HOT SPRINGS,AR,"140,636","200,908",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
54,SUP,,,6094,7842,7042,9153,SPRINGDALE,AR,"129,088","184,412",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
55,SUP,,,6094,7842,7042,9153,BOONEVILLE,AR,"81,032","108,043",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
56,SUP,,,6069,7842,7067,9193,AVA,MO,"80,517","107,356",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
57,WMT,,,6018,7842,7067,9153,WALNUT RIDGE,AR,"62,928","62,928",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
58,SUP,,,6018,7842,7067,9153,RUSSELLVILLE,AR,"142,164","203,091",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
59,SUP,,,6094,7842,7042,9153,JOPLIN,MO,"139,491","199,273",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
60,SUP,,,6069,7842,7067,9193,TROY,MO,"110,758","147,678",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
61,SUP,,,6035,7842,7042,9193,WARRENSBURG,MO,"141,818","202,597",8/13/2024,1/27/2025,E,8/15/2024,1/26/2026,5/26/2027
62,SUP,,,6018,7842,7067,9153,BLYTHEVILLE,AR,"128,248","183,211",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
63,SUP,,,6094,7842,7042,9153,WAGONER,OK,"73,712","98,283",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
64,SUP,,,6018,7842,7067,9153,BROWNSVILLE,TN,"108,512","155,017",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
65,SUP,,,6069,7842,7067,9193,SULLIVAN,MO,"109,798","146,398",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
66,SUP,,,6094,7842,7042,9153,CLARKSVILLE,AR,"108,558","155,083",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
67,SUP,,,6094,7842,7042,9153,MENA,AR,"109,798","146,397",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
68,SUP,,,6018,7842,7067,9153,WYNNE,AR,"83,306","111,075",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
69,SUP,,,6069,7842,7067,9193,FESTUS,MO,"139,318","199,026",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
70,SUP,,,6018,7842,7067,9153,WEST MEMPHIS,AR,"139,318","199,026",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
71,SUP,,,6018,7842,7067,9153,POCAHONTAS,AR,"96,326","128,435",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
72,SUP,,,6094,7842,7042,9153,PITTSBURG,KS,"122,849","175,499",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
73,SUP,,,6094,7842,7042,9153,SAPULPA,OK,"131,120","187,315",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
74,SUP,,,6018,7842,7067,9153,OSCEOLA,AR,"74,708","99,611",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
75,SUP,,,6048,6005,7067,9153,PINEVILLE,LA,"143,631","205,187",8/13/2024,1/27/2025,B,11/1/2026,2/1/2028,#N/A
76,SUP,,,6094,7842,7042,9153,BERRYVILLE,AR,"109,798","146,398",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
77,SUP,,,6016,6005,7042,9153,TAYLOR,TX,"108,555","155,078",8/13/2024,1/27/2025,B,2/16/2023,11/12/2024,3/12/2026
78,SUP,,,6069,7842,7067,9193,MARSHFIELD,MO,"110,675","158,107",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
79,SUP,,,6094,7842,7042,9153,JOPLIN,MO,"130,147","185,924",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
80,SUP,,,6069,7842,7067,9193,COLUMBIA,MO,"116,722","166,746",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
81,SUP,,,6094,7842,7042,9153,STILWELL,OK,"75,048","100,064",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
82,SUP,,,6069,7842,7067,9193,PERRYVILLE,MO,"82,222","109,630",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
83,SUP,,,6018,7842,7067,9153,MAGNOLIA,AR,"108,555","155,078",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
85,SUP,,,6018,7842,7067,9153,BENTON,AR,"141,615","202,307",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
86,SUP,,,6069,7842,7067,9193,SPRINGFIELD,MO,"126,835","181,193",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
87,SUP,,,6036,6005,7042,9153,MINDEN,LA,"130,404","186,291",8/13/2024,1/27/2025,A,2/16/2023,12/5/2024,4/5/2026
88,SUP,,,6069,7842,7067,9193,MOUNTAIN GROVE,MO,"99,579","132,772",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
89,SUP,,,6069,7842,7067,9193,CAMDENTON,MO,"128,742","183,917",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
90,SUP,,,6094,7842,7042,9153,GROVE,OK,"109,798","146,397",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
91,SUP,,,6018,7842,7067,9153,FORREST CITY,AR,"109,798","146,397",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
92,SUP,,,6094,7842,7042,9153,AURORA,MO,"106,637","152,339",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
93,SUP,,,6018,7842,7067,9153,COVINGTON,TN,"142,673","203,819",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
94,SUP,,,6018,7842,7067,9153,MILLINGTON,TN,"140,059","200,084",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
95,SUP,,,6069,7842,7067,9193,DESLOGE,MO,"131,554","187,935",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
96,SUP,,,6035,7842,7042,9193,HARRISONVILLE,MO,"142,616","203,737",8/13/2024,1/27/2025,E,8/15/2024,1/26/2026,5/26/2027
97,SUP,,,6018,7842,7067,9153,RIPLEY,TN,"88,555","118,074",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
98,SUP,,,6011,7842,7067,9153,BASTROP,LA,"129,079","184,398",8/13/2024,1/27/2025,A,2/29/2024,9/12/2025,1/12/2027
99,SUP,,,6069,7842,7067,9193,UNION,MO,"82,147","109,530",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
100,SUP,X,,6094,7842,7042,9153,BENTONVILLE,AR,"125,597","179,425",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
101,SUP,,,6069,7842,7067,9193,ROLLA,MO,"117,067","167,239",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
102,SUP,,,6018,7842,7067,9153,STUTTGART,AR,"82,147","109,530",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
103,SUP,,,6094,7842,7042,9153,SHAWNEE,OK,"144,520","206,457",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
104,SUP,,,6066,6022,7067,9193,MILAN,TN,"131,190","187,414",8/13/2024,1/27/2025,A,7/1/2027,10/1/2028,#N/A
105,SUP,,,6006,7842,7067,8092,CORINTH,MS,"141,399","201,998",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
106,SUP,,,6066,6022,7067,9193,FULTON,KY,"80,517","107,356",8/13/2024,1/27/2025,A,7/1/2027,10/1/2028,#N/A
107,SUP,,,6066,6022,7067,9193,MARTIN,TN,"110,652","158,075",8/13/2024,1/27/2025,A,7/1/2027,10/1/2028,#N/A
108,SUP,,,6094,7842,7042,9153,GUTHRIE,OK,"112,462","160,660",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
109,SUP,,,6035,7842,7042,9193,CAMERON,MO,"86,266","115,021",8/13/2024,1/27/2025,E,8/15/2024,1/26/2026,5/26/2027
110,SUP,,,6020,6014,6061,8092,WINTER GARDEN,FL,"130,853","186,933",8/13/2024,1/27/2025,A,5/1/2022,9/1/2024,In Progress
111,SUP,,,6035,7842,7042,9193,CHANUTE,KS,"108,329","154,756",8/13/2024,1/27/2025,B,8/15/2024,1/26/2026,5/26/2027
112,SUP,,,6006,7842,7067,8092,STARKVILLE,MS,"144,104","205,863",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
113,SUP,,,6068,7842,7042,9153,CHICKASHA,OK,"131,769","188,242",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
114,SUP,,,6006,7842,7067,8092,BOONEVILLE,MS,"112,196","149,595",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
115,SUP,,,6006,7842,7067,8092,WEST POINT,MS,"109,507","156,438",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
116,EXP,,,6036,6005,7042,9153,VIVIAN,LA,"49,950","49,950",8/13/2024,1/27/2025,A,2/16/2023,12/5/2024,4/5/2026
117,WMT,,,6018,7842,7067,9153,BROKEN BOW,OK,"52,323","52,323",8/13/2024,1/27/2025,B,3/17/2025,11/13/2026,3/13/2028
118,SUP,,,6006,7842,7067,8092,AMORY,MS,"109,798","146,398",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
119,SUP,,,6018,7842,7067,9153,BATESVILLE,AR,"129,571","185,101",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
120,SUP,,,6066,6022,7067,9193,HUMBOLDT,TN,"131,190","187,414",8/13/2024,1/27/2025,A,7/1/2027,10/1/2028,#N/A
121,SUP,,,6094,7842,7042,9153,OKMULGEE,OK,"106,555","152,222",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
122,SUP,,,6069,7842,7067,9193,JACKSON,MO,"84,090","112,120",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
123,SUP,,,6094,7842,7042,9153,SEMINOLE,OK,"83,306","111,075",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
124,SUP,,,6018,7842,7067,9153,LITTLE ROCK,AR,"140,960","201,372",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
125,SUP,X,,6094,7842,7042,9153,FORT SMITH,AR,"156,892","224,132",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
126,SUP,,,6018,7842,7067,9153,LITTLE ROCK,AR,"124,290","177,557",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
127,SUP,,,6018,7842,7067,9153,MALVERN,AR,"110,690","158,128",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
128,SUP,,,6018,7842,7067,9153,JONESBORO,AR,"112,278","149,704",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
129,SUP,,,6068,7842,7042,9153,ARDMORE,OK,"131,300","187,572",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
130,SUP,,,6094,7842,7042,9153,MUSKOGEE,OK,"142,164","203,091",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
131,SUP,,,6036,6005,7042,9153,MOUNT PLEASANT,TX,"120,927","172,753",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
132,SUP,,,6094,7842,7042,9153,KINGFISHER,OK,"74,686","99,581",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
133,SUP,,,6018,7842,7067,9153,ASHDOWN,AR,"74,686","99,581",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
134,SUP,,,6012,7842,7042,9153,ELK CITY,OK,"124,290","177,557",8/13/2024,1/27/2025,B,12/18/2024,6/18/2026,10/18/2027
135,SUP,,,6009,7842,7078,9193,CHILLICOTHE,MO,"111,948","159,926",8/13/2024,1/27/2025,E,10/1/2026,1/1/2028,#N/A
136,EXP,,,6094,7842,7042,9153,BLACKWELL,OK,"41,400","41,400",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
137,SUP,,,6094,7842,7042,9153,STILLWATER,OK,"133,067","190,096",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
138,SUP,,,6069,7842,7067,9193,SPRINGFIELD,MO,"128,876","184,109",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
139,SUP,,,6068,7842,7042,9153,PURCELL,OK,"108,512","155,017",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
140,SUP,,,6036,6005,7042,9153,LUFKIN,TX,"155,262","221,803",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
141,SUP,,,6094,7842,7042,9153,FORT SMITH,AR,"140,059","200,084",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
143,SUP,,,6066,6022,7067,9193,BENTON,KY,"108,115","154,450",8/13/2024,1/27/2025,E,7/1/2027,10/1/2028,#N/A
144,SUP,X,,6094,7842,7042,9153,FAYETTEVILLE,AR,"152,578","217,969",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
145,SUP,,,6009,7842,7078,9193,BOWLING GREEN,MO,"75,125","100,167",8/13/2024,1/27/2025,E,10/1/2026,1/1/2028,#N/A
146,SUP,,,6036,6005,7042,9153,GILMER,TX,"83,109","110,812",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
147,SUP,,,6068,7842,7042,9153,DENISON,TX,"119,741","171,059",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
148,SUP,,,6036,6005,7042,9153,PARIS,TX,"144,572","206,532",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
149,SUP,,,6048,6005,7067,9153,JONESBORO,LA,"82,957","110,610",8/13/2024,1/27/2025,A,11/1/2026,2/1/2028,#N/A
150,SUP,,,6012,7842,7042,9153,WOODWARD,OK,"125,971","179,958",8/13/2024,1/27/2025,B,12/18/2024,6/18/2026,10/18/2027
151,SUP,,,6094,7842,7042,9153,MCALESTER,OK,"143,975","205,679",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
152,SUP,,,6069,7842,7067,9193,DE SOTO,MO,"108,555","155,078",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
153,SUP,,,6006,7842,7067,8092,NEW ALBANY,MS,"98,144","130,859",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
154,SUP,,,6039,6022,8980,8092,ABINGDON,VA,"130,895","186,993",8/13/2024,1/27/2025,E,11/2/2023,4/18/2025,8/18/2026
155,SUP,,,6018,7842,7067,9153,SENATOBIA,MS,"109,798","146,398",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
157,SUP,,,6018,7842,7067,9153,SEARCY,AR,"130,752","186,789",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
158,SUP,,,6036,6005,7042,9153,BONHAM,TX,"82,087","109,450",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
159,SUP,,,6069,7842,7067,9193,COLUMBIA,MO,"138,893","198,419",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
160,SUP,,,6018,7842,7067,9153,ASH FLAT,AR,"96,326","128,435",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
161,SUP,,,6066,6022,7067,9193,HUNTINGDON,TN,"80,517","107,356",8/13/2024,1/27/2025,A,7/1/2027,10/1/2028,#N/A
162,SUP,,,6068,7842,7042,9153,ANADARKO,OK,"82,087","109,450",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
163,SUP,,,6036,6005,7042,9153,NACOGDOCHES,TX,"138,816","198,308",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
164,SUP,,,6006,7842,7067,8092,PONTOTOC,MS,"110,652","158,075",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
165,SUP,,,6036,6005,7042,9153,HENDERSON,TX,"106,732","152,474",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
166,SUP,,,6069,7842,7067,9193,HOUSTON,MO,"80,517","107,356",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
167,SUP,,,6018,7842,7067,9153,CROSSETT,AR,"108,549","155,070",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
168,SUP,,,6094,7842,7042,9153,OWASSO,OK,"144,656","206,651",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
169,SUP,,,6018,7842,7067,9153,LONOKE,AR,"75,125","100,167",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
170,SUP,,,6048,6005,7067,9153,NATCHITOCHES,LA,"141,615","202,307",8/13/2024,1/27/2025,B,11/1/2026,2/1/2028,#N/A
171,SUP,,,6018,7842,7067,9153,CAMDEN,AR,"107,705","153,865",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
172,SUP,,,6069,7842,7067,9193,WASHINGTON,MO,"142,717","203,881",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
173,SUP,,,6069,7842,7067,9193,POTOSI,MO,"83,705","111,607",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
174,SUP,,,7038,6014,6061,8092,COCOA,FL,"145,249","207,498",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
175,SUP,,,6018,7842,7067,9153,COLLIERVILLE,TN,"139,673","199,533",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
176,WMT,,,6006,7842,7067,8092,RIPLEY,MS,"59,022","59,022",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
177,SUP,,,6066,6022,7067,9193,PARIS,TN,"130,436","186,337",8/13/2024,1/27/2025,A,7/1/2027,10/1/2028,#N/A
178,SUP,,,6094,7842,7042,9153,ALVA,OK,"82,087","109,450",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
179,SUP,,,6094,7842,7042,9153,SPRINGFIELD,MO,"111,194","158,849",8/13/2024,1/27/2025,E,1/1/2028,4/1/2029,#N/A
180,SUP,,,6036,6005,7042,9153,JACKSONVILLE,TX,"105,920","151,315",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
181,SUP,,,6036,6005,7042,9153,NEW BOSTON,TX,"108,549","155,070",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
182,SUP,,,6018,7842,7067,9153,GREENVILLE,MS,"142,917","204,167",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
183,SUP,,,6011,7842,7067,9153,LOUISVILLE,MS,"74,778","99,704",8/13/2024,1/27/2025,A,2/29/2024,9/12/2025,1/12/2027
184,SUP,,,6035,7842,7042,9193,BLUE SPRINGS,MO,"142,164","203,091",8/13/2024,1/27/2025,E,8/15/2024,1/26/2026,5/26/2027
185,SUP,,,6068,7842,7042,9153,GAINESVILLE,TX,"145,602","208,003",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
186,SUP,,,6035,7842,7042,9193,EL DORADO,KS,"131,206","187,437",8/13/2024,1/27/2025,B,8/15/2024,1/26/2026,5/26/2027
188,SUP,,,6069,7842,7067,9193,CAPE GIRARDEAU,MO,"120,438","172,054",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
