Store#,Space?
834,Yes
835,Yes
836,Yes
839,Yes
842,Yes
844,Yes
847,Yes
848,Yes
851,Yes
852,Yes
859,Yes
860,Yes
861,Yes
863,Yes
866,Yes
868,Yes
874,Yes
877,Yes
879,Yes
882,Yes
888,Yes
891,Yes
902,Yes
903,Yes
904,Yes
911,Yes
916,Yes
919,Yes
923,Yes
933,Yes
938,Yes
940,Yes
944,Yes
945,Yes
947,Yes
950,Yes
952,Yes
954,Yes
962,Yes
964,Yes
966,Yes
967,Yes
968,Yes
969,Yes
972,Yes
982,Yes
985,Yes
991,Yes
995,Yes
999,Yes
1000,Yes
1004,Yes
1005,Yes
1007,Yes
1013,Yes
1014,Yes
1015,Yes
1017,Yes
1021,Yes
1023,Yes
1027,Yes
1032,Yes
1034,Yes
1035,Yes
1037,Yes
1038,Yes
1043,Yes
1044,Yes
1045,Yes
1047,Yes
1048,Yes
1051,Yes
1052,Yes
1053,Yes
1055,Yes
1062,Yes
1064,Yes
1066,Yes
1069,Yes
1070,Yes
1071,Yes
1072,Yes
1073,Yes
1074,Yes
1084,Yes
1088,Yes
1093,Yes
1094,Yes
1095,Yes
1099,Yes
1100,Yes
1102,Yes
1103,Yes
1104,Yes
1106,Yes
1107,Yes
1110,Yes
1111,Yes
1113,Yes
1115,Yes
1116,Yes
1120,Yes
1121,Yes
1122,Yes
1124,Yes
1126,Yes
1135,Yes
1136,Yes
1137,Yes
1139,Yes
1140,Yes
1142,Yes
1144,Yes
1146,Yes
1147,Yes
1150,Yes
1151,Yes
1152,Yes
1154,Yes
1156,Yes
1161,Yes
1163,Yes
1164,Yes
1165,Yes
1171,Yes
1179,Yes
1180,Yes
1181,Yes
1183,Yes
1186,Yes
1187,Yes
1192,Yes
1193,Yes
1196,Yes
1197,Yes
1201,Yes
1202,Yes
1204,Yes
1206,Yes
1207,Yes
1210,Yes
1214,Yes
1217,Yes
1222,Yes
1223,Yes
1224,Yes
1225,Yes
1226,Yes
1228,Yes
1233,Yes
1236,Yes
1237,Yes
1239,Yes
1244,Yes
1247,Yes
1248,Yes
1249,Yes
1252,Yes
1256,Yes
1259,Yes
1263,Yes
1271,Yes
1272,Yes
1277,Yes
1282,Yes
1288,Yes
1289,Yes
1292,Yes
1294,Yes
1295,Yes
1298,Yes
1302,Yes
1303,Yes
1306,Yes
1309,Yes
1310,Yes
1311,Yes
1314,Yes
1316,Yes
1317,Yes
1318,Yes
1320,Yes
1321,Yes
1327,Yes
1328,Yes
1329,Yes
1337,Yes
1344,Yes
1352,Yes
1353,Yes
1354,Yes
1358,Yes
1362,Yes
1366,Yes
1374,Yes
1378,Yes
1379,Yes
1382,Yes
1383,Yes
1384,Yes
1385,Yes
1394,Yes
1403,Yes
1405,Yes
1406,Yes
1407,Yes
1411,Yes
1412,Yes
1422,Yes
1423,Yes
1424,Yes
1426,Yes
1428,Yes
1430,Yes
1432,Yes
1433,Yes
1434,Yes
1437,Yes
1440,Yes
1442,Yes
1444,Yes
1459,Yes
1461,Yes
1462,Yes
1466,Yes
1467,Yes
1472,Yes
1473,Yes
1476,Yes
1481,Yes
1486,Yes
1488,Yes
1493,Yes
1499,Yes
1509,Yes
1510,Yes
1513,Yes
1515,Yes
1521,Yes
1524,Yes
1535,Yes
1540,Yes
1542,Yes
1546,Yes
1551,Yes
1557,Yes
1558,Yes
1561,Yes
1564,Yes
1567,Yes
1569,Yes
1571,Yes
1574,Yes
1580,Yes
1581,Yes
1583,Yes
1593,Yes
1595,Yes
1601,Yes
1603,Yes
1611,Yes
1613,Yes
1618,Yes
1621,Yes
1623,Yes
1627,Yes
1629,Yes
1630,Yes
1631,Yes
1635,Yes
1638,Yes
1639,Yes
1641,Yes
1642,Yes
1646,Yes
1649,Yes
1652,Yes
1655,Yes
1656,Yes
1658,Yes
1659,Yes
1662,Yes
1668,Yes
1672,Yes
1674,Yes
1676,Yes
1677,Yes
1688,Yes
1689,Yes
1693,Yes
1694,Yes
1695,Yes
1696,Yes
1699,Yes
1703,Yes
1705,Yes
1708,Yes
1712,Yes
1714,Yes
1720,Yes
1722,Yes
1726,Yes
1734,Yes
1740,Yes
1743,Yes
1747,Yes
1754,Yes
1761,Yes
1763,Yes
1769,Yes
1770,Yes
1771,Yes
1774,Yes
1783,Yes
1784,Yes
1787,Yes
1799,Yes
1800,Yes
1803,Yes
1805,Yes
1806,Yes
1811,Yes
1814,Yes
1820,Yes
1828,Yes
1831,Yes
1832,Yes
1833,Yes
1847,Yes
1849,Yes
1850,Yes
1851,Yes
1858,Yes
1862,Yes
1872,Yes
1874,Yes
1880,Yes
1885,Yes
1888,Yes
1889,Yes
1890,Yes
1892,Yes
1896,Yes
1901,Yes
1910,Yes
1913,Yes
1914,Yes
1923,Yes
1925,Yes
1926,Yes
1928,Yes
1931,Yes
1935,Yes
1936,Yes
1948,Yes
1950,Yes
1955,Yes
1959,Yes
1969,Yes
1973,Yes
1974,Yes
1976,Yes
1979,Yes
1981,Yes
1987,Yes
1991,Yes
1994,Yes
1995,Yes
1996,Yes
1997,Yes
2000,Yes
2001,Yes
2003,Yes
2008,Yes
2013,Yes
2027,Yes
2030,Yes
2032,Yes
2037,Yes
2039,Yes
2040,Yes
2054,Yes
2058,Yes
2059,Yes
2061,Yes
2062,Yes
2073,Yes
2074,Yes
2075,Yes
2083,Yes
2084,Yes
2086,Yes
2092,Yes
2100,Yes
2101,Yes
2102,Yes
2113,Yes
2121,Yes
2124,Yes
2126,Yes
2135,Yes
2136,Yes
2140,Yes
2141,Yes
2142,Yes
2143,Yes
2152,Yes
2157,Yes
2160,Yes
2178,Yes
2181,Yes
2183,Yes
2209,Yes
2210,Yes
2213,Yes
2234,Yes
2237,Yes
2241,Yes
2249,Yes
2250,Yes
2252,Yes
2256,Yes
2262,Yes
2264,Yes
2265,Yes
2269,Yes
2270,Yes
2273,Yes
2276,Yes
2281,Yes
2288,Yes
2289,Yes
2293,Yes
2306,Yes
2310,Yes
2311,Yes
2320,Yes
2333,Yes
2334,Yes
2339,Yes
2350,Yes
2351,Yes
2354,Yes
2358,Yes
2367,Yes
2370,Yes
2377,Yes
2378,Yes
2380,Yes
2382,Yes
2383,Yes
2388,Yes
2400,Yes
2424,Yes
2426,Yes
2438,Yes
2446,Yes
2447,Yes
2452,Yes
2460,Yes
2469,Yes
2481,Yes
2485,Yes
2493,Yes
2496,Yes
2497,Yes
2504,Yes
2505,Yes
2510,Yes
2515,Yes
2520,Yes
2532,Yes
2533,Yes
2534,Yes
2535,Yes
2540,Yes
2543,Yes
2544,Yes
2550,Yes
2554,Yes
2559,Yes
2562,Yes
2563,Yes
2564,Yes
2567,Yes
2572,Yes
2580,Yes
2588,Yes
2596,Yes
2597,Yes
2599,Yes
2603,Yes
2607,Yes
2608,Yes
2611,Yes
2612,Yes
2613,Yes
2615,Yes
2616,Yes
2619,Yes
2620,Yes
2624,Yes
2626,Yes
2640,Yes
2641,Yes
2644,Yes
2645,Yes
2653,Yes
2656,Yes
2658,Yes
2665,Yes
2672,Yes
2677,Yes
2682,Yes
2684,Yes
2687,Yes
2692,Yes
2693,Yes
2696,Yes
2703,Yes
2708,Yes
2713,Yes
2715,Yes
2716,Yes
2717,Yes
2722,Yes
2723,Yes
2727,Yes
2730,Yes
2732,Yes
2749,Yes
2751,Yes
2752,Yes
2754,Yes
2760,Yes
2761,Yes
2767,Yes
2768,Yes
2771,Yes
2772,Yes
2777,Yes
2778,Yes
2781,Yes
2782,Yes
2786,Yes
2787,Yes
2788,Yes
2792,Yes
2793,Yes
2794,Yes
2804,Yes
2807,Yes
2810,Yes
2812,Yes
2814,Yes
2817,Yes
2820,Yes
2827,Yes
2828,Yes
2831,Yes
2846,Yes
2847,Yes
2849,Yes
2852,Yes
2857,Yes
2860,Yes
2864,Yes
2865,Yes
2869,Yes
2872,Yes
2873,Yes
2874,Yes
2886,Yes
2889,Yes
2892,Yes
2902,Yes
2910,Yes
2911,Yes
2912,Yes
2921,Yes
2924,Yes
2927,Yes
2931,Yes
2933,Yes
2935,Yes
2937,Yes
2946,Yes
2950,Yes
2953,Yes
2955,Yes
2963,Yes
2964,Yes
3017,Yes
3057,Yes
3058,Yes
3059,Yes
3075,Yes
3088,Yes
3103,Yes
3106,Yes
3112,Yes
3119,Yes
3137,Yes
3159,Yes
3188,Yes
3201,Yes
3205,Yes
3213,Yes
3215,Yes
3217,Yes
3219,Yes
3228,Yes
3230,Yes
3232,Yes
3234,Yes
3235,Yes
3236,Yes
3237,Yes
3239,Yes
3241,Yes
3245,Yes
3265,Yes
3268,Yes
3269,Yes
3270,Yes
3271,Yes
3281,Yes
3285,Yes
3298,Yes
3303,Yes
3305,Yes
3311,Yes
3319,Yes
3324,Yes
3328,Yes
3329,Yes
3332,Yes
3334,Yes
3336,Yes
3351,Yes
3362,Yes
3366,Yes
3367,Yes
3372,Yes
3380,Yes
3382,Yes
3384,Yes
3386,Yes
3389,Yes
3390,Yes
3397,Yes
3402,Yes
3430,Yes
3432,Yes
3433,Yes
3439,Yes
3445,Yes
3447,Yes
3453,Yes
3454,Yes
3461,Yes
3463,Yes
3467,Yes
3469,Yes
3472,Yes
3474,Yes
3487,Yes
3499,Yes
3500,Yes
3501,Yes
3503,Yes
3518,Yes
3520,Yes
3529,Yes
3533,Yes
3540,Yes
3543,Yes
3556,Yes
3558,Yes
3560,Yes
3561,Yes
3572,Yes
3581,Yes
3582,Yes
3585,Yes
3607,Yes
3609,Yes
3612,Yes
3616,Yes
3623,Yes
3633,Yes
3644,Yes
3660,Yes
3700,Yes
3701,Yes
3705,Yes
3726,Yes
3730,Yes
3733,Yes
3734,Yes
3738,Yes
3747,Yes
3748,Yes
3749,Yes
3750,Yes
3754,Yes
3764,Yes
3770,Yes
3771,Yes
3784,Yes
3785,Yes
3786,Yes
3794,Yes
3799,Yes
3801,Yes
3802,Yes
3805,Yes
3823,Yes
3826,Yes
3828,Yes
3829,Yes
3838,Yes
3842,Yes
3848,Yes
3851,Yes
3852,Yes
3853,Yes
3860,Yes
3861,Yes
3868,Yes
3886,Yes
3891,Yes
4049,Yes
4064,Yes
4102,Yes
4103,Yes
4108,Yes
4115,Yes
4118,Yes
4131,Yes
4137,Yes
4165,Yes
4166,Yes
4176,Yes
4183,Yes
4187,Yes
4194,Yes
4195,Yes
4200,Yes
4209,Yes
4216,Yes
4224,Yes
4230,Yes
4235,Yes
4239,Yes
4243,Yes
4244,Yes
4249,Yes
4252,Yes
4253,Yes
4256,Yes
4259,Yes
4262,Yes
4274,Yes
4277,Yes
4279,Yes
4281,Yes
4298,Yes
4323,Yes
4333,Yes
4334,Yes
4336,Yes
4340,Yes
4350,Yes
4372,Yes
4383,Yes
4387,Yes
4389,Yes
4392,Yes
4395,Yes
4399,Yes
4403,Yes
4412,Yes
4414,Yes
4423,Yes
4424,Yes
4450,Yes
4471,Yes
4472,Yes
4474,Yes
4475,Yes
4477,Yes
4483,Yes
4497,Yes
4501,Yes
4511,Yes
4512,Yes
4514,Yes
4526,Yes
4531,Yes
4533,Yes
4538,Yes
4564,Yes
4570,Yes
4581,Yes
4590,Yes
4594,Yes
4609,Yes
4611,Yes
4623,Yes
4636,Yes
4643,Yes
4644,Yes
4660,Yes
4664,Yes
4679,Yes
4695,Yes
4865,Yes
5025,Yes
5029,Yes
5034,Yes
5045,Yes
5046,Yes
5064,Yes
5091,Yes
5105,Yes
5115,Yes
5116,Yes
5118,Yes
5124,Yes
5127,Yes
5133,Yes
5137,Yes
5155,Yes
5157,Yes
5165,Yes
5167,Yes
5168,Yes
5172,Yes
5174,Yes
5175,Yes
5189,Yes
5193,Yes
5196,Yes
5199,Yes
5203,Yes
5216,Yes
5231,Yes
5232,Yes
5234,Yes
5235,Yes
5263,Yes
5264,Yes
5266,Yes
5270,Yes
5278,Yes
5295,Yes
5298,Yes
5301,Yes
5303,Yes
5326,Yes
5330,Yes
5331,Yes
5334,Yes
5346,Yes
5352,Yes
5363,Yes
5376,Yes
5379,Yes
5382,Yes
5386,Yes
5389,Yes
5392,Yes
5394,Yes
5403,Yes
5409,Yes
5410,Yes
5411,Yes
5417,Yes
5418,Yes
5422,Yes
5424,Yes
5425,Yes
5428,Yes
5438,Yes
5443,Yes
5444,Yes
5466,Yes
5470,Yes
5472,Yes
5483,Yes
5488,Yes
5491,Yes
5498,Yes
5499,Yes
5612,Yes
5626,Yes
5669,Yes
5703,Yes
5705,Yes
5707,Yes
5709,Yes
5717,Yes
5731,Yes
5735,Yes
5745,Yes
5763,Yes
5764,Yes
5777,Yes
5779,Yes
5806,Yes
5809,Yes
5823,Yes
5839,Yes
5847,Yes
5851,Yes
5929,Yes
5947,Yes
5956,Yes
5957,Yes
5992,Yes
6173,Yes
6370,Yes
6392,Yes
6476,Yes
6576,Yes
6579,Yes
6789,Yes
6878,Yes
6887,Yes
6929,Yes
6930,Yes
6952,Yes
6964,Yes
7009,Yes
7156,Yes
7194,Yes
7280,Yes
7290,Yes
7294,Yes
7326,Yes
