Store,City,ST,Region,Ops Manager,Tire Capacity,Total Inventory,Ttl Replen. Inventory,Tires on Demand ,Non Mod Tires,L52 Avg Units,Last Week Units,4 Tire Instock,Total Valid,Total Traited,,
120,HUMBOLDT,TN,41,JEFF KENNEDY,1320,864,768,45,49, 85 , 81 ,83.9%,150,157,,
121,OKMULGEE,OK,44,MONICA REED,855,805,695,23,85, 112 , 96 ,81.8%,126,139,,
123,SEMINOLE,OK,44,MONICA REED,498,412,385,15,10, 74 , 78 ,69.4%,88,91,,
124,LITTLE ROCK,AR,42,NATHAN STINES,780,756,652,29,73, 99 , 95 ,84.8%,124,127,,
125,FORT SMITH,AR,42,NATHAN STINES,662,638,520,50,66, 118 , 122 ,76.8%,106,112,,
127,MALVERN,AR,42,NATHAN STINES,1320,988,854,39,93, 110 , 94 ,86.4%,156,165,,
128,JONESBORO,AR,12,NATHAN STINES,616,654,561,31,60, 58 , 22 ,91.0%,95,102,,
129,ARDMORE,OK,44,MONICA REED,855,1022,770,141,109, 136 , 125 ,82.7%,137,144,,
130,MUSKOGEE,OK,44,MONICA REED,1120,878,782,17,77, 108 , 106 ,80.0%,148,157,,
131,MOUNT PLEASANT,TX,44,MONICA REED,915,662,612,20,28, 63 , 53 ,85.7%,119,124,,
135,CHILLICOTHE,MO,40,JEFF KENNEDY,1320,1096,876,89,129, 118 , 106 ,89.7%,152,164,,
137,STILLWATER,OK,44,MONICA REED,915,819,720,28,69, 111 , 133 ,82.8%,139,144,,
138,SPRINGFIELD,MO,40,JEFF KENNEDY,1320,952,795,53,102, 87 , 100 ,76.4%,160,167,,
139,PURCELL,OK,44,MONICA REED,1320,801,735,39,25, 65 , 66 ,83.3%,141,148,,
140,LUFKIN,TX,6,MONICA REED,1320,803,780,7,14, 81 , 67 ,83.9%,153,159,,
141,FORT SMITH,AR,42,NATHAN STINES,662,639,564,21,52, 119 , 121 ,81.4%,106,110,,
143,BENTON,KY,41,JEFF KENNEDY,855,680,636,16,26, 78 , 61 ,83.8%,124,130,,
144,FAYETTEVILLE,AR,42,NATHAN STINES,1320,1068,874,89,103, 154 , 103 ,88.2%,167,172,,
147,DENISON,TX,44,MONICA REED,915,729,645,35,47, 79 , 113 ,80.0%,128,136,,
148,PARIS,TX,44,MONICA REED,915,825,750,49,24, 136 , 118 ,82.7%,143,143,,
150,WOODWARD,OK,44,MONICA REED,700,610,487,69,52, 75 , 71 ,75.8%,110,113,,
151,MCALESTER,OK,44,MONICA REED,1000,858,740,41,75, 108 , 107 ,82.9%,139,147,,
152,DE SOTO,MO,40,JEFF KENNEDY,1200,829,717,30,80, 86 , 78 ,86.8%,145,153,,
153,NEW ALBANY,MS,12,NATHAN STINES,780,600,557,13,28, 110 , 98 ,76.9%,113,120,,
154,ABINGDON,VA,20,JEFF KENNEDY,1000,908,737,73,96, 80 , 53 ,93.1%,137,141,,
155,SENATOBIA,MS,12,NATHAN STINES,662,635,510,52,71, 104 , 73 ,84.2%,102,105,,
157,SEARCY,AR,42,NATHAN STINES,1000,1015,838,76,99, 123 , 85 ,84.2%,150,156,,
159,COLUMBIA,MO,40,JEFF KENNEDY,915,664,552,61,49, 78 , 67 ,63.0%,135,135,,
160,ASH FLAT,AR,42,NATHAN STINES,1120,888,741,47,98, 127 , 137 ,81.5%,141,150,,
163,NACOGDOCHES,TX,6,MONICA REED,915,791,716,39,34, 103 , 97 ,83.7%,131,135,,
164,PONTOTOC,MS,12,NATHAN STINES,1320,804,762,20,20, 128 , 78 ,82.1%,153,164,,
165,HENDERSON,TX,5,MONICA REED,662,478,431,25,20, 44 , 72 ,83.1%,90,94,,
167,CROSSETT,AR,42,NATHAN STINES,915,670,612,21,35, 68 , 75 ,83.2%,120,130,,
168,OWASSO,OK,44,MONICA REED,1320,823,757,7,57, 63 , 35 ,90.2%,144,149,,
170,NATCHITOCHES,LA,13,MONICA REED,1000,977,797,56,122, 152 , 136 ,84.8%,144,149,,
171,CAMDEN,AR,42,NATHAN STINES,915,644,578,27,37, 82 , 71 ,75.7%,118,127,,
172,WASHINGTON,MO,40,JEFF KENNEDY,1320,947,840,30,75, 153 , 177 ,80.3%,163,171,,
174,COCOA,FL,9,NATHAN STINES,780,791,728,29,32, 93 , 85 ,81.7%,116,121,,
175,COLLIERVILLE,TN,12,NATHAN STINES,780,596,555,24,15, 88 , 100 ,74.5%,115,123,,
177,PARIS,TN,41,JEFF KENNEDY,662,723,550,113,58, 133 , 115 ,74.3%,107,110,,
179,SPRINGFIELD,MO,40,JEFF KENNEDY,1320,1096,966,34,94, 112 , 101 ,84.0%,155,169,,
180,JACKSONVILLE,TX,5,MONICA REED,780,612,533,40,37, 56 , 47 ,81.0%,105,111,,
181,NEW BOSTON,TX,44,MONICA REED,1320,823,779,8,34, 88 , 91 ,83.9%,147,159,,
182,GREENVILLE,MS,12,NATHAN STINES,915,813,705,27,79, 145 , 98 ,81.8%,131,136,,
184,BLUE SPRINGS,MO,40,JEFF KENNEDY,1000,847,731,52,62, 138 , 123 ,73.9%,144,154,,
185,GAINESVILLE,TX,44,MONICA REED,1120,782,743,14,23, 97 , 116 ,83.6%,143,150,,
186,EL DORADO,KS,44,MONICA REED,1320,1077,909,73,93, 103 , 99 ,87.2%,164,168,,
188,CAPE GIRARDEAU,MO,40,JEFF KENNEDY,855,740,644,19,75, 127 , 152 ,77.7%,123,133,,
189,KIRKSVILLE,MO,40,JEFF KENNEDY,1120,922,821,26,73, 90 , 85 ,85.4%,149,152,,
190,KENNETT,MO,12,NATHAN STINES,915,817,662,84,69, 124 , 128 ,81.0%,130,140,,
192,COLUMBIA,TN,12,NATHAN STINES,1320,913,863,29,19, 144 , 118 ,80.0%,159,168,,
194,BAYTOWN,TX,6,MONICA REED,915,687,561,80,44, 79 , 64 ,79.6%,115,124,,
195,EXCELSIOR SPRINGS,MO,40,JEFF KENNEDY,1320,907,744,45,116, 81 , 104 ,79.3%,150,159,,
196,CARBONDALE,IL,25,JEFF KENNEDY,915,887,750,81,54, 104 , 80 ,88.5%,135,141,,
197,MACOMB,IL,25,JEFF KENNEDY,915,767,688,47,30, 115 , 105 ,78.1%,138,143,,
198,SALEM,IL,25,JEFF KENNEDY,915,827,673,68,84, 77 , 67 ,88.5%,128,135,,
199,LINCOLN,IL,25,JEFF KENNEDY,1320,767,678,48,39, 66 , 86 ,77.1%,148,156,,
200,JACKSONVILLE,IL,25,JEFF KENNEDY,1320,988,887,26,73, 184 , 172 ,84.0%,157,170,,
201,BELLEVILLE,IL,25,JEFF KENNEDY,1320,905,821,49,33, 128 , 152 ,79.3%,160,167,,
202,FRISCO,TX,5,MONICA REED,1000,829,743,22,62, 67 , 69 ,91.9%,127,129,,
204,PRINCETON,KY,41,JEFF KENNEDY,1200,929,808,27,92, 136 , 115 ,84.1%,157,161,,
205,PHILADELPHIA,MS,14,NATHAN STINES,855,683,617,6,58, 114 , 112 ,80.9%,120,133,,
206,MCKINNEY,TX,5,MONICA REED,915,604,562,15,25, 89 , 73 ,71.4%,127,132,,
211,HILLSBORO,TX,5,MONICA REED,550,489,408,34,45, 55 , 49 ,90.0%,80,91,,
212,NORMAN,OK,44,MONICA REED,662,534,486,20,26, 57 , 38 ,84.0%,95,102,,
213,LITCHFIELD,IL,25,JEFF KENNEDY,662,676,577,38,59, 105 , 91 ,83.7%,105,109,,
214,JASPER,TX,6,MONICA REED,1000,753,688,30,33, 101 , 83 ,82.1%,130,139,,
216,MARION,IL,25,JEFF KENNEDY,1320,1065,937,22,104, 152 , 125 ,88.2%,162,171,,
217,LEWISVILLE,TX,5,MONICA REED,780,678,615,30,31, 73 , 64 ,82.4%,114,116,,
218,SELMER,TN,12,NATHAN STINES,616,564,460,66,36, 69 , 53 ,85.2%,89,96,,
219,SEDALIA,MO,40,JEFF KENNEDY,1120,917,747,59,109, 111 , 110 ,83.9%,147,155,,
220,BURLESON,TX,5,MONICA REED,855,684,626,28,28, 79 , 65 ,85.5%,117,125,,
221,YUKON,OK,44,MONICA REED,616,491,442,14,33, 63 , 55 ,75.0%,98,104,,
222,SPARTA,IL,25,JEFF KENNEDY,662,585,490,51,42, 57 , 45 ,85.2%,95,98,,
224,MOUNT VERNON,IL,25,JEFF KENNEDY,662,590,548,10,30, 68 , 63 ,84.5%,101,103,,
226,ATLANTA,TX,44,MONICA REED,550,449,402,25,20, 64 , 49 ,82.1%,86,88,,
227,EL RENO,OK,44,MONICA REED,662,628,535,32,59, 82 , 60 ,91.5%,97,103,,
228,CLEBURNE,TX,5,MONICA REED,855,657,633,11,11, 78 , 74 ,81.4%,122,128,,
231,ADA,OK,44,MONICA REED,1000,862,708,81,71, 126 , 114 ,82.0%,142,147,,
234,KANSAS CITY,MO,40,JEFF KENNEDY,1320,1011,842,65,102, 91 , 113 ,82.6%,160,168,,
237,HARRISBURG,IL,25,JEFF KENNEDY,1000,882,781,36,63, 139 , 131 ,85.1%,145,152,,
238,PULASKI,TN,12,NATHAN STINES,662,585,493,44,46, 111 , 110 ,77.1%,101,106,,
243,WENTZVILLE,MO,40,JEFF KENNEDY,1000,868,735,40,91, 90 , 83 ,86.8%,140,149,,
246,SKIATOOK,OK,44,MONICA REED,915,680,608,10,60, 45 , 33 ,88.1%,118,123,,
248,MEXIA,TX,5,MONICA REED,1200,826,699,43,82, 91 , 86 ,83.2%,147,158,,
249,CLEVELAND,TX,6,MONICA REED,1320,999,859,15,123, 85 , 78 ,89.2%,157,166,,
251,MINEOLA,TX,5,MONICA REED,915,743,679,25,37, 109 , 96 ,78.7%,129,137,,
253,JERSEYVILLE,IL,25,JEFF KENNEDY,780,630,577,37,14, 97 , 92 ,78.1%,117,123,,
254,OLNEY,IL,25,JEFF KENNEDY,616,528,489,16,21, 38 , 41 ,90.7%,91,96,,
256,GLEN CARBON,IL,25,JEFF KENNEDY,662,629,556,29,42, 107 , 86 ,79.2%,106,108,,
258,TUPELO,MS,12,NATHAN STINES,1120,905,768,32,103, 145 , 110 ,86.2%,146,153,,
259,ROCKWALL,TX,5,MONICA REED,780,727,628,55,42, 80 , 80 ,75.7%,127,127,,
260,WAXAHACHIE,TX,5,MONICA REED,616,681,486,122,71, 79 , 80 ,78.4%,99,99,,
261,HOT SPRINGS,AR,42,NATHAN STINES,1320,1100,934,35,129, 144 , 174 ,89.9%,157,167,,
262,BENTON,IL,25,JEFF KENNEDY,1320,768,703,36,27, 96 , 109 ,73.0%,157,164,,
264,DICKSON,TN,12,NATHAN STINES,1120,929,767,80,80, 204 , 163 ,75.7%,158,163,,
265,TERRELL,TX,5,MONICA REED,780,674,630,25,17, 67 , 73 ,84.5%,117,118,,
266,GRAPEVINE,TX,5,MONICA REED,855,597,432,88,75, 54 , 70 ,67.7%,101,109,,
267,WEBB CITY,MO,42,NATHAN STINES,700,530,448,23,57, 81 , 82 ,66.0%,104,106,,
268,SAVANNAH,TN,12,NATHAN STINES,1320,1126,1050,42,32, 134 , 109 ,87.3%,163,170,,
269,LAWTON,OK,44,MONICA REED,700,691,564,63,62, 89 , 60 ,82.8%,100,103,,
272,FRANKLIN,TN,12,NATHAN STINES,1320,861,781,42,36, 102 , 100 ,81.8%,158,163,,
275,LIVINGSTON,TX,6,MONICA REED,915,834,714,26,92, 90 , 82 ,88.5%,133,137,,
277,MOORE,OK,44,MONICA REED,780,543,505,22,14, 80 , 90 ,73.2%,117,123,,
278,SHREVEPORT,LA,42,NATHAN STINES,700,659,561,37,59, 79 , 81 ,85.7%,106,112,,
282,FRANKLIN,KY,41,JEFF KENNEDY,700,668,583,36,47, 91 , 69 ,83.5%,107,110,,
284,MANSFIELD,TX,5,MONICA REED,700,610,543,35,30, 77 , 90 ,77.4%,98,101,,
285,HUNTSVILLE,TX,6,MONICA REED,1000,904,796,7,99, 127 , 115 ,90.6%,132,143,,
286,ENNIS,TX,5,MONICA REED,1200,826,775,23,26, 70 , 64 ,86.3%,141,146,,
287,JASPER,AL,14,NATHAN STINES,1320,868,692,68,106, 166 , 133 ,67.6%,159,167,,
288,WOODVILLE,TX,6,MONICA REED,915,652,633,8,9, 73 , 62 ,87.0%,123,128,,
290,GONZALES,TX,6,MONICA REED,400,532,373,56,101, 56 , 53 ,86.2%,71,75,,
292,LOCKHART,TX,6,MONICA REED,498,497,337,108,50, 59 , 68 ,75.0%,76,80,,
294,CENTRAL CITY,KY,41,JEFF KENNEDY,700,602,537,19,44, 69 , 46 ,84.3%,103,107,,
295,EUREKA,MO,40,JEFF KENNEDY,915,763,653,32,76, 97 , 70 ,83.7%,131,135,,
297,PORTER,TX,6,MONICA REED,915,706,622,40,42, 99 , 91 ,84.0%,125,131,,
298,BOAZ,AL,12,NATHAN STINES,915,603,474,58,69, 83 , 83 ,65.2%,119,129,,
299,BOWLING GREEN,KY,41,JEFF KENNEDY,1000,915,815,15,83, 161 , 140 ,81.9%,146,153,,
300,JACKSONVILLE,AL,14,NATHAN STINES,780,567,461,51,53, 100 , 104 ,60.7%,119,124,,
301,GADSDEN,AL,14,NATHAN STINES,1000,733,597,52,82, 88 , 73 ,71.9%,136,142,,
302,MURPHYSBORO,IL,25,JEFF KENNEDY,1320,881,789,16,74, 98 , 74 ,87.2%,159,166,,
304,SPRINGFIELD,TN,12,NATHAN STINES,1320,942,854,25,61, 112 , 102 ,84.6%,161,163,,
306,ARAB,AL,12,NATHAN STINES,915,701,535,62,102, 89 , 79 ,66.7%,135,138,,
307,WEST MONROE,LA,42,NATHAN STINES,662,570,484,5,79, 79 , 78 ,81.5%,102,104,,
308,MANCHESTER,TN,41,JEFF KENNEDY,1320,750,719,10,19, 112 , 91 ,70.7%,157,165,,
309,ABBEVILLE,LA,13,MONICA REED,780,586,543,17,24, 84 , 89 ,78.3%,112,118,,
310,CROWLEY,LA,13,MONICA REED,1000,865,760,17,86, 137 , 131 ,80.3%,141,147,,
312,VILLE PLATTE,LA,13,MONICA REED,915,636,582,34,18, 76 , 89 ,77.8%,123,130,,
313,HIGH RIDGE,MO,40,JEFF KENNEDY,662,558,487,19,50, 66 , 65 ,82.2%,94,98,,
314,FAYETTEVILLE,TN,12,NATHAN STINES,1000,656,616,18,20, 118 , 125 ,68.8%,134,143,,
315,ONEONTA,AL,14,NATHAN STINES,662,591,448,69,72, 86 , 72 ,70.8%,104,107,,
316,ATTALLA,AL,14,NATHAN STINES,616,538,393,64,79, 52 , 37 ,69.0%,86,96,,
317,VANDALIA,IL,25,JEFF KENNEDY,1120,887,796,24,65, 79 , 68 ,89.0%,145,148,,
318,ARKADELPHIA,AR,42,NATHAN STINES,700,756,578,72,104, 97 , 97 ,92.4%,100,108,,
319,RAYMORE,MO,40,JEFF KENNEDY,1000,762,702,45,13, 98 , 82 ,80.7%,140,146,,
320,MARLIN,TX,5,MONICA REED,498,399,296,58,43, 20 , 15 ,82.7%,55,58,,
321,BRENHAM,TX,6,MONICA REED,915,678,636,16,24, 67 , 76 ,82.2%,130,133,,
322,BRYAN,TX,6,MONICA REED,780,642,606,20,14, 106 , 119 ,77.3%,121,122,,
324,BRISTOW,OK,44,MONICA REED,1200,853,732,48,71, 62 , 76 ,88.4%,138,147,,
325,RICHMOND,MO,40,JEFF KENNEDY,1200,858,751,31,74, 86 , 86 ,77.9%,149,158,,
326,HIGGINSVILLE,MO,40,JEFF KENNEDY,662,569,490,37,40, 46 , 37 ,89.8%,92,96,,
328,WATERLOO,IL,25,JEFF KENNEDY,662,612,551,36,23, 72 , 51 ,93.8%,98,99,,
329,ANNISTON,AL,14,NATHAN STINES,616,400,326,28,44, 61 , 86 ,63.4%,88,92,,
330,VICTORIA,TX,6,MONICA REED,855,621,508,13,98, 41 , 50 ,84.0%,103,106,,
331,SULPHUR,LA,13,MONICA REED,915,666,598,41,25, 101 , 98 ,73.1%,128,135,,
332,HUNTSVILLE,AL,12,NATHAN STINES,780,608,505,52,49, 77 , 59 ,72.1%,114,116,,
333,BEAVER DAM,KY,41,JEFF KENNEDY,780,761,636,28,95, 116 , 98 ,80.2%,119,127,,
335,JACKSON,TN,41,JEFF KENNEDY,915,846,797,27,20, 121 , 118 ,85.5%,141,143,,
338,LAMAR,MO,42,NATHAN STINES,498,464,406,13,43, 49 , 48 ,85.1%,74,75,,
340,CHECOTAH,OK,44,MONICA REED,855,825,700,38,85, 108 , 74 ,84.6%,124,133,,
342,HIAWATHA,KS,47,GEORGE WHEATLEY,1320,767,706,7,52, 73 , 70 ,84.2%,144,151,,
343,TAYLORVILLE,IL,25,JEFF KENNEDY,616,638,528,61,47, 93 , 76 ,86.0%,97,101,,
344,EL CAMPO,TX,6,MONICA REED,1320,812,727,27,56, 73 , 55 ,78.0%,153,159,,
345,PALESTINE,TX,5,MONICA REED,616,618,546,30,40, 91 , 70 ,86.2%,94,99,,
347,INDIANOLA,MS,12,NATHAN STINES,1320,849,766,47,34, 83 , 71 ,88.4%,137,145,,
348,MONTICELLO,AR,42,NATHAN STINES,616,490,432,21,35, 75 , 72 ,78.3%,91,97,,
350,YORK,NE,47,GEORGE WHEATLEY,915,723,613,19,89, 54 , 70 ,83.2%,124,135,,
351,TOMBALL,TX,6,MONICA REED,1000,724,635,15,72, 59 , 75 ,90.9%,118,122,,
353,GRAHAM,TX,5,MONICA REED,1000,817,717,9,89, 72 , 86 ,82.8%,144,151,,
