Store,BU,Reg,Mkt,Store_nbr,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Total
27,NORTH BU,40,357,27,,,,,657,2133,2575.4,2394.75,2798.31,3614.35,5088.8,4145.295,23406.905
28,SOUTHWEST BU,44,347,28,10052.95,10869.05,9290.92,9588.25,12919.3,13452.95,14011.21,14226.23,15103.93,16968.86,23686.165,21372.99,171542.805
29,NORTH BU,40,336,29,14518.6,15085.75,13777.96,14272.68,19091.35,18514.65,19610.25,18172.55,17881.86,19591.64,29182.21,22004.84,221704.34
30,NORTH BU,40,335,30,2471.35,4365.45,4508.15,5490.25,6979.3,7349.55,9399.25,10246.96,9672.21,11025.95,16231.755,16025.815,103765.99
31,SOUTHWEST BU,44,351,31,6328.05,6406.6,6978.75,6479.76,9223.3,11315,12696.6,13029.33,11982.69,13818.05,24528.3,22182.955,144969.385
32,NORTH BU,40,333,32,2810.35,4199.3,3971.16,4847.3,8018.55,8876.5,6802.45,4287.15,4376.75,5792.55,8376.69,5896.555,68255.305
33,SOUTHEAST BU,42,325,33,,,,209.05,1285.55,2015.45,3716,4034.16,4319.57,5789.78,6431.14,6277.1,34077.8
34,SOUTHEAST BU,42,334,34,4555.55,5707.55,5742.41,5724.95,7263.95,7692.45,8980.15,9565.12,9191.94,10974.83,16216.095,16696.87,108311.865
35,WEST BU,47,407,35,11230.3,12728.7,11847.51,12971.95,17396.9,17239.65,20283.65,19671.21,19175.67,20689.32,28004.015,20434.57,211673.445
36,SOUTHEAST BU,11,329,36,20111.55,22239.85,22833.97,25863.8,30005.35,28713.4,30019.15,29747.06,31391.65,34530.045,48473.87,39405.855,363335.55
37,NORTH BU,40,335,37,21847.15,22840.4,20883.73,22784.8,29237.5,28844.8,28176.3,28424.03,27915.56,30634.095,39211.625,24885.32,325685.31
38,SOUTHWEST BU,44,47,38,2590.45,3137.05,3165.83,2779.7,4052.5,4982.6,6433.1,6171.08,6821.59,9300.04,12255.85,12041.86,73731.65
39,SOUTHWEST BU,44,410,39,3312.65,3998.9,3801.2,4182.5,5475.2,5847.15,6540.25,5948.85,5222.65,5673.47,8493.61,8207.6,66704.03
40,NORTH BU,40,359,40,4158.4,5008.9,4854.41,6359.33,8435.35,8039.45,8552.2,8519.49,8518.07,11060.51,15890.76,13669.4,103066.27
41,SOUTHWEST BU,44,345,41,47036.1,47033.65,43218.65,45986.3,46920.9,55073.75,59366.75,53431.54,50801.875,58502.21,77156.465,65924.84,650453.03
42,SOUTHWEST BU,44,410,42,4077,4962.95,3942.05,4760.4,6484,6560.95,7077.53,6441.64,6336.17,7363.19,10773.27,10121.05,78900.2
43,WEST BU,47,407,43,9777.6,12922.6,11467.85,12339.2,14279.15,12049.15,12293,11189.6,13133.35,14447.88,18871.03,12654.74,155425.15
44,NORTH BU,40,336,44,,,,,,,,,43.49,301.6,595.54,386.08,1326.71
45,SOUTHEAST BU,11,329,45,20196.7,23874.6,25263.83,26212.55,32929.75,30695,34018,33627.44,34201.52,39468.39,51359.26,44692.225,396539.265
46,NORTH BU,40,357,46,8994.55,5247.5,5778.13,6740,7763.9,9503.25,9758.65,12483.23,10839.76,10569.09,16577.55,11637.065,115892.675
47,SOUTHWEST BU,44,351,47,4458.1,5737.3,4957.6,5809.3,6976.6,7562.35,10396.27,9010.29,9539.21,11301.4,15825.44,15097.745,106671.605
48,SOUTHEAST BU,42,334,48,3603.2,4849.4,3923.3,4477.05,6313.1,6604.95,7078.15,6817.47,6422.22,6578.945,10735.07,10211.74,77614.595
49,SOUTHWEST BU,44,47,49,,,,,,,,467.28,1427.89,2282.22,3522.04,3712.14,11411.57
50,SOUTHWEST BU,44,347,50,,,,,,,,794.06,1913.72,3531.18,6506.51,4979.115,17724.585
51,NORTH BU,40,359,51,4748.3,5893.45,6043.4,6880.45,8477.95,9246.05,9726.25,9409.16,9018.06,9963.98,13543.725,11871.265,104822.04
52,SOUTHEAST BU,42,325,52,18555.55,23289.2,20760.04,23667.75,28022.05,28724.2,27668.33,24744.02,26332.89,27129.1,38544.58,29655.185,317092.895
54,SOUTHEAST BU,42,322,54,13148.85,13900.7,12707.25,16012.55,18301.1,15527.3,16962.4,16219.35,16499.53,17800.35,25058.53,21555.2,203693.11
55,SOUTHEAST BU,42,321,55,,,,,407.2,1302.85,3230.26,2970.63,3318.96,3952.39,5299.72,5715.02,26197.03
56,NORTH BU,40,333,56,,,,,,,,,552.86,1457.03,2499.24,3303.3,7812.43
58,SOUTHEAST BU,42,325,58,20047.1,21771.7,23461.63,24675.95,28252.8,29234.25,32921.55,31589.32,32208.03,33848.17,47968.63,38110.89,364090.02
59,SOUTHEAST BU,42,334,59,27722.8,27680,23743.51,24861.84,29039.75,28224.95,30516.55,28522.93,30746.65,33410.34,50873.525,48037.945,383380.79
60,NORTH BU,40,339,60,13467.75,13886.2,14369.76,16247.05,21616.3,21904,25215.9,22924.52,22590.94,23936.19,31470.71,21962.485,249591.805
61,NORTH BU,40,361,61,14038,15383.85,17996.93,16952.72,18552.05,19026.45,21880.75,22517.86,24434.73,26429,36292.27,31409.375,264913.985
62,SOUTHEAST BU,11,329,62,5589.5,7595.45,6803.44,5894.6,6104.85,8374.35,8882.45,8777.85,8307.16,9463.72,12056.44,12522.485,100372.295
63,SOUTHWEST BU,44,347,63,3443.85,4740.6,3892.2,4683.1,5989.05,6436.7,6558.9,6279.6,5979.61,7015.8,9214.78,8487.77,72721.96
64,SOUTHEAST BU,11,146,64,,,,267.25,2195.3,2921.9,3302.25,3662.48,4208.45,4978.01,7223.5,5581.175,34340.315
65,NORTH BU,40,336,65,3075.75,3539.95,3507.12,4262.99,5708.9,6229.8,5566.8,5683.85,6069.68,7245.84,10914.23,9755.75,71560.66
66,SOUTHEAST BU,42,321,66,3955.85,4931.35,5851.36,5234.13,6949.3,8798.15,9356.2,9659.41,9096.27,10705.4,15967.675,13407.1,103912.195
67,SOUTHEAST BU,42,321,67,3483.8,4838.35,4872.59,4907.76,6842.4,7121.45,7284.88,6192.9,6538.7,7501.14,11101.585,10338.3,81023.855
68,SOUTHEAST BU,11,329,68,5015.15,5803.05,5390.05,5860.15,5231.25,5651.75,6647.85,6488.8,6634.78,7508.99,10175.85,9245.19,79652.86
69,NORTH BU,40,335,69,29152.65,28619.25,29063.82,30837.4,38632.2,35382,37102.45,37350.55,39956.05,42005.305,58781.7,37275.805,444159.18
70,SOUTHEAST BU,11,329,70,24418.9,24490.35,22774.73,20351.25,24226.1,26983.525,24223.675,24775.9,27313.68,28346.83,36941.51,28543.645,313390.095
71,SOUTHEAST BU,42,328,71,7546.25,9329,9006.99,9312.8,11617.3,12084.1,16286.15,16869.42,17526.56,20953.03,29303.72,26401.325,186236.645
72,SOUTHWEST BU,44,410,72,7106.9,8054.25,9718.4,11030.75,13079.5,12979.25,16161.02,13342.6,15048.21,16103.625,21834.92,17801.705,162261.13
73,SOUTHWEST BU,44,356,73,15870.15,18793.45,17159.85,14607.2,19787.75,19704.55,20834,19616.72,18648.31,19323.49,26620.01,22819.08,233784.56
74,SOUTHEAST BU,11,329,74,,,,,,,,422.87,1279.55,2454.1,4334,3448.105,11938.625
75,SOUTHWEST BU,13,134,75,18469.3,23947.1,21301.7,23445.2,30488.55,28625.2,34360,36221.96,33517.45,40953.05,53745.055,39329.965,384404.53
76,SOUTHEAST BU,42,322,76,2777.9,2810.7,3028.79,3642.7,4800.5,5800.2,6718.5,7028.1,7447.52,7597.38,11478.87,11684.155,74815.315
77,SOUTHWEST BU,7,83,77,2722.1,3814,3393.39,4803.9,5493.9,5863.65,5699.3,5448.85,5542.25,5208.95,7216.07,7019.32,62225.68
78,NORTH BU,40,357,78,4504.7,4514.6,5018.8,5583.05,9443.25,9467.05,9191.75,8626.12,8430.3,11997.71,13958.1,9641.295,100376.725
79,SOUTHEAST BU,42,334,79,16149.15,20167.95,17727.48,19497,24137.45,24187.6,25894.55,24365.27,23869.5,23510.65,35248.375,32763.19,287518.165
80,NORTH BU,40,359,80,11338.85,11709.75,9940.45,10799.32,12502.55,11721.1,20135.31,19195.83,20641.58,16331.705,21533.785,19696.995,185547.225
81,SOUTHWEST BU,44,347,81,,,,,,,,,293.54,941.55,2745.19,3062.69,7042.97
82,NORTH BU,40,335,82,2495.85,3087.7,2984.13,2985.2,3160.75,3697.55,4904.2,4399.66,2698.87,3135.03,5070.32,3676.69,42295.95
83,SOUTHEAST BU,42,327,83,3152.25,3877.05,4350.31,4770.7,5869.45,6596.55,7164.45,7849.15,7076.4,8698.33,12539.235,10098.715,82042.59
85,SOUTHEAST BU,42,324,85,23219.2,26919.8,27225.66,29155.1,34278.65,33423.55,38029.75,37735.72,35102.37,37184.035,54133.305,51098.6,427505.74
86,NORTH BU,40,357,86,23491.4,27755.6,21885.71,24924.2,30343.3,28538.35,29687.83,28678.34667,30109.47,29688.61,45798.43,28455.91,349357.1567
87,SOUTHEAST BU,42,127,87,8559.2,9958,9316.9,10539.05,14098.45,14423,14452.5,14072.51,15358.52,15962.25,20913.44,16370.76,164024.58
88,NORTH BU,40,357,88,,,,,,,,721.4,1953.17,2726.4,5237.91,3730.705,14369.585
89,NORTH BU,40,336,89,5353.75,6986.1,6366.92,7828.4,9866.6,14042.3,12521.88,10573.57,11268.8,12300.32,15205.36,13507.15,125821.15
90,SOUTHWEST BU,44,347,90,6790.95,9246.9,7886.71,9665.15,11552.95,15038.4,14073.75,13412.79,12569.26,14602.96,19158.49,17109.555,151107.865
91,SOUTHEAST BU,11,329,91,4058,4989.15,3744.65,3758.6,3698.5,4708.95,4516.1,4602.75,4537.46,5607.48,8114.89,6871.57,59208.1
92,SOUTHEAST BU,42,334,92,4636.7,5423.1,5802.7,6403.15,7912.2,8286.5,9519.75,8689.31,9252.83,10459.74,13887.875,13867.935,104141.79
93,SOUTHEAST BU,11,146,93,6742.85,8674.4,9336.28,9817.6,12001.05,12836.91,14795.31,15260.5,13577.44,16090.79,22699.43,18894.43,160726.99
94,SOUTHEAST BU,11,145,94,14867.4,14893.7,17037.28,15293.05,18484,21809.3,21213.25,21501.12,20623.35,22942.73,33356.22,30176.15,252197.55
95,NORTH BU,40,335,95,20109.65,22214.9,19151.18,20926.15,26278.95,27490.25,27641.25,27727.41,28256.13,29071.47,39107.01,24558.935,312533.285
96,NORTH BU,40,361,96,6836.4,8348.15,8315.12,9345.3,10342.95,11894.2,12487.49,11690.72,11966.12,13353.72,18206.71,15173.695,137960.575
97,SOUTHEAST BU,11,146,97,8675,10855.4,10787.31,10941.45,13618.7,13284,13251,14389.33,14584.77,15684.94,20154.41,17258.36,163484.67
98,SOUTHEAST BU,42,135,98,5367.75,6071.25,5986.24,6867.95,8251.55,10991.4,10558.2,10836.33,10431.44,10431.18,14798.82,13262.525,113854.635
99,NORTH BU,40,340,99,9809.35,9905.25,9858.49,10604.23,12598.15,12692.1,14265.9,14016.55,13303.35,14149.76,19481.02,12719.705,153403.855
100,SOUTHEAST BU,42,323,100,153650.56,180229.96,121559.1,115964.61,109202.13,94195.08,96802.05,107340.89,171596.98,172491.885,215397.64,174178.725,1712609.61
101,NORTH BU,40,336,101,13677.65,16298.85,14272.37,15495.3,18794.25,17444.35,20709.52,32258.32,26565.53,25657.5,36399.92,29428.02,267001.58
102,SOUTHEAST BU,42,327,102,,,,319.75,1794.7,2060.95,1960.95,2134.32,2538.67,2983.15,3992.4,3296.21,21081.1
103,SOUTHWEST BU,44,351,103,23417.2,24415.5,29020.48,26062.9,26373.15,25583.75,44970.18,35318.89,31460.43,46747.57,64625.58,45334.67,423330.3
104,SOUTHEAST BU,11,146,104,10580,10784.1,10641.06,12676.75,16085.65,17508.7,18455.53,16673.78,16941.99,19972.7,26656.76,20937.81,197914.83
105,SOUTHEAST BU,11,4,105,11943.8,14180.75,13358.53,14975.4,17660.95,17816.85,19264.05,19111.69,17510.68,20845.5,30121.71,23648.6,220438.51
106,SOUTHEAST BU,11,146,106,3192.2,3735.35,3878.41,4325.72,5034.95,4520.4,5626.35,5614.89,5222.06,6189.06,9658.55,8632.285,65630.225
107,SOUTHEAST BU,11,146,107,9184.85,10138.05,10149.73,11003.65,12933.15,11822.35,15177.45,15847.59,16018.61,16757.37,22890.13,18959.815,170882.745
108,SOUTHWEST BU,44,344,108,6100.85,7870.55,7897.4,8587.15,11039.7,11710.1,12697.1,13013.15,13967.97,14230.34,16833.13,16622.985,140570.425
109,NORTH BU,40,360,109,,,,,378.6,1346.75,2455.85,2840.42,3127,4221.05,5941.89,5573.465,25885.025
110,SOUTHEAST BU,3,89,110,33674.85,33280.35,29360,29180.25,32541.75,31374.9,41002.85,36467.55,29926.5,28275.34,49586.72,43630.605,418301.665
111,SOUTHWEST BU,44,410,111,2770,2794.25,3153.7,3525.8,4415.3,4163.85,4965.75,4547.26,4735.69,5423.43,8057.64,7429.21,55981.88
112,SOUTHEAST BU,11,138,112,11420.15,12589.1,12112.4,13702.55,13835.3,13744.35,22682.1,22339.48,19691.44,21407.22,27090.86,28266.18,218881.13
113,SOUTHWEST BU,44,349,113,10274.7,11090.45,11214.4,12112.75,14924.5,15182.3,16628.45,15416.05,15767.16,17786.65,24171.58,22499.39,187068.38
114,SOUTHEAST BU,11,4,114,13282.7,15638.5,14210.8,15379.65,16376.5,19169.25,22770.9,22104.06,20158,26166.55,34765.48,30985.92,251008.31
115,SOUTHEAST BU,11,138,115,2756.35,4540.7,3554.67,3546.8,4128.45,4275.2,4588.85,5375.42,4903.54,5978.5,8440.09,8661,60749.57
117,SOUTHWEST BU,44,47,117,,,,,,,,172.28,465.34,656.56,1238.7,991.61,3524.49
118,SOUTHEAST BU,11,4,118,9193.9,10432.15,9906.05,11802.6,13496.2,13681.9,16983.2,17267.19,16838.98,19786.965,27690.495,21816.525,188896.155
119,SOUTHEAST BU,42,328,119,12657.05,15297.75,17956.01,15368.8,18431.55,17608.1,21720.95,21920.64,20735.17,22745.29,32763.165,27673.085,244877.56
120,SOUTHEAST BU,11,146,120,8101.05,7955.9,8999.94,9538.4,10917.35,10339.15,11731.22,12458.73,13307.53,16375.69,22195.04,18362.975,150282.975
121,SOUTHWEST BU,44,351,121,7367.5,7385.5,7362.7,11204.75,14576.45,14369.05,13085.9,11259,11117.09,12786.33,17561.79,18450.88,146526.94
122,NORTH BU,40,335,122,11491.95,11691.65,10806.21,10904.55,12685.85,12732.85,13340.79,13551.18,12973.94,14202.165,18699.58,15286.495,158367.21
123,SOUTHWEST BU,44,351,123,3258.1,3495.35,3915.2,4511.65,4714.85,5080.35,6154.06,5845.29,6111.21,6970.77,9509.27,9150.88,68716.98
124,SOUTHEAST BU,42,324,124,16729.45,20541.25,19126.98,19325.95,24905.1,23817.15,24893.15,23693.82,24551.92,25518.27,36752.025,34164.155,294019.22
125,SOUTHEAST BU,42,321,125,36565.3,41666.45,40611.61,44283.35,43428.7,39262.5,42990.4,36527.92,39188.19,41920.035,61253.35,50071.7,517769.505
126,SOUTHEAST BU,42,324,126,20660.85,25829.65,23918.55,26483.34,30706.5,29441.9,30962.1,29562.07,31224.61,32317.485,46285.455,41531.745,368924.255
127,SOUTHEAST BU,42,325,127,6474.2,8652.05,7752.13,8178.7,10485.5,12383.55,12908.55,12429.32,11246.22,12735.78,17664.075,15449.185,136359.26
128,SOUTHEAST BU,11,329,128,18408.8,20028.35,20561.41,21380.8,25744.3,22541.95,25761.1,25045.86,24923.63,26620.34,35186.715,28532.45,294735.705
129,SOUTHWEST BU,44,350,129,33210.65,31803.55,36793.94,43093.2,42695.8,48895.7,58305.2,51628.02,54381.64,61588.79,74720.64,62717.95,599835.08
130,SOUTHWEST BU,44,347,130,15124.75,15554.35,16083.29,17535.05,22376.75,23603.15,24985.65,27068.35,25686.43,28233.545,40724.025,32323.785,289299.125
131,SOUTHWEST BU,44,47,131,11070.1,11893.9,13039.44,15688.09,18342.55,24831.2,32093.45,27342.45,25884.62,24687.55,31274.31,28854.36,265002.02
132,SOUTHWEST BU,44,344,132,1181.25,1516.4,1348.6,1894.05,2536.15,2421.05,3196.4,2805.24,2862.06,3331.98,4582.66,4256.115,31931.955
133,SOUTHEAST BU,42,325,133,,,,,,,,502.87,615.6,929.86,1464.03,1575.75,5088.11
134,SOUTHWEST BU,44,344,134,7549.7,7102.4,6797.09,7734.65,9133.5,8871.55,11182.25,11001.83,11650.76,14387.92,19513.13,18454.465,133379.245
135,NORTH BU,40,360,135,1346.7,1646.25,1768.67,2100.35,2382.5,2905.05,3164.45,3259.12,3086.29,3738.93,6292.65,8055.89,39746.85
136,SOUTHWEST BU,44,345,136,,,,,,,,,119.73,545.76,809.06,865.505,2340.055
137,SOUTHWEST BU,44,352,137,13215.6,12591.45,12501.73,12031.55,15278.95,13100.65,17033.05,17972.11,17588.96,17823.65,26516.57,23422.47,199076.74
138,NORTH BU,40,357,138,17173.9,18012.95,17057.45,20945.16,27393.25,27813.65,25732.48,24220.54,25780.93,25590.915,36365.645,26117.295,292204.165
139,SOUTHWEST BU,44,353,139,4047.05,4247.85,3875.05,4902.2,5592.7,5289.75,6756.47,6448.57,6524.3,8058.69,9502.2,9911.45,75156.28
140,SOUTHWEST BU,13,503,140,19256.8,23087.7,21076.01,25014.5,30224.5,32193.05,32860.05,30830.15,35647.14,35020.8,48970.06,44124.605,378305.365
141,SOUTHEAST BU,42,321,141,42594.2,40651.75,38560.82,40287.8,41176.2,41940.85,43527.53,42149.18,44012.78,45180.89,60987.82,51500.165,532569.985
143,NORTH BU,41,253,143,9119.25,11100.9,11615.7,12501.5,14781.1,15114.15,17191.4,17882.24,16756.02,18940.29,23547.56,18134.61,186684.72
144,SOUTHEAST BU,42,322,144,93537.2,98282.7,90123.25,81055.05,73605.8,71624.1,79973.9,75654.58,73614.865,84130,101146.31,99356.475,1022104.23
145,NORTH BU,40,339,145,1299.75,1692.5,1429.52,2035,2072.2,2995.95,3531.15,3960.04,4239.73,6456.08,8737.27,8557.055,47006.245
146,SOUTHWEST BU,13,46,146,4236.9,5370.3,5530.68,5809,6994.1,7718.05,11071.35,10506,12234.5,13872.26,18792.9,16990.27,119126.31
147,SOUTHWEST BU,44,350,147,16887.1,22043.2,20181.1,19462.65,21328.4,23109.65,30791.7,25740.76,25731.12,27830.41,39047.68,31362.165,303515.935
148,SOUTHWEST BU,44,47,148,19063.15,27376.55,23286.98,22291.65,28629.3,32740.7,36596.37,27950.8,30033.47,32844.96,46107.395,44994.345,371915.67
149,SOUTHEAST BU,42,135,149,,,,,662.1,1885,3130.45,3128.05,3385.6,3886.89,5806.23,5495.32,27379.64
150,SOUTHWEST BU,44,344,150,4972.7,5638.45,5055.05,5995.55,6823.65,7099.9,7650.25,8021.82,7332.56,8480.31,12257.26,10290.155,89617.655
151,SOUTHWEST BU,44,350,151,36212.1,43514.4,49155.47,52182.6,47506.35,50188.05,58348.46,44719.24,43821.35,48186.295,56196.295,44023.92,574054.53
152,NORTH BU,40,335,152,9804.85,11073.4,10372.78,11022.85,13549.55,13123.1,15746.55,15646.37,15228.17,16731.855,22967.615,14439.08,169706.17
153,SOUTHEAST BU,11,4,153,5943.3,7397.3,6810.26,7057.72,9333.6,9367.5,10327.25,10721.67,10297.05,13255.47,18566.04,17221.12,126298.28
154,NORTH BU,20,311,154,12768.45,14493.55,14023.17,16059.8,20052.15,20462.65,21332.6,19486.03,23569.2,24475.43,34537.95,21282.555,242543.535
155,SOUTHEAST BU,11,136,155,11370.7,13921.05,12578.52,12403.3,14034.7,14953.95,17576.05,18736.04,18602.09,18866.61,20240.5,15511.145,188794.655
157,SOUTHEAST BU,42,328,157,19117.05,23786.9,22149.77,23542.8,28298.75,27059.65,30440.35,30830.47,30876.64,34403.21,48881.27,40354.34,359741.2
158,SOUTHWEST BU,44,350,158,4165.7,5380.65,4903.06,5983.7,7534.6,10095.05,12469.1,12593.05,13279.76,15154.97,21048.42,19701.975,132310.035
159,NORTH BU,40,359,159,34517.7,46239.2,43376.64,48067.25,45461.05,52567.35,59829.23,55184.51,48887.42,53819.08,71590.62,59059.84,618599.89
160,SOUTHEAST BU,42,328,160,3366.2,5252.7,9627.2,5041.55,7677.2,9282.5,9556.75,9408.88,8705.67,10542.64,15094.445,12444.005,105999.74
161,SOUTHEAST BU,11,147,161,2224.25,2626.15,2978.2,3504.05,4122.95,4869.35,8348.45,8822.49,8535.86,11065.43,15068.37,12846.495,85012.045
162,SOUTHWEST BU,44,349,162,27.1,156.4,121.45,50.25,69.65,22.15,26,24.8,,16.02,151.36,53.65,718.83
163,SOUTHWEST BU,13,503,163,13225.6,15711.4,13749.73,16210.6,19192.9,18113.25,20447.3,19640.69,21570.59,21580.93,27449.38,26537.875,233430.245
164,SOUTHEAST BU,11,4,164,9508.15,11784.5,10694.45,11851.94,13952.5,17030.85,18661.9,19426.92,19877.58,23341.23,31620.34,26611.74,214362.1
165,SOUTHWEST BU,13,46,165,9007.3,11157.35,10635.45,11959.75,15101,16071.55,16076.45,15101.94,15294.51,16544.88,21234.45,19415.16,177599.79
166,NORTH BU,40,357,166,,,,,,,,,386.21,1157.49,1846.39,1857.16,5247.25
167,SOUTHEAST BU,42,327,167,3840.25,4736.5,4319.95,4642.2,4180.65,3872.9,4940.3,5264.48,5035.28,5396.18,7615.17,6643.775,60487.635
168,SOUTHWEST BU,44,345,168,48177.1,48188.85,43844.93,44509.53,47215.1,46204.8,54228.79,48094.79,48314.55,64785.385,77707.74,60765.075,632036.64
169,SOUTHEAST BU,42,326,169,5492.7,6552.15,6354.82,6928.5,7788.9,8435.45,10195.65,10265.2,9520,9919.09,13667.915,11978.46,107098.835
170,SOUTHWEST BU,13,134,170,9496.7,11739.6,11165.84,11953.85,14479.6,14938.25,17689.15,17785.32,15550.23,17849.78,25362.86,20120.225,188131.405
171,SOUTHEAST BU,42,327,171,4329.9,5518.7,4589.78,5724.65,6749.95,7811.85,8129.38,6854.4,7248.15,9285.28,12490.09,10325.965,89058.095
172,NORTH BU,40,340,172,8576.7,9486.55,7977.78,8755.77,11797.8,10269.9,12086.55,12020,11465.53,12958.1,18964.36,14804.305,139163.345
173,NORTH BU,40,357,173,4129.55,5443.05,5456.27,6310.24,6790.75,10587.25,10979.61,9346.06,9307.49,9280.46,12628,10150.21,100408.94
174,SOUTHEAST BU,9,92,174,25484.1,31057.55,26805.68,26546.8,32849.6,30558,34278.45,33209.33,31527.63,30206.51,43095.015,36126.76,381745.425
175,SOUTHEAST BU,11,144,175,9763.05,10204.2,10323.3,11219.92,13838.95,14739.5,16047.1,15183.57,12769.43,14451.9,22014.04,19950.12,170505.08
176,SOUTHEAST BU,11,4,176,,,,,,,,121.14,205.44,129.21,577.81,401.97,1435.57
177,SOUTHEAST BU,11,146,177,4961.15,5479.05,5672.1,7406.15,8320.8,8909.25,10317.64,9390.99,9355.34,11365.05,16544.36,14051.67,111773.55
178,SOUTHWEST BU,44,344,178,,,,,,,,267.72,504.91,776.54,943.06,732.42,3224.65
179,NORTH BU,40,357,179,20633.55,23242.35,19316.73,22403.71,24946.6,23034.65,23008.88,20814.31,22763.08,25543.94,36514.355,23774.17,285996.325
180,SOUTHWEST BU,13,46,180,4020.75,5304.55,5853.45,6251.5,8073.4,11026.05,11036.6,10301.63,11650.23,13818.39,18071.49,15767.835,121175.875
181,SOUTHWEST BU,44,47,181,2599.15,3128.4,3451.96,3736.78,4704.3,5425.75,6771.25,7476.9,7140.59,8879.46,12134.85,12693.675,78143.065
182,SOUTHEAST BU,11,136,182,11393.2,13659.25,14238.84,15231.8,18204.95,19288.55,18654.2,18174.89,20044.79,22443.3,30259.025,25240.735,226833.53
