Store,Day of Week,Date,8 am -12 pm Dispense,12 pm - 4 pm Dispense,4 pm - 8 pm Dispense,10 pm-7 am Pick & Stage
3,Saturday,11/19/2022,3,3,3,0
3,Sunday,11/20/2022,1,1,1,0
3,Monday,11/21/2022,0,0,0,10
3,Tuesday,11/22/2022,3,3,3,7
3,Wednesday,11/23/2022,3,3,3,0
3,Thursday,11/24/2022,0,0,0,7
3,Friday,11/25/2022,3,3,3,0
3,Saturday,11/26/2022,3,3,3,0
3,Sunday,11/27/2022,3,3,3,0
3,Monday,11/28/2022,1,1,1,0
4,Monday,11/7/2022,0,0,0,4
4,Tuesday,11/8/2022,3,3,3,3
4,Wednesday,11/9/2022,3,3,3,0
4,Thursday,11/10/2022,3,3,3,0
4,Friday,11/11/2022,1,1,1,0
4,Saturday,11/12/2022,1,1,1,0
4,Sunday,11/13/2022,1,1,1,0
4,Monday,11/14/2022,0,0,0,5
4,Tuesday,11/15/2022,4,4,4,5
4,Wednesday,11/16/2022,4,4,4,0
4,Thursday,11/17/2022,1,1,1,0
4,Friday,11/18/2022,1,1,1,0
4,Saturday,11/19/2022,1,1,1,0
4,Sunday,11/20/2022,1,1,1,0
4,Monday,11/21/2022,0,0,0,12
4,Tuesday,11/22/2022,6,6,6,6
4,Wednesday,11/23/2022,6,6,6,0
4,Thursday,11/24/2022,0,0,0,6
4,Friday,11/25/2022,5,5,5,0
4,Saturday,11/26/2022,1,1,1,0
4,Sunday,11/27/2022,1,1,1,0
4,Monday,11/28/2022,1,1,1,0
5,Monday,11/7/2022,0,0,0,6
5,Tuesday,11/8/2022,4,4,4,4
5,Wednesday,11/9/2022,4,4,4,0
5,Thursday,11/10/2022,1,1,1,0
5,Friday,11/11/2022,1,1,1,0
5,Saturday,11/12/2022,1,1,1,0
5,Sunday,11/13/2022,1,1,1,0
5,Monday,11/14/2022,0,0,0,8
5,Tuesday,11/15/2022,5,5,5,6
5,Wednesday,11/16/2022,5,5,5,0
5,Thursday,11/17/2022,1,1,1,0
5,Friday,11/18/2022,1,1,1,0
5,Saturday,11/19/2022,1,1,1,0
5,Sunday,11/20/2022,1,1,1,0
5,Monday,11/21/2022,0,0,0,10
5,Tuesday,11/22/2022,6,6,6,5
5,Wednesday,11/23/2022,5,5,5,0
5,Thursday,11/24/2022,0,0,0,5
5,Friday,11/25/2022,4,4,4,0
5,Saturday,11/26/2022,1,1,1,0
5,Sunday,11/27/2022,1,1,1,0
5,Monday,11/28/2022,1,1,1,0
7,Monday,11/7/2022,0,0,0,5
7,Tuesday,11/8/2022,4,4,4,4
7,Wednesday,11/9/2022,4,4,4,0
7,Thursday,11/10/2022,3,3,3,0
7,Friday,11/11/2022,1,1,1,0
7,Saturday,11/12/2022,1,1,1,0
7,Sunday,11/13/2022,1,1,1,0
7,Monday,11/14/2022,0,0,0,6
7,Tuesday,11/15/2022,4,4,4,5
7,Wednesday,11/16/2022,4,4,4,0
7,Thursday,11/17/2022,1,1,1,0
7,Friday,11/18/2022,1,1,1,0
7,Saturday,11/19/2022,1,1,1,0
7,Sunday,11/20/2022,1,1,1,0
7,Monday,11/21/2022,0,0,0,12
7,Tuesday,11/22/2022,6,6,6,7
7,Wednesday,11/23/2022,5,5,5,0
7,Thursday,11/24/2022,0,0,0,7
7,Friday,11/25/2022,4,4,4,0
7,Saturday,11/26/2022,3,3,3,0
7,Sunday,11/27/2022,1,1,1,0
7,Monday,11/28/2022,1,1,1,0
8,Monday,11/7/2022,0,0,0,4
8,Tuesday,11/8/2022,4,4,4,3
8,Wednesday,11/9/2022,4,4,4,0
8,Thursday,11/10/2022,1,1,1,0
8,Friday,11/11/2022,1,1,1,0
8,Saturday,11/12/2022,1,1,1,0
8,Sunday,11/13/2022,1,1,1,0
8,Monday,11/14/2022,0,0,0,4
8,Tuesday,11/15/2022,4,4,4,4
8,Wednesday,11/16/2022,3,3,3,0
8,Thursday,11/17/2022,1,1,1,0
8,Friday,11/18/2022,1,1,1,0
8,Saturday,11/19/2022,1,1,1,0
8,Sunday,11/20/2022,1,1,1,0
8,Monday,11/21/2022,0,0,0,7
8,Tuesday,11/22/2022,7,7,7,3
8,Wednesday,11/23/2022,4,4,4,0
8,Thursday,11/24/2022,0,0,0,3
8,Friday,11/25/2022,3,3,3,0
8,Saturday,11/26/2022,1,1,1,0
8,Sunday,11/27/2022,1,1,1,0
8,Monday,11/28/2022,1,1,1,0
9,Monday,11/7/2022,0,0,0,4
9,Tuesday,11/8/2022,3,3,3,3
9,Wednesday,11/9/2022,3,3,3,0
9,Thursday,11/10/2022,3,3,3,0
9,Friday,11/11/2022,3,3,3,0
9,Saturday,11/12/2022,3,3,3,0
9,Sunday,11/13/2022,1,1,1,0
9,Monday,11/14/2022,0,0,0,5
9,Tuesday,11/15/2022,3,3,3,4
9,Wednesday,11/16/2022,3,3,3,0
9,Thursday,11/17/2022,3,3,3,0
9,Friday,11/18/2022,3,3,3,0
9,Saturday,11/19/2022,3,3,3,0
9,Sunday,11/20/2022,1,1,1,0
9,Monday,11/21/2022,0,0,0,6
9,Tuesday,11/22/2022,3,3,3,5
9,Wednesday,11/23/2022,3,3,3,0
9,Thursday,11/24/2022,0,0,0,5
9,Friday,11/25/2022,3,3,3,0
9,Saturday,11/26/2022,3,3,3,0
9,Sunday,11/27/2022,3,3,3,0
9,Monday,11/28/2022,1,1,1,0
10,Monday,11/7/2022,0,0,0,5
10,Tuesday,11/8/2022,3,3,3,4
10,Wednesday,11/9/2022,3,3,3,0
10,Thursday,11/10/2022,4,4,4,0
10,Friday,11/11/2022,3,3,3,0
10,Saturday,11/12/2022,3,3,3,0
10,Sunday,11/13/2022,1,1,1,0
10,Monday,11/14/2022,0,0,0,8
10,Tuesday,11/15/2022,5,5,5,6
10,Wednesday,11/16/2022,4,4,4,0
10,Thursday,11/17/2022,4,4,4,0
10,Friday,11/18/2022,1,1,1,0
10,Saturday,11/19/2022,1,1,1,0
10,Sunday,11/20/2022,1,1,1,0
10,Monday,11/21/2022,0,0,0,9
10,Tuesday,11/22/2022,4,4,4,6
10,Wednesday,11/23/2022,4,4,4,0
10,Thursday,11/24/2022,0,0,0,5
10,Friday,11/25/2022,4,4,4,0
10,Saturday,11/26/2022,3,3,3,0
10,Sunday,11/27/2022,3,3,3,0
10,Monday,11/28/2022,1,1,1,0
11,Monday,11/7/2022,0,0,0,5
11,Tuesday,11/8/2022,3,3,3,4
11,Wednesday,11/9/2022,3,3,3,0
11,Thursday,11/10/2022,3,3,3,0
11,Friday,11/11/2022,1,1,1,0
11,Saturday,11/12/2022,1,1,1,0
11,Sunday,11/13/2022,1,1,1,0
11,Monday,11/14/2022,0,0,0,5
11,Tuesday,11/15/2022,3,3,3,4
11,Wednesday,11/16/2022,3,3,3,0
11,Thursday,11/17/2022,3,3,3,0
11,Friday,11/18/2022,1,1,1,0
11,Saturday,11/19/2022,1,1,1,0
11,Sunday,11/20/2022,1,1,1,0
11,Monday,11/21/2022,0,0,0,10
11,Tuesday,11/22/2022,4,4,4,6
11,Wednesday,11/23/2022,4,4,4,0
11,Thursday,11/24/2022,0,0,0,6
11,Friday,11/25/2022,4,4,4,0
11,Saturday,11/26/2022,3,3,3,0
11,Sunday,11/27/2022,3,3,3,0
11,Monday,11/28/2022,1,1,1,0
12,Monday,11/7/2022,0,0,0,6
12,Tuesday,11/8/2022,5,5,5,4
12,Wednesday,11/9/2022,5,5,5,0
12,Thursday,11/10/2022,1,1,1,0
12,Friday,11/11/2022,1,1,1,0
12,Saturday,11/12/2022,1,1,1,0
12,Sunday,11/13/2022,1,1,1,0
12,Monday,11/14/2022,0,0,0,5
12,Tuesday,11/15/2022,4,4,4,5
12,Wednesday,11/16/2022,4,4,4,0
12,Thursday,11/17/2022,1,1,1,0
12,Friday,11/18/2022,1,1,1,0
12,Saturday,11/19/2022,1,1,1,0
12,Sunday,11/20/2022,1,1,1,0
12,Monday,11/21/2022,0,0,0,17
12,Tuesday,11/22/2022,8,8,8,9
12,Wednesday,11/23/2022,7,7,7,0
12,Thursday,11/24/2022,0,0,0,8
12,Friday,11/25/2022,6,6,6,0
12,Saturday,11/26/2022,1,1,1,0
12,Sunday,11/27/2022,1,1,1,0
12,Monday,11/28/2022,1,1,1,0
13,Monday,11/7/2022,0,0,0,4
13,Tuesday,11/8/2022,4,4,4,3
13,Wednesday,11/9/2022,4,4,4,0
13,Thursday,11/10/2022,1,1,1,0
13,Friday,11/11/2022,1,1,1,0
13,Saturday,11/12/2022,1,1,1,0
13,Sunday,11/13/2022,1,1,1,0
13,Monday,11/14/2022,0,0,0,4
13,Tuesday,11/15/2022,4,4,4,3
13,Wednesday,11/16/2022,4,4,4,0
13,Thursday,11/17/2022,1,1,1,0
13,Friday,11/18/2022,1,1,1,0
13,Saturday,11/19/2022,1,1,1,0
13,Sunday,11/20/2022,1,1,1,0
13,Monday,11/21/2022,0,0,0,8
13,Tuesday,11/22/2022,3,3,3,5
13,Wednesday,11/23/2022,3,3,3,0
13,Thursday,11/24/2022,0,0,0,5
13,Friday,11/25/2022,4,4,4,0
13,Saturday,11/26/2022,3,3,3,0
13,Sunday,11/27/2022,3,3,3,0
13,Monday,11/28/2022,1,1,1,0
14,Monday,11/7/2022,0,0,0,5
14,Tuesday,11/8/2022,3,3,3,4
14,Wednesday,11/9/2022,3,3,3,0
14,Thursday,11/10/2022,3,3,3,0
14,Friday,11/11/2022,3,3,3,0
14,Saturday,11/12/2022,3,3,3,0
14,Sunday,11/13/2022,1,1,1,0
14,Monday,11/14/2022,0,0,0,5
14,Tuesday,11/15/2022,3,3,3,4
14,Wednesday,11/16/2022,3,3,3,0
14,Thursday,11/17/2022,3,3,3,0
14,Friday,11/18/2022,3,3,3,0
14,Saturday,11/19/2022,3,3,3,0
14,Sunday,11/20/2022,1,1,1,0
14,Monday,11/21/2022,0,0,0,6
14,Tuesday,11/22/2022,3,3,3,5
14,Wednesday,11/23/2022,3,3,3,0
14,Thursday,11/24/2022,0,0,0,5
14,Friday,11/25/2022,3,3,3,0
14,Saturday,11/26/2022,3,3,3,0
14,Sunday,11/27/2022,3,3,3,0
14,Monday,11/28/2022,1,1,1,0
15,Monday,11/7/2022,0,0,0,6
15,Tuesday,11/8/2022,5,5,5,4
15,Wednesday,11/9/2022,5,5,5,0
15,Thursday,11/10/2022,1,1,1,0
15,Friday,11/11/2022,1,1,1,0
15,Saturday,11/12/2022,1,1,1,0
15,Sunday,11/13/2022,1,1,1,0
15,Monday,11/14/2022,0,0,0,8
15,Tuesday,11/15/2022,6,6,6,6
15,Wednesday,11/16/2022,4,4,4,0
15,Thursday,11/17/2022,1,1,1,0
15,Friday,11/18/2022,1,1,1,0
15,Saturday,11/19/2022,1,1,1,0
15,Sunday,11/20/2022,1,1,1,0
15,Monday,11/21/2022,0,0,0,11
15,Tuesday,11/22/2022,9,9,9,6
15,Wednesday,11/23/2022,5,5,5,0
15,Thursday,11/24/2022,0,0,0,6
15,Friday,11/25/2022,4,4,4,0
15,Saturday,11/26/2022,1,1,1,0
15,Sunday,11/27/2022,1,1,1,0
15,Monday,11/28/2022,1,1,1,0
16,Monday,11/7/2022,0,0,0,5
16,Tuesday,11/8/2022,4,4,4,4
16,Wednesday,11/9/2022,4,4,4,0
16,Thursday,11/10/2022,1,1,1,0
16,Friday,11/11/2022,1,1,1,0
16,Saturday,11/12/2022,1,1,1,0
16,Sunday,11/13/2022,1,1,1,0
16,Monday,11/14/2022,0,0,0,6
16,Tuesday,11/15/2022,4,4,4,5
16,Wednesday,11/16/2022,4,4,4,0
16,Thursday,11/17/2022,1,1,1,0
16,Friday,11/18/2022,1,1,1,0
16,Saturday,11/19/2022,1,1,1,0
16,Sunday,11/20/2022,1,1,1,0
16,Monday,11/21/2022,0,0,0,10
16,Tuesday,11/22/2022,5,5,5,6
16,Wednesday,11/23/2022,4,4,4,0
16,Thursday,11/24/2022,0,0,0,6
16,Friday,11/25/2022,3,3,3,0
16,Saturday,11/26/2022,3,3,3,0
16,Sunday,11/27/2022,1,1,1,0
16,Monday,11/28/2022,1,1,1,0
17,Monday,11/7/2022,0,0,0,5
17,Tuesday,11/8/2022,4,4,4,4
17,Wednesday,11/9/2022,4,4,4,0
17,Thursday,11/10/2022,1,1,1,0
17,Friday,11/11/2022,1,1,1,0
17,Saturday,11/12/2022,1,1,1,0
17,Sunday,11/13/2022,1,1,1,0
17,Monday,11/14/2022,0,0,0,5
17,Tuesday,11/15/2022,4,4,4,4
17,Wednesday,11/16/2022,4,4,4,0
17,Thursday,11/17/2022,1,1,1,0
17,Friday,11/18/2022,1,1,1,0
17,Saturday,11/19/2022,1,1,1,0
17,Sunday,11/20/2022,1,1,1,0
17,Monday,11/21/2022,0,0,0,11
17,Tuesday,11/22/2022,6,6,6,6
17,Wednesday,11/23/2022,6,6,6,0
17,Thursday,11/24/2022,0,0,0,6
17,Friday,11/25/2022,5,5,5,0
17,Saturday,11/26/2022,1,1,1,0
17,Sunday,11/27/2022,1,1,1,0
17,Monday,11/28/2022,1,1,1,0
18,Monday,11/7/2022,0,0,0,3
18,Tuesday,11/8/2022,4,4,4,3
18,Wednesday,11/9/2022,4,4,4,0
18,Thursday,11/10/2022,1,1,1,0
18,Friday,11/11/2022,1,1,1,0
18,Saturday,11/12/2022,1,1,1,0
18,Sunday,11/13/2022,1,1,1,0
18,Monday,11/14/2022,0,0,0,4
18,Tuesday,11/15/2022,4,4,4,3
18,Wednesday,11/16/2022,4,4,4,0
18,Thursday,11/17/2022,1,1,1,0
18,Friday,11/18/2022,1,1,1,0
18,Saturday,11/19/2022,1,1,1,0
18,Sunday,11/20/2022,1,1,1,0
18,Monday,11/21/2022,0,0,0,7
18,Tuesday,11/22/2022,7,7,7,4
18,Wednesday,11/23/2022,4,4,4,0
18,Thursday,11/24/2022,0,0,0,4
18,Friday,11/25/2022,3,3,3,0
18,Saturday,11/26/2022,1,1,1,0
18,Sunday,11/27/2022,1,1,1,0
18,Monday,11/28/2022,1,1,1,0
19,Monday,11/7/2022,0,0,0,6
19,Tuesday,11/8/2022,3,3,3,5
19,Wednesday,11/9/2022,3,3,3,0
19,Thursday,11/10/2022,4,4,4,0
19,Friday,11/11/2022,3,3,3,0
19,Saturday,11/12/2022,3,3,3,0
19,Sunday,11/13/2022,1,1,1,0
19,Monday,11/14/2022,0,0,0,8
19,Tuesday,11/15/2022,4,4,4,6
19,Wednesday,11/16/2022,4,4,4,0
19,Thursday,11/17/2022,4,4,4,0
19,Friday,11/18/2022,3,3,3,0
19,Saturday,11/19/2022,3,3,3,0
19,Sunday,11/20/2022,1,1,1,0
19,Monday,11/21/2022,0,0,0,9
19,Tuesday,11/22/2022,3,3,3,7
19,Wednesday,11/23/2022,3,3,3,0
19,Thursday,11/24/2022,0,0,0,7
19,Friday,11/25/2022,3,3,3,0
19,Saturday,11/26/2022,3,3,3,0
19,Sunday,11/27/2022,3,3,3,0
19,Monday,11/28/2022,1,1,1,0
20,Monday,11/7/2022,0,0,0,4
20,Tuesday,11/8/2022,4,4,4,3
20,Wednesday,11/9/2022,4,4,4,0
20,Thursday,11/10/2022,1,1,1,0
20,Friday,11/11/2022,1,1,1,0
20,Saturday,11/12/2022,1,1,1,0
20,Sunday,11/13/2022,1,1,1,0
20,Monday,11/14/2022,0,0,0,5
20,Tuesday,11/15/2022,5,5,5,4
20,Wednesday,11/16/2022,4,4,4,0
20,Thursday,11/17/2022,1,1,1,0
20,Friday,11/18/2022,1,1,1,0
20,Saturday,11/19/2022,1,1,1,0
20,Sunday,11/20/2022,1,1,1,0
20,Monday,11/21/2022,0,0,0,10
20,Tuesday,11/22/2022,9,9,9,5
20,Wednesday,11/23/2022,5,5,5,0
20,Thursday,11/24/2022,0,0,0,5
20,Friday,11/25/2022,4,4,4,0
20,Saturday,11/26/2022,1,1,1,0
20,Sunday,11/27/2022,1,1,1,0
20,Monday,11/28/2022,1,1,1,0
21,Monday,11/7/2022,0,0,0,5
21,Tuesday,11/8/2022,4,4,4,4
21,Wednesday,11/9/2022,4,4,4,0
21,Thursday,11/10/2022,1,1,1,0
21,Friday,11/11/2022,1,1,1,0
21,Saturday,11/12/2022,1,1,1,0
21,Sunday,11/13/2022,1,1,1,0
21,Monday,11/14/2022,0,0,0,5
21,Tuesday,11/15/2022,4,4,4,4
21,Wednesday,11/16/2022,4,4,4,0
21,Thursday,11/17/2022,1,1,1,0
21,Friday,11/18/2022,1,1,1,0
21,Saturday,11/19/2022,1,1,1,0
21,Sunday,11/20/2022,1,1,1,0
21,Monday,11/21/2022,0,0,0,10
21,Tuesday,11/22/2022,5,5,5,5
21,Wednesday,11/23/2022,5,5,5,0
21,Thursday,11/24/2022,0,0,0,5
21,Friday,11/25/2022,4,4,4,0
21,Saturday,11/26/2022,1,1,1,0
21,Sunday,11/27/2022,1,1,1,0
21,Monday,11/28/2022,1,1,1,0
22,Monday,11/7/2022,0,0,0,6
22,Tuesday,11/8/2022,5,5,5,4
22,Wednesday,11/9/2022,5,5,5,0
22,Thursday,11/10/2022,1,1,1,0
22,Friday,11/11/2022,1,1,1,0
22,Saturday,11/12/2022,1,1,1,0
22,Sunday,11/13/2022,1,1,1,0
22,Monday,11/14/2022,0,0,0,6
22,Tuesday,11/15/2022,5,5,5,5
22,Wednesday,11/16/2022,4,4,4,0
22,Thursday,11/17/2022,1,1,1,0
22,Friday,11/18/2022,1,1,1,0
22,Saturday,11/19/2022,1,1,1,0
22,Sunday,11/20/2022,1,1,1,0
22,Monday,11/21/2022,0,0,0,13
22,Tuesday,11/22/2022,10,10,10,7
22,Wednesday,11/23/2022,5,5,5,0
22,Thursday,11/24/2022,0,0,0,6
22,Friday,11/25/2022,4,4,4,0
22,Saturday,11/26/2022,1,1,1,0
22,Sunday,11/27/2022,1,1,1,0
22,Monday,11/28/2022,1,1,1,0
23,Monday,11/7/2022,0,0,0,5
23,Tuesday,11/8/2022,4,4,4,4
23,Wednesday,11/9/2022,3,3,3,0
23,Thursday,11/10/2022,3,3,3,0
23,Friday,11/11/2022,1,1,1,0
23,Saturday,11/12/2022,1,1,1,0
23,Sunday,11/13/2022,1,1,1,0
23,Monday,11/14/2022,0,0,0,5
23,Tuesday,11/15/2022,4,4,4,4
23,Wednesday,11/16/2022,4,4,4,0
23,Thursday,11/17/2022,1,1,1,0
23,Friday,11/18/2022,1,1,1,0
23,Saturday,11/19/2022,1,1,1,0
23,Sunday,11/20/2022,1,1,1,0
23,Monday,11/21/2022,0,0,0,9
23,Tuesday,11/22/2022,3,3,3,6
23,Wednesday,11/23/2022,3,3,3,0
23,Thursday,11/24/2022,0,0,0,5
23,Friday,11/25/2022,4,4,4,0
23,Saturday,11/26/2022,3,3,3,0
23,Sunday,11/27/2022,3,3,3,0
23,Monday,11/28/2022,1,1,1,0
24,Monday,11/7/2022,0,0,0,4
24,Tuesday,11/8/2022,4,4,4,3
24,Wednesday,11/9/2022,4,4,4,0
24,Thursday,11/10/2022,1,1,1,0
24,Friday,11/11/2022,1,1,1,0
24,Saturday,11/12/2022,1,1,1,0
24,Sunday,11/13/2022,1,1,1,0
24,Monday,11/14/2022,0,0,0,5
24,Tuesday,11/15/2022,4,4,4,4
24,Wednesday,11/16/2022,4,4,4,0
24,Thursday,11/17/2022,1,1,1,0
24,Friday,11/18/2022,1,1,1,0
24,Saturday,11/19/2022,1,1,1,0
24,Sunday,11/20/2022,1,1,1,0
24,Monday,11/21/2022,0,0,0,9
24,Tuesday,11/22/2022,5,5,5,5
24,Wednesday,11/23/2022,5,5,5,0
24,Thursday,11/24/2022,0,0,0,5
24,Friday,11/25/2022,4,4,4,0
24,Saturday,11/26/2022,1,1,1,0
24,Sunday,11/27/2022,1,1,1,0
24,Monday,11/28/2022,1,1,1,0
25,Monday,11/7/2022,0,0,0,4
25,Tuesday,11/8/2022,4,4,4,3
25,Wednesday,11/9/2022,4,4,4,0
25,Thursday,11/10/2022,1,1,1,0
25,Friday,11/11/2022,1,1,1,0
25,Saturday,11/12/2022,1,1,1,0
25,Sunday,11/13/2022,1,1,1,0
25,Monday,11/14/2022,0,0,0,6
25,Tuesday,11/15/2022,5,5,5,4
25,Wednesday,11/16/2022,4,4,4,0
25,Thursday,11/17/2022,1,1,1,0
25,Friday,11/18/2022,1,1,1,0
25,Saturday,11/19/2022,1,1,1,0
25,Sunday,11/20/2022,1,1,1,0
25,Monday,11/21/2022,0,0,0,8
25,Tuesday,11/22/2022,7,7,7,5
25,Wednesday,11/23/2022,4,4,4,0
25,Thursday,11/24/2022,0,0,0,4
25,Friday,11/25/2022,3,3,3,0
25,Saturday,11/26/2022,1,1,1,0
25,Sunday,11/27/2022,1,1,1,0
25,Monday,11/28/2022,1,1,1,0
26,Monday,11/7/2022,0,0,0,5
26,Tuesday,11/8/2022,4,4,4,4
26,Wednesday,11/9/2022,3,3,3,0
26,Thursday,11/10/2022,3,3,3,0
26,Friday,11/11/2022,1,1,1,0
26,Saturday,11/12/2022,1,1,1,0
26,Sunday,11/13/2022,1,1,1,0
26,Monday,11/14/2022,0,0,0,5
26,Tuesday,11/15/2022,3,3,3,5
26,Wednesday,11/16/2022,3,3,3,0
26,Thursday,11/17/2022,1,1,1,0
26,Friday,11/18/2022,1,1,1,0
26,Saturday,11/19/2022,1,1,1,0
26,Sunday,11/20/2022,1,1,1,0
26,Monday,11/21/2022,0,0,0,7
26,Tuesday,11/22/2022,3,3,3,4
26,Wednesday,11/23/2022,3,3,3,0
26,Thursday,11/24/2022,0,0,0,4
26,Friday,11/25/2022,4,4,4,0
26,Saturday,11/26/2022,3,3,3,0
26,Sunday,11/27/2022,3,3,3,0
26,Monday,11/28/2022,1,1,1,0
27,Monday,11/7/2022,0,0,0,4
27,Tuesday,11/8/2022,4,4,4,3
27,Wednesday,11/9/2022,4,4,4,0
27,Thursday,11/10/2022,1,1,1,0
27,Friday,11/11/2022,1,1,1,0
27,Saturday,11/12/2022,1,1,1,0
27,Sunday,11/13/2022,1,1,1,0
27,Monday,11/14/2022,0,0,0,5
27,Tuesday,11/15/2022,5,5,5,4
27,Wednesday,11/16/2022,4,4,4,0
27,Thursday,11/17/2022,1,1,1,0
27,Friday,11/18/2022,1,1,1,0
27,Saturday,11/19/2022,1,1,1,0
27,Sunday,11/20/2022,1,1,1,0
27,Monday,11/21/2022,0,0,0,7
27,Tuesday,11/22/2022,7,7,7,4
27,Wednesday,11/23/2022,4,4,4,0
27,Thursday,11/24/2022,0,0,0,4
27,Friday,11/25/2022,3,3,3,0
27,Saturday,11/26/2022,1,1,1,0
27,Sunday,11/27/2022,1,1,1,0
27,Monday,11/28/2022,1,1,1,0
28,Monday,11/7/2022,0,0,0,4
28,Tuesday,11/8/2022,3,3,3,3
28,Wednesday,11/9/2022,3,3,3,0
28,Thursday,11/10/2022,3,3,3,0
28,Friday,11/11/2022,3,3,3,0
28,Saturday,11/12/2022,3,3,3,0
28,Sunday,11/13/2022,1,1,1,0
28,Monday,11/14/2022,0,0,0,5
28,Tuesday,11/15/2022,3,3,3,4
28,Wednesday,11/16/2022,3,3,3,0
28,Thursday,11/17/2022,3,3,3,0
28,Friday,11/18/2022,3,3,3,0
28,Saturday,11/19/2022,3,3,3,0
28,Sunday,11/20/2022,1,1,1,0
28,Monday,11/21/2022,0,0,0,10
28,Tuesday,11/22/2022,3,3,3,7
28,Wednesday,11/23/2022,3,3,3,0
28,Thursday,11/24/2022,0,0,0,7
28,Friday,11/25/2022,3,3,3,0
28,Saturday,11/26/2022,3,3,3,0
28,Sunday,11/27/2022,3,3,3,0
28,Monday,11/28/2022,1,1,1,0
29,Monday,11/7/2022,0,0,0,5
29,Tuesday,11/8/2022,4,4,4,4
29,Wednesday,11/9/2022,3,3,3,0
29,Thursday,11/10/2022,3,3,3,0
29,Friday,11/11/2022,1,1,1,0
29,Saturday,11/12/2022,1,1,1,0
29,Sunday,11/13/2022,1,1,1,0
29,Monday,11/14/2022,0,0,0,5
29,Tuesday,11/15/2022,4,4,4,4
29,Wednesday,11/16/2022,4,4,4,0
29,Thursday,11/17/2022,1,1,1,0
29,Friday,11/18/2022,1,1,1,0
29,Saturday,11/19/2022,1,1,1,0
29,Sunday,11/20/2022,1,1,1,0
29,Monday,11/21/2022,0,0,0,9
29,Tuesday,11/22/2022,5,5,5,6
29,Wednesday,11/23/2022,4,4,4,0
29,Thursday,11/24/2022,0,0,0,5
29,Friday,11/25/2022,3,3,3,0
29,Saturday,11/26/2022,3,3,3,0
29,Sunday,11/27/2022,1,1,1,0
29,Monday,11/28/2022,1,1,1,0
30,Monday,11/7/2022,0,0,0,5
30,Tuesday,11/8/2022,4,4,4,4
30,Wednesday,11/9/2022,4,4,4,0
30,Thursday,11/10/2022,1,1,1,0
30,Friday,11/11/2022,1,1,1,0
30,Saturday,11/12/2022,1,1,1,0
30,Sunday,11/13/2022,1,1,1,0
30,Monday,11/14/2022,0,0,0,5
30,Tuesday,11/15/2022,5,5,5,4
30,Wednesday,11/16/2022,4,4,4,0
30,Thursday,11/17/2022,1,1,1,0
30,Friday,11/18/2022,1,1,1,0
30,Saturday,11/19/2022,1,1,1,0
30,Sunday,11/20/2022,1,1,1,0
30,Monday,11/21/2022,0,0,0,9
