Store,,APR,73,YTD,74,APR,75,YTD,76,APR,77,YTD,78,APR,79,YTD,80,L12 Mths,81,L12 Mths,82,APR,83,YTD,84,APR,85,YTD,86,APR,87,YTD,88,APR,89,YTD,90,APR,91,YTD,92
3402,,4.43%,,9.86%,G,4.24%,,9.39%,,-0.58%,,2.64%,,-6.45%,,3.72%,G,3.86,R,3.86,R,54.34%,,53.19%,,0.19%,R,0.66%,,56.41%,,43.89%,,0:55:48,R,1:03:44,R,957/2578,,905/2578,
3709,,4.10%,,11.49%,G,2.76%,,23.95%,G,17.92%,,38.60%,G,-10.13%,,-1.98%,,3.69,R,3.69,R,51.10%,,50.05%,,1.72%,,1.37%,,53.00%,,52.76%,,0:19:09,G,0:24:09,G,439/2578,G,156/2578,G
Total,B,-0.65%,,4.88%,,-6.40%,,5.03%,,-0.45%,,11.65%,,-17.11%,,-8.88%,,3.79,R,3.79,R,51.14%,,47.82%,,0.58%,R,0.71%,,41.70%,,38.19%,,0:41:19,,0:45:40,,250/394,,178/394,
1184,,8.34%,G,8.93%,G,-2.07%,,7.58%,,16.23%,,17.94%,,-4.44%,,-8.09%,,4.00,R,4.00,R,65.04%,G,56.91%,G,1.44%,,1.60%,,11.49%,R,12.84%,R,0:38:30,,0:38:17,,655/2578,,714/2578,
1340,,-1.66%,,3.46%,,-7.09%,,-0.34%,,-13.89%,R,-12.53%,R,-10.78%,,-6.62%,,4.67,,4.67,,49.87%,,48.96%,,0.00%,R,0.57%,,18.77%,R,20.98%,R,0:58:57,R,0:56:23,R,1695/2578,,1518/2578,
2475,,-14.58%,R,-5.62%,,-38.46%,R,-24.80%,R,-14.34%,R,-2.50%,R,-49.52%,R,-38.94%,R,4.50,,4.50,,53.02%,,49.23%,,0.00%,R,0.00%,R,20.00%,R,21.26%,R,1:10:03,R,1:04:32,R,2560/2578,R,2510/2578,R
2584,,28.98%,G,32.66%,G,13.61%,G,22.85%,G,56.00%,G,59.97%,G,25.63%,G,19.06%,G,4.86,G,4.86,G,41.95%,,46.42%,,1.60%,,1.19%,,42.24%,,46.42%,,0:34:14,,0:34:53,,57/2578,G,81/2578,G
Total,B,1.45%,,6.60%,G,-13.74%,R,-3.62%,,3.41%,,9.44%,,-17.22%,,-14.97%,,4.43,,4.43,,52.91%,G,50.50%,,0.76%,,0.83%,,22.59%,R,24.79%,R,0:50:44,R,0:48:58,,298/394,,256/394,
3,,1.69%,,4.35%,,-6.84%,,-0.34%,,2.86%,,10.96%,,-20.75%,,-20.64%,,4.44,,4.44,,35.59%,,32.38%,R,1.19%,,0.45%,,38.23%,,35.66%,,0:26:46,G,0:25:44,G,1168/2578,,1257/2578,
510,,10.47%,G,14.05%,G,9.95%,G,44.81%,G,22.97%,,79.51%,G,1.01%,G,12.87%,G,4.41,,4.41,,37.50%,,39.83%,,0.95%,,0.60%,,33.75%,,41.36%,,0:24:43,G,0:26:38,G,228/2578,G,93/2578,G
1111,,1.59%,,1.76%,,0.89%,,5.61%,,8.74%,,21.53%,,-7.19%,,-7.98%,,4.73,,4.73,,53.50%,,44.13%,,2.01%,,1.99%,,98.00%,G,94.22%,G,0:36:39,,0:33:41,,570/2578,,693/2578,
1121,,-9.73%,R,-4.08%,,-20.47%,R,-14.19%,R,-15.19%,R,-10.23%,R,-21.70%,,-20.45%,,4.80,G,4.80,G,21.02%,R,26.97%,R,0.00%,R,0.00%,R,40.13%,,33.03%,,0:23:23,G,0:24:08,G,2143/2578,R,2104/2578,R
1363,,0.82%,,1.12%,,-8.25%,,-3.76%,,-0.30%,,1.89%,,-20.30%,,-20.63%,,4.14,R,4.14,R,33.82%,,34.09%,,1.97%,,0.69%,,55.53%,,50.66%,,0:20:21,G,0:22:01,G,1215/2578,,1502/2578,
1400,,7.32%,,9.20%,G,26.99%,G,34.40%,G,41.41%,G,54.02%,G,-2.16%,G,2.66%,G,4.40,,4.40,,32.23%,R,28.12%,R,0.80%,,0.54%,,30.24%,,23.58%,,0:38:17,,0:37:11,,319/2578,G,366/2578,G
2811,,-6.06%,,0.87%,,-20.67%,R,-0.65%,,2.16%,,16.92%,,-35.07%,R,-22.25%,,4.13,R,4.13,R,28.30%,R,26.37%,R,0.23%,,0.15%,R,9.97%,R,14.45%,R,0:35:37,,0:40:11,,2314/2578,R,1749/2578,
3627,,6.27%,,10.37%,G,-5.16%,,4.44%,,15.84%,,33.79%,G,-18.88%,,-11.18%,,4.65,,4.65,,43.63%,,43.00%,,1.18%,,0.63%,,34.35%,,31.44%,,0:28:17,G,0:29:00,G,760/2578,,615/2578,
5482,,-8.95%,R,-1.12%,,-20.88%,R,-6.53%,,-21.50%,R,-7.57%,R,-27.97%,,-18.28%,,<5 Reviews,,<5 Reviews,,40.37%,,35.56%,,1.26%,,1.35%,,50.46%,,43.98%,,0:40:59,,0:37:10,,2277/2578,R,1822/2578,
Total,B,0.79%,,4.50%,,-6.30%,,4.33%,,4.64%,,17.39%,,-17.72%,,-12.98%,,4.50,,4.50,,37.13%,,35.34%,,1.10%,,0.63%,R,43.26%,,40.37%,,0:29:18,G,0:29:42,G,173/394,,123/394,
594,,2.70%,,4.56%,,2.96%,,-1.00%,,23.61%,,25.25%,,-17.16%,,-25.07%,,4.62,,4.62,,54.52%,,53.98%,,0.18%,R,0.67%,,16.43%,R,18.44%,R,0:36:07,,0:35:21,,773/2578,,1197/2578,
722,,-9.46%,R,-4.98%,,-30.08%,R,-11.14%,,-16.41%,R,-1.87%,R,-29.09%,,-20.10%,,4.74,,4.74,,28.21%,R,33.45%,,0.78%,,1.07%,,25.13%,,24.90%,,0:46:32,,0:50:45,,2463/2578,R,2217/2578,R
727,,-2.72%,,-3.85%,,-15.37%,,8.53%,,-9.38%,R,24.53%,,-34.67%,R,-30.49%,R,4.57,,4.57,,41.84%,,42.94%,,0.00%,R,0.00%,R,15.31%,R,40.80%,,0:26:42,G,0:24:52,G,1989/2578,,1251/2578,
787,,-3.37%,,4.74%,,-3.00%,,21.73%,G,4.29%,,29.26%,,-24.65%,,-6.49%,,4.68,,4.68,,65.26%,G,59.66%,G,0.00%,R,0.05%,R,41.32%,,37.07%,,0:35:20,,0:38:41,,1255/2578,,496/2578,G
855,,-4.90%,,0.80%,,-30.05%,R,-18.83%,R,-16.06%,R,-12.36%,R,-32.80%,R,-23.67%,,4.44,,4.44,,40.11%,,42.38%,,0.00%,R,0.00%,R,13.43%,R,19.82%,R,0:49:17,,0:45:02,,2465/2578,R,2263/2578,R
856,,1.56%,,11.15%,G,-7.05%,,7.30%,,-1.92%,,10.95%,,-17.02%,,-0.76%,G,4.59,,4.59,,41.96%,,39.50%,,1.42%,,0.93%,,15.62%,R,16.91%,R,0:51:17,,0:48:30,,1483/2578,,872/2578,
1488,,10.50%,G,14.96%,G,5.55%,,22.03%,G,6.32%,,22.08%,,35.62%,G,38.86%,G,4.42,,4.42,,58.54%,G,56.62%,G,0.26%,,0.25%,R,28.80%,,24.11%,,0:44:02,,0:44:47,,512/2578,G,384/2578,G
2732,,3.46%,,0.36%,,-16.94%,,-6.72%,,-20.89%,R,-10.53%,R,-1.29%,G,-10.07%,,4.46,,4.46,,41.98%,,43.26%,,1.82%,,0.92%,,39.37%,,37.70%,,0:42:41,,0:42:28,,1563/2578,,1736/2578,
3205,,6.01%,,1.93%,,-7.21%,,-9.32%,,42.86%,G,4.07%,,-17.84%,,-24.39%,,4.36,,4.36,,52.28%,,57.65%,G,1.20%,,1.74%,,18.23%,R,28.27%,,0:42:20,,0:40:03,,972/2578,,1731/2578,
4409,,-4.31%,,-0.82%,,-12.22%,,-3.71%,,-5.87%,,8.34%,,-39.17%,R,-29.23%,R,4.00,R,4.00,R,39.57%,,37.74%,,0.27%,,0.17%,R,71.58%,G,70.51%,G,1:06:21,R,1:11:26,R,2179/2578,R,2013/2578,
Total,B,-0.42%,,2.83%,,-12.74%,,-0.75%,,-2.69%,R,8.68%,,-20.87%,,-14.80%,,4.53,,4.53,,46.17%,,45.81%,,0.62%,R,0.55%,R,27.78%,R,29.60%,,0:43:09,,0:43:06,,315/394,,249/394,
1578,,19.10%,G,20.75%,G,12.21%,G,29.53%,G,28.06%,G,58.11%,G,3.76%,G,7.20%,G,4.23,,4.23,,56.80%,G,45.83%,,1.69%,,1.05%,,22.36%,,25.14%,,0:35:15,,0:32:21,,181/2578,G,148/2578,G
5390,,6.61%,,12.85%,G,0.65%,,9.75%,,28.39%,G,38.53%,G,-21.82%,,-12.10%,,4.78,G,4.78,G,44.38%,,45.79%,,1.57%,,0.88%,,76.51%,G,81.87%,G,0:29:03,G,0:28:17,G,429/2578,G,285/2578,G
Total,B,11.89%,G,16.30%,G,4.50%,G,16.44%,G,28.28%,G,44.97%,G,-13.28%,,-5.15%,G,4.58,,4.58,,49.34%,,45.81%,,1.61%,,0.94%,,54.89%,,58.77%,G,0:31:13,G,0:29:46,G,11/394,G,6/394,G
575,,14.04%,G,14.23%,G,-4.65%,,8.55%,,3.31%,,20.90%,,0.85%,G,3.58%,G,4.86,G,4.86,G,42.25%,,43.26%,,0.29%,,0.51%,,28.73%,,29.99%,,0:26:02,G,0:27:38,G,585/2578,,393/2578,G
878,,13.39%,G,13.98%,G,18.40%,G,37.87%,G,28.35%,G,36.09%,G,6.67%,G,0.00%,G,4.27,,4.27,,25.94%,R,27.70%,R,5.67%,G,4.93%,G,17.19%,R,16.90%,R,0:29:45,G,0:29:11,G,193/2578,G,194/2578,G
1314,,14.77%,G,13.81%,G,24.59%,G,30.39%,G,38.38%,G,50.52%,G,-11.76%,,-19.74%,,4.40,,4.40,,26.97%,R,27.61%,R,6.02%,G,7.61%,G,26.97%,,23.32%,,0:28:02,G,0:24:22,G,167/2578,G,270/2578,G
1373,,6.18%,,10.19%,G,7.16%,,19.43%,G,23.87%,,34.60%,G,-13.13%,,-6.69%,,4.52,,4.52,,49.89%,,48.57%,,2.78%,,1.47%,,53.35%,,48.44%,,0:35:25,,0:37:29,,363/2578,G,289/2578,G
2154,,-1.15%,,0.82%,,-38.78%,R,-30.17%,R,-10.45%,R,-11.21%,R,-39.47%,R,-32.07%,R,4.56,,4.56,,32.11%,R,42.70%,,0.23%,,0.17%,R,16.91%,R,40.06%,,0:48:06,,0:53:12,R,2429/2578,R,2347/2578,R
2941,,4.89%,,8.84%,G,0.31%,,18.56%,G,5.71%,,15.78%,,-13.24%,,11.28%,G,4.44,,4.44,,48.95%,,49.83%,,1.35%,,1.33%,,26.32%,,13.01%,R,0:39:01,,0:33:41,,836/2578,,403/2578,G
3462,,10.50%,G,6.44%,,22.17%,G,15.46%,,35.69%,G,29.93%,,5.92%,G,-1.61%,,4.90,G,4.90,G,21.71%,R,22.85%,R,0.00%,R,0.24%,R,17.43%,R,21.21%,R,0:25:47,G,0:26:44,G,200/2578,G,507/2578,G
4436,,20.30%,G,15.51%,G,-12.19%,,-6.85%,,-10.34%,R,-5.61%,R,2.36%,G,-8.06%,,4.00,R,4.00,R,28.57%,R,25.95%,R,0.64%,,0.61%,,12.90%,R,16.84%,R,0:34:37,,0:35:58,,1235/2578,,1436/2578,
7185,,10.63%,G,6.64%,,1.07%,,5.96%,,14.62%,,11.90%,,-10.14%,,-6.46%,,4.79,G,4.79,G,42.90%,,42.78%,,2.30%,,1.11%,,31.29%,,34.12%,,0:50:04,,0:48:12,,605/2578,,918/2578,
Total,B,9.45%,G,9.38%,G,-0.79%,,8.06%,,15.27%,,20.95%,,-12.11%,,-10.02%,,4.60,,4.60,,35.83%,,37.81%,,2.41%,,2.28%,,27.27%,R,30.12%,,0:35:03,,0:35:09,,64/394,G,62/394,G
459,,5.38%,,5.58%,,-7.94%,,0.42%,,8.62%,,10.45%,,-8.84%,,-9.47%,,4.08,R,4.08,R,33.26%,,33.54%,,3.61%,G,3.67%,G,36.34%,,42.67%,,0:42:01,,0:49:35,,1136/2578,,1256/2578,
520,,4.25%,,4.79%,,-12.29%,,-1.49%,,-11.25%,R,0.53%,,-15.29%,,-7.44%,,4.95,G,4.95,G,49.27%,,40.64%,,0.00%,R,0.15%,R,44.15%,,39.86%,,1:05:49,R,1:04:34,R,1594/2578,,1483/2578,
548,,5.02%,,3.13%,,-5.64%,,-10.64%,,15.06%,,7.34%,,-23.41%,,-24.91%,,4.83,G,4.83,G,40.75%,,39.62%,,0.00%,R,0.17%,R,26.01%,,25.81%,,0:54:56,R,0:51:18,,1272/2578,,1958/2578,
780,,-2.86%,,-2.43%,,-19.58%,R,-6.50%,,-16.95%,R,-2.17%,R,-31.34%,R,-24.20%,,4.79,G,4.79,G,52.90%,,51.98%,,1.21%,,1.56%,,47.10%,,41.66%,,0:27:13,G,0:27:14,G,1820/2578,,1611/2578,
1720,,9.26%,G,10.21%,G,-9.46%,,14.59%,,32.65%,G,44.63%,G,-13.08%,,4.03%,G,4.50,,4.50,,50.16%,,53.66%,,0.22%,,0.39%,,55.80%,,64.52%,,0:33:28,,0:33:47,,770/2578,,257/2578,G
3388,,-0.89%,,5.73%,,-21.69%,R,-6.76%,,-7.00%,,6.43%,,-22.76%,,-10.13%,,4.50,,4.50,,47.36%,,48.84%,,3.61%,G,3.63%,G,73.30%,G,69.30%,G,0:36:59,,0:33:42,,1759/2578,,1109/2578,
3389,,11.52%,G,13.18%,G,23.35%,G,16.40%,,41.88%,G,28.61%,,15.41%,G,11.57%,G,4.69,,4.69,,47.78%,,47.16%,,0.00%,R,0.21%,R,13.82%,R,16.05%,R,0:30:45,,0:33:26,,157/2578,G,348/2578,G
3786,,-3.58%,,-0.48%,,-11.21%,,-13.09%,R,-18.79%,R,-8.06%,R,-14.25%,,-16.58%,,4.09,R,4.09,R,53.16%,,41.98%,,4.98%,G,2.05%,,60.80%,,46.92%,,0:55:51,R,0:56:36,R,1755/2578,,2071/2578,R
5252,,-1.84%,,-6.81%,R,0.34%,,-1.10%,,6.32%,,5.18%,,3.69%,G,-10.83%,,4.44,,4.44,,56.96%,G,61.07%,G,2.80%,,1.90%,,82.85%,G,86.19%,G,0:39:10,,0:40:11,,744/2578,,1497/2578,
Total,B,2.71%,,3.08%,,-8.47%,,-1.53%,,2.43%,,8.18%,,-13.39%,,-10.37%,,4.55,,4.55,,47.12%,,45.46%,,1.71%,,1.50%,,47.15%,,46.92%,,0:42:12,,0:42:25,,190/394,,203/394,
518,,12.56%,G,13.40%,G,10.16%,G,20.15%,G,17.14%,,27.14%,,-5.37%,,0.68%,G,4.67,,4.67,,48.73%,,52.13%,,3.66%,G,1.55%,,63.83%,,59.31%,,0:37:03,,0:38:13,,197/2578,G,193/2578,G
615,,12.28%,G,14.65%,G,34.81%,G,83.02%,G,78.00%,G,149.70%,G,0.51%,G,20.29%,G,4.50,,4.50,,53.40%,,54.67%,G,3.79%,G,3.65%,G,29.72%,,28.63%,,0:31:11,,0:31:21,,46/2578,G,27/2578,G
937,,7.07%,,6.41%,,10.74%,G,18.02%,,48.70%,G,47.53%,G,-23.10%,,-24.84%,,4.00,R,4.00,R,56.04%,G,56.13%,G,0.00%,R,0.00%,R,8.42%,R,14.96%,R,0:52:59,R,0:52:38,R,761/2578,,960/2578,
1586,,-2.93%,,1.74%,,-16.19%,,-11.52%,R,-4.29%,,-5.09%,R,-23.74%,,-22.43%,,4.79,G,4.79,G,27.95%,R,33.53%,,1.31%,,1.26%,,8.65%,R,9.24%,R,0:38:14,,0:41:53,,1986/2578,,1986/2578,
3403,,8.09%,G,5.93%,,-11.17%,,2.34%,,-0.45%,,19.33%,,-9.39%,,-8.23%,,4.88,G,4.88,G,49.80%,,51.19%,,0.23%,,0.35%,,40.65%,,42.28%,,0:45:44,,0:48:13,,1207/2578,,992/2578,
5275,,6.08%,,2.96%,,-10.79%,,-6.87%,,17.68%,,8.40%,,-15.74%,,-15.31%,,4.89,G,4.89,G,29.89%,R,31.44%,R,0.23%,,0.33%,,24.14%,,26.44%,,0:43:20,,0:39:16,,1264/2578,,1623/2578,
Total,B,7.55%,G,7.86%,G,1.97%,,13.97%,G,22.00%,G,32.03%,G,-11.92%,,-7.83%,,4.67,G,4.67,G,45.01%,,47.35%,,1.88%,,1.45%,,34.92%,,35.69%,,0:40:10,,0:40:57,,56/394,G,42/394,G
640,,0.25%,,-1.22%,,-13.09%,,-14.84%,R,-10.20%,R,-18.10%,R,-17.12%,,-14.50%,,4.25,,4.25,,43.52%,,37.47%,,8.19%,G,3.90%,G,84.18%,G,73.58%,G,0:37:44,,0:34:53,,1451/2578,,1878/2578,
641,,-8.20%,R,-5.19%,,-38.68%,R,-24.79%,R,-24.81%,R,-12.12%,R,-50.34%,R,-39.14%,R,4.80,G,4.80,G,30.09%,R,31.21%,R,0.68%,,0.63%,,33.33%,,33.79%,,0:44:29,,0:49:22,,2496/2578,R,2453/2578,R
1123,,-6.46%,,-2.60%,,-19.70%,R,-11.74%,R,-5.90%,,2.13%,,-16.58%,,-19.49%,,4.25,,4.25,,25.26%,R,23.86%,R,0.33%,,0.42%,,32.51%,,34.44%,,0:54:05,R,0:53:56,R,2307/2578,R,2243/2578,R
1244,,15.01%,G,22.71%,G,61.31%,G,69.94%,G,133.60%,G,95.85%,G,73.39%,G,49.88%,G,4.88,G,4.88,G,40.93%,,40.13%,,0.00%,R,0.21%,R,34.42%,,40.13%,,0:37:05,,0:40:01,,72/2578,G,103/2578,G
2265,,2.72%,,3.29%,,2.31%,,8.71%,,36.12%,G,30.80%,,-7.48%,,-0.35%,G,4.80,G,4.80,G,46.87%,,45.96%,,1.23%,,1.20%,,72.73%,G,57.10%,,0:47:25,,0:41:51,,561/2578,,623/2578,
2687,,4.17%,,6.17%,,-3.06%,,6.41%,,2.45%,,6.75%,,0.00%,G,-1.27%,,5.00,G,5.00,G,32.24%,R,28.19%,R,0.92%,,0.67%,,27.30%,,30.87%,,0:29:53,G,0:29:40,G,786/2578,,784/2578,
3222,,6.48%,,9.59%,G,27.63%,G,32.27%,G,64.29%,G,89.33%,G,13.35%,G,6.73%,G,3.80,R,3.80,R,30.00%,R,26.63%,R,1.58%,,2.33%,,78.22%,G,81.07%,G,0:20:32,G,0:21:15,G,106/2578,G,119/2578,G
5487,,-4.13%,,-0.47%,,-15.07%,,-3.74%,,-2.35%,,1.31%,,-29.09%,,-22.40%,,4.67,,4.67,,38.91%,,41.94%,,0.24%,,0.08%,R,59.88%,,54.58%,,0:34:22,,0:33:23,,1882/2578,,1657/2578,
Total,B,0.70%,,3.27%,,-6.35%,,1.32%,,7.03%,,10.38%,,-12.99%,,-10.89%,,4.57,,4.57,,36.17%,,34.28%,R,2.04%,,1.22%,,56.94%,,53.38%,,0:38:07,,0:37:28,,160/394,,172/394,
396,,-2.81%,,1.20%,,-9.58%,,-2.02%,,-15.35%,R,-10.15%,R,-10.00%,,-3.25%,,4.33,,4.33,,30.21%,R,30.04%,R,2.40%,,2.67%,G,66.32%,,56.72%,,1:00:24,R,0:52:18,R,1739/2578,,1578/2578,
514,,-3.85%,,-3.27%,,-14.15%,,-11.79%,R,-25.63%,R,-13.05%,R,-22.63%,,-30.58%,R,<5 Reviews,,<5 Reviews,,39.31%,,34.63%,,0.00%,R,0.00%,R,44.65%,,35.92%,,0:35:52,,0:34:51,,2000/2578,,2234/2578,R
624,,6.05%,,11.58%,G,-8.08%,,1.79%,,-11.15%,R,-3.17%,R,-11.27%,,-9.18%,,4.78,G,4.78,G,50.60%,,55.05%,G,9.06%,G,4.85%,G,13.89%,R,15.52%,R,0:42:06,,0:43:00,,1153/2578,,971/2578,
644,,-8.10%,R,-0.84%,,-12.99%,,-1.45%,,1.67%,,8.11%,,-33.48%,R,-16.26%,,3.67,R,3.67,R,53.38%,,43.69%,,0.41%,,1.50%,,54.39%,,63.50%,,0:45:23,,0:44:33,,2088/2578,R,1576/2578,
1270,,7.58%,G,14.58%,G,15.01%,G,25.32%,G,31.93%,G,28.41%,,-5.99%,,10.22%,G,4.33,,4.33,,55.08%,,46.95%,,4.54%,G,9.13%,G,38.54%,,36.33%,,0:30:41,,0:32:28,,172/2578,G,136/2578,G
4487,,-8.94%,R,0.56%,,-28.77%,R,-5.60%,,-21.68%,R,-1.41%,,-32.47%,R,-14.69%,,4.43,,4.43,,31.24%,R,30.31%,R,0.69%,,0.81%,,16.18%,R,22.60%,,0:34:50,,0:32:53,,2438/2578,R,1704/2578,
6576,,-2.33%,,-0.32%,,-26.33%,R,-12.80%,R,-29.09%,R,-11.09%,R,-25.11%,,-18.64%,,4.73,,4.73,,48.96%,,43.21%,,0.00%,R,0.41%,,40.65%,,26.95%,,0:33:51,,0:33:57,,2090/2578,R,1946/2578,
6887,,1.71%,,8.92%,G,-0.85%,,12.63%,,3.44%,,14.01%,,-7.99%,,7.89%,G,4.86,G,4.86,G,35.86%,,28.36%,R,0.66%,,0.79%,,53.45%,,46.16%,,0:42:42,,0:39:17,,968/2578,,548/2578,
Total,B,-1.73%,,3.73%,,-9.95%,,1.68%,,-7.50%,R,1.92%,R,-18.46%,,-8.30%,,4.51,,4.51,,44.08%,,40.05%,,2.35%,,2.97%,G,38.44%,,35.99%,,0:40:35,,0:39:14,,279/394,,184/394,
477,,-1.43%,,3.63%,,16.22%,G,12.39%,,1.90%,,-2.71%,R,-11.76%,,-16.51%,,<5 Reviews,,<5 Reviews,,64.58%,G,64.01%,G,13.95%,G,6.66%,G,85.00%,G,93.41%,G,0:34:14,,0:30:19,G,477/2578,G,644/2578,
619,,-0.84%,,3.33%,,0.62%,,16.22%,,4.73%,,20.79%,,-5.94%,,-7.18%,,4.88,G,4.88,G,15.61%,R,26.19%,R,3.61%,G,4.16%,G,36.21%,,31.05%,,0:29:42,G,0:31:02,,819/2578,,537/2578,
663,,-3.44%,,0.79%,,-15.40%,,-16.91%,R,-4.73%,,-6.23%,R,-23.02%,,-18.91%,,4.20,R,4.20,R,28.20%,R,28.00%,R,0.38%,,0.66%,,43.99%,,37.61%,,0:53:59,R,1:06:30,R,2134/2578,R,2237/2578,R
698,,-4.82%,,-0.33%,,-24.80%,R,-8.40%,,-2.26%,,-2.02%,R,-23.56%,,-20.60%,,4.74,,4.74,,56.54%,G,71.95%,G,2.14%,,8.91%,G,74.06%,G,76.09%,G,0:39:52,,0:42:05,,1924/2578,,1551/2578,
1089,,-14.02%,R,-7.32%,R,-22.00%,R,-14.86%,R,-4.48%,,3.09%,,-33.73%,R,-26.57%,R,4.73,,4.73,,37.12%,,33.69%,,0.00%,R,0.14%,R,44.57%,,45.40%,,0:25:10,G,0:26:19,G,2238/2578,R,2156/2578,R
1606,,-7.30%,,-4.23%,,-17.95%,,-9.47%,,-7.92%,R,-1.01%,,-46.49%,R,-35.88%,R,4.63,,4.63,,51.58%,,39.22%,,18.15%,G,10.24%,G,62.90%,,55.03%,,0:43:12,,0:45:22,,2084/2578,R,2070/2578,R
3659,,7.07%,,13.34%,G,-3.46%,,13.24%,,13.01%,,20.30%,,-13.29%,,1.26%,G,5.00,G,5.00,G,81.93%,G,84.98%,G,13.94%,G,17.27%,G,87.82%,G,83.55%,G,0:23:09,G,0:23:32,G,289/2578,G,75/2578,G
3835,,7.37%,,11.42%,G,3.16%,,8.32%,,8.10%,,16.41%,,16.15%,G,5.36%,G,4.37,,4.37,,43.72%,,44.99%,,0.00%,R,0.47%,,55.83%,,63.88%,,0:35:13,,0:34:45,,535/2578,,515/2578,G
5263,,-3.94%,,3.70%,,-21.84%,R,-8.92%,,-20.11%,R,-9.63%,R,-45.73%,R,-35.21%,R,4.80,G,4.80,G,56.02%,G,51.67%,,0.00%,R,1.07%,,82.87%,G,70.23%,G,0:43:13,,0:14:15,G,2168/2578,R,1438/2578,
Total,B,-2.95%,,2.19%,,-12.37%,,-3.17%,,-1.40%,R,4.49%,R,-22.97%,,-17.81%,,4.65,G,4.65,G,46.43%,,48.75%,,5.47%,G,6.16%,G,60.34%,G,59.33%,G,0:34:49,,0:33:24,G,255/394,,193/394,
658,,-0.47%,,2.54%,,-6.31%,,5.15%,,8.41%,,13.12%,,-28.34%,,-20.68%,,5.00,G,5.00,G,48.89%,,47.34%,,0.00%,R,0.06%,R,41.33%,,54.52%,,0:27:27,G,0:28:56,G,1165/2578,,990/2578,
669,,-9.85%,R,-5.41%,,-20.08%,R,-15.83%,R,-8.31%,R,-10.81%,R,-28.36%,,-18.89%,,4.83,G,4.83,G,34.89%,,31.39%,R,3.02%,,1.21%,,57.61%,,60.07%,,0:26:20,G,0:26:35,G,2009/2578,,1989/2578,
756,,-4.96%,,-0.22%,,-21.02%,R,3.56%,,8.00%,,25.34%,,-40.93%,R,-19.60%,,4.33,,4.33,,47.37%,,47.29%,,2.02%,,4.24%,G,73.68%,G,78.57%,G,0:26:42,G,0:26:43,G,1834/2578,,906/2578,
