Store,Offsite Storage Pickup Date,Service  Hours,Shred Vendor,Pallet  Count
54,4/25/2022,7 am to 6 pm,Shred It ,4
55,3/24/2022,7 am to 6 pm,Shred It ,1
56,9/3/2021,7 am to 6 pm,Shred It ,5
57,3/31/2022,7 am to 6 pm,Shred It ,1
58,3/30/2022,7 am to 6 pm,Shred It ,3
59,4/12/2022,7 am to 6 pm,Shred It ,2
60,4/18/2022,7 am to 6 pm,Shred It ,4
61,5/2/2022,7 am to 6 pm,Shred It ,2
62,3/24/2022,7 am to 6 pm,Shred It ,2
63,5/18/2022,7 am to 6 pm,Shred It ,1
64,TBD,TBD,TBD,TBD
65,9/1/2021,7 am to 6 pm,Shred It ,6
66,3/29/2022,7 am to 6 pm,Shred It ,4
67,4/12/2022,7 am to 6 pm,Shred It ,1
68,5/5/2021,7 am to 6 pm,Shred It ,3
69,4/13/2022,7 am to 6 pm,Shred It ,5
70,11/23/1900,7 am to 6 pm,Shred It ,4
71,3/31/2022,7 am to 6 pm,Shred It ,1
72,9/15/2021,7 am to 6 pm,Shred It ,5
73,5/19/2022,7 am to 6 pm,Shred It ,9
74,3/28/2022,7 am to 6 pm,Shred It ,4
75,TBD,TBD,TBD,TBD
76,4/25/2022,7 am to 6 pm,Shred It ,5
77,5/19/2021,7 am to 6 pm,Shred It ,4
78,8/18/2021,7 am to 6 pm,Shred It ,5
79,4/12/2022,7 am to 6 pm,Shred It ,1
80,4/21/2022,7 am to 6 pm,Shred It ,3
81,9/17/2021,7 am to 6 pm,Shred It ,7
82,10/15/2021,7 am to 6 pm,Shred It ,7
83,3/28/2022,7 am to 6 pm,Shred It ,5
85,4/7/2022,7 am to 6 pm,Shred It ,4
86,4/19/2022,7 am to 6 pm,Shred It ,9
87,2/25/2022,7 am to 6 pm,Shred It ,3
88,9/15/2021,7 am to 6 pm,Shred It ,5
89,5/14/2021,7 am to 6 pm,Shred It ,9
90,4/27/2022,7 am to 6 pm,Shred It ,5
91,3/24/2022,7 am to 6 pm,Shred It ,2
92,4/6/2022,7 am to 6 pm,Shred It ,4
93,5/18/2021,7 am to 6 pm,Shred It ,4
94,5/31/2021,7 am to 6 pm,Shred It ,9
95,4/8/2022,7 am to 6 pm,Shred It ,3
96,5/4/2022,7 am to 6 pm,Shred It ,7
97,3/25/2022,7 am to 6 pm,Shred It ,3
98,2/25/2022,7 am to 6 pm,Shred It ,9
99,4/12/2022,7 am to 6 pm,Shred It ,3
100,3/25/2022,7 am to 6 pm,Shred It ,16
101,4/5/2022,7 am to 6 pm,Shred It ,3
102,No Service Required per Store,7 am to 6 pm,Shred It ,0
103,No Service Required per Store,7 am to 6 pm,Shred It ,0
104,3/21/2022,7 am to 6 pm,Shred It ,5
105,3/17/2022,7 am to 6 pm,Shred It ,4
106,4/26/2022,7 am to 6 pm,Shred It ,1
107,6/2/2022,7 am to 6 pm,Shred It ,1
108,5/9/2022,7 am to 6 pm,Shred It ,2
109,5/10/2022,7 am to 6 pm,Shred It ,1
110,3/10/2021,7 am to 6 pm,Shred It ,4
111,6/1/2022,7 am to 6 pm,Shred It ,3
112,6/1/2021,7 am to 6 pm,Shred It ,7
113,4/21/2022,7 am to 6 pm,Shred It ,3
114,3/17/2022,7 am to 6 pm,Shred It ,3
115,5/27/2021,7 am to 6 pm,Shred It ,6
116,2/25/2022,7 am to 6 pm,Shred It ,1
117,No Service Required per Store,7 am to 6 pm,Shred It ,0
118,3/21/2022,7 am to 6 pm,Shred It ,3
119,4/4/2022,7 am to 6 pm,Shred It ,2
120,3/21/2022,7 am to 6 pm,Shred It ,4
121,4/28/2022,7 am to 6 pm,Shred It ,5
122,4/11/2022,7 am to 6 pm,Shred It ,4
123,4/28/2022,7 am to 6 pm,Shred It ,9
124,3/29/2022,7 am to 6 pm,Shred It ,7
125,3/28/2022,7 am to 6 pm,Shred It ,5
126,TBD,TBD,TBD,TBD
127,TBD,TBD,TBD,TBD
128,3/22/2022,7 am to 6 pm,Shred It ,2
129,8/5/2021,7 am to 6 pm,Shred It ,22
130,5/18/2022,7 am to 6 pm,Shred It ,2
131,3/23/2022,7 am to 6 pm,Shred It ,3
132,No Service Required per Store,7 am to 6 pm,Shred It ,0
133,3/15/2022,7 am to 6 pm,Shred It ,2
134,4/26/2022,7 am to 6 pm,Shred It ,2
135,No Service Required per Store,7 am to 6 pm,Shred It ,0
136,No Service Required per Store,7 am to 6 pm,Shred It ,0
137,5/5/2022,7 am to 6 pm,Shred It ,6
138,4/20/2022,7 am to 6 pm,Shred It ,19
139,5/3/2022,7 am to 6 pm,Shred It ,1
140,TBD,TBD,TBD,TBD
141,9/17/2021,7 am to 6 pm,Shred It ,5
143,7/16/2021,7 am to 6 pm,Shred It ,2
144,4/11/2022,7 am to 6 pm,Shred It ,8
145,4/13/2022,7 am to 6 pm,Shred It ,1
146,3/23/2022,7 am to 6 pm,Shred It ,1
147,3/12/2022,7 am to 6 pm,Shred It ,1
148,9/10/2021,7 am to 6 pm,Shred It ,6
149,2/26/2022,7 am to 6 pm,Shred It ,4
150,4/26/2022,7 am to 6 pm,Shred It ,5
151,5/16/2022,7 am to 6 pm,Shred It ,5
152,4/22/2022,7 am to 6 pm,Shred It ,2
153,3/18/2022,7 am to 6 pm,Shred It ,7
154,TBD,TBD,TBD,TBD
155,3/14/2022,7 am to 6 pm,Shred It ,4
157,4/4/2022,7 am to 6 pm,Shred It ,2
158,3/14/2022,7 am to 6 pm,Shred It ,2
159,4/20/2022,7 am to 6 pm,Shred It ,12
160,4/4/2022,7 am to 6 pm,Shred It ,5
161,No Service Required per Store,7 am to 6 pm,Shred It ,0
162,4/21/2022,7 am to 6 pm,Shred It ,1
163,7/8/2021,7 am to 6 pm,Shred It ,8
164,3/11/2022,7 am to 6 pm,Shred It ,5
165,3/15/2022,7 am to 6 pm,Shred It ,2
166,No Service Required per Store,7 am to 6 pm,Shred It ,0
167,3/30/2022,7 am to 6 pm,Shred It ,2
168,5/17/2022,7 am to 6 pm,Shred It ,8
169,3/21/2022,7 am to 6 pm,Shred It ,3
170,6/4/2021,7 am to 6 pm,Shred It ,9
171,10/7/2021,7 am to 6 pm,Shred It ,10
172,4/21/2022,7 am to 6 pm,Shred It ,5
173,4/8/2022,7 am to 6 pm,Shred It ,8
174,2/25/2021,7 am to 6 pm,Shred It ,1
175,9/23/2021,7 am to 6 pm,Shred It ,17
176,3/17/2022,7 am to 6 pm,Shred It ,1
177,No Service Required per Store,7 am to 6 pm,Shred It ,0
178,5/11/2022,7 am to 6 pm,Shred It ,3
179,4/19/2022,7 am to 6 pm,Shred It ,2
180,3/16/2022,7 am to 6 pm,Shred It ,3
181,3/7/2022,7 am to 6 pm,Shred It ,1
182,2/25/2022,7 am to 6 pm,Shred It ,7
183,5/14/2021,7 am to 6 pm,Shred It ,5
184,5/3/2022,7 am to 6 pm,Shred It ,5
185,4/2/2022,7 am to 6 pm,Shred It ,8
186,4/26/2022,7 am to 6 pm,Shred It ,1
188,4/11/2022,7 am to 6 pm,Shred It ,3
189,4/21/2022,7 am to 6 pm,Shred It ,2
190,4/4/2022,7 am to 6 pm,Shred It ,5
192,6/3/2021,7 am to 6 pm,Shred It ,7
194,8/6/2021,7 am to 6 pm,Shred It ,2
195,5/3/2022,7 am to 6 pm,Shred It ,10
196,TBD,TBD,TBD,TBD
197,No Service Required Per Store ,7 am to 6 pm,Shred It ,0
198,10/8/2021,7 am to 6 pm,Shred It ,4
199,7/1/2022,7 am to 6 pm,Shred It ,1
200,7/27/2022,7 am to 6 pm,Shred It ,5
201,6/24/2022,7 am to 6 pm,Shred It ,14
202,No Service Required per Store,7 am to 6 pm,Shred It ,0
203,No Service Required per Store,7 am to 6 pm,Shred It ,0
204,4/28/2022,7 am to 6 pm,Shred It ,6
205,9/20/2021,7 am to 6 pm,Shred It ,2
206,3/12/2022,7 am to 6 pm,Shred It ,10
207,5/19/2022,7 am to 6 pm,Shred It ,5
209,3/21/2022,7 am to 6 pm,Shred It ,3
210,4/28/2022,7 am to 6 pm,Shred It ,2
211,No Service Required Per Store,7 am to 6 pm,Shred It ,0
212,5/3/2022,7 am to 6 pm,Shred It ,6
213,7/26/2022,7 am to 6 pm,Shred It ,2
214,7/21/2021,7 am to 6 pm,Shred It ,2
216,7/11/2022,7 am to 6 pm,Shred It ,3
217,3/19/2022,7 am to 6 pm,Shred It ,5
218,3/28/2022,7 am to 6 pm,Shred It ,7
219,5/2/2022,7 am to 6 pm,Shred It ,6
220,9/2/2021,7 am to 6 pm,Shred It ,3
221,5/31/2022,7 am to 6 pm,Shred It ,5
222,7/12/2022,7 am to 6 pm,Shred It ,3
224,7/12/2022,7 am to 6 pm,Shred It ,4
225,5/17/2022,7 am to 6 pm,Shred It ,4
226,3/21/2022,7 am to 6 pm,Shred It ,2
227,4/29/2022,7 am to 6 pm,Shred It ,1
228,3/12/2022,7 am to 6 pm,Shred It ,4
229,No Service Required per Store,7 am to 6 pm,Shred It ,0
230,3/21/2022,7 am to 6 pm,Shred It ,1
231,5/17/2022,7 am to 6 pm,Shred It ,3
232,6/2/2022,7 am to 6 pm,Shred It ,6
233,7/1/2022,7 am to 6 pm,Shred It ,1
234,1/13/2022,7 am to 6 pm,Shred It ,9
236,7/24/2021,7 am to 6 pm,Shred It ,6
237,7/11/2022,7 am to 6 pm,Shred It ,3
238,3/24/2022,7 am to 6 pm,Shred It ,2
239,5/14/2021,7 am to 6 pm,Shred It ,1
240,3/12/2022,7 am to 6 pm,Shred It ,5
241,TBD,TBD,TBD,TBD
242,5/3/2022,7 am to 6 pm,Shred It ,1
243,No Service Required per Store,7 am to 6 pm,Shred It ,0
244,2/26/2022,7 am to 6 pm,Shred It ,5
245,TBD,TBD,TBD,TBD
246,5/19/2022,7 am to 6 pm,Shred It ,5
247,5/16/2022,7 am to 6 pm,Shred It ,2
248,3/10/2022,7 am to 6 pm,Shred It ,5
249,7/24/2021,7 am to 6 pm,Shred It ,7
250,4/12/2022,7 am to 6 pm,Shred It ,3
251,3/14/2022,7 am to 6 pm,Shred It ,3
252,6/27/2022,7 am to 6 pm,Shred It ,1
253,10/11/2021,7 am to 6 pm,Shred It ,7
254,7/15/2022,7 am to 6 pm,Shred It ,5
256,7/11/2022,7 am to 6 pm,Shred It ,13
257,3/31/2022,7 am to 6 pm,Shred It ,3
258,3/21/2022,7 am to 6 pm,Shred It ,3
259,3/19/2022,7 am to 6 pm,Shred It ,4
260,3/14/2022,7 am to 6 pm,Shred It ,5
261,4/7/2022,7 am to 6 pm,Shred It ,5
262,7/1/2022,7 am to 6 pm,Shred It ,1
264,3/22/2022,7 am to 6 pm,Shred It ,11
265,3/12/2022,7 am to 6 pm,Shred It ,3
266,3/19/2022,7 am to 6 pm,Shred It ,5
267,4/18/2022,7 am to 6 pm,Shred It ,1
268,No Service Required per Store,7 am to 6 pm,Shred It ,0
269,4/21/2022,7 am to 6 pm,Shred It ,3
271,3/17/2022,7 am to 6 pm,Shred It ,1
272,5/25/2021,7 am to 6 pm,Shred It ,10
273,No Service Required per Store,7 am to 6 pm,Shred It ,0
274,3/17/2022,7 am to 6 pm,Shred It ,1
275,TBD,TBD,TBD,TBD
276,No Service Required per Store,7 am to 6 pm,Shred It ,0
277,5/10/2022,7 am to 6 pm,Shred It ,2
278,10/7/2021,7 am to 6 pm,Shred It ,2
279,3/15/2022,7 am to 6 pm,Shred It ,3
280,No Service Required per Store,7 am to 6 pm,Shred It ,0
281,3/24/2022,7 am to 6 pm,Shred It ,3
282,4/21/2022,7 am to 6 pm,Shred It ,6
283,6/3/2021,7 am to 6 pm,Shred It ,3
284,TBD,TBD,TBD,TBD
285,9/29/2021,7 am to 6 pm,Shred It ,1
286,3/12/2022,7 am to 6 pm,Shred It ,6
287,4/27/2021,7 am to 6 pm,Shred It ,8
288,TBD,TBD,TBD,TBD
289,3/24/2022,7 am to 6 pm,Shred It ,1
290,TBD,TBD,TBD,TBD
292,7/16/2021,7 am to 6 pm,Shred It ,3
293,7/24/2021,7 am to 6 pm,Shred It ,1
294,No Service Required per Store,7 am to 6 pm,Shred It ,0
295,5/5/2021,7 am to 6 pm,Shred It ,2
296,4/6/2022,7 am to 6 pm,Shred It ,1
297,7/2/2021,7 am to 6 pm,Shred It ,11
298,2/23/2022,7 am to 6 pm,Shred It ,7
299,4/7/2022,7 am to 6 pm,Shred It ,1
300,5/5/2021,7 am to 6 pm,Shred It ,7
301,4/23/2021,7 am to 6 pm,Shred It ,4
302,6/28/2022,7 am to 6 pm,Shred It ,1
303,3/18/2022,7 am to 6 pm,Shred It ,3
304,3/25/2022,7 am to 6 pm,Shred It ,5
305,No Service required per store,7 am to 6 pm,Shred It ,0
306,2/23/2022,7 am to 6 pm,Shred It ,8
307,2/25/2022,7 am to 6 pm,Shred It ,6
308,3/30/2022,7 am to 6 pm,Shred It ,4
309,5/17/2021,7 am to 6 pm,Shred It ,3
310,5/21/2021,7 am to 6 pm,Shred It ,10
311,6/4/2021,7 am to 6 pm,Shred It ,4
312,6/15/2021,7 am to 6 pm,Shred It ,15
313,4/20/2022,7 am to 6 pm,Shred It ,2
314,3/28/2022,7 am to 6 pm,Shred It ,1
315,4/23/2021,7 am to 6 pm,Shred It ,3
316,4/30/2021,7 am to 6 pm,Shred It ,5
317,7/14/2022,7 am to 6 pm,Shred It ,5
318,3/23/2022,7 am to 6 pm,Shred It ,2
319,10/6/2021,7 am to 6 pm,Shred It ,9
320,3/14/2022,7 am to 6 pm,Shred It ,1
321,7/24/2021,7 am to 6 pm,Shred It ,3
322,No Service Required per Store,7 am to 6 pm,Shred It ,0
323,10/5/2021,7 am to 6 pm,Shred It ,9
324,4/28/2022,7 am to 6 pm,Shred It ,2
325,4/25/2022,7 am to 6 pm,Shred It ,3
326,4/26/2022,7 am to 6 pm,Shred It ,1
328,6/28/2022,7 am to 6 pm,Shred It ,9
329,6/18/2021,7 am to 6 pm,Shred It ,4
330,6/25/2021,7 am to 6 pm,Shred It ,4
331,5/24/2021,7 am to 6 pm,Shred It ,5
332,2/22/2022,7 am to 6 pm,Shred It ,6
333,4/7/2022,7 am to 6 pm,Shred It ,2
334,TBD,TBD,TBD,TBD
335,3/24/2022,7 am to 6 pm,Shred It ,9
336,3/23/2022,7 am to 6 pm,Shred It ,1
337,4/18/2022,7 am to 6 pm,Shred It ,2
338,4/15/2022,7 am to 6 pm,Shred It ,5
339,TBD,TBD,TBD,TBD
340,5/2/2022,7 am to 6 pm,Shred It ,6
341,5/3/2022,7 am to 6 pm,Shred It ,1
342,4/18/2022,7 am to 6 pm,Shred It ,1
343,7/26/2022,7 am to 6 pm,Shred It ,2
344,8/9/2021,7 am to 6 pm,Shred It ,14
345,3/16/2022,7 am to 6 pm,Shred It ,5
346,4/26/2022,7 am to 6 pm,Shred It ,3
347,5/12/2021,7 am to 6 pm,Shred It ,8
348,4/8/2022,7 am to 6 pm,Shred It ,6
350,8/4/2022,7 am to 6 pm,Shred It ,1
351,7/1/2021,7 am to 6 pm,Shred It ,1
352,7/12/2022,7 am to 6 pm,Shred It ,1
353,3/12/2022,7 am to 6 pm,Shred It ,2
354,4/14/2022,7 am to 6 pm,Shred It ,1
355,4/26/2021,7 am to 6 pm,Shred It ,5
356,TBD,TBD,TBD,TBD
357,4/19/2022,7 am to 6 pm,Shred It ,2
358,3/31/2022,7 am to 6 pm,Shred It ,1
359,4/25/2022,7 am to 6 pm,Shred It ,1
360,6/13/2022,7 am to 6 pm,Shred It ,3
361,7/15/2022,7 am to 6 pm,Shred It ,9
362,5/10/2021,7 am to 6 pm,Shred It ,5
363,4/25/2022,7 am to 6 pm,Shred It ,7
364,TBD,TBD,TBD,TBD
365,6/11/2021,7 am to 6 pm,Shred It ,1
366,4/4/2022,7 am to 6 pm,Shred It ,5
368,9/2/2021,7 am to 6 pm,Shred It ,2
369,4/25/2022,7 am to 6 pm,Shred It ,2
370,4/25/2022,7 am to 6 pm,Shred It ,3
371,3/12/2022,7 am to 6 pm,Shred It ,1
372,4/27/2022,7 am to 6 pm,Shred It ,3
373,No Service Required per Store,7 am to 6 pm,Shred It ,0
374,5/18/2022,7 am to 6 pm,Shred It ,2
375,7/22/2021,7 am to 6 pm,Shred It ,5
376,10/5/2021,7 am to 6 pm,Shred It ,20
377,1/11/2022,7 am to 6 pm,Shred It ,1
378,4/18/2022,7 am to 6 pm,Shred It ,1
379,4/19/2022,7 am to 6 pm,Shred It ,6
381,TBD,TBD,TBD,TBD
382,No Service Required per Store,7 am to 6 pm,Shred It ,0
383,6/9/2021,7 am to 6 pm,Shred It ,8
384,6/9/2021,7 am to 6 pm,Shred It ,2
385,7/28/2021,7 am to 6 pm,Shred It ,1
386,No Service required per store,7 am to 6 pm,Shred It ,0
387,5/19/2022,7 am to 6 pm,Shred It ,3
388,3/24/2022,7 am to 6 pm,Shred It ,1
389,5/12/2022,7 am to 6 pm,Shred It ,4
390,3/24/2022,7 am to 6 pm,Shred It ,9
391,5/19/2021,7 am to 6 pm,Shred It ,3
392,4/26/2022,7 am to 6 pm,Shred It ,1
393,3/24/2022,7 am to 6 pm,Shred It ,7
394,2/22/2022,7 am to 6 pm,Shred It ,5
395,7/1/2021,7 am to 6 pm,Shred It ,2
396,2/21/2022,7 am to 6 pm,Shred It ,1
397,6/25/2021 * Service will be completed onsite as this area only runs onsite trucks,7 am to 6 pm,Shred It ,8
398,3/21/2022,7 am to 6 pm,Shred It ,7
399,3/21/2022,7 am to 6 pm,Shred It ,5
400,7/29/2021,7 am to 6 pm,Shred It ,8
401,6/1/2021,7 am to 6 pm,Shred It ,2
402,5/25/2021,7 am to 6 pm,Shred It ,6
403,2/22/2022,7 am to 6 pm,Shred It ,6
404,7/12/2021,7 am to 6 pm,Shred It ,1
405,6/23/2021,7 am to 6 pm,Shred It ,1
406,3/25/2022,7 am to 6 pm,Shred It ,3
407,No Service Required per Store,7 am to 6 pm,Shred It ,0
408,6/3/2021,7 am to 6 pm,Shred It ,3
409,No Service required per store,7 am to 6 pm,Shred It ,0
410,4/29/2022,7 am to 6 pm,Shred It ,1
411,5/27/2021,7 am to 6 pm,Shred It ,1
412,7/21/2021,7 am to 6 pm,Shred It ,2
413,7/19/2021,7 am to 6 pm,Shred It ,6
414,3/26/2022,7 am to 6 pm,Shred It ,2
415,5/17/2021,7 am to 6 pm,Shred It ,4
416,No Service Required per Store,7 am to 6 pm,Shred It ,0
417,3/14/2022,7 am to 6 pm,Shred It ,5
418,7/18/2022,7 am to 6 pm,Shred It ,6
419,7/15/2021,7 am to 6 pm,Shred It ,11
420,3/26/2022,7 am to 6 pm,Shred It ,6
421,5/12/2022,7 am to 6 pm,Shred It ,2
422,7/19/2022,7 am to 6 pm,Shred It ,1
423,5/11/2021,7 am to 6 pm,Shred It ,7
424,1/12/2022,7 am to 6 pm,Shred It ,2
425,TBD,TBD,TBD,TBD
426,5/20/2021,7 am to 6 pm,Shred It ,9
427,3/12/2022,7 am to 6 pm,Shred It ,6
428,6/2/2021,7 am to 6 pm,Shred It ,15
429,7/2/2021,7 am to 6 pm,Shred It ,12
430,4/15/2022,7 am to 6 pm,Shred It ,2
431,3/28/2022,7 am to 6 pm,Shred It ,4
432,5/4/2021,7 am to 6 pm,Shred It ,8
433,2/22/2022,7 am to 6 pm,Shred It ,3
434,2/24/2022,7 am to 6 pm,Shred It ,3
435,TBD,TBD,TBD,TBD
436,6/27/2022,7 am to 6 pm,Shred It ,1
437,6/30/2021,7 am to 6 pm,Shred It ,4
438,No Service Required Per Store ,7 am to 6 pm,Shred It ,0
440,6/30/2021,7 am to 6 pm,Shred It ,6
442,6/29/2021,7 am to 6 pm,Shred It ,4
443,TBD,TBD,TBD,TBD
444,4/4/2022,7 am to 6 pm,Shred It ,1
445,4/14/2022,7 am to 6 pm,Shred It ,3
446,7/24/2021,7 am to 6 pm,Shred It ,1
447,3/16/2022,7 am to 6 pm,Shred It ,5
448,2/28/2022,7 am to 6 pm,Shred It ,9
449,6/3/2021,7 am to 6 pm,Shred It ,1
450,2/28/2022,7 am to 6 pm,Shred It ,13
451,4/21/2022,7 am to 6 pm,Shred It ,4
452,6/21/2021,7 am to 6 pm,Shred It ,10
453,4/29/2022,7 am to 6 pm,Shred It ,1
454,10/8/2021,7 am to 6 pm,Shred It ,3
456,7/14/2021,7 am to 6 pm,Shred It ,4
457,No Service required per store,7 am to 6 pm,Shred It ,0
458,8/4/2021,7 am to 6 pm,Shred It ,4
459,No Service Required per Store,7 am to 6 pm,Shred It ,0
461,3/16/2022,7 am to 6 pm,Shred It ,3
462,7/10/2021,7 am to 6 pm,Shred It ,1
463,6/18/2021,7 am to 6 pm,Shred It ,3
464,6/25/2021,7 am to 6 pm,Shred It ,9
465,6/28/2021,7 am to 6 pm,Shred It ,7
466,3/21/2022,7 am to 6 pm,Shred It ,7
467,TBD,TBD,TBD,TBD
468,3/15/2022,7 am to 6 pm,Shred It ,1
469,5/24/2021,7 am to 6 pm,Shred It ,4
470,TBD,TBD,TBD,TBD
471,No Service Required per Store,7 am to 6 pm,Shred It ,0
472,7/29/2021,7 am to 6 pm,Shred It ,10
473,7/21/2021,7 am to 6 pm,Shred It ,1
475,10/4/2021,7 am to 6 pm,Shred It ,10
476,3/10/2022,7 am to 6 pm,Shred It ,1
477,3/21/2022,7 am to 6 pm,Shred It ,1
478,7/2/2021,7 am to 6 pm,Shred It ,3
479,5/10/2022,7 am to 6 pm,Shred It ,1
480,7/15/2022,7 am to 6 pm,Shred It ,1
481,TBD,TBD,TBD,TBD
482,TBD,TBD,TBD,TBD
483,5/3/2021,7 am to 6 pm,Shred It ,2
484,5/19/2022,7 am to 6 pm,Shred It ,10
485,5/19/2021,7 am to 6 pm,Shred It ,4
486,5/19/2022,7 am to 6 pm,Shred It ,10
488,6/11/2021,7 am to 6 pm,Shred It ,9
489,6/1/2021,7 am to 6 pm,Shred It ,4
490,6/24/2021,7 am to 6 pm,Shred It ,1
491,3/29/2022,7 am to 6 pm,Shred It ,4
492,7/1/2022,7 am to 6 pm,Shred It ,7
493,4/14/2022,7 am to 6 pm,Shred It ,6
494,3/24/2021,7 am to 6 pm,Shred It ,2
495,1/12/2022,7 am to 6 pm,Shred It ,1
497,5/24/2022,7 am to 6 pm,Shred It ,3
498,6/4/2021,7 am to 6 pm,Shred It ,7
499,5/12/2022,7 am to 6 pm,Shred It ,4
500,3/15/2022,7 am to 6 pm,Shred It ,13
501,6/7/2021,7 am to 6 pm,Shred It ,5
502,6/11/2021,7 am to 6 pm,Shred It ,10
503,6/23/2021,7 am to 6 pm,Shred It ,1
504,TBD,TBD,TBD,TBD
505,6/23/2021,7 am to 6 pm,Shred It ,6
506,10/15/2021,7 am to 6 pm,Shred It ,4
507,4/7/2022,7 am to 6 pm,Shred It ,7
508,7/14/2021,7 am to 6 pm,Shred It ,7
510,7/22/2021,7 am to 6 pm,Shred It ,17
511,No Service required per store,7 am to 6 pm,Shred It ,0
512,TBD,TBD,TBD,TBD
513,3/31/2022,7 am to 6 pm,Shred It ,7
514,2/22/2022,7 am to 6 pm,Shred It ,5
515,4/18/2022,7 am to 6 pm,Shred It ,6
516,5/20/2021,7 am to 6 pm,Shred It ,13
517,10/7/2021,7 am to 6 pm,Shred It ,3
518,6/9/2021,7 am to 6 pm,Shred It ,7
519,4/15/2022,7 am to 6 pm,Shred It ,1
520,5/26/2021,7 am to 6 pm,Shred It ,16
521,5/24/2021,7 am to 6 pm,Shred It ,1
522,8/6/2021,7 am to 6 pm,Shred It ,4
523,3/15/2022,7 am to 6 pm,Shred It ,4
524,6/16/2021,7 am to 6 pm,Shred It ,5
525,3/30/2021,7 am to 6 pm,Shred It ,1
526,4/15/2022,7 am to 6 pm,Shred It ,12
527,6/25/2021,7 am to 6 pm,Shred It ,1
528,3/16/2021,7 am to 6 pm,Shred It ,10
529,7/10/2021,7 am to 6 pm,Shred It ,4
530,3/25/2022,7 am to 6 pm,Shred It ,2
531,5/24/2021,7 am to 6 pm,Shred It ,3
532,6/23/2021,7 am to 6 pm,Shred It ,4
533,9/16/2021,7 am to 6 pm,Shred It ,5
535,3/22/2022,7 am to 6 pm,Shred It ,14
536,3/17/2022,7 am to 6 pm,Shred It ,5
537,TBD,TBD,TBD,TBD
538,4/2/2021,7 am to 6 pm,Shred It ,2
539,6/25/2021,7 am to 6 pm,Shred It ,2
540,5/17/2021,7 am to 6 pm,Shred It ,12
541,6/26/2021,7 am to 6 pm,Shred It ,13
542,6/2/2021,7 am to 6 pm,Shred It ,11
543,6/4/2021,7 am to 6 pm,Shred It ,7
544,5/24/2022,7 am to 6 pm,Shred It ,9
545,TBD,TBD,TBD,TBD
546,TBD,TBD,TBD,TBD
547,3/4/2021,7 am to 6 pm,Shred It ,6
548,3/11/2022,7 am to 6 pm,Shred It ,5
549,5/18/2022,7 am to 6 pm,Shred It ,3
550,7/19/2022,7 am to 6 pm,Shred It ,3
551,3/22/2021,7 am to 6 pm,Shred It ,4
