Store #,Address,Store,State,Poss Date,Door,Walmart REX/GO Date,Winston Goal Start Date,Staffing Status,VM Name,Start Date,Confirmed Temp Solve ,Notes
1635,"2000 S WEST AVE, Waukesha, WI 53186",WAUKESHA,WI,1/8/24,2024,4/26/24,4/22/24,Hired,Jill V.,4/22/24,,
1689,"5650 South Chambers Road, Aurora, CO 80015",AURORA,CO,1/8/24,2024,4/26/24,4/22/24,Hired,Trevor B.,5/20/24,4/22-4/26,
1787,"2014 KITTYHAWK RD, Carroll, IA 51401",CARROLL,IA,1/22/24,2024,4/26/24,4/22/24,Hired,Angel H.,5/28/24,4/22-4/26,
1910,"900 E Washington Blvd, Crescent City, CA 95531",CRESCENT CITY,CA,1/22/24,2024,4/26/24,4/22/24,Hired,Tonya M.,4/29/24,4/22-4/26,
2102,"4854 West Us Hwy 10 , Ludington, MI 49431",LUDINGTON,MI,1/22/24,2024,5/10/24,4/22/24,Hired,Melleta U.,6/24/24,5/6-5/10,GO changed from 4/26 to 5/10 per RPL David Roman on 4/15
2270,"1155 South Camino Del Rio, Durango, CO 81303",DURANGO,CO,1/8/24,2024,4/26/24,4/22/24,Hired,Rachel L.,5/20/24,,
2273,"5323 East Court St North, Burton, MI 48509",BURTON,MI,1/22/24,2024,4/26/24,4/22/24,Hired,Lisa M.,4/8/23,,
2348,"1231 Folly Road, James Island, SC 29412",CHARLESTON,SC,1/8/24,2024,4/12/24,4/22/24,Hired,Christine L.,5/6/24,4/8-4/12,
2351,"30 Catskill Cmns, Catskill, NY 12414",CATSKILL,NY,1/15/24,2024,4/26/24,4/22/24,Hired,Nancy R.,5/13/24,4/15-4/19,GO changed from 4/22 to 4/26 per FVM Jamal on 4/19
2417,"1850 Anderson Rd, Petoskey, MI 49770",PETOSKEY,MI,1/8/24,2024,4/26/24,4/22/24,Offer Out ,#VALUE!,1/0/00,4/22-4/26,
2493,"5859 28Th Street, Grand Rapids, MI 49546",GRAND RAPIDS,MI,1/8/24,2024,4/26/24,4/22/24,Offer Out ,Katrina H.,5/6/24,4/22-4/26,
2504,"601 Frank Stottile Blvd, Kingston, NY 12401",KINGSTON,NY,1/8/24,2024,4/26/24,4/22/24,Hired,Daniel G.,4/29/24,4/22-4/26,
2749,"2514 Halltown Road, Spruce Pine, NC 28777",SPRUCE PINE,NC,1/15/24,2024,4/19/24,4/22/24,Hired,Stephanie I.,6/3/24,4/15-4/19,
2774,"7730 Sawmill Road, Dublin, OH 43016",DUBLIN,OH,1/8/24,2024,4/12/24,4/22/24,Hired,Asha B.,4/15/24,4/8-4/12,
2804,"1801 Belle Isle Blvd, Oklahoma City, OK 73118",OKLAHOMA CITY,OK,1/15/24,2024,4/19/24,4/22/24,Hired,Sean K.,4/22/24,,
2846,"7950 Craft Goodman Frontage Rd, Olive Branch, MS 38654",OLIVE BRANCH,MS,1/15/24,2024,4/19/24,4/22/24,Hired,Philanese K.,5/6/24,4/8-4/12,
3107,"24403 W Interstate 10, San Antonio, TX 78257",SAN ANTONIO,TX,1/8/24,2024,4/12/24,4/22/24,Hired,Leonard M.,4/15/24,4/8-4/12,
3529,"10735 Pendleton Pike, Lawrence, IN 46236",INDIANAPOLIS,IN,1/8/24,2024,4/26/24,4/22/24,Hired,Maria R.,4/15/24,,
3838,"2010 Village Center Drive, Tarentum, PA 15084",TARENTUM,PA,1/15/24,2024,4/19/24,4/22/24,Hired,Ashley D.,5/20/24,4/15-4/19,
3851,"2347 Veterans Memorial Pkwy S, Lafayette, IN 47909",LAFAYETTE,IN,1/8/24,2024,4/12/24,4/22/24,Hired,Moeyshia T.,4/15/24,4/8-4/12,
4102,"1151 Us Hwy 90 E, Castroville, TX 78009",CASTROVILLE,TX,1/8/24,2024,4/12/24,4/22/24,Hired,Marisa T.,4/22/24,,
4187,"2701 Cloverdale Road, Florence, AL 35633",FLORENCE,AL,1/22/24,2024,4/26/24,4/22/24,Hired,Braylah E.,4/22/24,,
4389,"4901 Dartmouth College Hwy, Woodsville, NH 3785",WOODSVILLE,NH,1/15/24,2024,4/19/24,4/22/24,Hired,Tina E.,5/6/24,4/15-4/19,
4392,"12234 Palmdale Road, Victorville, CA 92392",VICTORVILLE,CA,1/15/24,2024,4/19/24,4/22/24,Hired,Elizabeth V.,4/15/24,4/8-4/12,
5303,"1280 Gail Gardner Way, Prescott, AZ 86305",PRESCOTT,AZ,1/22/24,2024,4/26/24,4/22/24,Hired,Heather J.,5/28/24,5/6-5/10,
7156,"733 Sun Valley Boulevard, Hewitt, TX 76643",HEWITT,TX,1/8/24,2024,4/12/24,4/22/24,Hired,Landria H.,5/13/24,4/8-4/12,
7280,"5601 Highway 157, Cullman, AL 35058",CULLMAN,AL,,2024,4/26/24,4/22/24,Hired,Claire J.,5/28/24,,
182,"1831 S Dr Martin L. King Blvd, Greenville, MS 38701",GREENVILLE,MS,,2024,5/3/24,4/29/24,Hired,Magdaleene P.,5/13/24,4/29-5/3,
366,"4525 Hwy 411, Madisonville, TN 37354",MADISONVILLE,TN,1/15/24,2024,5/3/24,4/29/24,Hired,Jennifer M.,4/22/24,,
493,"305 LETTON DR, Paris, KY 40361",PARIS,KY,1/15/24,2024,5/3/24,4/29/24,Hired,Heather S.,5/13/24,4/29-5/3,
710,"4424 Lebanon Pike, Hermitage, TN 37076",HERMITAGE,TN,1/15/24,2024,5/3/24,4/29/24,Hired,John H.,5/13/24,4/29-5/3,
712,"24833 Johnt Reidprkw, Scottsboro, AL 35768",SCOTTSBORO,AL,1/29/24,2024,5/17/24,4/29/24,Hired,Josh A.,7/22/24,,GO date change confirmed by vignette install schedule 5/1
765,"16503 Nacogdoches Road, San Antonio, TX 78247",SAN ANTONIO,TX,1/29/24,2024,5/3/24,4/29/24,Hired,Lindy M.,4/29/24,,
768,"1313 Fry Road, Katy, TX 77449",KATY,TX,1/15/24,2024,5/3/24,4/29/24,Hired,Ashley M.,5/6/24,,
772,"3506 S. Hwy 6 South, Houston, TX 77082",HOUSTON,TX,1/15/24,2024,5/3/24,4/29/24,Hired,Ceaser T.,4/22/24,,
1152,"255 - 16TH ST SW, Sioux Center, IA 51250",SIOUX CENTER,IA,1/29/24,2024,5/3/24,4/29/24,Hired,Tara A.,7/8/24,4/30-5/3,
1172,"13490 Beach Boulevard, Jacksonville, FL 32224",JACKSONVILLE,FL,1/29/24,2024,6/14/24,4/29/24,Hired,Julian B.,5/6/24,,GO date change confirmed by VM SVR on 5/13
1192,"1625 Simpson Hwy #49, Magee, MS 39111",MAGEE,MS,1/15/24,2024,5/3/24,4/29/24,Hired,Shanda P.,6/17/24,2-May,
1252,"6675 Business Center Dr., Highlands Ranch, CO 80130",HIGHLANDS RANCH,CO,,2024,5/3/24,4/29/24,Hired,Paris S.,5/13/24,4/29-5/3,
1473,"1881 Madison Avenue, Mankato, MN 56001",MANKATO,MN,1/15/24,2024,5/3/24,4/29/24,Hired,Charlotte O.,6/24/24,4/29-5/3,
1523,"11400 West Broad Street Road, Glen Allen, VA 23060",GLEN ALLEN,VA,,2024,5/3/24,4/29/24,Hired,Catirra S.,5/13/24,4/8-4/12,
1618,"2936 East 79Th Avenue, Merrillville, IN 46410",MERRILLVILLE,IN,1/15/24,2024,5/3/24,4/29/24,Hired,Terra M.,5/6/24,,
1623,"2150 Wilkes Barre Twnsp Mktpl, Wilkes-Barre, PA 18702",WILKES BARRE,PA,1/15/24,2024,5/17/24,4/29/24,Hired,Tracy H.,6/17/24,,GO date change per FVM Jamal on 5/6
1672,"2500 East Lake Shore Drive, Ashland, WI 54806",ASHLAND,WI,1/29/24,2024,5/17/24,4/29/24,Hired,Heidi W.,TBA,,GO date change confirmed by vignette install schedule 5/1
1969,"900 Wal-Mart Way, Midlothian, VA 23113",MIDLOTHIAN,VA,1/15/24,2024,5/3/24,4/29/24,Hired,Ann J.,4/22/24,,
2113,"1607 West Bethany Home Rd, Phoenix, AZ 85015",PHOENIX,AZ,1/15/24,2024,5/3/24,4/29/24,Hired,Sara M.,4/22/24,,
2136,"801 James Madison Hwy, Culpeper, VA 22701",CULPEPER,VA,1/15/24,2024,5/3/24,4/29/24,Hired,George J.,4/22/24,,
2213,"3270 Telegraph Rd, st. louis, MO 63125",SAINT LOUIS,MO,1/15/24,2024,5/3/24,4/29/24,Hired,Anne R.,6/3/24,4/29-5/3,
2510,"8760 NORTHRIDGE WAY, Minocqua, WI 54548",MINOCQUA,WI,1/29/24,2024,5/3/24,4/29/24,Hired,Kayla R.,5/20/24,4/29-5/3,
2550,"221 N.E. 104Th Ave., Vancouver, WA 98664",VANCOUVER,WA,,2024,5/3/24,4/29/24,Hired,Danyelle H.,5/20/24,4/29-5/3,
2554,"13055 W Rancho Sante Fe Blvd, Avondale, AZ 85323",AVONDALE,AZ,1/29/24,2024,5/17/24,4/29/24,Hired,Tamara F.,6/17/24,5/14-5/17,GO change confirmed by FVM April on 5/9
2684,"1142 South Bridge Street, New Martinsville, WV 26155",NEW MARTINSVILLE,WV,1/15/24,2024,5/3/24,4/29/24,Hired,Tiffany S.,4/29/24,4/29-5/3,
2821,"2410 Sheila Lane, Richmond, VA 23225",RICHMOND,VA,1/15/24,2024,5/3/24,4/29/24,Hired,Rebecca R.,5/21/24,,GO date change confirmed by VM SVR on 5/14
2827,"2801 Commerce Drive, Coralville, IA 52241",CORALVILLE,IA,1/29/24,2024,5/17/24,4/29/24,Hired,Erin M.,6/3/24,,Not confirmed by Pamela McCoin (Realty Project Manager) via email on 4/19
2955,"1701 West 133Rd Street, Kansas City, MO 64145",KANSAS CITY,MO,1/15/24,2024,5/3/24,4/29/24,Hired,Jenny R.,4/29/24,,
3182,"12500 Us 15 501 N, Chapel Hill, NC 27517",CHAPEL HILL,NC,1/29/24,2024,5/3/24,4/29/24,Hired,Lewis W.,6/10/24,,
3430,"9011 Ne 23rd St, Midwest City, OK 73141",OKLAHOMA CITY,OK,1/15/24,2024,5/3/24,4/29/24,Hired,Tiara S.,4/22/24,,
4250,"1001 Shiloh Glenn Dr., Morrisville, NC 27560",MORRISVILLE,NC,1/15/24,2024,5/10/24,4/29/24,Hired,Jodi T.,4/8/24,,GO date change confirmed by VM SVR on 5/14
4474,"10096 Kenai Spur Hwy, Kenai, AK 99611",KENAI,AK,1/15/24,2024,5/3/24,4/29/24,Hired,LaShantay S.,5/15/24,,
4574,"5825 Thunder Rd, Concord, NC 28027",CONCORD,NC,1/15/24,2024,5/3/24,4/29/24,Hired,Keresa W.,5/20/24,,
5189,"5250 West Indian School Road, Phoenix, AZ 85031",PHOENIX,AZ,1/29/24,2024,5/31/24,4/29/24,Hired,Marie F.,4/22/24,,GO date change confirmed by VM SVR on 5/13
5419,"2600 Mcingvale Road, Hernando, MS 38632",HERNANDO,MS,1/29/24,2024,5/3/24,4/29/24,Hired,Jatarris W.,6/24/24,,
5444,"10305 Country Club Road, Ironwood, MI 49938",IRONWOOD,MI,1/29/24,2024,5/3/24,4/29/24,Hired,Alexis M.,7/29/24,"4/29,5/1-5/3",
5779,"16375 Merchant Ln, King George, VA 22485",KING GEORGE,VA,1/15/24,2024,5/10/24,4/29/24,Hired,Dezirae S.,4/22/24,,GO date change confirmed by FVM Jamal on 5/2
5922,"546 First Colonial Road, Virginia Beach, VA 23451",VIRGINIA BEACH,VA,1/29/24,2024,5/31/24,4/29/24,Hired,Luis R.,5/6/24,,GO date change per FVM Jamal on 5/6
6286,"3404 West Stan Schlueter Loop, Killeen, TX 76549",KILLEEN,TX,1/29/24,2024,5/3/24,4/29/24,Hired,Rachel L.,5/20/24,,
192,"2200 Brookmead Drive, Columbia, TN 38401",COLUMBIA,TN,2/5/24,2024,5/10/24,5/6/24,Final Interview,Sophia H.,4/15/24,,
300,"1625 Pelham South, Jacksonville, AL 36265",JACKSONVILLE,AL,2/5/24,2024,5/10/24,5/6/24,Final Interview,#VALUE!,1/0/00,5/6-5/10,
1008,"250 W 65TH ST, Fort Collins, CO 80525",LOVELAND,CO,1/22/24,2024,5/10/24,5/6/24,Hired,Heidi C.,5/6/24,,
1146,"511 No. Hwy 52, Moncks Corner, SC 29461",MONCKS CORNER,SC,2/26/24,2024,5/31/24,5/6/24,Hired,Casey G.,5/28/24,5/28-5/31,
1277,"616 Hwy 54 East, Black River Falls, WI 54615",BLACK RIVER FALLS,WI,1/22/24,2024,5/10/24,5/6/24,Hired,Michelle R.,6/17/24,5/6-5/10,
1985,"3549 Russett Green East, Laurel, MD 20724",LAUREL,MD,1/22/24,2024,5/10/24,5/6/24,Hired,Brittney S.,7/8/24,,
1996,"2551 E Hallandale Beach Blvd, Hallandale, FL 33009",HALLANDALE BEACH,FL,2/5/24,2024,5/24/24,5/6/24,Hired,Ashley K.,5/20/24,5/10-5/24,GO date change confirmed by vignette install schedule 5/1
2354,"2500 S ADAMS RD, Auburn Hills, MI 48326",ROCHESTER HILLS,MI,2/5/24,2024,5/10/24,5/6/24,Hired,Demetria W.,"
5/6/2024",,
2559,"33201 VAN DYKE AVE, Warren, MI 48093",STERLING HEIGHTS,MI,2/19/24,2024,5/31/24,5/6/24,Hired,Diamond W.,5/13/24,,
2580,"1415 Sunset Avenue, Clinton, NC 28328",CLINTON,NC,1/22/24,2024,5/10/24,5/6/24,Hired,Georgenia M.,5/28/24,5/6-5/10,
2644,"5825 Brockway Road, Saginaw, MI 48603",SAGINAW,MI,2/5/24,2024,5/10/24,5/6/24,Hired,Neoma F.,4/29/24,,
3612,"530 So. Graham-Hopedale Road, Burlington, NC 27217",BURLINGTON,NC,2/12/24,2024,6/14/24,5/6/24,Hired,Savannah G.,5/20/24,,GO date change confirmed by FVM Jessie on 5/31
4063,"17105 SAN CARLOS BLVD, Fort Myers Beach, FL 33931",FORT MYERS BEACH,FL,2/5/24,2024,7/19/24,5/6/24,Hired,Glynessa S.,5/13/24,,GO date change confirmed by VM SVR on 5/13
4230,"10105 Lima Rd, Fort Wayne, IN 46818",FORT WAYNE,IN,1/29/24,2024,5/31/24,5/6/24,Hired,Tammy Z.,5/21/24,,
4237,"10048 Charlotte Hwy, Indian Land, SC 29707",INDIAN LAND,SC,1/22/24,2024,5/28/24,5/6/24,Hired,Angela R.,6/3/24,,GO date change confirmed by VM SVR on 5/13
4450,"12981 Shelbyville Rd, Middletown, KY 40243",MIDDLETOWN,KY,1/22/24,2024,5/17/24,5/6/24,Hired,Manar G.,4/22/24,,GO date change confirmed by VM SVR on 5/13
4660,"18400 Hall Rd, Clinton Township, MI 48038",CLINTON TOWNSHIP,MI,1/22/24,2024,5/10/24,5/6/24,Hired,Rachael M.,7/29/24,5/6-5/10,
5044,"10000 Bartel Blvd, Galena, IL 61036",GALENA,IL,2/5/24,2024,5/24/24,5/6/24,Hired,Amber F.,5/13/24,5/6-5/10,GO date changed per FVM Molly on 5/6
5174,"7855 Moffett Road, Semmes, AL 36575",SEMMES,AL,2/12/24,2024,5/31/24,5/6/24,Hired,Tajuana O.,6/3/24,5/28-5/31,
5264,"13140 South Tamiami Trail, Osprey, FL 34229",OSPREY,FL,2/5/24,2024,5/24/24,5/6/24,Hired,Sondra K.,7/15/24,5/6-5/10,GO date change confirmed by VM SVR on 5/13
5301,"4375 Belvedere Road, West Palm Beach, FL 33406",WEST PALM BEACH,FL,2/12/24,2024,5/31/24,5/6/24,Hired,Robin D.,6/17/24,5/28-5/31,
5483,"882 S. State Road 135, Greenwood, IN 46143",GREENWOOD,IN,2/5/24,2024,5/10/24,5/6/24,Hired,Kalen C.,4/15/24,,
7194,"351 Alabama Road, Adel, GA 31620",ADEL,GA,2/5/24,2024,5/10/24,5/6/24,Hired,Ashley H.,5/28/24,5/6-5/10,
7326,"3301 Sw 104th Street, Oklahoma City, OK 73159",OKLAHOMA CITY,OK,2/5/24,2024,5/10/24,5/6/24,Hired,Carly P.,7/22/24,4/29-5/3,
227,"2400 South Country Club Road, El Reno, OK 73036",EL RENO,OK,3/4/24,2024,6/7/24,5/13/24,Sourcing,#VALUE!,1/0/00,6/3-6/7,
458,"2501 West Wheeler, Aransas Pass, TX 78336",ARANSAS PASS,TX,3/4/24,2024,6/7/24,5/13/24,Hired,Kaitlinn S.,6/17/24,6/3-6/7,
808,"121 Hwy 332 West, Lake Jackson, TX 77566",LAKE JACKSON,TX,1/29/24,2024,5/17/24,5/13/24,Hired,Pamela G.,5/13/24,,
911,"4810 Lapalco Blvd, Marrero, LA 70072",MARRERO,LA,2/12/24,2024,6/7/24,5/13/24,Hired,Dionta H.,5/20/24,,
1150,"1815 Brothers Blvd, College Station, TX 77845",COLLEGE STATION,TX,2/19/24,2024,6/7/24,5/13/24,Hired,Perla D.,6/24/24,6/3-6/7,
1151,"10824 PARALLEL PKWY, Kansas City, KS 66109",KANSAS CITY,KS,2/19/24,2024,6/7/24,5/13/24,Hired,Alyssa M.,7/1/24,,
1179,"60 Airport Rd, Arden, NC 28704",ARDEN,NC,3/4/24,2024,6/7/24,5/13/24,Hired,Naomi G.,6/18/24,6/3-6/7,
1204,"3451 Nelson Road, Lake Charles, LA 70605",LAKE CHARLES,LA,2/12/24,2024,5/17/24,5/13/24,Initial Interview,#VALUE!,1/0/00,5/20-5/24,
1366,"505 S. PINE RIDGE AVENUE, Merrill, WI 54452",MERRILL,WI,1/29/24,2024,5/17/24,5/13/24,Hired,Sonny B.,7/1/24,5/13-5/17,
1379,"210 Greenville Blvd, Greenville, NC 27834",GREENVILLE,NC,1/29/24,2024,6/7/24,5/13/24,Hired,Victoria C.,4/8/24,,GO date change confirmed by FVM Jessie on 5/31
1512,"800 West Warner Road, Chandler, AZ 85224",CHANDLER,AZ,1/29/24,2024,5/17/24,5/13/24,Hired,Donna C.,4/22/24,,
1734,"2610 No Prospect Ave, Champaign, IL 61821",CHAMPAIGN,IL,2/12/24,2024,5/17/24,5/13/24,Hired,Colleen M.,7/22/24,5/13-5/17,
1811,"1170 North Military Hwy., Norfolk, VA 23502",NORFOLK,VA,1/29/24,2024,5/17/24,5/13/24,Hired,Jourdan M.,4/22/24,,
1849,"320 East Hanes Mill Road, Winston-Salem, NC 27105",WINSTON SALEM,NC,2/12/24,2024,5/31/24,5/13/24,Initial Interview,#VALUE!,1/0/00,5/13-5/17,GO date change confirmed by VM SVR on 5/13
1885,"400 Butler Commons, Butler, PA 16001",BUTLER,PA,1/29/24,2024,5/17/24,5/13/24,Hired,Julia B.,5/13/24,,
1981,"45485 Miramar Way, California, MD 20619",CALIFORNIA,MD,1/29/24,2024,5/17/24,5/13/24,Hired,#VALUE!,1/0/00,5/13-5/17,
2066,"2727 Dunvale Road, Houston, TX 77063",HOUSTON,TX,1/15/24,2024,5/17/24,5/13/24,Hired,Durrell W.,5/1/24,,
2158,"200 Otis Street, Northborough, MA 1532",NORTHBOROUGH,MA,1/29/24,2024,5/17/24,5/13/24,Hired,Alecia B.,5/28/24,5/13-5/17,
2662,"313 West Thacker Road, Covington, VA 24426",COVINGTON,VA,2/19/24,2024,6/7/24,5/13/24,Hired,Cynthia W.,6/10/24,6/3-6/7,
3269,"258 River Rd, Mexico, ME 04257",MEXICO,ME,,2024,6/28/24,5/13/24,Sourcing,#VALUE!,1/0/00,6/24-6/28,GO date change confirmed by Crystal on 6/5
3329,"7494 Us Highway 11, Potsdam, NY 13676",POTSDAM,NY,2/12/24,2024,5/17/24,5/13/24,Hired,Flossie S.,5/28/20204,5/13-5/17,
3589,"350 West Hope Avenue, Salt Lake City, UT 84115",SALT LAKE CITY,UT,1/29/24,2024,5/17/24,5/13/24,Hired,Maddie P.,6/17/24,,
4581,"2500 Dawes Rd, Mobile, AL 36695",MOBILE,AL,2/12/24,2024,5/17/24,5/13/24,Hired,Jocelyn C.,5/28/24,5/13-5/17,
5491,"2266 Wyoming Blvd Ne, Albuquerque, NM 87112",ALBUQUERQUE,NM,1/29/24,2024,5/17/24,5/13/24,Hired,Shea A.,6/10/24,5/13-5/17,
104,"15427 So. First Street, Milan, TN 38358",MILAN,TN,3/11/24,2024,6/14/24,5/20/24,Hired,Amy H.,7/1/24,6/10-6/14,
376,"2536 Airline Dr, Bossier City, LA 71111",BOSSIER CITY,LA,1/8/24,2024,5/24/24,5/20/24,Hired,Eean T.,5/6/24,,
467,"1515 South Loop 288, Denton, TX 76208",DENTON,TX,2/26/24,2024,6/14/24,5/20/24,Hired,Nabil L.,5/20/24,,
741,"911 Hwy 321 North, Lenoir City, TN 37771",LENOIR CITY,TN,3/11/24,2024,6/14/24,5/20/24,Hired,Bronte S.,5/28/24,6/10-6/14,
764,"750 Academy Drive, Bessemer, AL 35022",BESSEMER,AL,3/11/24,2024,6/14/24,5/20/24,Hired,Ashley J.,7/1/24,6/10-6/14,
868,"2401 S. Canal St, Carlsbad, NM 88220",CARLSBAD,NM,2/5/24,2024,5/24/24,5/20/24,Hired,Patricia M.,6/24/24,5/20-5/24,
916,"6072 U.S. Highway 98, Hattiesburg, MS 39402",HATTIESBURG,MS,2/26/24,2024,6/14/24,5/20/24,Hired,Latoya S.,6/10/24,,
1121,"2592 No. Columbia St., Milledgeville, GA 31061",MILLEDGEVILLE,GA,2/5/24,2024,5/24/24,5/20/24,Hired,Amanda C.,5/27/24,5/20-5/24,
1236,"1002 N Spence Ave., Goldsboro, NC 27534",GOLDSBORO,NC,2/26/24,2024,6/14/24,5/20/24,Hired,Yolanda T.,5/6/24,,
1747,"1800 N PERRIS BLVD, Perris, CA 92571",PERRIS,CA,2/26/24,2024,6/21/24,5/20/24,Hired,Noel L.,5/20/24,,GO date change confirmed by VM SVR on 6/19
3075,"513 W 23rd St, Panama City, FL 32405",PANAMA CITY,FL,3/11/24,2024,6/14/24,5/20/24,Sourcing,Saheedah M.,8/4/24,6/10-6/14,
3764,"105 Centennial Blvd, Lindale, TX 75771",LINDALE,TX,2/5/24,2024,5/24/24,5/20/24,Hired,Shawntae W.,5/13/24,,
3826,"1911 Marsha Sharp Fwy, Lubbock, TX 79415",LUBBOCK,TX,3/11/24,2024,6/21/24,5/20/24,Hired,Lauren M.,5/20/24,,GO date change confirmed by VM SVR on 6/19
4865,"5200 West 60th Street North, Sioux Falls, SD 57107",SIOUX FALLS,SD,1/29/24,2024,6/14/24,5/20/24,Hired,Jazmin S.,5/20/24,,
5034,"4770 Colonial Blvd, Fort Myers, FL 33912",FORT MYERS,FL,2/5/24,2024,6/14/24,5/20/24,Hired,Melanie A.,6/3/24,5/27-5/31,GO date change per RPL on 5/16
5761,"45555 Michigan Ave, Canton, MI 48188",CANTON,MI,2/5/24,2024,5/24/24,5/20/24,Hired,Sandra S.,5/28/24,5/20-5/24,
390,"275 Walton Dr, Waverly, TN 37185",WAVERLY,TN,3/18/24,2024,6/21/24,5/28/24,Hired,Amber R.,5/20/24,,
548,"630 Collins Hill Rd, Lawrenceville, GA 30046",LAWRENCEVILLE,GA,3/4/24,2024,6/21/24,5/28/24,Hired,Angela G.,5/6/24,,
564,"6100 West Reno Ave, Oklahoma City, OK 73127",OKLAHOMA CITY,OK,3/4/24,2024,6/21/24,5/28/24,Hired,Dawn L.,6/10/24,6/10-6/14,
813,"401 W Commerce, Brownwood, TX 76801",BROWNWOOD,TX,3/4/24,2024,6/21/24,5/28/24,Hired,Stephanie G.,6/24/24,6/17-6/21,
875,"815 S. Wheatley Road, Ridgeland, MS 39157",RIDGELAND,MS,3/4/24,2024,6/21/24,5/28/24,Hired,Anthony C.,6/24/24,6/17-6/21,
1094,"10300 E HIGHWAY 350, Raytown, MO 64133",RAYTOWN,MO,3/4/24,2024,6/21/24,5/28/24,Hired,Amiri C.,6/3/24,6/17-6/21,
1703,"800 Foxcroft Avenue, Martinsburg, WV 25401",MARTINSBURG,WV,3/4/24,2024,6/21/24,5/28/24,Hired,Pascal A.,6/10/24,6/17-6/21,
2562,"2160 C0Mmerce Road, Goodland, KS 67735",GOODLAND,KS,3/4/24,2024,6/21/24,5/28/24,Hired,Nancy G.,7/29/24,,
2910,"2875 East State Street, Salem, OH 44460",SALEM,OH,3/4/24,2024,7/19/24,5/28/24,Hired,Suzanne H.,7/22/24,6/10-6/14,GO date change confirmed by FVM Jamal on 6/10
3237,"5521 E Arrowhead Parkway, Sioux Falls, SD 57110",SIOUX FALLS,SD,2/5/24,2024,6/21/24,5/28/24,Hired,Dixie R.,7/3/24,6/10-6/14,
3241,"18551 No. 83Rd Avenue, Glendale, AZ 85308",GLENDALE,AZ,3/4/24,2024,6/21/24,5/28/24,Hired,Maurice M.,5/28/24,,
3572,"10505 Broadway, Pearland, TX 77584",PEARLAND,TX,3/4/24,2024,6/21/24,5/28/24,Hired,Kamisha H.,5/6/24,,
3730,"3450 N Glassford Hill Rd, Prescott Valley, AZ 86314",PRESCOTT VALLEY,AZ,3/4/24,2024,6/21/24,5/28/24,Hired,Amber W.,5/28/24,,
3772,"468 Trade Center Ln, Jonesville, VA 24263",JONESVILLE,VA,3/4/24,2024,6/21/24,5/28/24,Hired,Ashley F.,5/28/24,,
131,"2311 South Jefferson, Mount Pleasant, TX 75455",MOUNT PLEASANT,TX,4/29/24,2024,8/2/24,6/3/24,Hired,Miranda R.,7/1/24,,
