store_nbr,acct_dept,UPC_Number,description,DEPT_CATEGORY_DESC,SIZE,pack_qty,pack_cost,base_retail
224,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
226,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
228,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
237,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
238,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
243,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
248,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
249,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
253,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
254,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
256,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
258,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
260,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
261,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
262,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
264,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
266,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
267,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
268,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
272,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
275,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
278,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
282,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
284,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
285,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
286,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
287,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
290,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
292,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
294,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
295,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
297,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
298,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
299,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
300,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
301,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
302,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
304,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
306,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
307,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
308,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
309,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
310,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
313,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
314,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
315,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
316,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
317,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
318,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
321,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
322,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
325,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
328,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
