Club #,Estimated Shipment Delivery Date,Apple Table Install Date,T-Mobile Kiosk Overnight Install,,,
6605,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, September 26, 2025",,,
6361,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, September 25, 2025",,,
8119,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Wednesday, September 24, 2025",,,
4990,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Tuesday, September 23, 2025",,,
6445,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Tuesday, September 23, 2025",,,
6631,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Monday, September 22, 2025",,,
8102,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Monday, September 22, 2025",,,
4777,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, September 19, 2025",,,
6643,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, September 19, 2025",,,
6409,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, September 18, 2025",,,
6630,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, September 18, 2025",,,
4745,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Wednesday, September 17, 2025",,,
6220,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Wednesday, September 17, 2025",,,
4741,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Tuesday, September 16, 2025",,,
4874,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Tuesday, September 16, 2025",,,
8221,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, September 12, 2025",,,
8265,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, September 12, 2025",,,
4775,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, September 11, 2025",,,
8181,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, September 11, 2025",,,
8287,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, September 11, 2025",,,
8261,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Wednesday, September 10, 2025",,,
6521,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Tuesday, September 9, 2025",,,
6527,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Monday, September 8, 2025",,,
4837,"Friday, August 22, 2025","Friday, September 5, 2025","Friday, September 5, 2025",,,
8114,"Friday, August 22, 2025","Thursday, September 4, 2025","Thursday, September 4, 2025",,,
6308,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 28, 2025",,,
6326,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Thursday, October 23, 2025",,,
6342,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 22, 2025",,,
6376,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 22, 2025",,,
8175,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 22, 2025",,,
4872,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 21, 2025",,,
6265,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 21, 2025",,,
8263,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 21, 2025",,,
4795,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Monday, October 20, 2025",,,
4839,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Monday, October 20, 2025",,,
6260,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Monday, October 20, 2025",,,
6236,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Friday, October 17, 2025",,,
6482,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Friday, October 17, 2025",,,
8296,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Thursday, October 16, 2025",,,
6460,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 14, 2025",,,
8152,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Thursday, October 9, 2025",,,
8242,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 8, 2025",,,
6428,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 7, 2025",,,
6413,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Friday, October 3, 2025",,,
8282,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Friday, October 3, 2025",,,
8248,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Thursday, October 2, 2025",,,
4847,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 1, 2025",,,
6372,"Friday, August 29, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 1, 2025",,,
4905,"Wednesday, September 3, 2025",Club Choice (Sun. - Thurs.),"Monday, October 13, 2025",,,
4743,"Wednesday, September 3, 2025","Wednesday, September 17, 2025","Wednesday, September 17, 2025",,,
6201,"Tuesday, September 9, 2025",Club Choice (Sun. - Thurs.),"Thursday, September 25, 2025",,,
8236,"Tuesday, September 9, 2025",Club Choice (Sun. - Thurs.),"Friday, September 19, 2025",,,
4720,"Tuesday, September 9, 2025",Club Choice (Sun. - Thurs.),"Tuesday, September 16, 2025",,,
6188,"Tuesday, September 9, 2025","Tuesday, September 9, 2025","Thursday, September 11, 2025",,,
8205,"Wednesday, September 10, 2025","Thursday, September 11, 2025","Friday, September 12, 2025",,,
6255,"Wednesday, September 10, 2025",Club Choice (Sun. - Thurs.),"Friday, September 19, 2025",,,
8275,"Wednesday, September 10, 2025",Club Choice (Sun. - Thurs.),"Wednesday, September 17, 2025",,,
6453,"Wednesday, September 10, 2025","Thursday, September 11, 2025","Friday, September 12, 2025",,,
6608,"Wednesday, September 10, 2025","Friday, September 12, 2025","Friday, September 12, 2025",,,
4783,"Sunday, September 14, 2025",Club Choice (Sun. - Thurs.),"Friday, September 26, 2025",,,
4774,"Sunday, September 14, 2025",Club Choice (Sun. - Thurs.),"Friday, September 19, 2025",,,
4871,"Sunday, September 14, 2025","Monday, September 8, 2025","Tuesday, September 9, 2025",,,
8246,"Sunday, September 14, 2025","Tuesday, September 16, 2025","Tuesday, September 16, 2025",,,
8259,"Monday, September 15, 2025","Wednesday, September 17, 2025","Wednesday, September 17, 2025",,,
8251,"Monday, September 15, 2025",Club Choice (Sun. - Thurs.),"Tuesday, September 23, 2025",,,
6474,"Monday, September 15, 2025",Club Choice (Sun. - Thurs.),"Wednesday, September 17, 2025",,,
6368,"Monday, September 15, 2025","Thursday, September 4, 2025","Monday, September 8, 2025",,,
8107,"Monday, September 22, 2025","Wednesday, September 24, 2025","Wednesday, September 24, 2025",,,
8299,"Monday, September 22, 2025",Club Choice (Sun. - Thurs.),"Wednesday, September 24, 2025",,,
6674,"Monday, September 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, September 18, 2025",,,
4790,"Monday, September 22, 2025","Friday, September 5, 2025","Monday, September 8, 2025",,,
4776,"Tuesday, September 23, 2025","Thursday, September 25, 2025","Thursday, September 25, 2025",,,
8182,"Tuesday, September 23, 2025","Tuesday, September 9, 2025","Thursday, September 11, 2025",,,
6503,"Tuesday, September 23, 2025",Club Choice (Sun. - Thurs.),"Thursday, September 18, 2025",,,
6305,"Tuesday, September 23, 2025","Monday, September 8, 2025","Tuesday, September 9, 2025",,,
