Market,RDC,Phase 1 Date,Phase 2 Date,Phase 3 Date
134,6048,11/1/2026,2/1/2028,#N/A
327,6018,3/17/2025,11/13/2026,3/13/2028
340,6069,4/1/2028,7/1/2029,#N/A
357,6069,4/1/2028,7/1/2029,#N/A
92,7038,1/1/2028,4/1/2029,#N/A
144,6018,3/17/2025,11/13/2026,3/13/2028
4,6006,8/22/2024,4/2/2026,8/2/2027
146,6066,7/1/2027,10/1/2028,#N/A
344,6094,1/1/2028,4/1/2029,#N/A
357,6094,1/1/2028,4/1/2029,#N/A
46,6036,2/16/2023,12/5/2024,4/5/2026
47,6036,2/16/2023,12/5/2024,4/5/2026
136,6018,3/17/2025,11/13/2026,3/13/2028
138,6011,2/29/2024,9/12/2025,1/12/2027
361,6035,8/15/2024,1/26/2026,5/26/2027
350,6068,4/1/2028,7/1/2029,#N/A
409,6035,8/15/2024,1/26/2026,5/26/2027
335,6069,4/1/2028,7/1/2029,#N/A
359,6009,10/1/2026,1/1/2028,#N/A
329,6018,3/17/2025,11/13/2026,3/13/2028
147,6066,7/1/2027,10/1/2028,#N/A
60,7036,4/1/2028,7/1/2029,#N/A
360,6035,8/15/2024,1/26/2026,5/26/2027
271,6066,7/1/2027,10/1/2028,#N/A
278,6009,10/1/2026,1/1/2028,#N/A
272,6069,4/1/2028,7/1/2029,#N/A
278,6092,4/1/2028,7/1/2029,#N/A
275,6009,10/1/2026,1/1/2028,#N/A
341,6069,4/1/2028,7/1/2029,#N/A
51,6068,4/1/2028,7/1/2029,#N/A
359,6009,10/1/2026,1/1/2028,#N/A
253,6066,7/1/2027,10/1/2028,#N/A
138,6011,2/29/2024,9/12/2025,1/12/2027
52,6068,4/1/2028,7/1/2029,#N/A
345,6094,1/1/2028,4/1/2029,#N/A
321,6094,1/1/2028,4/1/2029,#N/A
351,6094,1/1/2028,4/1/2029,#N/A
76,6036,2/16/2023,12/5/2024,4/5/2026
353,6068,4/1/2028,7/1/2029,#N/A
272,6069,4/1/2028,7/1/2029,#N/A
503,6036,2/16/2023,12/5/2024,4/5/2026
271,6066,7/1/2027,10/1/2028,#N/A
53,6068,4/1/2028,7/1/2029,#N/A
147,6006,8/22/2024,4/2/2026,8/2/2027
336,6069,4/1/2028,7/1/2029,#N/A
48,6068,4/1/2028,7/1/2029,#N/A
344,6094,1/1/2028,4/1/2029,#N/A
271,6069,4/1/2028,7/1/2029,#N/A
272,6069,4/1/2028,7/1/2029,#N/A
350,6068,4/1/2028,7/1/2029,#N/A
47,6036,2/16/2023,12/5/2024,4/5/2026
344,6094,1/1/2028,4/1/2029,#N/A
48,6036,2/16/2023,12/5/2024,4/5/2026
329,6018,3/17/2025,11/13/2026,3/13/2028
321,6094,1/1/2028,4/1/2029,#N/A
351,6068,4/1/2028,7/1/2029,#N/A
350,6068,4/1/2028,7/1/2029,#N/A
271,6066,7/1/2027,10/1/2028,#N/A
360,6035,8/15/2024,1/26/2026,5/26/2027
503,6036,2/16/2023,12/5/2024,4/5/2026
271,6066,7/1/2027,10/1/2028,#N/A
147,6006,8/22/2024,4/2/2026,8/2/2027
138,6011,2/29/2024,9/12/2025,1/12/2027
47,6036,2/16/2023,12/5/2024,4/5/2026
410,6035,8/15/2024,1/26/2026,5/26/2027
339,6069,4/1/2028,7/1/2029,#N/A
135,6048,11/1/2026,2/1/2028,#N/A
345,6094,1/1/2028,4/1/2029,#N/A
351,6094,1/1/2028,4/1/2029,#N/A
76,6036,2/16/2023,12/5/2024,4/5/2026
503,7036,4/1/2028,7/1/2029,#N/A
357,6069,4/1/2028,7/1/2029,#N/A
45,6036,2/16/2023,12/5/2024,4/5/2026
271,6069,4/1/2028,7/1/2029,#N/A
341,6069,4/1/2028,7/1/2029,#N/A
273,6066,7/1/2027,10/1/2028,#N/A
341,6069,4/1/2028,7/1/2029,#N/A
254,6066,7/1/2027,10/1/2028,#N/A
4,6006,8/22/2024,4/2/2026,8/2/2027
583,6036,2/16/2023,12/5/2024,4/5/2026
55,6036,2/16/2023,12/5/2024,4/5/2026
325,6018,3/17/2025,11/13/2026,3/13/2028
271,6066,7/1/2027,10/1/2028,#N/A
149,6066,7/1/2027,10/1/2028,#N/A
45,6036,2/16/2023,12/5/2024,4/5/2026
50,6036,2/16/2023,12/5/2024,4/5/2026
334,6094,1/1/2028,4/1/2029,#N/A
147,6006,8/22/2024,4/2/2026,8/2/2027
349,6068,4/1/2028,7/1/2029,#N/A
349,6068,4/1/2028,7/1/2029,#N/A
153,6066,7/1/2027,10/1/2028,#N/A
4,6006,8/22/2024,4/2/2026,8/2/2027
4,6006,8/22/2024,4/2/2026,8/2/2027
503,6036,2/16/2023,12/5/2024,4/5/2026
351,6094,1/1/2028,4/1/2029,#N/A
353,6068,4/1/2028,7/1/2029,#N/A
127,6036,2/16/2023,12/5/2024,4/5/2026
321,6018,3/17/2025,11/13/2026,3/13/2028
83,7036,4/1/2028,7/1/2029,#N/A
328,6018,3/17/2025,11/13/2026,3/13/2028
253,6066,7/1/2027,10/1/2028,#N/A
66,6048,11/1/2026,2/1/2028,#N/A
49,6036,2/16/2023,12/5/2024,4/5/2026
503,6036,2/16/2023,12/5/2024,4/5/2026
55,6036,2/16/2023,12/5/2024,4/5/2026
11,6006,8/22/2024,4/2/2026,8/2/2027
503,6036,2/16/2023,12/5/2024,4/5/2026
327,6018,3/17/2025,11/13/2026,3/13/2028
77,6016,2/16/2023,11/12/2024,3/12/2026
87,6016,2/16/2023,11/12/2024,3/12/2026
85,7036,4/1/2028,7/1/2029,#N/A
253,6066,7/1/2027,10/1/2028,#N/A
340,6069,4/1/2028,7/1/2029,#N/A
325,6018,3/17/2025,11/13/2026,3/13/2028
59,7036,4/1/2028,7/1/2029,#N/A
5,6006,8/22/2024,4/2/2026,8/2/2027
254,6066,7/1/2027,10/1/2028,#N/A
3,6006,8/22/2024,4/2/2026,8/2/2027
3,6006,8/22/2024,4/2/2026,8/2/2027
271,6066,7/1/2027,10/1/2028,#N/A
4,6018,3/17/2025,11/13/2026,3/13/2028
149,6066,7/1/2027,10/1/2028,#N/A
138,6011,2/29/2024,9/12/2025,1/12/2027
5,6006,8/22/2024,4/2/2026,8/2/2027
135,6048,11/1/2026,2/1/2028,#N/A
152,6006,8/22/2024,4/2/2026,8/2/2027
132,6048,11/1/2026,2/1/2028,#N/A
132,6048,11/1/2026,2/1/2028,#N/A
129,6048,11/1/2026,2/1/2028,#N/A
134,6048,11/1/2026,2/1/2028,#N/A
340,6069,4/1/2028,7/1/2029,#N/A
5,6006,8/22/2024,4/2/2026,8/2/2027
3,6006,8/22/2024,4/2/2026,8/2/2027
3,6006,8/22/2024,4/2/2026,8/2/2027
272,6069,4/1/2028,7/1/2029,#N/A
325,6018,3/17/2025,11/13/2026,3/13/2028
361,6035,8/15/2024,1/26/2026,5/26/2027
76,6036,2/16/2023,12/5/2024,4/5/2026
85,7036,4/1/2028,7/1/2029,#N/A
85,7036,4/1/2028,7/1/2029,#N/A
127,6048,11/1/2026,2/1/2028,#N/A
356,6094,1/1/2028,4/1/2029,#N/A
360,6069,4/1/2028,7/1/2029,#N/A
361,6069,4/1/2028,7/1/2029,#N/A
341,6069,4/1/2028,7/1/2029,#N/A
10,6006,8/22/2024,4/2/2026,8/2/2027
84,7036,4/1/2028,7/1/2029,#N/A
66,6048,11/1/2026,2/1/2028,#N/A
5,6006,8/22/2024,4/2/2026,8/2/2027
254,6066,7/1/2027,10/1/2028,#N/A
275,6069,4/1/2028,7/1/2029,#N/A
146,6066,7/1/2027,10/1/2028,#N/A
325,6018,3/17/2025,11/13/2026,3/13/2028
335,6069,4/1/2028,7/1/2029,#N/A
334,6094,1/1/2028,4/1/2029,#N/A
327,6018,3/17/2025,11/13/2026,3/13/2028
351,6094,1/1/2028,4/1/2029,#N/A
407,6035,8/15/2024,1/26/2026,5/26/2027
411,6035,8/15/2024,1/26/2026,5/26/2027
275,6069,4/1/2028,7/1/2029,#N/A
65,7036,4/1/2028,7/1/2029,#N/A
46,6036,2/16/2023,12/5/2024,4/5/2026
409,6035,8/15/2024,1/26/2026,5/26/2027
136,6011,2/29/2024,9/12/2025,1/12/2027
327,6018,3/17/2025,11/13/2026,3/13/2028
433,6035,8/15/2024,1/26/2026,5/26/2027
68,7036,4/1/2028,7/1/2029,#N/A
271,6069,4/1/2028,7/1/2029,#N/A
48,6068,4/1/2028,7/1/2029,#N/A
336,6069,4/1/2028,7/1/2029,#N/A
10,6054,4/1/2027,7/1/2028,#N/A
10,6054,4/1/2027,7/1/2028,#N/A
336,6069,4/1/2028,7/1/2029,#N/A
321,6094,1/1/2028,4/1/2029,#N/A
322,6094,1/1/2028,4/1/2029,#N/A
352,6094,1/1/2028,4/1/2029,#N/A
341,6069,4/1/2028,7/1/2029,#N/A
11,6006,8/22/2024,4/2/2026,8/2/2027
359,6069,4/1/2028,7/1/2029,#N/A
503,6036,2/16/2023,12/5/2024,4/5/2026
140,6011,2/29/2024,9/12/2025,1/12/2027
121,6039,11/2/2023,4/18/2025,8/18/2026
410,6094,1/1/2028,4/1/2029,#N/A
406,6035,8/15/2024,1/26/2026,5/26/2027
406,6035,8/15/2024,1/26/2026,5/26/2027
48,6068,4/1/2028,7/1/2029,#N/A
406,6035,8/15/2024,1/26/2026,5/26/2027
322,6094,1/1/2028,4/1/2029,#N/A
347,6094,1/1/2028,4/1/2029,#N/A
5,6006,8/22/2024,4/2/2026,8/2/2027
127,6036,2/16/2023,12/5/2024,4/5/2026
497,6040,8/15/2024,12/22/2025,4/22/2027
411,6035,8/15/2024,1/26/2026,5/26/2027
333,6069,4/1/2028,7/1/2029,#N/A
81,6036,2/16/2023,12/5/2024,4/5/2026
410,6035,8/15/2024,1/26/2026,5/26/2027
66,6036,2/16/2023,12/5/2024,4/5/2026
66,7036,4/1/2028,7/1/2029,#N/A
84,7036,4/1/2028,7/1/2029,#N/A
132,6048,11/1/2026,2/1/2028,#N/A
352,6094,1/1/2028,4/1/2029,#N/A
321,6094,1/1/2028,4/1/2029,#N/A
352,6094,1/1/2028,4/1/2029,#N/A
149,6066,7/1/2027,10/1/2028,#N/A
4,6006,8/22/2024,4/2/2026,8/2/2027
344,6094,1/1/2028,4/1/2029,#N/A
147,6066,7/1/2027,10/1/2028,#N/A
137,6006,8/22/2024,4/2/2026,8/2/2027
80,6016,2/16/2023,11/12/2024,3/12/2026
39,6070,1/1/2028,4/1/2029,#N/A
80,6016,2/16/2023,11/12/2024,3/12/2026
46,6036,2/16/2023,12/5/2024,4/5/2026
46,6036,2/16/2023,12/5/2024,4/5/2026
68,7036,4/1/2028,7/1/2029,#N/A
131,6048,11/1/2026,2/1/2028,#N/A
132,6048,11/1/2026,2/1/2028,#N/A
137,6006,8/22/2024,4/2/2026,8/2/2027
87,6016,2/16/2023,11/12/2024,3/12/2026
134,6048,11/1/2026,2/1/2028,#N/A
151,6066,7/1/2027,10/1/2028,#N/A
81,6036,2/16/2023,12/5/2024,4/5/2026
66,6048,11/1/2026,2/1/2028,#N/A
137,6006,8/22/2024,4/2/2026,8/2/2027
146,6066,7/1/2027,10/1/2028,#N/A
138,6006,8/22/2024,4/2/2026,8/2/2027
45,6036,2/16/2023,12/5/2024,4/5/2026
569,6016,2/16/2023,11/12/2024,3/12/2026
349,6068,4/1/2028,7/1/2029,#N/A
132,6048,11/1/2026,2/1/2028,#N/A
151,6066,7/1/2027,10/1/2028,#N/A
47,6036,2/16/2023,12/5/2024,4/5/2026
407,6035,8/15/2024,1/26/2026,5/26/2027
406,6035,8/15/2024,1/26/2026,5/26/2027
349,6068,4/1/2028,7/1/2029,#N/A
479,6068,4/1/2028,7/1/2029,#N/A
273,6066,7/1/2027,10/1/2028,#N/A
13,6006,8/22/2024,4/2/2026,8/2/2027
8,6006,8/22/2024,4/2/2026,8/2/2027
11,6006,8/22/2024,4/2/2026,8/2/2027
53,6068,4/1/2028,7/1/2029,#N/A
47,6036,2/16/2023,12/5/2024,4/5/2026
130,6048,11/1/2026,2/1/2028,#N/A
80,6016,2/16/2023,11/12/2024,3/12/2026
253,6066,7/1/2027,10/1/2028,#N/A
253,6066,7/1/2027,10/1/2028,#N/A
10,6006,8/22/2024,4/2/2026,8/2/2027
5,6006,8/22/2024,4/2/2026,8/2/2027
5,6006,8/22/2024,4/2/2026,8/2/2027
272,6069,4/1/2028,7/1/2029,#N/A
272,6069,4/1/2028,7/1/2029,#N/A
84,7036,4/1/2028,7/1/2029,#N/A
74,6068,4/1/2028,7/1/2029,#N/A
78,7036,4/1/2028,7/1/2029,#N/A
78,6016,2/16/2023,11/12/2024,3/12/2026
88,6016,2/16/2023,11/12/2024,3/12/2026
333,6094,1/1/2028,4/1/2029,#N/A
256,6066,7/1/2027,10/1/2028,#N/A
85,6036,2/16/2023,12/5/2024,4/5/2026
88,6016,2/16/2023,11/12/2024,3/12/2026
127,6036,2/16/2023,12/5/2024,4/5/2026
66,6048,11/1/2026,2/1/2028,#N/A
127,6048,11/1/2026,2/1/2028,#N/A
359,6069,4/1/2028,7/1/2029,#N/A
80,6016,2/16/2023,11/12/2024,3/12/2026
329,6018,3/17/2025,11/13/2026,3/13/2028
272,6066,7/1/2027,10/1/2028,#N/A
569,6016,2/16/2023,11/12/2024,3/12/2026
66,6048,11/1/2026,2/1/2028,#N/A
78,6016,2/16/2023,11/12/2024,3/12/2026
25,6054,4/1/2027,7/1/2028,#N/A
88,6016,2/16/2023,11/12/2024,3/12/2026
61,7036,4/1/2028,7/1/2029,#N/A
84,6016,2/16/2023,11/12/2024,3/12/2026
78,7036,4/1/2028,7/1/2029,#N/A
77,6016,2/16/2023,11/12/2024,3/12/2026
145,6018,3/17/2025,11/13/2026,3/13/2028
52,6068,4/1/2028,7/1/2029,#N/A
47,6018,3/17/2025,11/13/2026,3/13/2028
66,6048,11/1/2026,2/1/2028,#N/A
78,7036,4/1/2028,7/1/2029,#N/A
49,6036,2/16/2023,12/5/2024,4/5/2026
356,6094,1/1/2028,4/1/2029,#N/A
85,7036,4/1/2028,7/1/2029,#N/A
83,6016,2/16/2023,11/12/2024,3/12/2026
81,6036,2/16/2023,12/5/2024,4/5/2026
119,6066,7/1/2027,10/1/2028,#N/A
77,6016,2/16/2023,11/12/2024,3/12/2026
349,6012,12/18/2024,6/18/2026,10/18/2027
275,6009,10/1/2026,1/1/2028,#N/A
273,6092,4/1/2028,7/1/2029,#N/A
61,7036,4/1/2028,7/1/2029,#N/A
8,6006,8/22/2024,4/2/2026,8/2/2027
411,6035,8/15/2024,1/26/2026,5/26/2027
129,6048,11/1/2026,2/1/2028,#N/A
362,6035,8/15/2024,1/26/2026,5/26/2027
97,7035,7/1/2026,10/1/2027,#N/A
128,6011,2/29/2024,9/12/2025,1/12/2027
78,6016,2/16/2023,11/12/2024,3/12/2026
253,6066,7/1/2027,10/1/2028,#N/A
580,6066,7/1/2027,10/1/2028,#N/A
260,6017,4/7/2025,10/31/2026,2/29/2028
16,6054,4/1/2027,7/1/2028,#N/A
138,6006,8/22/2024,4/2/2026,8/2/2027
242,6017,4/7/2025,10/31/2026,2/29/2028
134,6048,11/1/2026,2/1/2028,#N/A
344,6094,1/1/2028,4/1/2029,#N/A
505,6012,12/18/2024,6/18/2026,10/18/2027
141,6011,2/29/2024,9/12/2025,1/12/2027
129,6048,11/1/2026,2/1/2028,#N/A
84,7036,4/1/2028,7/1/2029,#N/A
61,7036,4/1/2028,7/1/2029,#N/A
134,6048,11/1/2026,2/1/2028,#N/A
272,6069,4/1/2028,7/1/2029,#N/A
260,6017,4/7/2025,10/31/2026,2/29/2028
506,6016,2/16/2023,11/12/2024,3/12/2026
21,6054,4/1/2027,7/1/2028,#N/A
38,6040,8/15/2024,12/22/2025,4/22/2027
505,6012,12/18/2024,6/18/2026,10/18/2027
73,6012,12/18/2024,6/18/2026,10/18/2027
39,6010,5/4/2023,1/6/2025,5/6/2026
18,6039,11/2/2023,4/18/2025,8/18/2026
45,6036,2/16/2023,12/5/2024,4/5/2026
353,6068,4/1/2028,7/1/2029,#N/A
26,6054,4/1/2027,7/1/2028,#N/A
260,6066,7/1/2027,10/1/2028,#N/A
25,6054,4/1/2027,7/1/2028,#N/A
66,6048,11/1/2026,2/1/2028,#N/A
60,7036,4/1/2028,7/1/2029,#N/A
46,6036,2/16/2023,12/5/2024,4/5/2026
84,6016,2/16/2023,11/12/2024,3/12/2026
549,7035,7/1/2026,10/1/2027,#N/A
242,6017,4/7/2025,10/31/2026,2/29/2028
61,7036,4/1/2028,7/1/2029,#N/A
115,6020,5/1/2022,9/1/2024,In Progress
61,7036,4/1/2028,7/1/2029,#N/A
327,6018,3/17/2025,11/13/2026,3/13/2028
132,6048,11/1/2026,2/1/2028,#N/A
130,6048,11/1/2026,2/1/2028,#N/A
132,6048,11/1/2026,2/1/2028,#N/A
74,6012,12/18/2024,6/18/2026,10/18/2027
74,6012,12/18/2024,6/18/2026,10/18/2027
73,6012,12/18/2024,6/18/2026,10/18/2027
93,7035,7/1/2026,10/1/2027,#N/A
134,6048,11/1/2026,2/1/2028,#N/A
129,6048,11/1/2026,2/1/2028,#N/A
128,6011,2/29/2024,9/12/2025,1/12/2027
129,6048,11/1/2026,2/1/2028,#N/A
132,6048,11/1/2026,2/1/2028,#N/A
353,6094,1/1/2028,4/1/2029,#N/A
258,6039,11/2/2023,4/18/2025,8/18/2026
62,7036,4/1/2028,7/1/2029,#N/A
114,6020,5/1/2022,9/1/2024,In Progress
25,6054,4/1/2027,7/1/2028,#N/A
71,6012,12/18/2024,6/18/2026,10/18/2027
273,6066,7/1/2027,10/1/2028,#N/A
93,7035,7/1/2026,10/1/2027,#N/A
258,6039,11/2/2023,4/18/2025,8/18/2026
125,6011,2/29/2024,9/12/2025,1/12/2027
88,6016,2/16/2023,11/12/2024,3/12/2026
32,6010,5/4/2023,1/6/2025,5/6/2026
28,6010,5/4/2023,1/6/2025,5/6/2026
407,6035,8/15/2024,1/26/2026,5/26/2027
407,6035,8/15/2024,1/26/2026,5/26/2027
418,6009,10/1/2026,1/1/2028,#N/A
360,6035,8/15/2024,1/26/2026,5/26/2027
76,6068,4/1/2028,7/1/2029,#N/A
2,6006,8/22/2024,4/2/2026,8/2/2027
94,7035,7/1/2026,10/1/2027,#N/A
344,6068,4/1/2028,7/1/2029,#N/A
55,6036,2/16/2023,12/5/2024,4/5/2026
580,6066,7/1/2027,10/1/2028,#N/A
85,7036,4/1/2028,7/1/2029,#N/A
152,6066,7/1/2027,10/1/2028,#N/A
257,6066,7/1/2027,10/1/2028,#N/A
260,6017,4/7/2025,10/31/2026,2/29/2028
46,6036,2/16/2023,12/5/2024,4/5/2026
361,6035,8/15/2024,1/26/2026,5/26/2027
37,6040,8/15/2024,12/22/2025,4/22/2027
24,6054,4/1/2027,7/1/2028,#N/A
345,6094,1/1/2028,4/1/2029,#N/A
362,6035,8/15/2024,1/26/2026,5/26/2027
123,6039,11/2/2023,4/18/2025,8/18/2026
94,7035,7/1/2026,10/1/2027,#N/A
116,6020,5/1/2022,9/1/2024,In Progress
414,6009,10/1/2026,1/1/2028,#N/A
94,7035,7/1/2026,10/1/2027,#N/A
121,6039,11/2/2023,4/18/2025,8/18/2026
260,6017,4/7/2025,10/31/2026,2/29/2028
42,6070,1/1/2028,4/1/2029,#N/A
37,6040,8/15/2024,12/22/2025,4/22/2027
152,6066,7/1/2027,10/1/2028,#N/A
27,6010,5/4/2023,1/6/2025,5/6/2026
256,6017,4/7/2025,10/31/2026,2/29/2028
48,6068,4/1/2028,7/1/2029,#N/A
259,6017,4/7/2025,10/31/2026,2/29/2028
