CLUB ID,URL
6575,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6575.pdf
6582,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6582.pdf
6637,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6637.pdf
6652,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6652.pdf
6657,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6657.pdf
6658,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6658.pdf
6659,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6659.pdf
6660,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6660.pdf
6402,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6402.pdf
6662,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6662.pdf
6663,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6663.pdf
6664,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6664.pdf
6666,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6666.pdf
6667,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6667.pdf
6672,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6672.pdf
6673,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6673.pdf
6675,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6675.pdf
6677,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6677.pdf
6678,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6678.pdf
