Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
161,17,2261,SPARK,Scheduled Standard Delivery,9,Active Monitoring,Recovering,Driver Supply Focus,202424,93.50%,99.20%,6,98.40%,96.90%,91.60%,89.30%
171,17,2906,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202424,88.20%,98.70%,6.2,84.50%,91.30%,88.50%,88.60%
173,17,3543,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202424,89.50%,99.50%,7.9,87.60%,89.60%,93.30%,88.50%
577,17,3795,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202424,91.30%,99.80%,5.8,94.40%,91.60%,89.60%,89.20%
344,44,622,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202424,87.60%,90.00%,17.2,95.30%,69.40%,97.10%,80.70%
130,13,935,,Scheduled Delivery Standard,34,Executive Review,Recovering,Store Focus,202424,90.80%,96.80%,14.4,91.70%,87.50%,90.50%,93.70%
141,13,916,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202424,87.70%,69.00%,24.8,83.70%,92.20%,96.60%,78.00%
67,6,4416,,Scheduled Delivery Standard,6,Active Monitoring,Degrading,Store Focus,202424,90.50%,97.30%,11.1,50.20%,97.50%,97.30%,88.60%
61,6,504,,Scheduled Delivery Standard,4,Active Monitoring,Degrading,Store Focus,202424,89.60%,93.80%,12.3,88.00%,90.20%,92.60%,86.90%
63,6,5612,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202424,89.30%,95.60%,13.4,79.80%,96.40%,94.10%,85.20%
371,46,3771,,Scheduled Delivery Standard,43,Executive Review,Degrading,Store Focus,202424,90.60%,92.00%,17,86.60%,90.20%,95.60%,89.30%
494,59,5767,,Scheduled Delivery Standard,39,Executive Review,Recovering,Store Focus,202424,89.80%,67.20%,14.6,100.00%,93.30%,90.70%,75.20%
498,59,4524,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202424,83.30%,83.70%,16.9,87.20%,88.70%,89.70%,67.00%
249,41,1580,,Scheduled Delivery Standard,34,Executive Review,Recovering,Store Focus,202424,93.40%,90.10%,18.7,97.80%,97.10%,95.90%,83.20%
260,41,2628,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202424,85.40%,79.30%,18.4,91.20%,87.50%,85.50%,77.30%
242,41,3294,,Scheduled Delivery Standard,33,Executive Review,Recovering,Store Focus,202424,91.20%,87.40%,14.2,94.80%,93.70%,87.90%,87.70%
242,41,5417,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202424,89.00%,83.00%,14.2,78.70%,87.20%,95.50%,94.00%
243,41,2691,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202424,93.30%,96.10%,10.2,97.10%,95.40%,95.70%,85.10%
197,19,2912,,Scheduled Delivery Standard,12,At Risk,Recovering,Store Focus,202424,93.40%,94.20%,15.3,98.70%,99.00%,94.90%,80.60%
197,19,3476,,Scheduled Delivery Standard,31,Executive Review,Recovering,Store Focus,202424,92.90%,96.40%,10.6,96.00%,93.80%,93.00%,88.50%
197,19,4383,,Scheduled Delivery Standard,33,Executive Review,Degrading,Store Focus,202424,77.10%,97.50%,14,65.90%,81.80%,84.00%,75.10%
202,19,2080,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202424,90.80%,89.80%,12.3,86.40%,88.10%,96.60%,93.00%
