Store,City,ST,Scheduling Status,Date Scheduled,Time Scheduled,Lead Planned hours onsite
2063,AUSTINTOWN,OH,Scheduled,9/12/2024,7:00:00 PM,12
2124,BEAVERCREEK,OH,Scheduled,9/12/2024,7:00:00 PM,10
2283,COVENTRY,RI,Scheduled,9/12/2024,7:00:00 PM,12
5202,COMMACK,NY,Scheduled,9/12/2024,7:00:00 PM,8
5476,WOODBURY,NJ,Scheduled,9/12/2024,7:00:00 PM,12
904,FOLEY,AL,Scheduled,9/17/2024,7:00:00 PM,7
4506,COLUMBIA,SC,Scheduled,9/17/2024,7:00:00 PM,11
5,CONWAY,AR,In Progress,,7:00:00 PM,12
859,LAKE WALES,FL,In Progress,,7:00:00 PM,5
991,MOBILE,AL,In Progress,,7:00:00 PM,12
1168,COLUMBIA,MS,In Progress,,7:00:00 PM,10
1586,AUSTELL,GA,In Progress,,7:00:00 PM,9
1741,MILFORD,DE,In Progress,,7:00:00 PM,12
2565,MADISON HEIGHTS,VA,In Progress,,7:00:00 PM,12
4588,ORLANDO,FL,In Progress,,7:00:00 PM,7
4638,RUCKERSVILLE,VA,In Progress,,7:00:00 PM,10
4683,BATON ROUGE,LA,In Progress,,7:00:00 PM,10
5204,BOSSIER CITY,LA,In Progress,,7:00:00 PM,9
698,CLEVELAND,TN,In Progress,,7:00:00 PM,12
1053,LA GRANGE,KY,In Progress,,7:00:00 PM,12
1467,JAMESTOWN,TN,In Progress,,7:00:00 PM,8
2043,WARSAW,NY,In Progress,,7:00:00 PM,12
2156,MIDDLE ISLAND,NY,In Progress,,7:00:00 PM,12
5012,HAMILTON,NJ,In Progress,,7:00:00 PM,12
1529,YORK,PA,In Progress,,7:00:00 PM,7
3626,WINSTON SALEM,NC,In Progress,,7:00:00 PM,12
498,JENA,LA,In Progress,,7:00:00 PM,12
114,BOONEVILLE,MS,In Progress,,7:00:00 PM,9
404,SAN MARCOS,TX,In Progress,,7:00:00 PM,12
508,KERRVILLE,TX,In Progress,,7:00:00 PM,12
542,HOUMA,LA,Scheduled,9/16/2024,7:00:00 PM,8
660,MUSCLE SHOALS,AL,In Progress,,7:00:00 PM,12
743,OKLAHOMA CITY,OK,In Progress,,7:00:00 PM,12
818,PANAMA CITY BEACH,FL,In Progress,,7:00:00 PM,12
907,FORSYTH,GA,In Progress,,7:00:00 PM,12
1081,GAINESVILLE,FL,In Progress,,7:00:00 PM,10
1837,HUMBLE,TX,In Progress,,7:00:00 PM,9
2336,PLYMOUTH,MA,In Progress,,7:00:00 PM,12
2340,EPHRATA,PA,Scheduled,9/16/2024,7:00:00 PM,12
2765,LOS FRESNOS,TX,In Progress,,7:00:00 PM,12
2799,CLINTON,MD,Scheduled,9/16/2024,7:00:00 PM,12
2923,BILLINGS,MT,In Progress,,7:00:00 PM,10
3308,MIDDLEBURG,FL,Scheduled,9/16/2024,7:00:00 PM,12
3781,INDIANAPOLIS,IN,In Progress,,7:00:00 PM,10
4139,OMAHA,NE,Scheduled,9/16/2024,7:00:00 PM,7
4325,YUMA,AZ,In Progress,,7:00:00 PM,10
4445,CLEMSON,SC,Scheduled,9/16/2024,7:00:00 PM,8
5183,JEFFERSONTOWN,KY,Scheduled,9/16/2024,7:00:00 PM,3
314,FAYETTEVILLE,TN,In Progress,,7:00:00 PM,9
661,ATHENS,AL,In Progress,,7:00:00 PM,12
1465,DANVILLE,VA,In Progress,,7:00:00 PM,11
2188,EAGLE RIVER,AK,Scheduled,9/16/2024,7:00:00 PM,12
2419,REHOBOTH BEACH,DE,In Progress,,7:00:00 PM,11
3288,BATON ROUGE,LA,In Progress,,7:00:00 PM,12
3528,WIGGINS,MS,In Progress,,7:00:00 PM,5
3746,SHREVEPORT,LA,Scheduled,9/16/2024,7:00:00 PM,6
4277,HURRICANE,WV,In Progress,,7:00:00 PM,12
4460,NORTH LITTLE ROCK,AR,In Progress,,7:00:00 PM,7
5040,CARNEGIE,PA,Scheduled,9/16/2024,7:00:00 PM,12
6952,TIMBERVILLE,VA,In Progress,,7:00:00 PM,12
201,BELLEVILLE,IL,In Progress,,7:00:00 PM,9
685,MORRISTOWN,TN,In Progress,,7:00:00 PM,12
687,CROSSVILLE,TN,In Progress,,7:00:00 PM,10
1089,KIMBALL,TN,In Progress,,7:00:00 PM,8
1647,DECATUR,IN,In Progress,,7:00:00 PM,10
2518,HAMILTON,NJ,Scheduled,9/16/2024,7:00:00 PM,8
2871,CINNAMINSON,NJ,In Progress,,7:00:00 PM,12
2748,GULF SHORES,AL,In Progress,,7:00:00 PM,8
4163,CEDAR PARK,TX,In Progress,,7:00:00 PM,12
5335,BRAWLEY,CA,Scheduled,9/26/2024,7:00:00 PM,12
5378,CAYCE,SC,Scheduled,9/17/2024,7:00:00 PM,12
93,COVINGTON,TN,In Progress,,7:00:00 PM,8
307,WEST MONROE,LA,In Progress,,7:00:00 PM,8
878,CUMMING,GA,In Progress,,7:00:00 PM,12
1260,LUCEDALE,MS,In Progress,,7:00:00 PM,10
1315,CHEYENNE,WY,In Progress,,7:00:00 PM,10
2071,ANCHORAGE,AK,Scheduled,9/17/2024,7:00:00 PM,12
2610,LOGAN,WV,In Progress,,7:00:00 PM,12
2919,MONROE,LA,Scheduled,9/17/2024,7:00:00 PM,8
3344,WINCHESTER,VA,In Progress,,7:00:00 PM,12
3858,BOCA RATON,FL,In Progress,,7:00:00 PM,6
4318,MILLBROOK,AL,In Progress,,7:00:00 PM,8
5220,TAMPA,FL,In Progress,,7:00:00 PM,10
7177,ROCKINGHAM,VA,Scheduled,9/17/2024,7:00:00 PM,8
204,PRINCETON,KY,In Progress,,7:00:00 PM,9
1418,O FALLON,IL,In Progress,,7:00:00 PM,10
1476,CLARKSVILLE,IN,In Progress,,7:00:00 PM,12
1628,SANDUSKY,OH,In Progress,,7:00:00 PM,12
2429,SPRINGFIELD,OH,In Progress,,7:00:00 PM,10
2865,SPOKANE,WA,In Progress,,7:00:00 PM,7
3659,CHATTANOOGA,TN,In Progress,,7:00:00 PM,8
4223,MARYVILLE,TN,In Progress,,7:00:00 PM,12
5190,PHOENIX,AZ,Scheduled,9/17/2024,7:00:00 PM,9
1474,YUMA,AZ,Scheduled,9/25/2024,7:00:00 PM,10
1697,ELK GROVE,CA,Scheduled,9/18/2024,7:00:00 PM,12
1942,HOLLAND,MI,In Progress,,7:00:00 PM,12
2866,OKEMOS,MI,In Progress,,7:00:00 PM,12
2908,BISCOE,NC,In Progress,,7:00:00 PM,12
6887,GREENWOOD,SC,Scheduled,9/18/2024,7:00:00 PM,12
281,HEBER SPGS,AR,In Progress,,7:00:00 PM,6
518,CANTON,GA,In Progress,,7:00:00 PM,6
1059,FOREST,MS,In Progress,,7:00:00 PM,12
1273,FOUNTAIN,CO,In Progress,,7:00:00 PM,12
1406,WINCHESTER,VA,In Progress,,7:00:00 PM,7
1712,LARGO,FL,In Progress,,7:00:00 PM,8
2132,BATON ROUGE,LA,In Progress,,7:00:00 PM,8
2605,GALLIPOLIS,OH,In Progress,,7:00:00 PM,8
2729,FORT COLLINS,CO,In Progress,,7:00:00 PM,8
2862,MERIDIAN,ID,In Progress,,7:00:00 PM,12
2940,WEST MONROE,LA,Scheduled,9/18/2024,7:00:00 PM,8
4388,WAYNESBORO,VA,Scheduled,9/18/2024,7:00:00 PM,8
4407,MONTGOMERY,AL,In Progress,,7:00:00 PM,12
5299,CLERMONT,FL,In Progress,,7:00:00 PM,12
1804,FORT WAYNE,IN,In Progress,,7:00:00 PM,12
237,HARRISBURG,IL,In Progress,,7:00:00 PM,12
578,SEVIERVILLE,TN,In Progress,,7:00:00 PM,10
936,EFFINGHAM,IL,In Progress,,7:00:00 PM,11
1302,NORTON,VA,In Progress,,7:00:00 PM,12
1407,LEBANON,OH,In Progress,,7:00:00 PM,8
2073,CLEVELAND,OH,In Progress,,7:00:00 PM,8
2691,NEW ALBANY,IN,In Progress,,7:00:00 PM,8
3114,SAUGUS,MA,In Progress,,7:00:00 PM,8
3443,RIVERDALE,NJ,In Progress,,7:00:00 PM,12
3835,OOLTEWAH,TN,In Progress,,7:00:00 PM,12
5104,MORAINE,OH,In Progress,,7:00:00 PM,8
1164,COLUMBIA,SC,In Progress,,7:00:00 PM,8
1224,PENSACOLA,FL,In Progress,,7:00:00 PM,7
1555,EL CENTRO,CA,Scheduled,9/24/2024,7:00:00 PM,8
1563,LANCASTER,CA,Scheduled,10/3/2024,7:00:00 PM,8
1879,BARSTOW,CA,In Progress,,7:00:00 PM,12
2126,MILILANI,HI,Scheduled,10/24/2024,7:00:00 PM,10
85,BENTON,AR,In Progress,,7:00:00 PM,8
981,MERIDIAN,MS,In Progress,,7:00:00 PM,12
1212,SARALAND,AL,In Progress,,7:00:00 PM,10
2357,GERMANTOWN,MD,In Progress,,7:00:00 PM,7
2576,CROSS LANES,WV,In Progress,,7:00:00 PM,10
2591,PEMBROKE PINES,FL,In Progress,,7:00:00 PM,12
2762,FAIRLAWN,VA,In Progress,,7:00:00 PM,12
2796,OLDSMAR,FL,In Progress,,7:00:00 PM,12
3417,NAPLES,FL,In Progress,,7:00:00 PM,8
3752,BOSSIER CITY,LA,Scheduled,9/19/2024,7:00:00 PM,8
3868,SHREVEPORT,LA,In Progress,,7:00:00 PM,8
6323,GULFPORT,MS,Scheduled,9/19/2024,7:00:00 PM,8
294,CENTRAL CITY,KY,In Progress,,7:00:00 PM,9
648,SAINT PETERS,MO,In Progress,,7:00:00 PM,12
1320,KNOXVILLE,TN,In Progress,,7:00:00 PM,8
1371,COLUMBUS,IN,In Progress,,7:00:00 PM,8
1894,MEDINA,OH,In Progress,,7:00:00 PM,10
1986,NORWALK,OH,In Progress,,7:00:00 PM,12
2125,LAKEWOOD,CO,In Progress,,7:00:00 PM,10
3294,LOUISVILLE,KY,In Progress,,7:00:00 PM,12
4226,DUNLAP,TN,In Progress,,7:00:00 PM,7
5294,MILFORD,CT,Scheduled,9/19/2024,7:00:00 PM,12
5409,ENGLEWOOD,OH,In Progress,,7:00:00 PM,12
211,HILLSBORO,TX,In Progress,,7:00:00 PM,12
1382,GREENWOOD,SC,In Progress,,7:00:00 PM,12
2950,PALMDALE,CA,Scheduled,9/26/2024,7:00:00 PM,8
722,CARROLLTON,GA,In Progress,,7:00:00 PM,8
785,WAYNESBORO,MS,In Progress,,7:00:00 PM,12
1023,GALAX,VA,In Progress,,7:00:00 PM,12
1436,GREENACRES,FL,In Progress,,7:00:00 PM,5
1561,MEMPHIS,TN,In Progress,,7:00:00 PM,9
2300,PITTSBURGH,PA,In Progress,,7:00:00 PM,12
2823,PARKERSBURG,WV,In Progress,,7:00:00 PM,8
2913,BOUTTE,LA,In Progress,,7:00:00 PM,10
4423,MARTINSBURG,WV,In Progress,,7:00:00 PM,9
5841,MERIDIAN,ID,In Progress,,7:00:00 PM,10
6878,HAZEL GREEN,AL,In Progress,,7:00:00 PM,12
2232,BRANFORD,CT,In Progress,,7:00:00 PM,12
5251,CHATTANOOGA,TN,In Progress,,7:00:00 PM,8
5370,LONGMONT,CO,In Progress,,7:00:00 PM,10
5417,LOUISVILLE,KY,In Progress,,7:00:00 PM,3
24,JACKSONVILLE,AR,Scheduled,9/23/2024,7:00:00 PM,12
36,PARAGOULD,AR,In Progress,,7:00:00 PM,9
489,HAMMOND,LA,In Progress,,7:00:00 PM,4
686,FITZGERALD,GA,In Progress,,7:00:00 PM,7
939,WACO,TX,In Progress,,7:00:00 PM,12
955,APOPKA,FL,In Progress,,7:00:00 PM,12
1130,LAURENS,SC,In Progress,,7:00:00 PM,12
1198,SAN ANTONIO,TX,Scheduled,9/23/2024,7:00:00 PM,10
1482,TAMPA,FL,In Progress,,7:00:00 PM,8
1545,GRAND FORKS,ND,In Progress,,7:00:00 PM,2
1667,WABASH,IN,In Progress,,7:00:00 PM,12
1717,WALDORF,MD,In Progress,,7:00:00 PM,8
1788,SCARBOROUGH,ME,In Progress,,7:00:00 PM,12
2189,RENO,NV,Scheduled,10/8/2024,7:00:00 PM,10
2366,NORTH ATTLEBORO,MA,In Progress,,7:00:00 PM,12
2368,EAST STROUDSBURG,PA,In Progress,,7:00:00 PM,12
2440,SYLVA,NC,In Progress,,7:00:00 PM,12
2967,FT WRIGHT,KY,In Progress,,7:00:00 PM,8
3296,HOUSTON,TX,In Progress,,7:00:00 PM,10
3310,DELTONA,FL,In Progress,,7:00:00 PM,12
3562,SADDLE BROOK,NJ,In Progress,,7:00:00 PM,8
3782,ORLANDO,FL,In Progress,,7:00:00 PM,7
4410,GRANITE FALLS,NC,In Progress,,7:00:00 PM,12
4759,CITRUS HEIGHTS,CA,Scheduled,9/23/2024,7:00:00 PM,8
52,HOT SPRINGS,AR,In Progress,,7:00:00 PM,12
94,MILLINGTON,TN,In Progress,,7:00:00 PM,12
715,TUSCALOOSA,AL,In Progress,,7:00:00 PM,10
1004,BRADENTON,FL,In Progress,,7:00:00 PM,10
1025,MCCOMB,MS,In Progress,,7:00:00 PM,12
1674,HAGERSTOWN,MD,In Progress,,7:00:00 PM,12
2508,BOISE,ID,In Progress,,7:00:00 PM,6
4129,PONCHATOULA,LA,In Progress,,7:00:00 PM,8
4295,ALEXANDRIA,LA,Scheduled,9/23/2024,7:00:00 PM,12
5118,RALEIGH,NC,Scheduled,9/23/2024,7:00:00 PM,12
5296,BARBOURSVILLE,WV,In Progress,,7:00:00 PM,8
5446,WAYNESBURG,PA,In Progress,,7:00:00 PM,12
673,CLARKSVILLE,TN,In Progress,,7:00:00 PM,11
2371,WALLINGFORD,CT,In Progress,,7:00:00 PM,12
3472,POST FALLS,ID,In Progress,,7:00:00 PM,8
3867,WESTMINSTER,CO,In Progress,,7:00:00 PM,12
5263,CLEVELAND,TN,In Progress,,7:00:00 PM,10
407,KILLEEN,TX,In Progress,,7:00:00 PM,11
605,SAVANNAH,GA,Scheduled,9/24/2024,7:00:00 PM,12
1422,ALMA,MI,In Progress,,7:00:00 PM,8
1605,PENSACOLA,FL,In Progress,,7:00:00 PM,8
2626,LIVE OAK,FL,In Progress,,7:00:00 PM,12
3729,SPARKS,NV,Scheduled,10/16/2024,7:00:00 PM,6
5144,CONVERSE,TX,In Progress,,7:00:00 PM,11
33,NASHVILLE,AR,In Progress,,7:00:00 PM,8
87,MINDEN,LA,In Progress,,7:00:00 PM,12
310,CROWLEY,LA,Scheduled,9/24/2024,7:00:00 PM,8
501,LAUREL,MS,In Progress,,7:00:00 PM,9
778,PUNTA GORDA,FL,In Progress,,7:00:00 PM,8
950,BARTLETT,TN,In Progress,,7:00:00 PM,12
1034,SHELBY,NC,In Progress,,7:00:00 PM,9
1181,MARIETTA,GA,In Progress,,7:00:00 PM,8
1478,SOUTH POINT,OH,In Progress,,7:00:00 PM,8
2551,MOUNT AIRY,MD,In Progress,,7:00:00 PM,12
4653,CHEYENNE,WY,In Progress,,7:00:00 PM,12
5250,KISSIMMEE,FL,In Progress,,7:00:00 PM,12
5254,WAKE FOREST,NC,In Progress,,7:00:00 PM,12
243,WENTZVILLE,MO,In Progress,,7:00:00 PM,8
566,BOONVILLE,IN,In Progress,,7:00:00 PM,10
