Store,Market,Store Type ,Service Date 
3402,19,SUP,8/22/2024
3609,19,SUP,8/22/2024
4472,25,SUP,8/22/2024
5363,16,SUP,8/22/2024
1476,243,SUP,8/22/2024
2691,243,SUP,8/22/2024
1977,178,SUP,8/22/2024
2195,178,SUP,8/22/2024
3236,178,SUP,8/22/2024
5142,178,SUP,8/22/2024
5414,178,SUP,8/22/2024
2651,175,SUP,8/22/2024
3078,175,SUP,8/22/2024
4153,175,SUP,8/22/2024
5201,175,W/M,8/22/2024
2003,174,SUP,8/22/2024
2464,454,SUP,8/22/2024
3652,453,SUP,8/22/2024
4196,490,WNM,8/22/2024
3566,380,SUP,8/22/2024
5049,380,SUP,8/22/2024
3884,367,SUP,8/23/2024
3143,9,WNM,8/23/2024
2751,380,SUP, 8/22/2024
1252,380,SUP,8/22/2024
1598,452,SUP,8/19/2024
2515,452,SUP,8/19/2024
5190,512,SUP,8/19/2024
6477,512,WNM,8/19/2024
3833,82,WNM,8/23/2024
1746,82,SUP,8/22/2024
2768,82,SUP,8/23/2024
3799,82,SUP,8/23/2024
5768,82,SUP,8/22/2024
2632,82,SUP,8/20/2024
3314,82,SUP,8/20/2024
3315,83,SUP,8/21/2024
3844,83,SUP,8/20/2024
3845,83,SUP,8/20/2024
4275,83,SUP,8/21/2024
5257,83,SUP,8/23/2024
5304,101,SUP,8/23/2024
5332,101,SUP,8/22/2024
5349,101,SUP,8/23/2024
1532,101,SUP,8/19/2024
2512,101,SUP,8/19/2024
3241,101,SUP,8/21/2024
3465,235,SUP,8/20/2024
5124,235,SUP,8/20/2024
5189,235,SUP,8/20/2024
5330,235,SUP,8/20/2024
2554,227,SUP,8/22/2024
2777,227,SUP,8/21/2024
3896,227,SUP,8/21/2024
4336,227,SUP,8/21/2024
5331,227,SUP,8/22/2024
5429,229,SUP,8/21/2024
1381,229,SUP,8/23/2024
1646,229,SUP,8/23/2024
2112,229,SUP,8/19/2024
2482,231,SUP,8/22/2024
2766,231,SUP,8/19/2024
