Store#,16' Train,8' Train,CRAYOLA ENDCAP,WRITING ENDCAP,HV DUMP BIN CRAYOLA,HV DUMP BIN NEWELL,8' OLDER STUDENT TRAIN,OLDER STUDENT TRAIN ENDCAPS
118,No,Yes,Yes,Yes,No,No,No,No
119,Yes,No,Yes,Yes,Yes,No,Yes,Yes
120,No,Yes,Yes,Yes,No,Yes,No,No
121,No,Yes,No,Yes,No,No,No,No
122,No,Yes,Yes,Yes,No,Yes,No,No
123,No,Yes,No,Yes,No,No,No,No
124,Yes,No,Yes,Yes,Yes,No,No,No
125,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
126,Yes,No,Yes,Yes,Yes,No,No,No
127,No,No,No,No,No,No,No,No
128,Yes,No,Yes,Yes,Yes,No,No,No
129,Yes,No,Yes,Yes,Yes,No,No,No
130,Yes,No,Yes,Yes,Yes,No,Yes,Yes
131,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
132,No,No,No,No,No,No,No,No
134,Yes,No,Yes,Yes,Yes,No,No,No
135,Yes,No,Yes,Yes,Yes,Yes,No,No
137,Yes,No,No,Yes,No,No,No,No
138,Yes,No,Yes,Yes,Yes,No,No,No
139,No,Yes,Yes,Yes,No,No,No,No
140,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
141,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
143,Yes,No,Yes,Yes,No,No,No,No
144,No,Yes,No,No,No,No,Yes,Yes
145,No,Yes,No,Yes,No,Yes,No,No
146,No,Yes,Yes,Yes,Yes,No,No,No
147,No,Yes,Yes,Yes,Yes,Yes,No,No
148,Yes,No,Yes,Yes,Yes,Yes,No,No
149,No,No,No,No,No,No,No,No
150,Yes,No,No,Yes,No,No,No,No
151,Yes,No,Yes,Yes,No,No,No,No
152,Yes,No,Yes,Yes,Yes,No,No,No
153,No,Yes,Yes,Yes,No,No,No,No
154,Yes,No,Yes,Yes,No,No,No,No
155,No,Yes,Yes,Yes,No,No,No,No
157,Yes,No,Yes,Yes,Yes,No,No,No
158,No,Yes,Yes,Yes,Yes,No,No,No
159,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
160,No,Yes,Yes,Yes,No,No,No,No
161,No,Yes,Yes,Yes,No,No,No,No
162,No,No,No,No,No,No,No,No
163,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
164,No,Yes,Yes,Yes,No,No,No,No
165,Yes,No,Yes,Yes,Yes,Yes,No,No
166,No,Yes,No,Yes,No,No,No,No
167,No,Yes,No,No,No,No,No,No
168,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
169,No,Yes,No,No,No,No,No,No
170,No,Yes,Yes,Yes,No,No,No,No
171,No,Yes,Yes,Yes,No,No,No,No
172,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
173,No,Yes,Yes,Yes,No,No,No,No
174,No,Yes,Yes,Yes,Yes,No,Yes,Yes
175,Yes,No,Yes,Yes,Yes,No,Yes,Yes
176,No,Yes,Yes,Yes,No,No,No,No
177,Yes,No,Yes,Yes,Yes,No,No,No
178,No,No,No,No,No,No,No,No
179,Yes,No,Yes,Yes,Yes,Yes,No,No
