Store Nbr,Store Name,Item Desc 1,Curr Str On Hand Qty
175,COLLIERVILLE TN,GGS GENTLE 27 OZ,28 
176,RIPLEY MS,GGS GENTLE 27 OZ,74 
177,"PARIS, TN",GGS GENTLE 27 OZ,37 
179,"SPRINGFIELD, MO",GGS GENTLE 27 OZ,2 
180,JACKSONVILLE TX,GGS GENTLE 27 OZ,73 
181,NEW BOSTON TX,GGS GENTLE 27 OZ,53 
182,GREENVILLE MS,GGS GENTLE 27 OZ,11 
186,EL DORADO KS,GGS GENTLE 27 OZ,37 
188,CAPE GIRARDEAU MO,GGS GENTLE 27 OZ,6 
189,KIRKSVILLE MO,GGS GENTLE 27 OZ,(2)
192,COLUMBIA TN,GGS GENTLE 27 OZ,0 
194,BAYTOWN TX,GGS GENTLE 27 OZ,12 
196,CARBONDALE IL,GGS GENTLE 27 OZ,44 
197,MACOMB IL,GGS GENTLE 27 OZ,1 
198,SALEM IL,GGS GENTLE 27 OZ,15 
201,BELLEVILLE IL,GGS GENTLE 27 OZ,63 
202,FRISCO CUSTER & 121 TX,GGS GENTLE 27 OZ,34 
204,PRINCETON KY,GGS GENTLE 27 OZ,13 
206,MCKINNEY TX,GGS GENTLE 27 OZ,115 
210,HOLDENVILLE OK,GGS GENTLE 27 OZ,26 
211,HILLSBORO TX,GGS GENTLE 27 OZ,48 
213,LITCHFIELD IL,GGS GENTLE 27 OZ,24 
214,JASPER TX,GGS GENTLE 27 OZ,75 
217,LEWISVILLE TX,GGS GENTLE 27 OZ,39 
218,SELMER TN,GGS GENTLE 27 OZ,39 
221,YUKON OK,GGS GENTLE 27 OZ,3 
222,SPARTA IL,GGS GENTLE 27 OZ,(1)
224,"MT. VERNON, IL.",GGS GENTLE 27 OZ,2 
226,"ATLANTA, TX.",GGS GENTLE 27 OZ,57 
228,CLEBURNE TX.,GGS GENTLE 27 OZ,52 
232,ATOKA OK.,GGS GENTLE 27 OZ,2 
237,HARRISBURG IL.,GGS GENTLE 27 OZ,19 
238,PULASKI TN.,GGS GENTLE 27 OZ,44 
240,COMMERCE TX.,GGS GENTLE 27 OZ,25 
242,PAOLA KS.,GGS GENTLE 27 OZ,9 
243,WENTZVILLE MO.,GGS GENTLE 27 OZ,16 
244,WINNFIELD LA.,GGS GENTLE 27 OZ,46 
247,HENRYETTA OK.,GGS GENTLE 27 OZ,3 
248,MEXIA TX.,GGS GENTLE 27 OZ,36 
249,CLEVELAND TX.,GGS GENTLE 27 OZ,2 
251,MINEOLA TX.,GGS GENTLE 27 OZ,4 
252,"DU QUOIN, IL.",GGS GENTLE 27 OZ,42 
253,"JERSEYVILLE, IL.",GGS GENTLE 27 OZ,3 
254,OLNEY IL.,GGS GENTLE 27 OZ,57 
256,"GLEN CARBON, IL.",GGS GENTLE 27 OZ,(5)
257,MORGANFIELD KY.,GGS GENTLE 27 OZ,8 
259,ROCKWALL TX.,GGS GENTLE 27 OZ,55 
260,WAXAHACHIE TX.,GGS GENTLE 27 OZ,95 
264,DICKSON TN,GGS GENTLE 27 OZ,1 
265,"TERRELL, TX",GGS GENTLE 27 OZ,95 
268,SAVANNAH TN,GGS GENTLE 27 OZ,58 
271,BOWIE TX,GGS GENTLE 27 OZ,5 
272,FRANKLIN TN,GGS GENTLE 27 OZ,24 
273,FULTON MS,GGS GENTLE 27 OZ,8 
274,IUKA MS,GGS GENTLE 27 OZ,48 
275,LIVINGSTON TX,GGS GENTLE 27 OZ,16 
276,STIGLER OK,GGS GENTLE 27 OZ,2 
277,MOORE OK,GGS GENTLE 27 OZ,1 
278,SHREVEPORT LA,GGS GENTLE 27 OZ,84 
279,DE QUEEN AR,GGS GENTLE 27 OZ,94 
281,HEBER SPRINGS AR.,GGS GENTLE 27 OZ,76 
282,FRANKLIN KY,GGS GENTLE 27 OZ,2 
283,BRIDGE CITY TX,GGS GENTLE 27 OZ,50 
284,MANSFIELD TX,GGS GENTLE 27 OZ,80 
285,HUNTSVILLE TX,GGS GENTLE 27 OZ,89 
286,ENNIS TX,GGS GENTLE 27 OZ,63 
287,JASPER AL,GGS GENTLE 27 OZ,77 
293,NAVASOTA TX,GGS GENTLE 27 OZ,29 
295,EUREKA MO,GGS GENTLE 27 OZ,6 
297,PORTER TX,GGS GENTLE 27 OZ,54 
299,BOWLING GREEN KY,GGS GENTLE 27 OZ,1 
300,JACKSONVILLE AL,GGS GENTLE 27 OZ,38 
301,GADSDEN AL,GGS GENTLE 27 OZ,48 
302,MURPHYSBORO IL,GGS GENTLE 27 OZ,19 
304,SPRINGFIELD TN,GGS GENTLE 27 OZ,5 
309,ABBEVILLE LA,GGS GENTLE 27 OZ,8 
310,CROWLEY LA,GGS GENTLE 27 OZ,41 
311,FRANKLIN LA EF,GGS GENTLE 27 OZ,52 
312,VILLE PLATTE LA,GGS GENTLE 27 OZ,49 
314,FAYETTEVILLE TN,GGS GENTLE 27 OZ,41 
316,ATTALLA AL,GGS GENTLE 27 OZ,64 
318,ARKADELPHIA AR,GGS GENTLE 27 OZ,58 
321,BRENHAM TX,GGS GENTLE 27 OZ,74 
322,BRYAN TX,GGS GENTLE 27 OZ,72 
323,MANSFIELD LA,GGS GENTLE 27 OZ,16 
324,BRISTOW OK,GGS GENTLE 27 OZ,0 
325,RICHMOND MO,GGS GENTLE 27 OZ,48 
326,HIGGINSVILLE MO,GGS GENTLE 27 OZ,67 
329,ANNISTON AL,GGS GENTLE 27 OZ,0 
330,VICTORIA TX,GGS GENTLE 27 OZ,4 
331,SULPHUR LA,GGS GENTLE 27 OZ,4 
332,HUNTSVILLE AL,GGS GENTLE 27 OZ,45 
333,BEAVER DAM KY,GGS GENTLE 27 OZ,23 
336,SHERIDAN AR,GGS GENTLE 27 OZ,57 
338,LAMAR MO,GGS GENTLE 27 OZ,34 
339,FORDYCE AR,GGS GENTLE 27 OZ,3 
342,HIAWATHA KS,GGS GENTLE 27 OZ,2 
343,TAYLORVILLE IL,GGS GENTLE 27 OZ,4 
345,PALESTINE TX,GGS GENTLE 27 OZ,54 
346,AUGUSTA KS,GGS GENTLE 27 OZ,15 
347,INDIANOLA MS,GGS GENTLE 27 OZ,50 
350,YORK NE,GGS GENTLE 27 OZ,24 
351,TOMBALL TX,GGS GENTLE 27 OZ,79 
352,CHESTER IL,GGS GENTLE 27 OZ,34 
354,OWENSVILLE MO,GGS GENTLE 27 OZ,11 
356,AUBURN AL,GGS GENTLE 27 OZ,46 
361,COLLINSVILLE IL,GGS GENTLE 27 OZ,12 
362,WINFIELD AL,GGS GENTLE 27 OZ,0 
363,"MARSHALL, MO",GGS GENTLE 27 OZ,2 
364,CENTER TX,GGS GENTLE 27 OZ,41 
365,"PEARL, MS",GGS GENTLE 27 OZ,29 
366,MADISONVILLE TN,GGS GENTLE 27 OZ,0 
368,"PARSONS, KS",GGS GENTLE 27 OZ,37 
369,WINFIELD KS,GGS GENTLE 27 OZ,5 
371,GRANBURY TX,GGS GENTLE 27 OZ,27 
372,DODGE CITY KS,GGS GENTLE 27 OZ,57 
377,SUMTER MCCRAYS SC,GGS GENTLE 27 OZ,10 
379,OZARK MO,GGS GENTLE 27 OZ,19 
381,COPPERAS COVE TX,GGS GENTLE 27 OZ,(36)
382,OTTAWA KS,GGS GENTLE 27 OZ,33 
383,SILSBEE TX,GGS GENTLE 27 OZ,60 
385,CUERO TX,GGS GENTLE 27 OZ,9 
386,JENNINGS LA,GGS GENTLE 27 OZ,81 
390,WAVERLY TN,GGS GENTLE 27 OZ,3 
393,JACKSON TN/BEMIS,GGS GENTLE 27 OZ,8 
394,MOULTON AL,GGS GENTLE 27 OZ,58 
395,MISSION TX,GGS GENTLE 27 OZ,68 
397,"MCALLEN, TX",GGS GENTLE 27 OZ,1 
398,LONGVIEW TX,GGS GENTLE 27 OZ,84 
399,LONGVIEW TX,GGS GENTLE 27 OZ,2 
400,CONROE TX,GGS GENTLE 27 OZ,82 
401,PLAQUEMINE LA,GGS GENTLE 27 OZ,22 
402,BREAUX BRIDGE LA,GGS GENTLE 27 OZ,47 
404,SAN MARCOS TX,GGS GENTLE 27 OZ,49 
405,LEESVILLE LA,GGS GENTLE 27 OZ,12 
406,"SMYRNA, TN",GGS GENTLE 27 OZ,10 
408,"PORT ARTHUR, TX",GGS GENTLE 27 OZ,70 
409,HALEYVILLE AL,GGS GENTLE 27 OZ,43 
412,ATHENS TX,GGS GENTLE 27 OZ,22 
415,ST MARTINVILLE LA,GGS GENTLE 27 OZ,81 
416,MURFREESBORO S TN,GGS GENTLE 27 OZ,5 
417,SULPHUR SPRINGS TX,GGS GENTLE 27 OZ,24 
418,FAIRBURY NE,GGS GENTLE 27 OZ,50 
419,PRATT KS,GGS GENTLE 27 OZ,1 
422,ROBINSON IL,GGS GENTLE 27 OZ,24 
423,PELHAM AL,GGS GENTLE 27 OZ,46 
424,CLANTON AL,GGS GENTLE 27 OZ,84 
425,"BRENT, AL",GGS GENTLE 27 OZ,51 
426,THE COLONY TX,GGS GENTLE 27 OZ,58 
427,GREENVILLE TX,GGS GENTLE 27 OZ,79 
429,EDINBURG TX,GGS GENTLE 27 OZ,58 
430,MAYFIELD KY,GGS GENTLE 27 OZ,3 
431,PADUCAH KY,GGS GENTLE 27 OZ,49 
432,TALLADEGA AL,GGS GENTLE 27 OZ,68 
433,"HUNTSVILLE (N), AL",GGS GENTLE 27 OZ,48 
434,"HUNTSVILLE, AL",GGS GENTLE 27 OZ,46 
435,HIGHLAND IL,GGS GENTLE 27 OZ,60 
436,CARLYLE IL,GGS GENTLE 27 OZ,3 
438,BRECKENRIDGE TX,GGS GENTLE 27 OZ,3 
442,KINGSVILLE TX,GGS GENTLE 27 OZ,26 
443,HONDO TX,GGS GENTLE 27 OZ,60 
444,SPRINGFIELD MO,GGS GENTLE 27 OZ,24 
446,MADISONVILLE TX,GGS GENTLE 27 OZ,64 
447,DEL RIO TX,GGS GENTLE 27 OZ,33 
448,SHREVEPORT LA,GGS GENTLE 27 OZ,17 
449,GROVES TX,GGS GENTLE 27 OZ,36 
450,SHREVEPORT LA,GGS GENTLE 27 OZ,28 
451,COLUMBIA MO,GGS GENTLE 27 OZ,28 
452,MCALLEN TX,GGS GENTLE 27 OZ,61 
454,FAIRFIELD IL,GGS GENTLE 27 OZ,8 
456,BROWNSVILLE TX,GGS GENTLE 27 OZ,11 
457,VIDOR TX,GGS GENTLE 27 OZ,62 
458,ARANSAS PASS TX,GGS GENTLE 27 OZ,101 
459,COVINGTON GA,GGS GENTLE 27 OZ,0 
461,EAGLE PASS TX,GGS GENTLE 27 OZ,0 
462,ALVIN TX,GGS GENTLE 27 OZ,26 
463,BEEVILLE TX,GGS GENTLE 27 OZ,53 
464,CORPUS CHRISTI TX,GGS GENTLE 27 OZ,73 
465,FLORESVILLE TX,GGS GENTLE 27 OZ,49 
466,BOLIVAR TN,GGS GENTLE 27 OZ,4 
467,DENTON TX,GGS GENTLE 27 OZ,1 
468,TEXARKANA AR,GGS GENTLE 27 OZ,75 
470,CORPUS CHRISTI TX,GGS GENTLE 27 OZ,0 
471,"LANCASTER, TX",GGS GENTLE 27 OZ,70 
475,ROUND ROCK TX,GGS GENTLE 27 OZ,57 
476,GATESVILLE TX,GGS GENTLE 27 OZ,13 
477,SODDY-DAISY TN,GGS GENTLE 27 OZ,58 
478,PEARSALL TX,GGS GENTLE 27 OZ,60 
483,PRATTVILLE AL,GGS GENTLE 27 OZ,94 
484,LAWRENCE KS,GGS GENTLE 27 OZ,14 
485,DONALDSONVILLE LA,GGS GENTLE 27 OZ,19 
488,QUINCY FL,GGS GENTLE 27 OZ,47 
490,"CORPUS CHRISTI, TX",GGS GENTLE 27 OZ,32 
491,PADUCAH KY,GGS GENTLE 27 OZ,36 
494,"NEWNAN, GA",GGS GENTLE 27 OZ,8 
495,COLUMBUS MS,GGS GENTLE 27 OZ,24 
498,JENA LA,GGS GENTLE 27 OZ,47 
499,ENID OK,GGS GENTLE 27 OZ,1 
500,EL PASO TX,GGS GENTLE 27 OZ,2 
501,LAUREL MS,GGS GENTLE 27 OZ,38 
502,GALLIANO LA,GGS GENTLE 27 OZ,47 
503,COLUMBUS TX,GGS GENTLE 27 OZ,21 
504,GALVESTON TX,GGS GENTLE 27 OZ,35 
506,FLORA IL,GGS GENTLE 27 OZ,78 
507,LAWRENCEBURG KY,GGS GENTLE 27 OZ,4 
508,KERRVILLE TX,GGS GENTLE 27 OZ,61 
510,GAINESVILLE GA,GGS GENTLE 27 OZ,20 
511,SUMTER SC,GGS GENTLE 27 OZ,62 
512,EL PASO TX,GGS GENTLE 27 OZ,3 
516,"GUN BARREL CITY, TX",GGS GENTLE 27 OZ,34 
518,CANTON GA,GGS GENTLE 27 OZ,26 
520,WINDER GA,GGS GENTLE 27 OZ,17 
521,MOSS BLUFF LA,GGS GENTLE 27 OZ,59 
522,CROSBY TX,GGS GENTLE 27 OZ,65 
523,CARTHAGE TX,GGS GENTLE 27 OZ,78 
524,KENEDY TX,GGS GENTLE 27 OZ,22 
526,"LOUISVILLE (NE), KY",GGS GENTLE 27 OZ,(1)
527,ANGLETON TX,GGS GENTLE 27 OZ,48 
529,TEXAS CITY TX,GGS GENTLE 27 OZ,75 
531,LAFAYETTE LA (W),GGS GENTLE 27 OZ,1 
532,GONZALES LA,GGS GENTLE 27 OZ,0 
533,NEW IBERIA LA,GGS GENTLE 27 OZ,44 
536,ABILENE TX (N),GGS GENTLE 27 OZ,31 
538,GAINESVILLE FL,GGS GENTLE 27 OZ,0 
539,ALEXANDRIA LA,GGS GENTLE 27 OZ,1 
540,MORGAN CITY LA,GGS GENTLE 27 OZ,60 
542,HOUMA LA,GGS GENTLE 27 OZ,24 
543,OPELOUSAS LA,GGS GENTLE 27 OZ,55 
546,"RICHMOND, TX",GGS GENTLE 27 OZ,50 
547,"PLANT CITY, FL",GGS GENTLE 27 OZ,51 
549,HOBBS NM,GGS GENTLE 27 OZ,12 
550,LAWRENCEVILLE IL,GGS GENTLE 27 OZ,1 
553,SLIDELL LA,GGS GENTLE 27 OZ,43 
555,DUBLIN GA,GGS GENTLE 27 OZ,44 
556,WAYCROSS GA,GGS GENTLE 27 OZ,23 
560,ST JOSEPH MO,GGS GENTLE 27 OZ,1 
561,EASTLAND TX,GGS GENTLE 27 OZ,45 
562,LEEDS AL,GGS GENTLE 27 OZ,46 
563,ORANGE CITY FL,GGS GENTLE 27 OZ,26 
565,CORSICANA TX,GGS GENTLE 27 OZ,25 
568,CARTHAGE TN,GGS GENTLE 27 OZ,36 
569,COLUMBIA KY,GGS GENTLE 27 OZ,11 
571,GEORGETOWN KY,GGS GENTLE 27 OZ,4 
572,KILGORE TX,GGS GENTLE 27 OZ,37 
573,LEE'S SUMMIT MO,GGS GENTLE 27 OZ,32 
575,WOODSTOCK GA,GGS GENTLE 27 OZ,3 
578,SEVIERVILLE TN,GGS GENTLE 27 OZ,14 
579,ST AUGUSTINE FL,GGS GENTLE 27 OZ,3 
580,BARTOW FL,GGS GENTLE 27 OZ,63 
583,ONEIDA TN,GGS GENTLE 27 OZ,39 
584,"DRY RIDGE, KY",GGS GENTLE 27 OZ,24 
588,ALBANY GA,GGS GENTLE 27 OZ,33 
589,LOUISVILLE (HILLVIEW) KY,GGS GENTLE 27 OZ,18 
590,BENBROOK TX/FT WORTH,GGS GENTLE 27 OZ,54 
593,DOUGLAS GA,GGS GENTLE 27 OZ,0 
594,"FAYETTEVILLE, GA",GGS GENTLE 27 OZ,3 
595,HARLINGEN TX,GGS GENTLE 27 OZ,60 
599,KINGSPORT TN,GGS GENTLE 27 OZ,3 
601,SAN ANGELO TX,GGS GENTLE 27 OZ,22 
602,"THE WOODLANDS,TX",GGS GENTLE 27 OZ,23 
603,PEKIN IL,GGS GENTLE 27 OZ,43 
604,DOTHAN AL,GGS GENTLE 27 OZ,3 
605,SAVANNAH GA,GGS GENTLE 27 OZ,29 
606,SAVANNAH GA,GGS GENTLE 27 OZ,2 
608,MIDLAND TX,GGS GENTLE 27 OZ,9 
610,STEPHENVILLE TX,GGS GENTLE 27 OZ,12 
611,ROSWELL NM,GGS GENTLE 27 OZ,13 
613,ORMOND BEACH FL,GGS GENTLE 27 OZ,37 
614,LA GRANGE GA,GGS GENTLE 27 OZ,33 
615,CARTERSVILLE GA,GGS GENTLE 27 OZ,10 
618,HIRAM GA,GGS GENTLE 27 OZ,48 
619,DAYTON TN,GGS GENTLE 27 OZ,32 
620,BRISTOL TN,GGS GENTLE 27 OZ,8 
621,LAKE CITY SC,GGS GENTLE 27 OZ,69 
623,N FT MYERS FL,GGS GENTLE 27 OZ,108 
624,NEWBERRY SC,GGS GENTLE 27 OZ,10 
627,DILLON SC,GGS GENTLE 27 OZ,2 
629,UNION SC,GGS GENTLE 27 OZ,0 
630,FLORENCE SC,GGS GENTLE 27 OZ,(1)
632,MT PLEASANT SC,GGS GENTLE 27 OZ,43 
633,KEWANEE IL,GGS GENTLE 27 OZ,49 
634,CAMDEN SC,GGS GENTLE 27 OZ,50 
636,PRINCETON IL,GGS GENTLE 27 OZ,(1)
639,BRUNSWICK GA,GGS GENTLE 27 OZ,2 
642,CHERAW SC,GGS GENTLE 27 OZ,13 
648,"ST PETERS, MO",GGS GENTLE 27 OZ,12 
649,"TITUSVILLE,FL",GGS GENTLE 27 OZ,1 
651,BEAUMONT TX,GGS GENTLE 27 OZ,57 
652,GARDEN CITY KS,GGS GENTLE 27 OZ,1 
653,HOPKINSVILLE KY,GGS GENTLE 27 OZ,7 
655,MADISONVILLE KY,GGS GENTLE 27 OZ,19 
656,SHELBYVILLE TN,GGS GENTLE 27 OZ,25 
657,COOKEVILLE TN,GGS GENTLE 27 OZ,1 
658,ROME GA,GGS GENTLE 27 OZ,8 
659,NASHVILLE TN,GGS GENTLE 27 OZ,74 
661,ATHENS AL,GGS GENTLE 27 OZ,68 
662,DECATUR AL,GGS GENTLE 27 OZ,4 
666,SEBRING FL,GGS GENTLE 27 OZ,6 
667,TULLAHOMA TN,GGS GENTLE 27 OZ,19 
668,"MCMINNVILLE, TN",GGS GENTLE 27 OZ,17 
669,DALTON GA,GGS GENTLE 27 OZ,82 
671,LEBANON TN,GGS GENTLE 27 OZ,7 
672,"ALCOA, TN",GGS GENTLE 27 OZ,58 
673,CLARKSVILLE (E) TN,GGS GENTLE 27 OZ,30 
674,"GALLATIN, TN",GGS GENTLE 27 OZ,15 
675,UNION CITY TN,GGS GENTLE 27 OZ,28 
676,ROCKWOOD/HARRIMAN TN,GGS GENTLE 27 OZ,51 
677,DYERSBURG TN,GGS GENTLE 27 OZ,24 
680,GREENEVILLE TN,GGS GENTLE 27 OZ,38 
681,GUNTERSVILLE AL,GGS GENTLE 27 OZ,35 
682,MURFREESBORO TN,GGS GENTLE 27 OZ,0 
683,LAWRENCEBURG TN,GGS GENTLE 27 OZ,10 
684,LEXINGTON TN,GGS GENTLE 27 OZ,41 
685,MORRISTOWN TN,GGS GENTLE 27 OZ,13 
686,FITZGERALD GA,GGS GENTLE 27 OZ,25 
688,"NASHVILLE (S), TN",GGS GENTLE 27 OZ,24 
690,ELIZABETHTON TN,GGS GENTLE 27 OZ,1 
691,"FT. PAYNE, AL",GGS GENTLE 27 OZ,3 
694,HENDERSON KY,GGS GENTLE 27 OZ,14 
698,CLEVELAND TN,GGS GENTLE 27 OZ,27 
699,OXFORD MS,GGS GENTLE 27 OZ,2 
700,SELMA AL,GGS GENTLE 27 OZ,90 
701,"OWENSBORO, KY",GGS GENTLE 27 OZ,4 
702,WINCHESTER KY,GGS GENTLE 27 OZ,11 
703,TOMBALL TX,GGS GENTLE 27 OZ,56 
705,"MOUNT DORA, FL",GGS GENTLE 27 OZ,5 
706,ZEPHYRHILLS FL /UNATILLA,GGS GENTLE 27 OZ,56 
710,HERMITAGE TN,GGS GENTLE 27 OZ,11 
711,GLASGOW KY,GGS GENTLE 27 OZ,38 
713,DADE CITY FL,GGS GENTLE 27 OZ,23 
715,TUSCALOOSA AL,GGS GENTLE 27 OZ,1 
716,GREENWOOD MS,GGS GENTLE 27 OZ,9 
718,AUBURNDALE FL,GGS GENTLE 27 OZ,61 
720,FRANKFORT KY,GGS GENTLE 27 OZ,69 
721,PORT CHARLOTTE /MURDOCK,GGS GENTLE 27 OZ,174 
722,CARROLLTON GA,GGS GENTLE 27 OZ,1 
724,JEFFERSON CITY TN,GGS GENTLE 27 OZ,20 
725,HAINES CITY FL,GGS GENTLE 27 OZ,39 
726,ALEXANDER CITY AL,GGS GENTLE 27 OZ,2 
727,CEDARTOWN GA,GGS GENTLE 27 OZ,51 
728,HILTON HD ISL SC,GGS GENTLE 27 OZ,26 
730,SYLACAUGA AL,GGS GENTLE 27 OZ,15 
731,DEMOPOLIS AL,GGS GENTLE 27 OZ,95 
733,"VALLEY, AL",GGS GENTLE 27 OZ,9 
734,ENTERPRISE AL,GGS GENTLE 27 OZ,19 
735,WINCHESTER TN,GGS GENTLE 27 OZ,64 
736,RUSSELVILLE KY,GGS GENTLE 27 OZ,40 
737,LEWISBURG TN,GGS GENTLE 27 OZ,4 
738,CAMDEN TN,GGS GENTLE 27 OZ,(1)
740,OZARK AL,GGS GENTLE 27 OZ,58 
741,"LENOIR CITY, TN",GGS GENTLE 27 OZ,13 
742,KINGSPORT TN,GGS GENTLE 27 OZ,34 
744,ATASCOCITA TX,GGS GENTLE 27 OZ,48 
745,STOCKBRIDGE GA,GGS GENTLE 27 OZ,4 
746,TEMPLE TX,GGS GENTLE 27 OZ,2 
748,NEWTON IA,GGS GENTLE 27 OZ,12 
749,AMES IA,GGS GENTLE 27 OZ,8 
750,INDEPENDENCE IA,GGS GENTLE 27 OZ,34 
752,PASADENA TX,GGS GENTLE 27 OZ,58 
753,CEDAR FALLS IA,GGS GENTLE 27 OZ,0 
754,STATESBORO GA,GGS GENTLE 27 OZ,40 
755,AMARILLO TX,GGS GENTLE 27 OZ,13 
756,SUMMERVILLE GA,GGS GENTLE 27 OZ,86 
757,PLEASANTON TX,GGS GENTLE 27 OZ,68 
759,WAUCHULA FL,GGS GENTLE 27 OZ,165 
760,HARDINSBURG KY,GGS GENTLE 27 OZ,1 
761,"RACELAND, LA",GGS GENTLE 27 OZ,45 
762,BIRMINGHAM/CENTERPOINT,GGS GENTLE 27 OZ,31 
764,BESSEMER AL,GGS GENTLE 27 OZ,103 
765,"SAN ANTONIO, TX",GGS GENTLE 27 OZ,60 
766,FLORENCE AL,GGS GENTLE 27 OZ,11 
767,LAKE CITY FL,GGS GENTLE 27 OZ,24 
769,VENICE FL,GGS GENTLE 27 OZ,77 
770,GREAT BEND KS,GGS GENTLE 27 OZ,1 
771,MERRITT ISLAND FL,GGS GENTLE 27 OZ,18 
772,HOUSTON (ALIEF) TX,GGS GENTLE 27 OZ,65 
774,COLUMBUS NE,GGS GENTLE 27 OZ,1 
775,GALESBURG IL,GGS GENTLE 27 OZ,6 
777,WEST ORANGE TX,GGS GENTLE 27 OZ,45 
779,LAKELAND FL,GGS GENTLE 27 OZ,42 
