0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Store,Tracking Number,Ship date ,Status ,Delivered date,Service type ,Reference ,Purchase order number ,Shipper company ,Recipient contact name ,Recipient city ,Recipient address ,Recipient state ,Recipient postal ,Received by ,Dimensional Wt (Lbs) ,Scheduled delivery date ,Status with details ,Pkg Dimensions (in) 
5090,6.44E+11,10/11/2023,Delivered,10/12/2023,FedEx Ground,D9354,5090,SPARTAN GRAPHICS,STORE MANAGER,DE PERE,1415 LAWRENCE DR,WI,54115,DAVID,,,"Delivered: 10/12/2023 12:01 pm Signed for by:DAVID; De Pere, WI",11x9x6
3472,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,3472,SPARTAN GRAPHICS,STORE MANAGER,POST FALLS,3050 E MULLAN AVE,ID,83854,BBENSON,,,"Delivered: 10/13/2023 10:38 am Signed for by:BBENSON; Post Falls, ID",11x9x6
3511,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,3511,SPARTAN GRAPHICS,STORE MANAGER,HAYDEN,550 W HONEYSUCKLE AVE,ID,83835,AALICIA,,,"Delivered: 10/13/2023 10:26 am Signed for by:AALICIA; Hayden, ID",11x9x6
3661,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,3661,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,1551 N ZARAGOZA RD,TX,79936,CFERMAN,,,"Delivered: 10/13/2023 2:43 pm Signed for by:CFERMAN; El Paso, TX",11x9x6
3763,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,3763,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,12236 MONTANA AVE,TX,79938,MMONICA,,,"Delivered: 10/13/2023 9:33 am Signed for by:MMONICA; El Paso, TX",11x9x6
4105,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,4105,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,101 E REDD RD,TX,79932,CCHAVIRA,,,"Delivered: 10/13/2023 1:51 pm Signed for by:CCHAVIRA; El Paso, TX",11x9x6
4249,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,4249,SPARTAN GRAPHICS,STORE MANAGER,SMELTERVILLE,583 COMMERCE DR,ID,83868,PMILLER,,,"Delivered: 10/13/2023 10:41 am Signed for by:PMILLER; Smelterville, ID",11x9x6
4341,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,4341,SPARTAN GRAPHICS,STORE MANAGER,TRUTH OR CONSEQUENCE,2001 HR ASHBAUGH DR,NM,87901,REY,,,"Delivered: 10/13/2023 11:30 am Signed for by:REY; Truth Or Consequence, NM",11x9x6
4366,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,4366,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,951 N RESLER DR,TX,79912,SFAVELA,,,"Delivered: 10/13/2023 10:47 am Signed for by:SFAVELA; El Paso, TX",11x9x6
4394,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,4394,SPARTAN GRAPHICS,STORE MANAGER,SPOKANE,1221 S HAYFORD RD,WA,99224,FRANDOLF,,,"Delivered: 10/13/2023 10:52 am Signed for by:FRANDOLF; Spokane, WA",11x9x6
4395,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,4395,SPARTAN GRAPHICS,STORE MANAGER,POST FALLS,6405 W POINTE PKWY,ID,83854,MDEAL,,,"Delivered: 10/13/2023 11:05 am Signed for by:MDEAL; Post Falls, ID",11x9x6
4415,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,4415,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,8115 N LOOP DR,TX,79907,GGOMEZ,,,"Delivered: 10/13/2023 10:51 am Signed for by:GGOMEZ; El Paso, TX",11x9x6
4601,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,4601,SPARTAN GRAPHICS,STORE MANAGER,LAS CRUCES,3331 RINCONADA BLVD,NM,88011,AGONZALES,,,"Delivered: 10/13/2023 11:39 am Signed for by:AGONZALES; Las Cruces, NM",11x9x6
5108,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5108,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,3000 SAUL KLEINFELD DR,TX,79936,SSOTO,,,"Delivered: 10/13/2023 10:15 am Signed for by:SSOTO; El Paso, TX",12x9x6
5155,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5155,SPARTAN GRAPHICS,STORE MANAGER,LAS CRUCES,1550 S VALLEY DR,NM,88005,MCRUZE,,,"Delivered: 10/13/2023 9:59 am Signed for by:MCRUZE; Las Cruces, NM",11x9x6
5166,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5166,SPARTAN GRAPHICS,STORE MANAGER,DEMING,1021 E PINE ST,NM,88030,ALEGARDA,,,"Delivered: 10/13/2023 10:18 am Signed for by:ALEGARDA; Deming, NM",11x9x6
5717,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5717,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,7831 PASEO DEL NORTE BLVD,TX,79912,OGLORIA,,,"Delivered: 10/13/2023 10:51 am Signed for by:OGLORIA; El Paso, TX",11x9x6
5726,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5726,SPARTAN GRAPHICS,STORE MANAGER,ALAMOGORDO,2401 INDIAN WELLS RD,NM,88310,MMACCERINO,,,"Delivered: 10/13/2023 2:56 pm Signed for by:MMACCERINO; Alamogordo, NM",11x9x6
5782,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5782,SPARTAN GRAPHICS,STORE MANAGER,LAS CRUCES,150 N SONOMA RANCH BLVD,NM,88011,DDANNY,,,"Delivered: 10/13/2023 11:40 am Signed for by:DDANNY; Las Cruces, NM",11x9x6
5835,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5835,SPARTAN GRAPHICS,STORE MANAGER,CAVE CREEK,34399 N CAVE CREEK RD,AZ,85331,AFRAN,,,"Delivered: 10/13/2023 10:20 am Signed for by:AFRAN; Cave Creek, AZ",11x9x6
5883,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5883,SPARTAN GRAPHICS,STORE MANAGER,SPOKANE VALLEY,5025 E SPRAGUE AVE,WA,99212,EJACKSON,,,"Delivered: 10/13/2023 11:34 am Signed for by:EJACKSON; Spokane, WA",11x9x6
5947,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5947,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,5631 DYER ST,TX,79904,DRIOS,,,"Delivered: 10/13/2023 10:30 am Signed for by:DRIOS; El Paso, TX",11x9x6
5960,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5960,SPARTAN GRAPHICS,STORE MANAGER,SOCORRO,10301 ALAMEDA AVE,TX,79927,GARREOLA,,,"Delivered: 10/13/2023 11:11 am Signed for by:GARREOLA; El Paso, TX",11x9x6
5962,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5962,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,4716 HONDO PASS DR,TX,79904,OOCHOA,,,"Delivered: 10/13/2023 10:47 am Signed for by:OOCHOA; El Paso, TX",11x9x6
6480,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,6480,SPARTAN GRAPHICS,STORE MANAGER,CHANDLER,3460 W CHANDLER BLVD,AZ,85226,MMATHEW,,,"Delivered: 10/13/2023 10:26 am Signed for by:MMATHEW; Chandler, AZ",11x9x6
6587,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,6587,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,10840 MARTIN LUTHER KING JR BLVD,TX,79934,CSTEWART,,,"Delivered: 10/13/2023 12:33 pm Signed for by:CSTEWART; El Paso, TX",11x9x6
6813,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,6813,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,3590 N ZARAGOZA RD,TX,79938,PPEREZ,,,"Delivered: 10/13/2023 3:47 pm Signed for by:PPEREZ; El Paso, TX",11x9x6
7229,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,7229,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,1110 SUNLAND PARK DR,TX,79922,CFRANKLIN,,,"Delivered: 10/13/2023 11:18 am Signed for by:CFRANKLIN; El Paso, TX",11x9x6
2453,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,2453,SPARTAN GRAPHICS,STORE MANAGER,FALLON,2333 RENO HWY,NV,89406,SGALINDO,,,"Delivered: 10/13/2023 10:00 am Signed for by:SGALINDO; Fallon, NV",11x9x6
3729,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,3729,SPARTAN GRAPHICS,STORE MANAGER,SPARKS,5065 PYRAMID WAY,NV,89436,MMARIO,,,"Delivered: 10/13/2023 9:44 am Signed for by:MMARIO; Sparks, NV",11x9x6
4370,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,4370,SPARTAN GRAPHICS,STORE MANAGER,FERNLEY,1550 NEWLANDS DR E,NV,89408,FFRAN,,,"Delivered: 10/13/2023 11:03 am Signed for by:FFRAN; Fernley, NV",11x9x6
5864,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,5864,SPARTAN GRAPHICS,STORE MANAGER,GARDNERVILLE,1511 GRANT AVE,NV,89410,BBUGLEY,,,"Delivered: 10/13/2023 11:57 am Signed for by:BBUGLEY; Gardnerville, NV",11x9x6
33,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,33,SPARTAN GRAPHICS,STORE MANAGER,NASHVILLE,1710 S 4TH ST,AR,71852,LREESE,,,"Delivered: 10/13/2023 10:36 am Signed for by:LREESE; Nashville, AR",11x9x6
38,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,38,SPARTAN GRAPHICS,STORE MANAGER,IDABEL,1907 SE WASHINGTON ST,OK,74745,BDENTT,,,"Delivered: 10/13/2023 12:37 pm Signed for by:BDENTT; Idabel, OK",11x9x6
117,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,117,SPARTAN GRAPHICS,STORE MANAGER,BROKEN BOW,501 S PARK DR,OK,74728,CBARLETT,,,"Delivered: 10/13/2023 1:26 pm Signed for by:CBARLETT; Broken Bow, OK",11x9x5
131,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,131,SPARTAN GRAPHICS,STORE MANAGER,MOUNT PLEASANT,2311 S JEFFERSON AVE,TX,75455,MMM,,,"Delivered: 10/13/2023 12:50 pm Signed for by:MMM; Mount Pleasant, TX",12x9x5
133,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,133,SPARTAN GRAPHICS,STORE MANAGER,ASHDOWN,297 HWY 32 BYP,AR,71822,BBEARDEN,,,"Delivered: 10/13/2023 10:49 am Signed for by:BBEARDEN; Ashdown, AR",11x9x6
181,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,181,SPARTAN GRAPHICS,STORE MANAGER,NEW BOSTON,800 JAMES BOWIE DR,TX,75570,CNFFF,,,"Delivered: 10/13/2023 11:21 am Signed for by:CNFFF; New Boston, TX",11x9x6
226,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,226,SPARTAN GRAPHICS,STORE MANAGER,ATLANTA,201 LOOP 59,TX,75551,CLOWMAX,,,"Delivered: 10/13/2023 1:06 pm Signed for by:CLOWMAX; Atlanta, TX",12x9x6
279,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,279,SPARTAN GRAPHICS,STORE MANAGER,DE QUEEN,926 E COLLIN RAYE DR,AR,71832,KFIELDS,,,"Delivered: 10/13/2023 10:55 am Signed for by:KFIELDS; De Queen, AR",11x9x5
2739,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,2739,SPARTAN GRAPHICS,STORE MANAGER,BAY MINETTE,701 MCMEANS AVE,AL,36507,JLARKIN,,,"Delivered: 10/13/2023 12:34 pm Signed for by:JLARKIN; Bay Minette, AL",12x9x6
2748,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,2748,SPARTAN GRAPHICS,STORE MANAGER,GULF SHORES,170 E FT MORGAN RD,AL,36542,BXABBS,,,"Delivered: 10/13/2023 10:17 am Signed for by:BXABBS; Gulf Shores, AL",12x9x6
2760,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,2760,SPARTAN GRAPHICS,STORE MANAGER,JACKSON,4206 N COLLEGE AVE,AL,36545,CMCDONALD,,,"Delivered: 10/13/2023 1:34 pm Signed for by:CMCDONALD; Jackson, AL",12x9x6
2832,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,2832,SPARTAN GRAPHICS,STORE MANAGER,HARDEEVILLE,4400 US HIGHWAY 278,SC,29927,NNELSON,,,"Delivered: 10/13/2023 10:34 am Signed for by:NNELSON; Hardeeville, SC",11x9x5
2840,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,2840,SPARTAN GRAPHICS,STORE MANAGER,BRUNSWICK,11 GLYNN PLZ,GA,31520,ASHREYA,,,"Delivered: 10/13/2023 1:48 pm Signed for by:ASHREYA; Brunswick, GA",11x9x6
2860,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,2860,SPARTAN GRAPHICS,STORE MANAGER,POOLER,160 POOLER PKWY,GA,31322,JJOSE,,,"Delivered: 10/13/2023 10:35 am Signed for by:JJOSE; Pooler, GA",11x9x6
2920,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,2920,SPARTAN GRAPHICS,STORE MANAGER,ORANGE PARK,1505 COUNTY ROAD 220,FL,32003,BJONES,,,"Delivered: 10/13/2023 2:36 pm Signed for by:BJONES; Fleming Island, FL",11x9x6
3075,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,3075,SPARTAN GRAPHICS,STORE MANAGER,PANAMA CITY,513 W 23RD ST,FL,32405,PPAM,,,"Delivered: 10/13/2023 10:42 am Signed for by:PPAM; Panama City, FL",12x9x6
3119,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,3119,SPARTAN GRAPHICS,STORE MANAGER,PANAMA CITY BEACH,15495 PANAMA CITY BEACH PKWY,FL,32413,HJILL,,,"Delivered: 10/13/2023 10:06 am Signed for by:HJILL; Panama City Beach, FL",12x9x6
3307,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,3307,SPARTAN GRAPHICS,STORE MANAGER,CRAWFORDVILLE,35 MIKE STEWART,FL,32327,TSTORY,,,"Delivered: 10/13/2023 11:45 am Signed for by:TSTORY; Crawfordville, FL",11x9x6
3308,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,3308,SPARTAN GRAPHICS,STORE MANAGER,MIDDLEBURG,1580 BRANAN FIELD RD,FL,32068,SMCGARRY,,,"Delivered: 10/13/2023 10:38 am Signed for by:SMCGARRY; Middleburg, FL",11x9x6
3309,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,3309,SPARTAN GRAPHICS,STORE MANAGER,JACKSONVILLE,4250 PHILIPS HWY,FL,32207,MTAYLOR,,,"Delivered: 10/13/2023 12:34 pm Signed for by:MTAYLOR; Jacksonville, FL",11x9x6
3484,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,3484,SPARTAN GRAPHICS,STORE MANAGER,PENSACOLA,2951 S BLUE ANGEL PKWY,FL,32506,JTHOMAS,,,"Delivered: 10/13/2023 11:36 am Signed for by:JTHOMAS; Pensacola, FL",12x9x6
3702,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,3702,SPARTAN GRAPHICS,STORE MANAGER,JACKSONVILLE,13227 CITY SQUARE DR,FL,32218,SCAMPBELL,,,"Delivered: 10/13/2023 11:15 am Signed for by:SCAMPBELL; Jacksonville, FL",12x9x6
3785,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,3785,SPARTAN GRAPHICS,STORE MANAGER,PENSACOLA,501 N NAVY BLVD,FL,32507,TTARA,,,"Delivered: 10/13/2023 10:30 am Signed for by:TTARA; Pensacola, FL",12x9x6
4210,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,4210,SPARTAN GRAPHICS,STORE MANAGER,MOBILE,1300 N UNIVERSITY BLVD,AL,36618,BBROWN,,,"Delivered: 10/13/2023 1:44 pm Signed for by:BBROWN; Mobile, AL",12x9x6
1462,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,1462,SPARTAN GRAPHICS,STORE MANAGER,GREENVILLE,501 WILLOW LN,AL,36037,AANDREA,,,"Delivered: 10/13/2023 11:22 am Signed for by:AANDREA; Greenville, AL",11x9x6
1493,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,1493,SPARTAN GRAPHICS,STORE MANAGER,MONROEVILLE,3371 S ALABAMA AVE,AL,36460,CSALTER,,,"Delivered: 10/13/2023 10:10 am Signed for by:CSALTER; Monroeville, AL",11x9x6
1605,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,1605,SPARTAN GRAPHICS,STORE MANAGER,PENSACOLA,"4600 MOBILE HWY,STE 122",FL,32506,DCOURTNEY,,,"Delivered: 10/13/2023 10:16 am Signed for by:DCOURTNEY; Pensacola, FL",11x9x6
1620,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,1620,SPARTAN GRAPHICS,STORE MANAGER,BREWTON,2578 DOUGLAS AVE,AL,36426,AWEAVER,,,"Delivered: 10/13/2023 9:54 am Signed for by:AWEAVER; Brewton, AL",11x9x6
1638,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,1638,SPARTAN GRAPHICS,STORE MANAGER,EUFAULA,3176 S EUFAULA AVE,AL,36027,FAUSTIN,,,"Delivered: 10/13/2023 10:06 am Signed for by:FAUSTIN; Eufaula, AL",11x9x6
4556,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,4556,SPARTAN GRAPHICS,STORE MANAGER,SAVANNAH,14030 ABERCORN ST,GA,31419,,,,"Delivered: 10/13/2023 11:28 am; Savannah, GA; Left at office/leasing.Signature Service not requested.",11x9x6
4561,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,4561,SPARTAN GRAPHICS,STORE MANAGER,JACKSONVILLE,"9550 BAYMEADOWS RD,STE 18",FL,32256,LLUISA,,,"Delivered: 10/13/2023 2:00 pm Signed for by:LLUISA; Jacksonville, FL",11x9x6
4581,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,4581,SPARTAN GRAPHICS,STORE MANAGER,MOBILE,2500 DAWES RD,AL,36695,SHOWELL,,,"Delivered: 10/13/2023 11:59 am Signed for by:SHOWELL; Mobile, AL",12x9x6
4582,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,4582,SPARTAN GRAPHICS,STORE MANAGER,NAVARRE,7360 NAVARRE PKWY,FL,32566,WWALLY,,,"Delivered: 10/13/2023 11:46 am Signed for by:WWALLY; Navarre, FL",12x9x6
4648,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,4648,SPARTAN GRAPHICS,STORE MANAGER,MOBILE,6575 AIRPORT BLVD,AL,36608,NROBINSON,,,"Delivered: 10/13/2023 1:40 pm Signed for by:NROBINSON; Mobile, AL",12x9x6
4657,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,4657,SPARTAN GRAPHICS,STORE MANAGER,MOBILE,6350 COTTAGE HILL RD,AL,36609,MJACKSON,,,"Delivered: 10/13/2023 2:35 pm Signed for by:MJACKSON; Mobile, AL",12x9x6
5005,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5005,SPARTAN GRAPHICS,STORE MANAGER,JACKSONVILLE,6855 WILSON BLVD,FL,32210,VMCCOLLUM,,,"Delivered: 10/13/2023 1:28 pm Signed for by:VMCCOLLUM; Jacksonville, FL",11x9x6
5037,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5037,SPARTAN GRAPHICS,STORE MANAGER,YULEE,464016 STATE ROAD 200,FL,32097,RSANDFORD,,,"Delivered: 10/13/2023 2:40 pm Signed for by:RSANDFORD; Yulee, FL",11x9x6
5054,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5054,SPARTAN GRAPHICS,STORE MANAGER,JACKSONVILLE,11900 ATLANTIC BLVD,FL,32225,TMARTIN,,,"Delivered: 10/13/2023 12:15 pm Signed for by:TMARTIN; Jacksonville, FL",11x9x6
5076,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5076,SPARTAN GRAPHICS,STORE MANAGER,BREWER,24 WALTON DR,ME,4412,HCURTIS,,,"Delivered: 10/13/2023 8:50 am Signed for by:HCURTIS; Brewer, ME",11x9x6
5098,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5098,SPARTAN GRAPHICS,STORE MANAGER,MOBILE,1970 S UNIVERSITY BLVD,AL,36609,AMOORE,,,"Delivered: 10/13/2023 3:23 pm Signed for by:AMOORE; Mobile, AL",12x9x6
5172,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5172,SPARTAN GRAPHICS,STORE MANAGER,PERRY,1900 S JEFFERSON ST,FL,32348,RPRIDGEON,,,"Delivered: 10/13/2023 12:47 pm Signed for by:RPRIDGEON; Perry, FL",11x9x6
5174,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5174,SPARTAN GRAPHICS,STORE MANAGER,SEMMES,7855 MOFFETT RD,AL,36575,AALONNAMOLTEN,,,"Delivered: 10/13/2023 9:50 am Signed for by:AALONNAMOLTEN; Semmes, AL",12x9x6
5248,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5248,SPARTAN GRAPHICS,STORE MANAGER,NORTHPORT,1660 MCFARLAND BLVD,AL,35476,GHJ,,,"Delivered: 10/13/2023 2:09 pm Signed for by:GHJ; Northport, AL",11x9x6
5256,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5256,SPARTAN GRAPHICS,STORE MANAGER,TUSCALOOSA,4201 HARGROVE RD E,AL,35405,WWILLIAMS,,,"Delivered: 10/13/2023 11:37 am Signed for by:WWILLIAMS; Tuscaloosa, AL",11x9x6
5392,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5392,SPARTAN GRAPHICS,STORE MANAGER,BAXLEY,980 W PARKER ST,GA,31513,NNIX,,,"Delivered: 10/13/2023 1:34 pm Signed for by:NNIX; Baxley, GA",12x9x6
5623,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5623,SPARTAN GRAPHICS,STORE MANAGER,GULF BREEZE,334 GULF BREEZE PKWY,FL,32561,WMART,,,"Delivered: 10/13/2023 11:40 am Signed for by:WMART; Gulf Breeze, FL",11x9x6
5653,6.44E+11,10/11/2023,Delivered,10/13/2023,FedEx Ground,D9354,5653,SPARTAN GRAPHICS,STORE MANAGER,ORANGE BEACH,"25241 PERDIDO BEACH BLVD,STE W",AL,36561,RENZMIGER,,,"Delivered: 10/13/2023 11:05 am Signed for by:RENZMIGER; Orange Beach, AL",12x9x6
