Store,Dept,Inventory Dollars,Format
66,80,16510.07,WM Supercenter
66,93,89847.57,WM Supercenter
66,94,27061.42,WM Supercenter
66,98,19441.12,WM Supercenter
67,80,19621.71,WM Supercenter
67,93,74796.62,WM Supercenter
67,94,25403.18,WM Supercenter
67,98,17164.18,WM Supercenter
68,80,11582.6,WM Supercenter
68,93,52418.1,WM Supercenter
68,94,18670.56,WM Supercenter
68,98,8675.5,WM Supercenter
69,80,22209.55,WM Supercenter
69,93,99057.76,WM Supercenter
69,94,35121.99,WM Supercenter
69,98,32644.05,WM Supercenter
70,80,14086.26,WM Supercenter
70,93,76268.93,WM Supercenter
70,94,25485.43,WM Supercenter
70,98,21428.91,WM Supercenter
71,80,10755.06,WM Supercenter
71,93,68682.3,WM Supercenter
71,94,18358.92,WM Supercenter
71,98,12644.12,WM Supercenter
72,80,19453.12,WM Supercenter
72,93,69864.82,WM Supercenter
72,94,23967.47,WM Supercenter
72,98,19354.59,WM Supercenter
73,80,13284.21,WM Supercenter
73,93,83426.72,WM Supercenter
73,94,26280.19,WM Supercenter
73,98,21834.4,WM Supercenter
74,80,2188.22,WM Supercenter
74,93,37214.02,WM Supercenter
74,94,16930.5,WM Supercenter
74,98,10415.41,WM Supercenter
75,80,17711.46,WM Supercenter
75,93,91812.52,WM Supercenter
75,94,27759.32,WM Supercenter
75,98,24517.11,WM Supercenter
76,80,16074.59,WM Supercenter
76,93,84350.11,WM Supercenter
76,94,26005.98,WM Supercenter
76,98,18556.66,WM Supercenter
77,80,17831.03,WM Supercenter
77,93,54058.43,WM Supercenter
77,94,18274.47,WM Supercenter
77,98,19981.44,WM Supercenter
78,80,7972.31,WM Supercenter
78,93,59385.34,WM Supercenter
78,94,24131.02,WM Supercenter
78,98,23820.96,WM Supercenter
79,80,23865.11,WM Supercenter
79,93,69092.12,WM Supercenter
79,94,24414.07,WM Supercenter
79,98,27516.52,WM Supercenter
80,80,15688.85,WM Supercenter
80,93,65220.25,WM Supercenter
80,94,32707.55,WM Supercenter
80,98,16043.49,WM Supercenter
81,80,8326.72,WM Supercenter
81,93,57255.67,WM Supercenter
81,94,19251.63,WM Supercenter
81,98,11491.33,WM Supercenter
82,80,9703.63,WM Supercenter
82,93,44147.28,WM Supercenter
82,94,19874.24,WM Supercenter
82,98,9397.25,WM Supercenter
83,80,6086.57,WM Supercenter
83,93,60276.83,WM Supercenter
83,94,19418.27,WM Supercenter
83,98,15139.65,WM Supercenter
85,80,19512.68,WM Supercenter
85,93,75848.69,WM Supercenter
85,94,24086.72,WM Supercenter
85,98,19148.53,WM Supercenter
86,80,16485.81,WM Supercenter
86,93,81205.69,WM Supercenter
86,94,32632.36,WM Supercenter
86,98,21031.52,WM Supercenter
87,80,18288.17,WM Supercenter
87,93,101634.74,WM Supercenter
87,94,45468.55,WM Supercenter
87,98,20897.25,WM Supercenter
88,80,19089.82,WM Supercenter
88,93,59098.07,WM Supercenter
88,94,24785.55,WM Supercenter
88,98,11178.86,WM Supercenter
89,80,17391.6,WM Supercenter
89,93,67770.09,WM Supercenter
89,94,24660.56,WM Supercenter
89,98,21625.59,WM Supercenter
90,80,15216.93,WM Supercenter
90,93,78245.5,WM Supercenter
90,94,20067.8,WM Supercenter
90,98,23370.62,WM Supercenter
91,80,11597.72,WM Supercenter
91,93,51755.89,WM Supercenter
91,94,16088.59,WM Supercenter
91,98,57957.01,WM Supercenter
92,80,14417.49,WM Supercenter
92,93,64340.9,WM Supercenter
92,94,21004.51,WM Supercenter
92,98,24054.06,WM Supercenter
93,80,18943.71,WM Supercenter
93,93,78221.53,WM Supercenter
93,94,22044.54,WM Supercenter
93,98,17980.27,WM Supercenter
94,80,22009.14,WM Supercenter
94,93,71084.86,WM Supercenter
94,94,18896.16,WM Supercenter
94,98,19739.86,WM Supercenter
95,80,15632.86,WM Supercenter
95,93,85219.84,WM Supercenter
95,94,29915.26,WM Supercenter
95,98,25635.38,WM Supercenter
96,80,13997.09,WM Supercenter
96,93,69896.36,WM Supercenter
96,94,24339.79,WM Supercenter
96,98,19363.28,WM Supercenter
97,80,398.94,WM Supercenter
97,93,55833.02,WM Supercenter
97,94,13869.23,WM Supercenter
97,98,9416.2,WM Supercenter
98,80,9806.79,WM Supercenter
98,93,73014.52,WM Supercenter
98,94,23192.73,WM Supercenter
98,98,15284.39,WM Supercenter
99,80,12524.71,WM Supercenter
99,93,50938.49,WM Supercenter
99,94,26874.01,WM Supercenter
99,98,12928.46,WM Supercenter
100,80,29879.45,WM Supercenter
100,93,93054.59,WM Supercenter
100,94,44279.43,WM Supercenter
100,98,25335.22,WM Supercenter
101,80,13949.47,WM Supercenter
101,93,71364.96,WM Supercenter
101,94,26715.79,WM Supercenter
