Market,Store,Food,Consumables,Toys,Live Plants ,Fashion  
321,125,Yes,Yes,Yes,Yes,No
324,126,Yes,Yes,Yes,Yes,No
325,127,Yes,Yes,Yes,Yes,No
329,128,Yes,Yes,Yes,Yes,No
350,129,Yes,Yes,Yes,Yes,No
347,130,Yes,Yes,Yes,Yes,No
47,131,Yes,Yes,Yes,Yes,No
344,132,Yes,Yes,Yes,Yes,No
325,133,Yes,Yes,Yes,Yes,No
344,134,Yes,Yes,Yes,Yes,No
360,135,Yes,Yes,Yes,Yes,No
345,136,Yes,Yes,Yes,Yes,No
352,137,Yes,Yes,Yes,Yes,No
357,138,Yes,Yes,Yes,Yes,No
353,139,Yes,Yes,Yes,Yes,No
503,140,Yes,Yes,Yes,Yes,No
321,141,Yes,Yes,Yes,Yes,No
253,143,Yes,Yes,Yes,Yes,No
322,144,Yes,Yes,Yes,Yes,No
339,145,Yes,Yes,Yes,Yes,No
46,146,Yes,Yes,Yes,Yes,No
350,147,Yes,Yes,Yes,Yes,No
47,148,Yes,Yes,Yes,Yes,No
135,149,Yes,Yes,Yes,Yes,No
344,150,Yes,Yes,Yes,Yes,No
350,151,Yes,Yes,Yes,Yes,No
335,152,Yes,Yes,Yes,Yes,No
4,153,Yes,Yes,Yes,Yes,No
311,154,Yes,Yes,Yes,Yes,Yes
136,155,Yes,Yes,Yes,Yes,No
328,157,Yes,Yes,Yes,Yes,No
350,158,Yes,Yes,Yes,Yes,No
359,159,Yes,Yes,Yes,Yes,No
328,160,Yes,Yes,Yes,Yes,No
147,161,Yes,Yes,Yes,Yes,No
349,162,Yes,Yes,Yes,Yes,No
503,163,Yes,Yes,Yes,Yes,No
4,164,Yes,Yes,Yes,Yes,No
46,165,Yes,Yes,Yes,Yes,No
357,166,Yes,Yes,Yes,Yes,No
327,167,Yes,Yes,Yes,Yes,No
345,168,Yes,Yes,Yes,Yes,No
326,169,Yes,Yes,Yes,Yes,No
134,170,Yes,Yes,Yes,Yes,No
327,171,Yes,Yes,Yes,Yes,No
340,172,Yes,Yes,Yes,Yes,No
357,173,Yes,Yes,Yes,Yes,No
92,174,Yes,Yes,Yes,Yes,No
144,175,Yes,Yes,Yes,Yes,No
4,176,Yes,Yes,Yes,Yes,No
146,177,Yes,Yes,Yes,Yes,No
344,178,Yes,Yes,Yes,Yes,No
357,179,Yes,Yes,Yes,Yes,Yes
46,180,Yes,Yes,Yes,Yes,No
47,181,Yes,Yes,Yes,Yes,No
136,182,Yes,Yes,Yes,Yes,No
138,183,Yes,Yes,Yes,Yes,No
361,184,Yes,Yes,Yes,Yes,Yes
350,185,Yes,Yes,Yes,Yes,No
409,186,Yes,Yes,Yes,Yes,No
335,188,Yes,Yes,Yes,Yes,Yes
359,189,Yes,Yes,Yes,Yes,No
329,190,Yes,Yes,Yes,Yes,No
151,192,Yes,Yes,Yes,Yes,No
60,194,Yes,Yes,Yes,Yes,No
360,195,Yes,Yes,Yes,Yes,No
271,196,Yes,Yes,Yes,Yes,No
278,197,Yes,Yes,Yes,Yes,No
272,198,Yes,Yes,Yes,Yes,No
278,199,Yes,Yes,Yes,Yes,No
275,200,Yes,Yes,Yes,Yes,No
341,201,Yes,Yes,Yes,Yes,No
51,202,Yes,Yes,Yes,Yes,Yes
359,203,Yes,Yes,Yes,Yes,No
253,204,Yes,Yes,Yes,Yes,No
138,205,Yes,Yes,Yes,Yes,No
52,206,Yes,Yes,Yes,Yes,Yes
345,207,Yes,Yes,Yes,Yes,No
321,209,Yes,Yes,Yes,Yes,No
351,210,Yes,Yes,Yes,Yes,No
76,211,Yes,Yes,Yes,Yes,No
353,212,Yes,Yes,Yes,Yes,No
272,213,Yes,Yes,Yes,Yes,No
503,214,Yes,Yes,Yes,Yes,No
271,216,Yes,Yes,Yes,Yes,No
53,217,Yes,Yes,Yes,Yes,Yes
147,218,Yes,Yes,Yes,Yes,No
336,219,Yes,Yes,Yes,Yes,No
48,220,Yes,Yes,Yes,Yes,No
344,221,Yes,Yes,Yes,Yes,No
271,222,Yes,Yes,Yes,Yes,No
272,224,Yes,Yes,Yes,Yes,No
350,225,Yes,Yes,Yes,Yes,No
47,226,Yes,Yes,Yes,Yes,No
344,227,Yes,Yes,Yes,Yes,No
48,228,Yes,Yes,Yes,Yes,No
329,229,Yes,Yes,Yes,Yes,No
321,230,Yes,Yes,Yes,Yes,No
351,231,Yes,Yes,Yes,Yes,No
350,232,Yes,Yes,Yes,Yes,No
271,233,Yes,Yes,Yes,Yes,No
360,234,Yes,Yes,Yes,Yes,Yes
503,236,Yes,Yes,Yes,Yes,No
271,237,Yes,Yes,Yes,Yes,No
147,238,Yes,Yes,Yes,Yes,No
138,239,Yes,Yes,Yes,Yes,No
47,240,Yes,Yes,Yes,Yes,No
410,242,Yes,Yes,Yes,Yes,No
339,243,Yes,Yes,Yes,Yes,No
135,244,Yes,Yes,Yes,Yes,No
345,246,Yes,Yes,Yes,Yes,No
351,247,Yes,Yes,Yes,Yes,No
76,248,Yes,Yes,Yes,Yes,No
503,249,Yes,Yes,Yes,Yes,No
357,250,Yes,Yes,Yes,Yes,No
45,251,Yes,Yes,Yes,Yes,No
271,252,Yes,Yes,Yes,Yes,No
341,253,Yes,Yes,Yes,Yes,No
273,254,Yes,Yes,Yes,Yes,No
341,256,Yes,Yes,Yes,Yes,Yes
254,257,Yes,Yes,Yes,Yes,No
4,258,Yes,Yes,Yes,Yes,No
583,259,Yes,Yes,Yes,Yes,No
55,260,Yes,Yes,Yes,Yes,No
325,261,Yes,Yes,Yes,Yes,No
271,262,Yes,Yes,Yes,Yes,No
149,264,Yes,Yes,Yes,Yes,No
45,265,Yes,Yes,Yes,Yes,No
50,266,Yes,Yes,Yes,Yes,No
334,267,Yes,Yes,Yes,Yes,No
147,268,Yes,Yes,Yes,Yes,No
349,269,Yes,Yes,Yes,Yes,No
349,271,Yes,Yes,Yes,Yes,No
153,272,Yes,Yes,Yes,Yes,No
4,273,Yes,Yes,Yes,Yes,No
4,274,Yes,Yes,Yes,Yes,No
503,275,Yes,Yes,Yes,Yes,No
351,276,Yes,Yes,Yes,Yes,No
353,277,Yes,Yes,Yes,Yes,No
127,278,Yes,Yes,Yes,Yes,No
321,279,Yes,Yes,Yes,Yes,No
83,280,Yes,Yes,Yes,Yes,No
328,281,Yes,Yes,Yes,Yes,No
253,282,Yes,Yes,Yes,Yes,No
66,283,Yes,Yes,Yes,Yes,No
49,284,Yes,Yes,Yes,Yes,No
503,285,Yes,Yes,Yes,Yes,No
55,286,Yes,Yes,Yes,Yes,No
11,287,Yes,Yes,Yes,Yes,No
503,288,Yes,Yes,Yes,Yes,No
327,289,Yes,Yes,Yes,Yes,No
77,290,Yes,Yes,Yes,Yes,No
87,292,Yes,Yes,Yes,Yes,No
85,293,Yes,Yes,Yes,Yes,No
253,294,Yes,Yes,Yes,Yes,No
340,295,Yes,Yes,Yes,Yes,No
325,296,Yes,Yes,Yes,Yes,No
59,297,Yes,Yes,Yes,Yes,No
3,298,Yes,Yes,Yes,Yes,No
254,299,Yes,Yes,Yes,Yes,Yes
3,300,Yes,Yes,Yes,Yes,No
3,301,Yes,Yes,Yes,Yes,No
271,302,Yes,Yes,Yes,Yes,No
4,303,Yes,Yes,Yes,Yes,No
149,304,Yes,Yes,Yes,Yes,No
138,305,Yes,Yes,Yes,Yes,No
5,306,Yes,Yes,Yes,Yes,No
135,307,Yes,Yes,Yes,Yes,No
152,308,Yes,Yes,Yes,Yes,No
132,309,Yes,Yes,Yes,Yes,No
132,310,Yes,Yes,Yes,Yes,No
129,311,Yes,Yes,Yes,Yes,No
134,312,Yes,Yes,Yes,Yes,No
340,313,Yes,Yes,Yes,Yes,No
5,314,Yes,Yes,Yes,Yes,No
3,315,Yes,Yes,Yes,Yes,No
3,316,Yes,Yes,Yes,Yes,No
272,317,Yes,Yes,Yes,Yes,No
325,318,Yes,Yes,Yes,Yes,No
361,319,Yes,Yes,Yes,Yes,No
76,320,Yes,Yes,Yes,Yes,No
85,321,Yes,Yes,Yes,Yes,No
85,322,Yes,Yes,Yes,Yes,No
127,323,Yes,Yes,Yes,Yes,No
356,324,Yes,Yes,Yes,Yes,No
360,325,Yes,Yes,Yes,Yes,No
361,326,Yes,Yes,Yes,Yes,No
341,328,Yes,Yes,Yes,Yes,No
10,329,Yes,Yes,Yes,Yes,No
84,330,Yes,Yes,Yes,Yes,No
66,331,Yes,Yes,Yes,Yes,No
5,332,Yes,Yes,Yes,Yes,No
254,333,Yes,Yes,Yes,Yes,No
275,334,Yes,Yes,Yes,Yes,No
146,335,Yes,Yes,Yes,Yes,No
325,336,Yes,Yes,Yes,Yes,No
335,337,Yes,Yes,Yes,Yes,No
334,338,Yes,Yes,Yes,Yes,No
327,339,Yes,Yes,Yes,Yes,No
351,340,Yes,Yes,Yes,Yes,No
407,341,Yes,Yes,Yes,Yes,No
411,342,Yes,Yes,Yes,Yes,No
275,343,Yes,Yes,Yes,Yes,No
65,344,Yes,Yes,Yes,Yes,No
46,345,Yes,Yes,Yes,Yes,No
409,346,Yes,Yes,Yes,Yes,No
136,347,Yes,Yes,Yes,Yes,No
327,348,Yes,Yes,Yes,Yes,No
433,350,Yes,Yes,Yes,Yes,No
68,351,Yes,Yes,Yes,Yes,No
271,352,Yes,Yes,Yes,Yes,No
48,353,Yes,Yes,Yes,Yes,No
336,354,Yes,Yes,Yes,Yes,No
10,355,Yes,Yes,Yes,Yes,No
10,356,Yes,Yes,Yes,Yes,No
336,357,Yes,Yes,Yes,Yes,No
321,358,Yes,Yes,Yes,Yes,No
322,359,Yes,Yes,Yes,Yes,Yes
352,360,Yes,Yes,Yes,Yes,No
341,361,Yes,Yes,Yes,Yes,Yes
11,362,Yes,Yes,Yes,Yes,No
359,363,Yes,Yes,Yes,Yes,No
503,364,Yes,Yes,Yes,Yes,No
140,365,Yes,Yes,Yes,Yes,No
121,366,Yes,Yes,Yes,Yes,No
410,368,Yes,Yes,Yes,Yes,No
406,369,Yes,Yes,Yes,Yes,No
406,370,Yes,Yes,Yes,Yes,No
48,371,Yes,Yes,Yes,Yes,No
406,372,Yes,Yes,Yes,Yes,No
322,373,Yes,Yes,Yes,Yes,No
347,374,Yes,Yes,Yes,Yes,No
5,375,Yes,Yes,Yes,Yes,No
127,376,Yes,Yes,Yes,Yes,No
516,377,Yes,Yes,Yes,Yes,No
411,378,Yes,Yes,Yes,Yes,No
333,379,Yes,Yes,Yes,Yes,No
81,381,Yes,Yes,Yes,Yes,No
410,382,Yes,Yes,Yes,Yes,No
66,383,Yes,Yes,Yes,Yes,No
66,384,Yes,Yes,Yes,Yes,No
84,385,Yes,Yes,Yes,Yes,No
132,386,Yes,Yes,Yes,Yes,No
352,387,Yes,Yes,Yes,Yes,No
321,388,Yes,Yes,Yes,Yes,No
352,389,Yes,Yes,Yes,Yes,No
149,390,Yes,Yes,Yes,Yes,No
4,391,Yes,Yes,Yes,Yes,No
344,392,Yes,Yes,Yes,Yes,No
147,393,Yes,Yes,Yes,Yes,No
137,394,Yes,Yes,Yes,Yes,No
80,395,Yes,Yes,Yes,Yes,No
39,396,Yes,Yes,Yes,Yes,No
80,397,Yes,Yes,Yes,Yes,No
46,398,Yes,Yes,Yes,Yes,No
46,399,Yes,Yes,Yes,Yes,No
68,400,Yes,Yes,Yes,Yes,No
131,401,Yes,Yes,Yes,Yes,No
132,402,Yes,Yes,Yes,Yes,No
137,403,Yes,Yes,Yes,Yes,No
87,404,Yes,Yes,Yes,Yes,No
134,405,Yes,Yes,Yes,Yes,No
151,406,Yes,Yes,Yes,Yes,Yes
81,407,Yes,Yes,Yes,Yes,No
66,408,Yes,Yes,Yes,Yes,No
137,409,Yes,Yes,Yes,Yes,No
146,410,Yes,Yes,Yes,Yes,No
138,411,Yes,Yes,Yes,Yes,No
45,412,Yes,Yes,Yes,Yes,No
569,413,Yes,Yes,Yes,Yes,No
349,414,Yes,Yes,Yes,Yes,No
132,415,Yes,Yes,Yes,Yes,No
151,416,Yes,Yes,Yes,Yes,No
47,417,Yes,Yes,Yes,Yes,No
407,418,Yes,Yes,Yes,Yes,No
406,419,Yes,Yes,Yes,Yes,No
349,420,Yes,Yes,Yes,Yes,No
479,421,Yes,Yes,Yes,Yes,No
273,422,Yes,Yes,Yes,Yes,No
13,423,Yes,Yes,Yes,Yes,No
8,424,Yes,Yes,Yes,Yes,No
11,425,Yes,Yes,Yes,Yes,No
53,426,Yes,Yes,Yes,Yes,Yes
47,427,Yes,Yes,Yes,Yes,No
130,428,Yes,Yes,Yes,Yes,No
80,429,Yes,Yes,Yes,Yes,Yes
253,430,Yes,Yes,Yes,Yes,No
253,431,Yes,Yes,Yes,Yes,No
10,432,Yes,Yes,Yes,Yes,No
5,433,Yes,Yes,Yes,Yes,Yes
5,434,Yes,Yes,Yes,Yes,No
272,435,Yes,Yes,Yes,Yes,No
272,436,Yes,Yes,Yes,Yes,No
84,437,Yes,Yes,Yes,Yes,No
74,438,Yes,Yes,Yes,Yes,No
78,440,Yes,Yes,Yes,Yes,No
78,442,Yes,Yes,Yes,Yes,No
88,443,Yes,Yes,Yes,Yes,No
333,444,Yes,Yes,Yes,Yes,No
256,445,Yes,Yes,Yes,Yes,No
85,446,Yes,Yes,Yes,Yes,No
88,447,Yes,Yes,Yes,Yes,No
127,448,Yes,Yes,Yes,Yes,No
66,449,Yes,Yes,Yes,Yes,No
127,450,Yes,Yes,Yes,Yes,No
359,451,Yes,Yes,Yes,Yes,No
80,452,Yes,Yes,Yes,Yes,Yes
329,453,Yes,Yes,Yes,Yes,No
272,454,Yes,Yes,Yes,Yes,No
569,456,Yes,Yes,Yes,Yes,Yes
66,457,Yes,Yes,Yes,Yes,No
78,458,Yes,Yes,Yes,Yes,No
25,459,Yes,Yes,Yes,Yes,No
88,461,Yes,Yes,Yes,Yes,No
61,462,Yes,Yes,Yes,Yes,No
84,463,Yes,Yes,Yes,Yes,No
78,464,Yes,Yes,Yes,Yes,No
77,465,Yes,Yes,Yes,Yes,No
147,466,Yes,Yes,Yes,Yes,No
52,467,Yes,Yes,Yes,Yes,No
47,468,Yes,Yes,Yes,Yes,No
66,469,Yes,Yes,Yes,Yes,No
78,470,Yes,Yes,Yes,Yes,No
49,471,Yes,Yes,Yes,Yes,No
356,472,Yes,Yes,Yes,Yes,Yes
85,473,Yes,Yes,Yes,Yes,No
83,475,Yes,Yes,Yes,Yes,No
81,476,Yes,Yes,Yes,Yes,No
119,477,Yes,Yes,Yes,Yes,No
77,478,Yes,Yes,Yes,Yes,No
349,479,Yes,Yes,Yes,Yes,No
275,480,Yes,Yes,Yes,Yes,No
273,481,Yes,Yes,Yes,Yes,No
61,482,Yes,Yes,Yes,Yes,No
8,483,Yes,Yes,Yes,Yes,No
411,484,Yes,Yes,Yes,Yes,No
129,485,Yes,Yes,Yes,Yes,No
362,486,Yes,Yes,Yes,Yes,No
97,488,Yes,Yes,Yes,Yes,No
128,489,Yes,Yes,Yes,Yes,No
78,490,Yes,Yes,Yes,Yes,No
253,491,Yes,Yes,Yes,Yes,No
580,492,Yes,Yes,Yes,Yes,No
260,493,Yes,Yes,Yes,Yes,No
16,494,Yes,Yes,Yes,Yes,No
138,495,Yes,Yes,Yes,Yes,No
242,497,Yes,Yes,Yes,Yes,No
134,498,Yes,Yes,Yes,Yes,No
344,499,Yes,Yes,Yes,Yes,No
505,500,Yes,Yes,Yes,Yes,No
141,501,Yes,Yes,Yes,Yes,No
129,502,Yes,Yes,Yes,Yes,No
84,503,Yes,Yes,Yes,Yes,No
61,504,Yes,Yes,Yes,Yes,No
134,505,Yes,Yes,Yes,Yes,No
272,506,Yes,Yes,Yes,Yes,No
260,507,Yes,Yes,Yes,Yes,No
506,508,Yes,Yes,Yes,Yes,No
21,510,Yes,Yes,Yes,Yes,No
38,511,Yes,Yes,Yes,Yes,No
505,512,Yes,Yes,Yes,Yes,No
73,513,Yes,Yes,Yes,Yes,No
39,514,Yes,Yes,Yes,Yes,No
18,515,Yes,Yes,Yes,Yes,No
45,516,Yes,Yes,Yes,Yes,No
353,517,Yes,Yes,Yes,Yes,No
24,518,Yes,Yes,Yes,Yes,No
260,519,Yes,Yes,Yes,Yes,No
21,520,Yes,Yes,Yes,Yes,No
66,521,Yes,Yes,Yes,Yes,No
60,522,Yes,Yes,Yes,Yes,No
46,523,Yes,Yes,Yes,Yes,No
84,524,Yes,Yes,Yes,Yes,No
549,525,Yes,Yes,Yes,Yes,No
242,526,Yes,Yes,Yes,Yes,No
61,527,Yes,Yes,Yes,Yes,No
115,528,Yes,Yes,Yes,Yes,No
61,529,Yes,Yes,Yes,Yes,No
327,530,Yes,Yes,Yes,Yes,No
132,531,Yes,Yes,Yes,Yes,No
130,532,Yes,Yes,Yes,Yes,No
132,533,Yes,Yes,Yes,Yes,No
74,535,Yes,Yes,Yes,Yes,No
74,536,Yes,Yes,Yes,Yes,No
73,537,Yes,Yes,Yes,Yes,No
93,538,Yes,Yes,Yes,Yes,No
134,539,Yes,Yes,Yes,Yes,No
129,540,Yes,Yes,Yes,Yes,No
128,541,Yes,Yes,Yes,Yes,No
129,542,Yes,Yes,Yes,Yes,No
132,543,Yes,Yes,Yes,Yes,No
353,544,Yes,Yes,Yes,Yes,No
258,545,Yes,Yes,Yes,Yes,No
62,546,Yes,Yes,Yes,Yes,No
114,547,Yes,Yes,Yes,Yes,No
25,548,Yes,Yes,Yes,Yes,No
71,549,Yes,Yes,Yes,Yes,No
273,550,Yes,Yes,Yes,Yes,No
93,551,Yes,Yes,Yes,Yes,No
258,552,Yes,Yes,Yes,Yes,No
125,553,Yes,Yes,Yes,Yes,No
88,554,Yes,Yes,Yes,Yes,No
32,555,Yes,Yes,Yes,Yes,No
28,556,Yes,Yes,Yes,Yes,No
407,557,Yes,Yes,Yes,Yes,No
407,558,Yes,Yes,Yes,Yes,No
418,559,Yes,Yes,Yes,Yes,No
360,560,Yes,Yes,Yes,Yes,No
76,561,Yes,Yes,Yes,Yes,No
2,562,Yes,Yes,Yes,Yes,No
94,563,Yes,Yes,Yes,Yes,No
344,564,Yes,Yes,Yes,Yes,Yes
55,565,Yes,Yes,Yes,Yes,No
580,566,Yes,Yes,Yes,Yes,No
85,567,Yes,Yes,Yes,Yes,No
152,568,Yes,Yes,Yes,Yes,No
257,569,Yes,Yes,Yes,Yes,No
260,571,Yes,Yes,Yes,Yes,Yes
46,572,Yes,Yes,Yes,Yes,No
361,573,Yes,Yes,Yes,Yes,No
37,574,Yes,Yes,Yes,Yes,Yes
26,575,Yes,Yes,Yes,Yes,Yes
345,576,Yes,Yes,Yes,Yes,No
362,577,Yes,Yes,Yes,Yes,Yes
123,578,Yes,Yes,Yes,Yes,No
94,579,Yes,Yes,Yes,Yes,No
116,580,Yes,Yes,Yes,Yes,No
414,581,Yes,Yes,Yes,Yes,No
94,582,Yes,Yes,Yes,Yes,No
121,583,Yes,Yes,Yes,Yes,No
260,584,Yes,Yes,Yes,Yes,No
42,585,Yes,Yes,Yes,Yes,No
37,586,Yes,Yes,Yes,Yes,No
152,587,Yes,Yes,Yes,Yes,No
27,588,Yes,Yes,Yes,Yes,No
256,589,Yes,Yes,Yes,Yes,Yes
48,590,Yes,Yes,Yes,Yes,No
259,591,Yes,Yes,Yes,Yes,No
406,592,Yes,Yes,Yes,Yes,No
28,593,Yes,Yes,Yes,Yes,No
19,594,Yes,Yes,Yes,Yes,No
569,595,Yes,Yes,Yes,Yes,No
271,596,Yes,Yes,Yes,Yes,No
429,598,Yes,Yes,Yes,Yes,No
124,599,Yes,Yes,Yes,Yes,No
70,600,Yes,Yes,Yes,Yes,No
74,601,Yes,Yes,Yes,Yes,No
68,602,Yes,Yes,Yes,Yes,No
278,603,Yes,Yes,Yes,Yes,No
7,604,Yes,Yes,Yes,Yes,No
29,605,Yes,Yes,Yes,Yes,No
29,606,Yes,Yes,Yes,Yes,No
349,607,Yes,Yes,Yes,Yes,No
73,608,Yes,Yes,Yes,Yes,No
275,609,Yes,Yes,Yes,Yes,No
76,610,Yes,Yes,Yes,Yes,No
387,611,Yes,Yes,Yes,Yes,No
273,612,Yes,Yes,Yes,Yes,No
94,613,Yes,Yes,Yes,Yes,No
16,614,Yes,Yes,Yes,Yes,No
22,615,Yes,Yes,Yes,Yes,No
38,616,Yes,Yes,Yes,Yes,No
580,617,Yes,Yes,Yes,Yes,No
26,618,Yes,Yes,Yes,Yes,No
119,619,Yes,Yes,Yes,Yes,No
124,620,Yes,Yes,Yes,Yes,No
37,621,Yes,Yes,Yes,Yes,No
344,622,Yes,Yes,Yes,Yes,Yes
118,623,Yes,Yes,Yes,Yes,No
39,624,Yes,Yes,Yes,Yes,No
37,625,Yes,Yes,Yes,Yes,No
73,626,Yes,Yes,Yes,Yes,No
38,627,Yes,Yes,Yes,Yes,No
36,628,Yes,Yes,Yes,Yes,Yes
42,629,Yes,Yes,Yes,Yes,No
38,630,Yes,Yes,Yes,Yes,No
35,631,Yes,Yes,Yes,Yes,No
36,632,Yes,Yes,Yes,Yes,No
279,633,Yes,Yes,Yes,Yes,No
38,634,Yes,Yes,Yes,Yes,No
29,635,Yes,Yes,Yes,Yes,No
279,636,Yes,Yes,Yes,Yes,No
429,637,Yes,Yes,Yes,Yes,No
42,638,Yes,Yes,Yes,Yes,No
28,639,Yes,Yes,Yes,Yes,No
35,640,Yes,Yes,Yes,Yes,No
35,641,Yes,Yes,Yes,Yes,Yes
38,642,Yes,Yes,Yes,Yes,No
37,643,Yes,Yes,Yes,Yes,No
39,644,Yes,Yes,Yes,Yes,No
433,645,Yes,Yes,Yes,Yes,No
415,646,Yes,Yes,Yes,Yes,No
414,647,Yes,Yes,Yes,Yes,No
339,648,Yes,Yes,Yes,Yes,No
92,649,Yes,Yes,Yes,Yes,No
66,651,Yes,Yes,Yes,Yes,No
406,652,Yes,Yes,Yes,Yes,No
253,653,Yes,Yes,Yes,Yes,No
253,655,Yes,Yes,Yes,Yes,No
151,656,Yes,Yes,Yes,Yes,No
152,657,Yes,Yes,Yes,Yes,No
120,658,Yes,Yes,Yes,Yes,No
153,659,Yes,Yes,Yes,Yes,No
137,660,Yes,Yes,Yes,Yes,No
137,661,Yes,Yes,Yes,Yes,No
137,662,Yes,Yes,Yes,Yes,No
119,663,Yes,Yes,Yes,Yes,No
406,664,Yes,Yes,Yes,Yes,No
257,665,Yes,Yes,Yes,Yes,No
