Store Number,Recommended Additional Pallets for Memorial Day Weekend
5245,1
5247,1
5254,1
5255,3
5258,2
5259,2
5265,1
5269,1
5270,1
5298,2
5303,1
5306,2
5317,1
5321,3
5323,3
5325,3
5326,3
5327,2
5328,3
5329,1
5330,3
5331,1
5342,1
5343,2
5344,1
5345,1
5346,2
5348,1
5349,1
5350,2
5353,2
5363,3
5364,2
5365,1
5367,1
5369,2
5388,2
5389,1
5391,2
5392,2
5423,3
5428,3
5429,2
5449,3
5450,1
5451,2
5453,2
5490,1
5494,2
5613,2
5614,1
5622,2
5623,1
5624,2
5626,2
5628,2
5653,2
5671,2
5672,2
5673,1
5675,2
5676,1
5704,1
5705,2
5707,2
5715,1
5717,1
5719,1
5727,2
5753,2
5754,3
5755,2
5758,1
5758,2
5759,2
5759,2
5764,1
5769,1
5773,2
5787,2
5789,1
5818,2
5824,3
5826,2
5828,2
5831,2
5835,3
5839,2
5841,1
5845,1
5858,1
5863,3
5872,2
5882,2
5903,2
5907,1
5911,2
5912,2
5941,2
5959,2
5964,3
6170,1
6173,3
6174,2
6190,1
6243,2
6395,2
6398,3
6459,2
6477,1
6480,1
6531,2
6579,2
6587,1
6798,1
6813,1
6814,2
6850,2
6851,2
6879,2
6898,2
6937,2
6963,1
6966,1
6967,2
6978,1
7004,1
7009,3
7043,1
7098,1
7099,2
7146,3
7156,2
7168,2
7178,1
7179,2
7181,1
7218,2
7224,2
7232,1
7246,3
7280,1
7298,2
7299,2
7301,2
7309,1
7310,1
7311,1
7320,1
7329,2
7334,1
7337,2
