Store #,WM WK #,Install Date,Start Time,,,,
1241,26,7/27/23,1:00 AM,,,,
1245,23,7/6/23,1:00 AM,,,,
1249,30,8/24/2023,1:00:00 AM,,,,
1254,30,8/23/2023,1:00:00 AM,,,,
1265,25,7/21/23,1:00 AM,,,,
1313,26,7/28/23,1:00 AM,,,,
1319,30,8/21/2023,1:00:00 AM,,,,
1320,31,8/28/2023,1:00:00 AM,,,,
1331,27,7/31/23,1:00 AM,,,,
1337,31,8/31/2023,1:00:00 AM,,,,
1340,27,7/31/23,1:00 AM,,,,
1347,25,7/20/23,1:00 AM,,,,
1349,26,7/25/23,1:00 AM,,,,
1367,30,8/23/2023,1:00:00 AM,,,,
1407,30,8/21/2023,1:00:00 AM,,,,
1410,27,8/1/23,1:00 AM,,,,
1418,26,7/27/23,1:00 AM,,,,
1433,27,8/2/23,1:00 AM,,,,
1514,23,7/6/23,1:00 AM,,,,
1568,31,8/28/2023,1:00:00 AM,,,,
1617,31,8/28/2023,1:00:00 AM,,,,
1619,27,8/3/23,1:00 AM,,,,
1630,31,8/28/2023,1:00:00 AM,,,,
1644,31,8/28/2023,1:00:00 AM,,,,
1662,30,8/23/2023,1:00:00 AM,,,,
1686,31,8/28/2023,1:00:00 AM,,,,
1699,30,8/21/2023,1:00:00 AM,,,,
1702,25,7/19/23,1:00 AM,,,,
1712,23,7/5/23,1:00 AM,,,,
1721,22,6/29/23,1:00 AM,,,,
1723,27,8/3/23,1:00 AM,,,,
1744,26,7/26/23,1:00 AM,,,,
1769,26,7/26/23,1:00 AM,,,,
1792,23,7/5/23,1:00 AM,,,,
1794,26,7/25/23,1:00 AM,,,,
1810,27,8/1/23,1:00 AM,,,,
1820,30,8/23/2023,1:00:00 AM,,,,
1837,30,8/23/2023,1:00:00 AM,,,,
1850,31,8/31/2023,1:00:00 AM,,,,
1869,30,8/21/2023,1:00:00 AM,,,,
1873,27,8/2/23,1:00 AM,,,,
1874,25,7/19/23,1:00 AM,,,,
1885,30,8/24/2023,1:00:00 AM,,,,
1890,31,8/30/2023,1:00:00 AM,,,,
1906,31,8/30/2023,1:00:00 AM,,,,
1926,30,8/23/2023,1:00:00 AM,,,,
1940,31,8/29/2023,1:00:00 AM,,,,
1945,31,8/31/2023,1:00:00 AM,,,,
1959,23,7/6/23,1:00 AM,,,,
1960,30,8/23/2023,1:00:00 AM,,,,
1961,27,8/2/23,1:00 AM,,,,
1986,30,8/21/2023,1:00:00 AM,,,,
1996,22,6/28/23,1:00 AM,,,,
2002,27,7/31/23,1:00 AM,,,,
2031,25,7/17/23,1:00 AM,,,,
2035,27,8/3/23,1:00 AM,,,,
2036,26,7/24/23,1:00 AM,,,,
2056,27,8/1/23,1:00 AM,,,,
2059,25,7/19/23,1:00 AM,,,,
2073,30,8/22/2023,1:00:00 AM,,,,
2081,23,7/6/23,1:00 AM,,,,
2098,30,8/21/2023,1:00:00 AM,,,,
2107,30,8/22/2023,1:00:00 AM,,,,
2129,26,7/25/23,1:00 AM,,,,
2139,24,7/13/23,1:00 AM,,,,
2145,30,8/21/2023,1:00:00 AM,,,,
2146,25,7/19/23,1:00 AM,,,,
2149,30,8/22/2023,1:00:00 AM,,,,
2159,22,6/27/23,1:00 AM,,,,
2184,25,7/20/23,1:00 AM,,,,
2194,31,8/28/2023,1:00:00 AM,,,,
2213,23,7/5/23,1:00 AM,,,,
2225,27,8/3/23,1:00 AM,,,,
2227,25,7/18/23,1:00 AM,,,,
2230,26,7/24/23,1:00 AM,,,,
2231,30,8/24/2023,1:00:00 AM,,,,
2239,27,8/3/23,1:00 AM,,,,
2242,30,8/22/2023,1:00:00 AM,,,,
2251,26,7/26/23,1:00 AM,,,,
2252,30,8/23/2023,1:00:00 AM,,,,
2258,31,8/29/2023,1:00:00 AM,,,,
2261,27,8/1/23,1:00 AM,,,,
2266,30,8/24/2023,1:00:00 AM,,,,
2267,25,7/21/23,1:00 AM,,,,
2278,22,6/28/23,1:00 AM,,,,
2280,31,8/28/2023,1:00:00 AM,,,,
2314,27,8/3/23,1:00 AM,,,,
2316,30,8/25/2023,1:00:00 AM,,,,
2318,25,7/20/23,1:00 AM,,,,
2321,31,8/28/2023,1:00:00 AM,,,,
2334,25,7/19/23,1:00 AM,,,,
2341,24,7/14/23,1:00 AM,,,,
2365,31,8/30/2023,1:00:00 AM,,,,
2366,27,7/31/23,1:00 AM,,,,
2373,27,8/4/23,1:00 AM,,,,
2387,27,7/31/23,1:00 AM,,,,
2420,25,7/18/23,1:00 AM,,,,
2426,30,8/23/2023,1:00:00 AM,,,,
2441,30,8/22/2023,1:00:00 AM,,,,
2442,23,7/7/23,1:00 AM,,,,
2444,31,8/30/2023,1:00:00 AM,,,,
2459,22,6/30/23,1:00 AM,,,,
2471,30,8/24/2023,1:00:00 AM,,,,
2480,31,8/29/2023,1:00:00 AM,,,,
2481,26,7/27/23,1:00 AM,,,,
2496,30,8/22/2023,1:00:00 AM,,,,
2502,25,7/21/23,1:00 AM,,,,
2504,24,7/11/23,1:00 AM,,,,
2526,30,8/24/2023,1:00:00 AM,,,,
2528,26,7/26/23,1:00 AM,,,,
2540,26,7/28/23,1:00 AM,,,,
2547,31,8/30/2023,1:00:00 AM,,,,
2591,26,7/27/23,1:00 AM,,,,
2597,23,7/6/23,1:00 AM,,,,
2599,27,8/2/23,1:00 AM,,,,
2609,25,7/21/23,1:00 AM,,,,
2611,27,7/31/23,1:00 AM,,,,
2627,22,6/26/23,1:00 AM,,,,
2627,26,7/26/23,1:00 AM,,,,
2629,25,7/17/23,1:00 AM,,,,
2640,31,8/28/2023,1:00:00 AM,,,,
2651,31,8/29/2023,1:00:00 AM,,,,
2660,25,7/19/23,1:00 AM,,,,
2682,26,7/25/23,1:00 AM,,,,
2697,26,7/24/23,1:00 AM,,,,
2699,27,8/1/23,1:00 AM,,,,
2722,31,8/30/2023,1:00:00 AM,,,,
2725,30,8/25/2023,1:00:00 AM,,,,
2726,31,8/28/2023,1:00:00 AM,,,,
2733,30,8/22/2023,1:00:00 AM,,,,
2740,22,6/27/23,1:00 AM,,,,
2774,31,8/29/2023,1:00:00 AM,,,,
2785,23,7/6/23,1:00 AM,,,,
2806,31,8/29/2023,1:00:00 AM,,,,
2814,24,7/12/23,1:00 AM,,,,
2827,25,7/20/23,1:00 AM,,,,
2857,25,7/21/23,1:00 AM,,,,
2864,25,7/19/23,1:00 AM,,,,
2944,31,9/1/2023,1:00:00 AM,,,,
2948,26,7/27/23,1:00 AM,,,,
3159,30,8/22/2023,1:00:00 AM,,,,
3163,22,6/26/23,1:00 AM,,,,
3222,31,8/28/2023,1:00:00 AM,,,,
3223,27,8/3/23,1:00 AM,,,,
3228,30,8/25/2023,1:00:00 AM,,,,
3232,31,8/30/2023,1:00:00 AM,,,,
3235,26,7/28/23,1:00 AM,,,,
3253,22,6/29/23,1:00 AM,,,,
3266,31,8/31/2023,1:00:00 AM,,,,
3277,30,8/21/2023,1:00:00 AM,,,,
3281,22,6/30/23,1:00 AM,,,,
3282,31,8/31/2023,1:00:00 AM,,,,
3291,31,8/29/2023,1:00:00 AM,,,,
3300,27,8/4/23,1:00 AM,,,,
3311,26,7/24/23,1:00 AM,,,,
3332,30,8/21/2023,1:00:00 AM,,,,
3347,23,7/5/23,1:00 AM,,,,
3370,22,6/28/23,1:00 AM,,,,
3408,31,8/28/2023,1:00:00 AM,,,,
3409,31,8/29/2023,1:00:00 AM,,,,
3457,30,8/22/2023,1:00:00 AM,,,,
3463,26,7/25/23,1:00 AM,,,,
3474,24,7/12/23,1:00 AM,,,,
3477,26,7/28/23,1:00 AM,,,,
3478,30,8/25/2023,1:00:00 AM,,,,
3502,30,8/23/2023,1:00:00 AM,,,,
3522,26,7/28/23,1:00 AM,,,,
3526,23,7/7/23,1:00 AM,,,,
3569,25,7/17/23,1:00 AM,,,,
3571,30,8/24/2023,1:00:00 AM,,,,
3585,31,8/29/2023,1:00:00 AM,,,,
3606,30,8/24/2023,1:00:00 AM,,,,
3708,27,8/1/23,1:00 AM,,,,
3738,27,8/1/23,1:00 AM,,,,
3750,30,8/24/2023,1:00:00 AM,,,,
3817,22,6/30/23,1:00 AM,,,,
3838,27,8/4/23,1:00 AM,,,,
4101,25,7/21/23,1:00 AM,,,,
4132,26,7/24/23,1:00 AM,,,,
4156,27,8/3/23,1:00 AM,,,,
4171,30,8/23/2023,1:00:00 AM,,,,
4174,31,9/1/2023,1:00:00 AM,,,,
4332,31,8/31/2023,1:00:00 AM,,,,
4387,24,7/12/23,1:00 AM,,,,
4553,22,6/28/23,1:00 AM,,,,
4588,22,6/29/23,1:00 AM,,,,
4594,31,9/1/2023,1:00:00 AM,,,,
4597,31,8/30/2023,1:00:00 AM,,,,
4609,30,8/25/2023,1:00:00 AM,,,,
4637,30,8/24/2023,1:00:00 AM,,,,
4690,25,7/18/23,1:00 AM,,,,
5035,22,6/30/23,1:00 AM,,,,
5085,31,8/30/2023,1:00:00 AM,,,,
5116,31,9/1/2023,1:00:00 AM,,,,
5132,30,8/25/2023,1:00:00 AM,,,,
5151,30,8/23/2023,1:00:00 AM,,,,
5154,26,7/25/23,1:00 AM,,,,
5184,31,8/30/2023,1:00:00 AM,,,,
5205,30,8/22/2023,1:00:00 AM,,,,
5250,22,6/27/23,1:00 AM,,,,
5255,26,7/24/23,1:00 AM,,,,
5274,25,7/17/23,1:00 AM,,,,
5274,31,9/1/2023,1:00:00 AM,,,,
5296,27,8/1/23,1:00 AM,,,,
5319,27,8/4/23,1:00 AM,,,,
5360,22,6/26/23,1:00 AM,,,,
5389,30,8/24/2023,1:00:00 AM,,,,
5390,30,8/22/2023,1:00:00 AM,,,,
5420,31,9/1/2023,1:00:00 AM,,,,
5435,30,8/25/2023,1:00:00 AM,,,,
5445,23,7/6/23,1:00 AM,,,,
5466,31,9/1/2023,1:00:00 AM,,,,
5470,31,8/29/2023,1:00:00 AM,,,,
5481,31,8/31/2023,1:00:00 AM,,,,
5604,25,7/20/23,1:00 AM,,,,
5644,30,8/25/2023,1:00:00 AM,,,,
5661,27,8/4/23,1:00 AM,,,,
5713,30,8/25/2023,1:00:00 AM,,,,
5727,26,7/28/23,1:00 AM,,,,
5748,31,8/31/2023,1:00:00 AM,,,,
5753,31,8/30/2023,1:00:00 AM,,,,
5874,23,7/5/23,1:00 AM,,,,
5884,30,8/23/2023,1:00:00 AM,,,,
5932,26,7/26/23,1:00 AM,,,,
6500,31,9/1/2023,1:00:00 AM,,,,
7179,31,8/30/2023,1:00:00 AM,,,,
7309,30,8/24/2023,1:00:00 AM,,,,
