Store Number,Serial Number,SIM Status,SIM Last Update,Acquisitio,Manufacturer Name,Model,Caliber,Firearm Type,Notes,UPC
1806,4183098,----,----,8/11/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1810,4175864,----,----,8/4/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1813,US001297K,----,----,6/23/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
1813,US001349K,----,----,6/23/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
1813,0021-19943,----,----,7/22/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
1830,0020-98990,----,----,5/16/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
1830,4122365,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1830,4142263,----,----,6/16/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1830,4175863,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1830,US001969K,----,----,8/13/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
1830,US002348K,----,----,8/13/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
1835,4095793,----,----,4/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
1835,4095454,----,----,4/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
1835,7CA350305R,----,----,5/7/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211807
1835,US000360K,----,----,5/16/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
1835,4168287,----,----,7/22/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1835,0021-14465,----,----,7/25/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
1835,4172229,----,----,7/28/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1835,4175862,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1871,7CA278089P,----,----,10/11/2021,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
1871,4119714,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1871,7CA304377P,----,----,5/31/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
1871,4145104,----,----,6/24/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1871,0021-14466,----,----,7/27/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
1871,4175886,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1946,7CA349837R,----,----,5/6/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211807
1946,4145102,----,----,6/23/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1946,7CA306047P,----,----,6/23/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
1946,4155540,----,----,7/6/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
1946,0022-01191,----,----,7/26/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
1949,4113903,----,----,5/20/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1949,4119713,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1949,4119712,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1959,3909097,----,----,10/15/2021,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654700033
1959,3995426,----,----,1/21/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1966,4059148,----,----,4/6/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
1966,4074138,----,----,4/6/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1966,4120973,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1966,US000331K,----,----,5/25/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
1966,7CA304417P,----,----,6/16/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
1966,4175882,----,----,8/1/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1966,4176067,----,----,8/3/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1973,US000001K,----,----,5/16/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
1973,4113904,----,----,5/20/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1973,0022-06300,----,----,7/21/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
1973,4175880,----,----,8/1/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1973,4176444,----,----,8/3/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1993,4119726,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1993,4120976,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1993,4151643,----,----,6/23/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
1993,4168330,----,----,7/22/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1993,0022-01693,----,----,7/25/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2056,4059158,----,----,4/5/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2056,4095436,----,----,4/22/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2056,4088964,----,----,4/22/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2056,0020-98339,----,----,5/16/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2056,4120939,----,----,6/1/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2056,4120930,----,----,6/1/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2088,US000827K,----,----,5/16/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2088,4119674,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2092,4113912,----,----,5/23/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2092,4120936,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2092,US001084K,----,----,5/26/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2092,4142697,----,----,6/16/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2092,0021-02469,----,----,6/23/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2092,4155552,----,----,7/6/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2092,4155545,----,----,7/6/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2097,4119666,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2097,US001081K,----,----,5/27/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2097,4144984,----,----,6/16/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2097,4142717,----,----,6/16/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2097,4151529,----,----,6/26/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2097,0022-01159,----,----,7/27/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2116,7CA304440P,----,----,6/16/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
2116,4145090,----,----,6/24/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2116,4175851,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2116,4176069,----,----,8/5/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2120,4122279,----,----,5/27/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2120,4060065,----,----,5/27/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2120,4164924,----,----,7/21/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2120,4175852,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2120,4172193,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2135,4119673,----,----,5/26/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2135,4144969,----,----,6/17/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2135,7CA306103P,----,----,6/24/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
2135,0022-00067,----,----,8/9/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2135,4183111,----,----,8/11/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2146,MN49861B,----,----,9/8/2020,THE MARLIN FIREARMS CO./MARLIN,60SB,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",26495076450
2146,3957899,----,----,6/27/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
2146,3957838,----,----,6/27/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
2146,4135856,----,----,6/27/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400025
2146,4135855,----,----,6/27/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400025
2146,P456741,----,----,6/27/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,22,22 WMR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",11356474001
2146,P456739,----,----,6/27/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,22,22 WMR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",11356474001
2146,4128153,----,----,6/27/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400025
2146,4164931,----,----,7/21/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2146,4171853,----,----,7/28/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2146,4175856,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2146,US002298K,----,----,8/15/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2146,US002319K,----,----,8/15/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2156,EOJ4146537,----,----,5/31/2016,CBC (Brazil)/MOSSBERG INTERNATIONAL,702,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",884110370013
2156,4113925,----,----,5/27/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2156,4119708,----,----,5/27/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2156,US001074K,----,----,5/27/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2156,0019-93287,----,----,6/27/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2156,4155546,----,----,7/7/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2156,4155553,----,----,7/7/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2159,7CA298312P,----,----,3/21/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
2159,4081634,----,----,4/26/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2159,P428799,----,----,5/3/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,22,22 WMR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",11356474001
2159,P428801,----,----,5/3/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,22,22 WMR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",11356474001
2159,4151629,----,----,6/24/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2159,0019-92231,----,----,6/30/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2164,P380359,----,----,3/28/2022,SAVAGE ARMS INC.,A17,17 HMR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",11356470058
2164,P380356,----,----,3/28/2022,SAVAGE ARMS INC.,A17,17 HMR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",11356470058
2164,4095420,----,----,4/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2164,4080432,----,----,5/6/2022,SAVAGE ARMS INC.,64F,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402036
2164,4098587,----,----,5/9/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654451102
2164,4098586,----,----,5/9/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654451102
2164,4098418,----,----,5/9/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654451102
2164,4120961,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2164,4120968,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2164,4145106,----,----,6/23/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2164,0021-27194,----,----,8/15/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2234,7CA304297P,----,----,4/19/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
2234,4113917,----,----,5/20/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2234,4120746,----,----,5/26/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2234,4176482,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2262,4119722,----,----,5/24/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2262,4125510,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2262,4142655,----,----,6/15/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2262,US001253K,----,----,6/24/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2262,0022-01323,----,----,7/27/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2262,4176481,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2285,7CA297324P,----,----,2/5/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
2285,4059178,----,----,4/6/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2285,4094409,----,----,5/13/2022,SAVAGE ARMS INC.,64F,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402036
2285,4144006,----,----,6/15/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2285,4144000,----,----,6/15/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2285,US001290K,----,----,6/24/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2285,3957654,----,----,7/5/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
2285,3957708,----,----,7/5/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
