Store Number,City, State, Article Description,Quantity,Delivery Date, PO Number
204,PRINCETON,KY,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670936
206,MCKINNEY,TX,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670907
206,MCKINNEY,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670907
213,LITCHFIELD,IL,GRILL GARAGE 4 RS STR,1,02/08/2024,38671001
213,LITCHFIELD,IL,GRILL GARAGE 4 RS ADD,2,01/04/2024,38566910
218,SELMER,TN,GRILL GARAGE 4 RS STR,1,01/04/2024,38566962
221,YUKON,OK,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670973
221,YUKON,OK,GRILL GARAGE 4 RS STR,1,02/08/2024,38670973
224,MOUNT VERNON,IL,GRILL GARAGE 4 RS ADD,4,02/08/2024,38670929
224,MOUNT VERNON,IL,GRILL GARAGE 4 RS STR,2,01/04/2024,38566897
226,ATLANTA,TX,GRILL GARAGE 4 RS ADD,3,02/08/2024,38671021
226,ATLANTA,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38671021
237,HARRISBURG,IL,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670920
237,HARRISBURG,IL,GRILL GARAGE 4 RS STR,1,02/08/2024,38670920
240,COMMERCE,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670967
242,PAOLA,KS,GRILL GARAGE 4 RS ADD,3,02/08/2024,38671023
242,PAOLA,KS,GRILL GARAGE 4 RS STR,1,02/08/2024,38671023
254,OLNEY,IL,GRILL GARAGE 4 RS ADD,3,02/08/2024,38671041
254,OLNEY,IL,GRILL GARAGE 4 RS STR,1,02/08/2024,38671041
256,GLEN CARBON,IL,GRILL GARAGE 4 RS ADD,1,02/08/2024,38671042
256,GLEN CARBON,IL,GRILL GARAGE 4 RS STR,1,02/08/2024,38671042
257,MORGANFIELD,KY,GRILL GARAGE 4 RS ADD,2,02/08/2024,38671036
257,MORGANFIELD,KY,GRILL GARAGE 4 RS STR,1,02/08/2024,38671036
268,SAVANNAH,TN,GRILL GARAGE 4 RS STR,1,01/04/2024,38566867
268,SAVANNAH,TN,GRILL GARAGE 4 RS ADD,3,01/04/2024,38566867
292,LOCKHART,TX,GRILL GARAGE 4 RS STR,1,01/04/2024,38566896
292,LOCKHART,TX,GRILL GARAGE 4 RS ADD,3,01/04/2024,38566896
295,EUREKA,MO,GRILL GARAGE 4 RS ADD,1,02/08/2024,38671091
295,EUREKA,MO,GRILL GARAGE 4 RS STR,1,02/08/2024,38671091
317,VANDALIA,IL,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670923
317,VANDALIA,IL,GRILL GARAGE 4 RS STR,1,02/08/2024,38670923
321,BRENHAM,TX,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670820
321,BRENHAM,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670820
330,VICTORIA,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670890
333,BEAVER DAM,KY,GRILL GARAGE 4 RS STR,1,02/08/2024,38670908
337,FREDERICKTOWN,MO,GRILL GARAGE 4 RS STR,1,02/08/2024,38670965
345,PALESTINE,TX,GRILL GARAGE 4 RS STR,5,02/08/2024,38671003
346,AUGUSTA,KS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670919
346,AUGUSTA,KS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670919
353,GRAHAM,TX,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670909
353,GRAHAM,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670909
365,PEARL,MS,GRILL GARAGE 4 RS STR,1,02/08/2024,38671012
388,FORT SMITH,AR,GRILL GARAGE 4 RS STR,2,01/04/2024,38566637
388,FORT SMITH,AR,GRILL GARAGE 4 RS ADD,2,01/04/2024,38566637
396,ANDERSON,SC,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670988
396,ANDERSON,SC,GRILL GARAGE 4 RS STR,1,02/08/2024,38670988
397,MCALLEN,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670989
400,CONROE,TX,GRILL GARAGE 4 RS STR,2,02/08/2024,38670828
404,SAN MARCOS,TX,GRILL GARAGE 4 RS STR,1,01/04/2024,38565850
404,SAN MARCOS,TX,GRILL GARAGE 4 RS ADD,3,01/04/2024,38565850
405,LEESVILLE,LA,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670868
405,LEESVILLE,LA,GRILL GARAGE 4 RS STR,1,02/08/2024,38670868
419,PRATT,KS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670921
419,PRATT,KS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670921
427,GREENVILLE,TX,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670885
427,GREENVILLE,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670885
428,ZACHARY,LA,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670895
428,ZACHARY,LA,GRILL GARAGE 4 RS STR,1,02/08/2024,38670895
435,HIGHLAND,IL,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670961
435,HIGHLAND,IL,GRILL GARAGE 4 RS STR,1,02/08/2024,38670961
436,CARLYLE,IL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566894
437,SEALY,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670952
440,ROCKPORT,TX,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670849
440,ROCKPORT,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670849
445,LEITCHFIELD,KY,GRILL GARAGE 4 RS ADD,9,02/08/2024,38670899
449,PORT ARTHUR,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670937
452,MCALLEN,TX,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670938
452,MCALLEN,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670938
454,FAIRFIELD,IL,GRILL GARAGE 4 RS STR,1,02/08/2024,38670991
458,ARANSAS PASS,TX,GRILL GARAGE 4 RS ADD,3,02/08/2024,38671002
458,ARANSAS PASS,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38671002
463,BEEVILLE,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670972
464,CORPUS CHRISTI,TX,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670984
464,CORPUS CHRISTI,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670984
468,TEXARKANA,AR,GRILL GARAGE 4 RS STR,1,02/08/2024,38671011
475,ROUND ROCK,TX,GRILL GARAGE 4 RS STR,1,01/04/2024,38566871
475,ROUND ROCK,TX,GRILL GARAGE 4 RS ADD,3,01/04/2024,38566871
483,PRATTVILLE,AL,GRILL GARAGE 4 RS STR,1,01/04/2024,38563015
489,HAMMOND,LA,GRILL GARAGE 4 RS ADD,3,02/08/2024,38671024
489,HAMMOND,LA,GRILL GARAGE 4 RS STR,1,02/08/2024,38671024
491,PADUCAH,KY,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670968
491,PADUCAH,KY,GRILL GARAGE 4 RS STR,1,02/08/2024,38670968
495,COLUMBUS,MS,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670960
495,COLUMBUS,MS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670960
500,EL PASO,TX,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670775
500,EL PASO,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670775
501,LAUREL,MS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670796
501,LAUREL,MS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670796
505,DERIDDER,LA,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670805
505,DERIDDER,LA,GRILL GARAGE 4 RS STR,1,02/08/2024,38670805
506,FLORA,IL,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670806
506,FLORA,IL,GRILL GARAGE 4 RS STR,1,02/08/2024,38670806
522,CROSBY,TX,GRILL GARAGE 4 RS STR,2,01/04/2024,38563016
522,CROSBY,TX,GRILL GARAGE 4 RS ADD,6,01/04/2024,38563016
536,ABILENE,TX,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670911
536,ABILENE,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670911
540,MORGAN CITY,LA,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670902
547,PLANT CITY,FL,GRILL GARAGE 4 RS ADD,2,02/08/2024,38670780
547,PLANT CITY,FL,GRILL GARAGE 4 RS STR,2,02/08/2024,38670780
562,LEEDS,AL,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670942
562,LEEDS,AL,GRILL GARAGE 4 RS STR,2,02/08/2024,38670942
565,CORSICANA,TX,GRILL GARAGE 4 RS ADD,4,02/08/2024,38670888
565,CORSICANA,TX,GRILL GARAGE 4 RS STR,4,02/08/2024,38670888
585,ROCK HILL,SC,GRILL GARAGE 4 RS ADD,9,02/08/2024,38670955
585,ROCK HILL,SC,GRILL GARAGE 4 RS STR,3,02/08/2024,38670955
594,FAYETTEVILLE,GA,GRILL GARAGE 4 RS STR,2,01/04/2024,38566881
594,FAYETTEVILLE,GA,GRILL GARAGE 4 RS ADD,2,01/04/2024,38566881
599,KINGSPORT,TN,GRILL GARAGE 4 RS STR,1,01/04/2024,38566891
599,KINGSPORT,TN,GRILL GARAGE 4 RS ADD,4,01/04/2024,38566891
600,PAMPA,TX,GRILL GARAGE 4 RS ADD,8,02/08/2024,38670708
600,PAMPA,TX,GRILL GARAGE 4 RS STR,2,02/08/2024,38670708
602,SPRING,TX,GRILL GARAGE 4 RS STR,3,02/08/2024,38670725
603,PEKIN,IL,GRILL GARAGE 4 RS ADD,2,02/08/2024,38670709
605,SAVANNAH,GA,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670791
605,SAVANNAH,GA,GRILL GARAGE 4 RS STR,1,02/08/2024,38670791
610,STEPHENVILLE,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670738
611,ROSWELL,NM,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670727
611,ROSWELL,NM,GRILL GARAGE 4 RS STR,1,02/08/2024,38670727
618,HIRAM,GA,GRILL GARAGE 4 RS STR,2,01/04/2024,38566971
618,HIRAM,GA,GRILL GARAGE 4 RS ADD,1,01/04/2024,38566971
627,DILLON,SC,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670823
627,DILLON,SC,GRILL GARAGE 4 RS STR,2,02/08/2024,38670823
645,NORFOLK,NE,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670829
645,NORFOLK,NE,GRILL GARAGE 4 RS STR,1,02/08/2024,38670829
653,HOPKINSVILLE,KY,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670778
653,HOPKINSVILLE,KY,GRILL GARAGE 4 RS STR,1,02/08/2024,38670778
658,ROME,GA,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670845
658,ROME,GA,GRILL GARAGE 4 RS STR,3,02/08/2024,38670845
659,NASHVILLE,TN,GRILL GARAGE 4 RS STR,1,01/04/2024,38566858
672,ALCOA,TN,GRILL GARAGE 4 RS STR,3,01/04/2024,38566888
672,ALCOA,TN,GRILL GARAGE 4 RS ADD,9,01/04/2024,38566888
683,LAWRENCEBURG,TN,GRILL GARAGE 4 RS STR,3,01/04/2024,38566889
683,LAWRENCEBURG,TN,GRILL GARAGE 4 RS ADD,9,01/04/2024,38566889
689,SOMERSET,KY,GRILL GARAGE 4 RS STR,1,01/04/2024,38566876
689,SOMERSET,KY,GRILL GARAGE 4 RS ADD,2,01/04/2024,38566876
696,PRESTONSBURG,KY,GRILL GARAGE 4 RS STR,1,01/04/2024,38566961
696,PRESTONSBURG,KY,GRILL GARAGE 4 RS ADD,1,01/04/2024,38566961
697,OCALA,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566877
697,OCALA,FL,GRILL GARAGE 4 RS ADD,1,01/04/2024,38566877
705,MOUNT DORA,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566893
705,MOUNT DORA,FL,GRILL GARAGE 4 RS ADD,2,01/04/2024,38566893
706,ZEPHYRHILLS,FL,GRILL GARAGE 4 RS STR,2,01/04/2024,38566941
706,ZEPHYRHILLS,FL,GRILL GARAGE 4 RS ADD,6,01/04/2024,38566941
708,VICKSBURG,MS,GRILL GARAGE 4 RS STR,3,01/04/2024,38566924
708,VICKSBURG,MS,GRILL GARAGE 4 RS ADD,9,01/04/2024,38566924
709,ELIZABETHTOWN,KY,GRILL GARAGE 4 RS ADD,2,02/08/2024,38670702
709,ELIZABETHTOWN,KY,GRILL GARAGE 4 RS STR,1,02/08/2024,38670702
716,GREENWOOD,MS,GRILL GARAGE 4 RS ADD,2,01/04/2024,38566942
718,AUBURNDALE,FL,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670687
718,AUBURNDALE,FL,GRILL GARAGE 4 RS STR,2,02/08/2024,38670687
725,HAINES CITY,FL,GRILL GARAGE 4 RS ADD,2,01/04/2024,38566935
746,TEMPLE,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670769
749,AMES,IA,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670776
749,AMES,IA,GRILL GARAGE 4 RS STR,1,02/08/2024,38670776
753,CEDAR FALLS,IA,GRILL GARAGE 4 RS ADD,7,02/08/2024,38670863
753,CEDAR FALLS,IA,GRILL GARAGE 4 RS STR,2,02/08/2024,38670863
765,SAN ANTONIO,TX,GRILL GARAGE 4 RS STR,1,01/04/2024,38566857
765,SAN ANTONIO,TX,GRILL GARAGE 4 RS ADD,3,01/04/2024,38566857
767,LAKE CITY,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566901
767,LAKE CITY,FL,GRILL GARAGE 4 RS ADD,3,01/04/2024,38566901
785,WAYNESBORO,MS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670860
785,WAYNESBORO,MS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670860
794,HUTCHINSON,KS,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670933
794,HUTCHINSON,KS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670933
800,LEESBURG,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38563017
800,LEESBURG,FL,GRILL GARAGE 4 RS ADD,1,01/04/2024,38563017
804,MINERAL WELLS,TX,GRILL GARAGE 4 RS ADD,9,02/08/2024,38670642
804,MINERAL WELLS,TX,GRILL GARAGE 4 RS STR,3,02/08/2024,38670642
806,LAS CRUCES,NM,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670576
806,LAS CRUCES,NM,GRILL GARAGE 4 RS STR,1,02/08/2024,38670576
812,DUMAS,TX,GRILL GARAGE 4 RS ADD,2,02/08/2024,38670664
812,DUMAS,TX,GRILL GARAGE 4 RS STR,2,02/08/2024,38670664
829,SANTA FE,NM,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670711
829,SANTA FE,NM,GRILL GARAGE 4 RS STR,1,02/08/2024,38670711
842,PUEBLO,CO,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670753
842,PUEBLO,CO,GRILL GARAGE 4 RS STR,1,02/08/2024,38670753
851,RUIDOSO DOWNS,NM,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670746
851,RUIDOSO DOWNS,NM,GRILL GARAGE 4 RS STR,1,02/08/2024,38670746
854,FRANKFORT,IN,GRILL GARAGE 4 RS STR,1,01/04/2024,38566954
